,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Phantom,203,91,20070616160829,20080316202655,unknown
1,Benatrevqre,181,87,20090719132443,20120207105504,unknown
2,Kleiner Tiger,123,54,20070620125443,20140819132747,unknown
3,Rusti,115,0,20070616072444,20070903185954,unknown
4,Arcy,109,15,20080628095716,20101221161753,unknown
5,Tohma,106,10,20070616091542,20180218105957,unknown
6,Leit,101,54,20080315212200,20110103163221,unknown
7,DerSalamander,87,33,20101211171104,20130325095413,unknown
8,Rita2008,80,3,20080212175555,20180416170324,unknown
9,Feliks,79,4,20070914133850,20180318184356,unknown
10,Messina,73,0,20120125194523,20120412101220,unknown
11,Nuuk,71,46,20091111222101,20181207211449,unknown
12,GiordanoBruno,59,20,20100517165338,20181029200509,unknown
13,A.M.,56,1,20070616102753,20080130081159,unknown
14,Mannerheim,47,21,20080319160110,20091026132622,unknown
15,Ulitz,45,13,20080628212718,20180603191049,unknown
16,Pittimann,43,43,20100217122328,20190301102806,unknown
17,Zaphiro,42,38,20070616092200,20080218203154,unknown
18,JosFritz,42,17,20110630190146,20160531233338,unknown
19,Haster,33,0,20070813122020,20110227093946,unknown
20,Mr. mettwurst,31,2,20090928205717,20100115102126,unknown
21,Cyve,30,2,20070616123526,20181029040146,unknown
22,Arne List,29,9,20070616161044,20070903153315,unknown
23,AF666,29,13,20071215185144,20160117220309,unknown
24,Carolus.Abraxas,29,2,20070702142447,20141110214756,unknown
25,Abdiel,28,1,20070618094140,20070719152112,unknown
26,UW,27,25,20070617000746,20130211100944,unknown
27,Boris Fernbacher,27,0,20070702112657,20070707143814,unknown
28,Hardenacke,25,20,20080504185241,20180608175747,unknown
29,Fputs,25,4,20080327055736,20080428074723,unknown
30,Scenetouch,25,3,20071206233137,20080209094431,unknown
31,Axt,24,16,20081011153341,20081225220903,unknown
32,Der Tildenmann,23,2,20080504184006,20080618210336,unknown
33,Zitronenpresse,21,7,20120916183103,20140628180601,unknown
34,Aka,21,21,20080412105553,20181226121538,unknown
35,Gonzo Greyskull,21,6,20080818102223,20130923143255,unknown
36,Smife,20,2,20080317110152,20080328163719,unknown
