,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AF666,374,66,20050331182615,20170713193942,unknown
1,Chef,150,61,20050529004249,20071214215056,unknown
2,BurghardRichter,103,51,20070625161435,20180612142026,unknown
3,Niggo911,77,19,20100619203222,20180829135510,unknown
4,Jesusfreund,70,16,20050428214449,20071215165934,unknown
5,DerSalamander,57,34,20101225193132,20130401192857,unknown
6,Skriptor,39,17,20041121193551,20050906093344,unknown
7,ElTres,32,1,20111027123859,20170731143731,unknown
8,Unscheinbar,27,14,20040905171611,20170303163138,unknown
9,Lokalpatriot-Tegel,23,0,20061008123643,20070111151648,unknown
10,Dingo,20,0,20050110212728,20050820164719,unknown
11,Felix König,18,9,20100613190733,20131026173939,unknown
12,Zinnmann,16,13,20050610073345,20180320100803,unknown
13,Sargoth,14,7,20061109011050,20090303224309,unknown
14,Aka,13,12,20050320133352,20171222172011,unknown
15,Über-Blick,12,0,20120814040639,20181123080622,unknown
16,217.95.125.128,12,0,20050320132957,20050320133330,unknown
17,Mogelzahn,11,4,20050717195907,20130630150142,unknown
18,Häuslebauer,11,1,20090827133703,20170302120046,unknown
19,112.205.93.113,11,0,20101019052744,20101019180105,unknown
20,Helenopel,10,0,20071124172051,20080405185400,unknown
21,217.83.90.242,10,0,20040925164752,20040925172307,unknown
22,Southpark,10,10,20040722225921,20051003134156,unknown
23,Berlin-Jurist,10,7,20050628132006,20071019193505,unknown
24,80.130.95.104,9,0,20040926052140,20040926054037,unknown
25,33cln33,9,4,20150131183739,20170515185242,unknown
26,Subversiv-action,9,5,20041130004647,20050523003822,unknown
27,Dishayloo,8,7,20050420013812,20050619164435,unknown
28,RobertPorter,8,7,20050812145713,20091206153910,unknown
29,Devere,8,1,20080818144724,20080903062429,unknown
30,KarlV,8,2,20051028092824,20180824150551,unknown
31,217.83.5.249,8,0,20050225173506,20050225214500,unknown
32,Sven Westphal,8,0,20080117155734,20080117171205,unknown
33,Nixred,8,8,20070211115819,20070618150243,unknown
34,80.130.30.46,7,0,20050627091910,20050627111404,unknown
35,Captain-C,7,3,20041119091711,20051014055545,unknown
36,Stefanbw,7,0,20130919214550,20180612135047,unknown
37,217.227.144.240,7,0,20050126180627,20050126191204,unknown
38,Rep~dewiki,6,0,20070211122149,20090926160042,unknown
39,Stoerte,6,5,20050208150507,20050226142114,unknown
40,3ecken1elfer,6,1,20061117174137,20061220111150,unknown
41,Marval703,6,2,20181008233919,20181028224915,unknown
42,REPanetta,6,1,20131203080744,20161114192718,unknown
43,Itti,6,4,20130208071332,20170303163710,unknown
44,Carol.Christiansen,6,5,20101019053930,20130922102938,unknown
45,84.128.129.200,6,0,20041213200710,20041213204704,unknown
46,Der Stachel,6,2,20070626221557,20070824221655,unknown
47,Griesgram,6,0,20040925165752,20050519101837,unknown
48,217.167.112.21,6,0,20040316153242,20040421124900,unknown
49,217.83.9.243,6,0,20041003081219,20041003081937,unknown
50,Braveheart,6,3,20100618220854,20161114204439,unknown
51,77.181.205.121,6,0,20120117015830,20120117021159,unknown
52,Achates,6,5,20061115143928,20061129211451,unknown
53,80.131.157.190,5,0,20041225203537,20041225205014,unknown
54,217.83.15.220,5,0,20050129134607,20050129152538,unknown
55,Kraftprotz,5,4,20090806102459,20110826092607,unknown
56,80.130.27.62,5,0,20050628135418,20050628145842,unknown
57,Wetterwolke,5,3,20140707224150,20170528184907,unknown
58,Baird's Tapir,5,5,20101019052903,20101019054720,unknown
59,Zaphiro,5,2,20060823073658,20080117171300,unknown
60,Toter Alter Mann,5,5,20100513143217,20101126173748,unknown
61,217.83.10.2,5,0,20050317192055,20050317212311,unknown
62,84.173.201.35,5,0,20060209132937,20060209133522,unknown
63,193.158.111.83,5,0,20051214165437,20051216134821,unknown
64,Pittimann,5,5,20100910072946,20140922171137,unknown
65,62.204.165.222,5,0,20160629150515,20171003172100,unknown
66,Miltrak,5,0,20130925214716,20160123130125,unknown
67,Abc112d,5,0,20131026131109,20131028181343,unknown
68,G-Bacchus,5,3,20091101125630,20091102165620,unknown
69,EH⁴²,5,2,20110529100216,20130331084455,unknown
70,Mathias Schindler,4,4,20040902132218,20051028172007,unknown
71,62.152.169.45,4,0,20060126212822,20060126213308,unknown
72,95.223.216.95,4,0,20150704193105,20150704193358,unknown
73,Don Magnifico,4,0,20070717140916,20100124111148,unknown
74,Schlesier2,4,2,20040902130952,20040902131907,unknown
75,217.83.0.115,4,0,20050226131242,20050226132519,unknown
76,194.94.24.21,4,0,20041130175406,20050111174138,unknown
77,Hansele,4,0,20040806080709,20061220111610,unknown
78,Zwobot,4,4,20040709145408,20061123004127,unknown
79,Marco K.,4,4,20061127184800,20070403104351,unknown
80,217.227.157.119,4,0,20050123110132,20050123114344,unknown
81,Karsten11,4,1,20080207095010,20130929074413,unknown
82,Florian Blaschke,4,4,20131025153321,20160714052756,unknown
