,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Cartinal,27,12,20171103201129,20180826154532,unknown
1,PeterPunzel,24,8,20171012183437,20171209191307,unknown
2,ElTres,18,0,20171122090456,20190130135735,unknown
3,ES64U2182,12,2,20171109103054,20171120121435,unknown
4,Europafan,12,2,20171114140955,20171115192326,unknown
5,FelixFuchs,10,0,20171011201227,20171030121338,unknown
6,KorrekTOM,8,5,20171202172150,20190130131620,unknown
7,Rudolph Buch,8,4,20171013154625,20180305123000,unknown
8,AlternativesLebensglück,7,0,20171119142756,20171217072722,unknown
9,2003:CA:63C6:1D68:31CD:1E9:8830:422E,5,0,20171120232915,20171120234358,unknown
10,Kukuk13,5,1,20171012104001,20171016180354,unknown
11,Arieswings,5,4,20171020141456,20171030133652,unknown
12,Majo statt Senf,4,1,20171013051120,20171216085444,unknown
13,149.172.134.82,4,0,20171015042115,20171023215509,unknown
14,Aka,4,4,20171114224157,20190130110653,unknown
15,Horst Gräbner,4,3,20171111175727,20180224184443,unknown
16,Florian Schneider,3,3,20180706160037,20180926103245,unknown
17,Harry8,3,2,20180511154906,20181102221735,unknown
18,Gustav von Aschenbach,3,3,20171120233918,20181026070149,unknown
19,Hydro,3,3,20171012200626,20171110183052,unknown
20,109.43.1.236,2,0,20171024123535,20171024124036,unknown
21,Urgelein,2,1,20171012132015,20180806093246,unknown
22,Rolf acker,2,2,20171016144841,20181117181004,unknown
23,Hadibe,2,2,20180116070842,20180116071328,unknown
24,Gelli63,2,0,20171012153852,20171013065257,unknown
25,79.246.137.109,2,0,20171017111823,20171017112139,unknown
26,Roentgenium111,2,0,20180320220025,20180928151832,unknown
27,Xocolatl,2,2,20171011201812,20171011201926,unknown
28,Tenorhornist5798,2,0,20171119204921,20180315004837,unknown
29,RoBri,2,2,20171220201228,20180216123700,unknown
30,Jensbest,2,0,20171128230716,20171208155152,unknown
31,91.59.104.178,2,0,20190106184851,20190106184941,unknown
32,Braganza,2,0,20171216083521,20181118085019,unknown
33,Superbass,2,0,20171030215116,20171030220034,unknown
34,Anne Winsch,2,0,20171015045430,20171015051529,unknown
35,212.186.7.98,2,0,20171221154446,20171229133252,unknown
36,PeterGuhl,2,2,20180126134910,20180126134951,unknown
37,DaizY,2,0,20171011205837,20171012112333,unknown
38,92.214.153.147,2,0,20171113213823,20171113224210,unknown
39,2003:C8:53D6:CF00:3100:317A:65EB:86C8,2,0,20171210195323,20171210195359,unknown
40,Prügelprinz,1,0,20171017102335,20171017102335,unknown
41,Jürgen Oetting,1,1,20171122032806,20171122032806,unknown
42,Horst-schlaemma,1,0,20180305120926,20180305120926,unknown
43,80.187.96.67,1,0,20171015034739,20171015034739,unknown
44,Christian aus Schleswig-Holstein,1,1,20180128185015,20180128185015,unknown
45,Albin Schmitt,1,0,20190126232644,20190126232644,unknown
46,92.216.118.35,1,0,20171112003242,20171112003242,unknown
47,2A02:810C:4040:2AC:F034:76D3:D243:21E8,1,0,20171220201045,20171220201045,unknown
48,217.85.219.180,1,0,20181130084821,20181130084821,unknown
49,80.71.142.166,1,0,20171207212222,20171207212222,unknown
50,Alnilam,1,0,20180921072702,20180921072702,unknown
51,188.174.129.222,1,0,20171020205557,20171020205557,unknown
52,Trollflöjten,1,1,20171124224220,20171124224220,unknown
53,2A01:598:A089:2799:8825:CB3F:9D08:764C,1,0,20171012075656,20171012075656,unknown
54,80.171.201.154,1,0,20180224104545,20180224104545,unknown
55,Schlumpfine23,1,0,20171014123416,20171014123416,unknown
56,Harl,1,1,20181228013443,20181228013443,unknown
57,2A02:908:2810:2B80:C1E7:32E7:E041:9B4A,1,0,20171012211722,20171012211722,unknown
58,77.180.234.25,1,0,20171111092729,20171111092729,unknown
59,Eingangskontrolle,1,1,20171215071639,20171215071639,unknown
60,Aspiriniks,1,0,20181023103615,20181023103615,unknown
61,Agathenon,1,1,20171024130900,20171024130900,unknown
62,2A04:4540:8205:6401:25B9:4F46:3FDB:DFA3,1,0,20171202190236,20171202190236,unknown
63,2001:A61:3619:EA01:481D:99CB:1E0D:B3BC,1,0,20180816194727,20180816194727,unknown
64,Seilbahn121,1,1,20180205123548,20180205123548,unknown
65,TaxonKatBot,1,1,20190128004108,20190128004108,unknown
66,Katzenfan,1,1,20171013120808,20171013120808,unknown
67,Verzettelung,1,0,20171112021249,20171112021249,unknown
68,Eichck,1,1,20181130084842,20181130084842,unknown
69,Keepchen,1,0,20171110123047,20171110123047,unknown
70,2003:E4:8BC8:7B01:8CE7:4A4A:7854:9C74,1,0,20171208154604,20171208154604,unknown
71,2003:DD:D72E:C816:DC1D:3128:DDC4:3C6A,1,0,20180927192352,20180927192352,unknown
72,213.225.32.25,1,0,20171012195321,20171012195321,unknown
73,Regi51,1,1,20171020210055,20171020210055,unknown
74,217.113.43.218,1,0,20180527061402,20180527061402,unknown
75,31.3.144.19,1,0,20171012081830,20171012081830,unknown
76,77.178.227.209,1,0,20171016170434,20171016170434,unknown
77,Kuebi,1,0,20180224104711,20180224104711,unknown
78,Alinea,1,0,20171014131009,20171014131009,unknown
79,JFM01,1,1,20180126134835,20180126134835,unknown
80,5.10.188.42,1,0,20171012225404,20171012225404,unknown
81,2A02:810C:6C0:A90:B526:FBC5:9857:E2D2,1,0,20171111175647,20171111175647,unknown
82,91.1.192.76,1,0,20181026070134,20181026070134,unknown
83,2003:C8:53CC:4800:500:C1D1:46DE:5AF1,1,0,20171206154239,20171206154239,unknown
84,InternetArchiveBot,1,0,20180829160024,20180829160024,unknown
85,77.119.130.36,1,0,20171012163729,20171012163729,unknown
86,Karsten11,1,0,20171019082306,20171019082306,unknown
87,Wikiolo,1,1,20171123082728,20171123082728,unknown
88,ZukunftsWählerin,1,0,20180415234651,20180415234651,unknown
89,Etc. gamma,1,0,20171011202417,20171011202417,unknown
90,109.42.3.95,1,0,20171120120834,20171120120834,unknown
91,Silas 229,1,1,20180212191339,20180212191339,unknown
92,ORA 2000,1,0,20190129220806,20190129220806,unknown
93,84.152.15.103,1,0,20171112031135,20171112031135,unknown
94,91.15.1.60,1,0,20181212132402,20181212132402,unknown
95,Zahnputzbecher,1,0,20171110123147,20171110123147,unknown
96,77.180.16.128,1,0,20171210033721,20171210033721,unknown
97,33cln33,1,1,20181018211918,20181018211918,unknown
98,Hannover86,1,0,20171021125041,20171021125041,unknown
99,2A02:8388:6781:9400:2C46:DD21:B1C:B4BE,1,0,20171201170524,20171201170524,unknown
100,Wischmat,1,1,20180613180214,20180613180214,unknown
101,2A02:8108:98BF:F8E8:4DC6:5B25:D8A5:509F,1,0,20171016172123,20171016172123,unknown
102,Codc,1,0,20171120234354,20171120234354,unknown
103,2003:EA:93CB:E19:2990:8E5E:6F7C:8440,1,0,20180224184308,20180224184308,unknown
104,Valodnieks,1,0,20171014193419,20171014193419,unknown
105,StefanMeister,1,1,20171119142333,20171119142333,unknown
106,2.203.228.54,1,0,20190109111829,20190109111829,unknown
107,194.76.232.147,1,0,20171013045941,20171013045941,unknown
108,Stefanbw,1,0,20171220172400,20171220172400,unknown
109,91.186.32.124,1,0,20181027203208,20181027203208,unknown
110,Berlinschneid,1,0,20171206223204,20171206223204,unknown
111,217.86.54.116,1,0,20180921072558,20180921072558,unknown
112,Pittimann,1,1,20171012163745,20171012163745,unknown
113,131.220.57.175,1,0,20171124092900,20171124092900,unknown
114,Miacek (usurped),1,0,20180422234047,20180422234047,unknown
115,Altsprachenfreund,1,1,20171015182855,20171015182855,unknown
116,Til Simpson,1,0,20171120134601,20171120134601,unknown
117,2A02:2028:521:DA01:28A0:47BD:5D2:85D6,1,0,20180216123534,20180216123534,unknown
118,91.14.235.231,1,0,20171013175815,20171013175815,unknown
119,Rotesdiadem,1,0,20171223231201,20171223231201,unknown
120,Zimt-Speculatius,1,1,20181212132409,20181212132409,unknown
121,Brodkey65,1,0,20171012200818,20171012200818,unknown
122,77.87.228.68,1,0,20171110134659,20171110134659,unknown
123,HajoKlabautermann,1,1,20181023102009,20181023102009,unknown
