,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Feliks,112,1,20130522151809,20181024205919,unknown
1,Tohma,92,11,20051229174536,20171206065759,unknown
2,Nuuk,77,22,20050920205558,20180218191336,unknown
3,Malula,51,2,20081222212459,20180111092557,unknown
4,Rita2008,49,1,20070710133220,20171001134532,unknown
5,Phi,26,6,20140617173326,20180911091410,unknown
6,Catzhome,19,0,20051112143502,20120301084015,unknown
7,185.42.231.186,16,0,20180910231751,20180911001454,unknown
8,Orik,16,3,20151218080548,20180608043121,unknown
9,Häuslebauer,15,1,20141016122044,20170118130315,unknown
10,Berichtbestatter,14,2,20141223230554,20160925210227,unknown
11,Aschmidt,12,5,20100701141940,20160926104922,unknown
12,Alkim Y,12,0,20100702212048,20100704155930,unknown
13,Phantom,11,6,20060615202052,20080923170206,unknown
14,Der Naturfreund,10,2,20120312183500,20170926012625,unknown
15,JosFritz,10,1,20141109124612,20141109133729,unknown
16,84.191.130.199,9,0,20060202162545,20060202163939,unknown
17,Aka,9,9,20050709092744,20190217133015,unknown
18,Wilske,9,8,20161205134153,20190308083525,unknown
19,Sargoth,8,7,20081222205850,20160911090338,unknown
20,Arcy,8,1,20100208180351,20100922213905,unknown
21,Gloser,8,1,20130409224452,20190216221343,unknown
22,91.17.245.96,7,0,20160221083125,20160221091003,unknown
23,Ute Erb,7,7,20100703172728,20120717062420,unknown
24,Cyve,7,1,20160911084245,20160925201557,unknown
25,RoBri,6,2,20180402121832,20180922161638,unknown
26,Ulitz,5,2,20070710165659,20160222181031,unknown
27,Idler,5,2,20050708084237,20081201195715,unknown
28,194.94.133.3,5,0,20050816164314,20050816165531,unknown
29,AF666,5,4,20080815085315,20080815085842,unknown
30,84.191.153.216,4,0,20051123161457,20051123162139,unknown
31,Izadso,4,1,20130408002615,20190308080329,unknown
32,84.191.149.182,4,0,20060120165604,20060120170020,unknown
33,Kopilot,4,1,20171220120751,20180911090652,unknown
34,Kirschblut,4,1,20100701212805,20100704160226,unknown
35,84.132.80.189,4,0,20051114144749,20051114172438,unknown
36,Cepheiden,4,4,20110913100129,20150118191132,unknown
37,84.191.145.57,4,0,20051005072930,20051005073133,unknown
38,24karamea,4,2,20101022155022,20180105093651,unknown
39,E-Kartoffel,4,0,20110917090855,20121021142352,unknown
40,Martin-vogel,4,0,20050314154819,20051006223021,unknown
41,NeXXor,4,3,20110216110840,20120712152130,unknown
42,Cirdan,4,2,20130208130416,20160219212744,unknown
43,193.17.243.102,4,0,20070328174148,20080910134746,unknown
