,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Jesusfreund,156,28,20070210171942,20101014104045,unknown
1,Boris Fernbacher,45,0,20070221194252,20070310110515,unknown
2,Phi,37,20,20050605163011,20181227214707,unknown
3,Ulitz,20,7,20050525202449,20070118200707,unknown
4,Richard Lenzen,18,18,20120403092716,20190121042702,unknown
5,83.5.202.3,9,0,20060327193543,20060327202651,unknown
6,Otberg,9,4,20071113132916,20170510132027,unknown
7,Aka,8,8,20061123094409,20180404184936,unknown
8,Gustav von Aschenbach,7,5,20100414193140,20141021092006,unknown
9,Pittimann,7,7,20091219125121,20190118095431,unknown
10,Markobr,7,7,20161215151856,20180913151945,unknown
11,*g,6,2,20050612200859,20061216223146,unknown
12,193.170.209.61,5,0,20051220072817,20051220073902,unknown
13,95.33.28.131,5,0,20100117170920,20100117171138,unknown
14,Daniel Mex,5,5,20060525102152,20060614170919,unknown
15,Regi51,5,5,20100117171154,20150408102157,unknown
16,GS,5,1,20060526091441,20060526092754,unknown
17,Prüm,4,4,20100704183935,20160719210617,unknown
18,217.82.171.121,4,0,20061106121202,20061106121423,unknown
19,93.233.24.122,4,0,20151026130059,20151026130431,unknown
20,212.126.207.130,4,0,20060219173240,20060219174126,unknown
21,Peter200,4,4,20061127143031,20061129112519,unknown
22,84.146.62.179,4,0,20070204173139,20070204173535,unknown
23,Laber,4,4,20120502004059,20130120031905,unknown
24,He3nry,4,4,20051013153135,20110207155918,unknown
25,80.138.82.55,4,0,20070207120604,20070207120936,unknown
26,Spuk968,4,4,20110109141722,20140305174828,unknown
27,Solid State,4,4,20080417101328,20091201113834,unknown
28,Kuebi,4,4,20111201074212,20151105160145,unknown
29,82.82.95.34,4,0,20050921172704,20050921172831,unknown
30,Logograph,4,3,20070222005328,20120919170957,unknown
31,Mwknacker,4,2,20130722132025,20130722132408,unknown
32,84.177.216.90,4,0,20070628060500,20070628060929,unknown
33,Anton-Josef,3,3,20070117104518,20071123174435,unknown
34,Jed,3,3,20051031224930,20110824233918,unknown
35,Catfisheye,3,3,20100306000959,20100518112304,unknown
36,D,3,3,20050921173105,20051114141351,unknown
37,Howwi,3,3,20100921071307,20101206082123,unknown
38,193.72.72.18,3,0,20060516125859,20060516130156,unknown
39,Miraki,3,2,20120921062930,20130611080654,unknown
40,WAH,3,0,20060822090017,20070207120958,unknown
41,91.1.85.233,3,0,20101206081837,20101206082110,unknown
42,Centenier,3,3,20151026130110,20160515143247,unknown
43,Borisbaran,3,0,20060222174416,20060703073550,unknown
44,91.20.0.114,3,0,20071211205009,20071211205437,unknown
45,88.77.17.243,3,0,20061122184010,20061122184247,unknown
46,Red Rooster,3,0,20060903090837,20070103140135,unknown
47,Juliane,3,2,20170614051339,20170614053528,unknown
48,Martin1978,3,3,20101206081933,20110325102152,unknown
49,80.134.127.102,3,0,20061129112202,20061129112459,unknown
50,Tobi B.,3,3,20070118164411,20070910131953,unknown
51,NiTenIchiRyu,3,3,20050921173457,20060312192903,unknown
52,Boshomi,3,0,20121103162006,20151009201413,unknown
53,URTh,3,3,20180820085620,20180820092339,unknown
54,Inkowik,3,3,20110113144811,20140708104119,unknown
55,Thijs!bot,3,3,20070329135254,20081125185549,unknown
56,84.181.30.23,3,0,20140708104106,20140708104952,unknown
57,EmausBot,3,3,20111027043147,20120518083644,unknown
