,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,38,13,20031105235613,20071016214119,unknown
1,Spacecaptain,36,24,20040729134252,20050128224650,unknown
2,Dioskorides,33,4,20180708155156,20190106210232,unknown
3,212.11.225.90,23,0,20050627092428,20050707085929,unknown
4,Hansele,22,3,20040806081902,20070114012507,unknown
5,HaeB,20,5,20041207082949,20060622125801,unknown
6,Schlurcher,19,17,20050426200434,20060418203449,unknown
7,Writtenby,18,7,20121017123129,20121017134858,unknown
8,Unscheinbar,16,9,20040611124013,20060123141734,unknown
9,Aka,16,15,20051103123139,20180308125729,unknown
10,Daniel~dewiki,14,8,20040523120802,20040830172500,unknown
11,Docmo,14,0,20050706100701,20071017145112,unknown
12,129.187.244.28,14,0,20041122095409,20060510070831,unknown
13,84.58.133.216,13,0,20060418231706,20060418233206,unknown
14,MAY,11,0,20090319233345,20180121215847,unknown
15,WinfriedSchneider,11,9,20110401112552,20161129095052,unknown
16,D,11,10,20050811222638,20100124190217,unknown
17,Gustav von Aschenbach,10,9,20070930124132,20140222183059,unknown
18,Bene16,10,5,20070118152110,20070927121152,unknown
19,Nemissimo,10,0,20120803110839,20120804120546,unknown
20,TomK32,10,6,20030925104648,20050706120816,unknown
21,Dick Tracy,8,0,20050113194415,20050411155526,unknown
22,Fossa,8,1,20060323160857,20100825075554,unknown
23,NilsKruse,8,3,20050811162036,20060205202338,unknown
24,Neun-x,8,1,20110408093952,20170912030741,unknown
25,Zaphiro,8,6,20050811222224,20051102150504,unknown
26,Hoheit,7,2,20040906103920,20050414145933,unknown
27,Miltrak,7,0,20130320225020,20170514210335,unknown
28,Eike sauer,7,1,20040602183402,20070417125554,unknown
29,Q'Alex,7,4,20040831190134,20060512151023,unknown
30,Philipendula,7,6,20050128223823,20060424195827,unknown
31,Southpark,6,6,20040301212158,20060421145859,unknown
32,Triebtäter,6,0,20040529162516,20071015195419,unknown
33,Malabon,6,5,20120218213131,20180726203225,unknown
34,212.95.108.55,6,0,20060414150658,20060414151301,unknown
35,Nixx,6,0,20070928172655,20080514183539,unknown
36,84.155.144.217,6,0,20050815122251,20050815154303,unknown
37,GT1976,6,3,20071107133908,20151114063508,unknown
38,E-qual,6,1,20080921113532,20081003030513,unknown
39,Ramsau,6,0,20070103152815,20070305191210,unknown
40,Olaf Kosinsky,5,1,20150202154931,20170307123832,unknown
41,Fabchief,5,0,20070112165358,20080512050807,unknown
42,Uwe W.,5,4,20051022101841,20051122170709,unknown
43,84.56.91.155,5,0,20050813112637,20050813114228,unknown
44,Berlin-Jurist,5,1,20050824080128,20070927143532,unknown
45,Boobarkee,5,5,20111229104413,20120927133248,unknown
46,Gamma9,5,5,20081026151038,20090102051942,unknown
47,Zeno Gantner,5,1,20040102124433,20091223132157,unknown
48,Sebastianvader,5,5,20070531171035,20071010012120,unknown
49,AF666,5,0,20050412165838,20080604191803,unknown
50,80.144.116.104,5,0,20060222111601,20060222114021,unknown
51,84.191.114.241,5,0,20050826125501,20050826130216,unknown
52,Juesch,5,5,20050706112141,20060118151050,unknown
53,213.54.192.230,5,0,20050901201459,20050901210610,unknown
54,Markus Schweiß,5,3,20060204160457,20060204182425,unknown
55,Zwobot,5,5,20040105021841,20041204211726,unknown
56,Alexander Z.,5,5,20051202231707,20060622184549,unknown
57,WernerE,5,0,20060509112347,20060517155157,unknown
58,Komischn,5,5,20110414122803,20130814081919,unknown
59,Achates,5,3,20071024050028,20100314052022,unknown
