,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,JWBE,21,3,20170727150902,20171022115949,unknown
1,GiordanoBruno,20,6,20110115142914,20171018144922,unknown
2,Smoking Joe,18,3,20070313130814,20071028141345,unknown
3,Sir James,12,6,20111004094311,20170923100252,unknown
4,Ulitz,11,1,20050109002926,20070313203251,unknown
5,Momo,10,6,20040610160252,20070514224232,unknown
6,Krakatau,9,2,20080416003437,20090118204645,unknown
7,Martin Sg.,7,0,20170707214314,20171020141758,unknown
8,Nils Freiheit,7,4,20150813104037,20190121203759,unknown
9,Abutoum,6,1,20121017090248,20121019111501,unknown
10,Ekkenekepen,6,0,20050119064913,20050907181202,unknown
11,Markscheider,6,0,20170924142652,20170925084002,unknown
12,Nuuk,6,3,20070905084524,20180414093836,unknown
13,Schotterebene,5,3,20121019084019,20190201100648,unknown
14,Tomcat0816,5,0,20060928161809,20080506222401,unknown
15,Jeffhow,5,0,20100726142218,20100726152244,unknown
16,Chaddy,5,5,20070903180420,20090912173326,unknown
17,Suricata,5,1,20050302085535,20050302154829,unknown
18,EmausBot,5,5,20110208230333,20130517224452,unknown
19,Taunide,5,2,20070905073504,20070905132631,unknown
20,Der Boss der Bosse,5,0,20081201161257,20081201163201,unknown
21,König Alfons der Viertelvorzwölfte,5,0,20060418152113,20060419165857,unknown
22,Hybscher,5,2,20060914083740,20070511152612,unknown
23,212.62.201.106,5,0,20180914090932,20190201093610,unknown
24,Times,5,2,20081226132047,20100726152814,unknown
25,Studmult,4,0,20070602110823,20170727062446,unknown
26,GDK,4,4,20070328085704,20110626092907,unknown
27,80.185.205.100,4,0,20040829204351,20040829205228,unknown
28,84.72.78.5,4,0,20050602193441,20050602194109,unknown
29,Siwibegewp,4,2,20170402160139,20170802190945,unknown
30,84.165.202.111,4,0,20081202142133,20081202142329,unknown
31,Verwüstung,4,0,20060929205855,20060930101605,unknown
32,Aka,4,4,20090119221021,20171018173531,unknown
33,2001:628:20F0:0:0:0:1:4,4,0,20120805105134,20120805125101,unknown
34,Avoided,4,4,20081202142137,20081202142334,unknown
35,Maximilian Schönherr,4,2,20120829160142,20121218215822,unknown
36,194.196.182.35,4,0,20050407165943,20050407170254,unknown
37,Hvd69,4,2,20140824121648,20150726211322,unknown
38,46.114.18.17,4,0,20140407070827,20140407072310,unknown
39,Martina Nolte,4,0,20090112173258,20120922201553,unknown
40,Wheeke,3,3,20140130163258,20150914165803,unknown
41,Asthma,3,1,20080603192416,20081211052257,unknown
42,Eschaper,3,2,20060304234417,20060304235310,unknown
43,San Andreas,3,1,20170319131731,20170319142820,unknown
44,Anti.,3,0,20110103161907,20110106111309,unknown
45,217.255.246.2,3,0,20081029083156,20081029190548,unknown
46,Seewolf,3,3,20070426024611,20070429060332,unknown
47,CommonsDelinker,3,2,20080629220253,20171216122243,unknown
48,Jonathan Hornung,3,0,20050709173801,20060210151556,unknown
49,Florian Adler,3,3,20070621194327,20081210183132,unknown
50,Etagenklo,3,3,20060419181152,20060419181528,unknown
51,Ifixplanes,3,3,20110930073305,20130818125932,unknown
52,Johnny T,3,2,20070830195713,20081115230214,unknown
53,Tomeasy,3,0,20071016202337,20080415095845,unknown
54,89.53.97.178,3,0,20060308215057,20060308215530,unknown
55,Bonifatius1935,3,0,20170923172709,20171013160642,unknown
56,Section6,3,0,20080327033204,20120923221009,unknown
57,217.110.227.171,3,0,20070214140854,20070214141046,unknown
58,Katzenmeier,3,0,20070905124659,20070905141537,unknown
59,84.61.140.60,3,0,20070125150433,20070125150558,unknown
60,TechArtGer,3,0,20170727155402,20170729204053,unknown
61,Thorbjoern,3,3,20051103080616,20140821154254,unknown
62,80.129.18.100,3,0,20070512113300,20070512113607,unknown
63,91.89.68.62,3,0,20081203134302,20081203135036,unknown
64,88.69.27.121,3,0,20081202122421,20081202134549,unknown
65,AchimP,3,3,20070829132636,20070906082930,unknown
66,213.196.242.150,3,0,20041221121636,20041221122955,unknown
67,Fu-Lank,3,0,20081130205923,20081130225938,unknown
68,MB-one,3,3,20070816071208,20070908114713,unknown
69,Hotcha2,3,3,20090828002913,20090828003443,unknown
70,Baumfreund-FFM,3,0,20070831060509,20081008102208,unknown
71,EWriter,3,1,20071006001022,20120721133505,unknown
72,JuTe CLZ,2,2,20180415183732,20180415183914,unknown
73,SieBot,2,2,20080401004913,20090719091322,unknown
74,89.56.190.140,2,0,20081121103859,20081121104344,unknown
75,84.135.222.176,2,0,20101210104839,20101210104944,unknown
76,82.198.223.1,2,0,20070906082658,20070907082035,unknown
77,84.177.107.8,2,0,20060418220441,20060418220549,unknown
78,Synesis17,2,1,20070211080137,20070211081222,unknown
79,Diba,2,2,20100416091151,20100416091303,unknown
80,Die tiefe blaue See,2,2,20070422180157,20070502052636,unknown
81,Koenraad,2,0,20110703053746,20151110101213,unknown
82,GodeNehler,2,1,20171021112242,20171021140548,unknown
83,172.179.55.117,2,0,20050725174855,20050725183110,unknown
84,Kdwnv,2,2,20040704173358,20040704173630,unknown
85,Hansbaer,2,1,20060501203914,20121230152918,unknown
86,134.2.246.103,2,0,20070213002532,20070213002631,unknown
87,MystBot,2,2,20101018081147,20110905072754,unknown
88,Elwood j blues,2,0,20070122182252,20070125050151,unknown
89,217.83.41.158,2,0,20050817145631,20050817145801,unknown
90,Zxmt,2,1,20170223093520,20171204075945,unknown
91,SDB,2,0,20110206134549,20110206140139,unknown
92,Rotesdiadem,2,1,20161219220522,20161219220922,unknown
93,Petruz,2,1,20170923063555,20170923073253,unknown
94,Onkel Dittmeyer,2,2,20111113202506,20111113203247,unknown
95,84.9.106.100,2,0,20051018185125,20051018222409,unknown
96,91.43.113.36,2,0,20121218215236,20121218215258,unknown
97,Alnilam,2,2,20140602120829,20160422110428,unknown
98,JuergenL,2,2,20050725175159,20081124150215,unknown
99,USR2504,2,2,20120919065719,20130906135239,unknown
100,Sir.toby,2,2,20090106150543,20090106151233,unknown
101,46.59.131.51,2,0,20170324075957,20170324080301,unknown
102,Offenbacherjung,2,0,20170927080305,20171031160811,unknown
103,83.129.114.165,2,0,20040930162719,20040930163418,unknown
104,217.248.236.178,2,0,20060628165332,20060628165846,unknown
105,Lars Scheithauer,2,2,20051121192611,20051121192911,unknown
106,Logograph,2,1,20081203110752,20110217084718,unknown
107,Leftie11,2,2,20101028185152,20101028185218,unknown
108,Tankwart,2,1,20081002122119,20081002122207,unknown
109,Blauerflummi,2,0,20050930222505,20050930222644,unknown
110,BlaueWunder,2,0,20121112011610,20130524212518,unknown
111,Armin P.,2,2,20090913165403,20170806180517,unknown
112,Flominator,2,1,20050529200106,20170923222450,unknown
