,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Benatrevqre,108,30,20090303011001,20141008173138,unknown
1,Giro,59,18,20071123174240,20130731202744,unknown
2,GiordanoBruno,34,7,20100106202356,20180821183537,unknown
3,Sicherlich,33,15,20070423173426,20110208130341,unknown
4,FelMol,32,3,20090309181754,20101205132708,unknown
5,Turpit,30,2,20080224204455,20181205193310,unknown
6,UweBayern,29,10,20090216134517,20090824205738,unknown
7,DavidHume1,29,4,20130329220330,20130801084935,unknown
8,Verzettelung,27,22,20130130014037,20180330082953,unknown
9,Niedergrund,27,13,20100526190113,20170214180754,unknown
10,AHZ,26,14,20060202193045,20110207131624,unknown
11,JosFritz,23,10,20100929052609,20170117082515,unknown
12,ZGV2010,22,6,20110207082708,20120613134744,unknown
13,Stahlfresser,19,2,20110922123536,20130620182506,unknown
14,Elya,19,7,20031214122045,20131103184219,unknown
15,New European~dewiki,19,10,20080213161951,20090107172339,unknown
16,ToddyB,18,14,20090301230513,20090523113125,unknown
17,Maria Stella~dewiki,15,4,20060201094334,20060303114618,unknown
18,Špajdelj,13,2,20100820213525,20170330190156,unknown
19,Alkim Y,13,8,20120229135555,20130620182131,unknown
20,Rita2008,12,2,20080311171713,20181204174143,unknown
21,Aalfons,12,1,20100118094547,20170919124731,unknown
22,80.213.13.253,11,0,20031213045552,20031213051946,unknown
23,Solomona,11,3,20060920151800,20070501235112,unknown
24,Über-Blick,11,0,20160301234926,20160302002051,unknown
25,Werwiewas,11,2,20080223075812,20080303162143,unknown
26,88.77.x.x,10,4,20090902093458,20100805090400,unknown
27,Perrak,8,2,20101114135144,20181107173107,unknown
28,Havelländer,8,0,20090228121108,20090302095330,unknown
29,Joerg 130,7,1,20141110192451,20170928184450,unknown
30,Berihert,7,7,20160228232014,20160302001234,unknown
31,TJ.MD,7,2,20100727182105,20100916193020,unknown
32,Bwbuz,7,0,20170513101455,20170513102913,unknown
33,Qwqchris,7,0,20090227111140,20090310094754,unknown
34,Gloser,7,0,20130126194043,20181206140805,unknown
35,TA,7,7,20060209211915,20080226041623,unknown
36,Goliath613,7,0,20120203090225,20120203141152,unknown
37,91.18.104.231,7,0,20100916181608,20100916181913,unknown
38,AlternativesLebensglück,6,0,20170712183326,20180119190317,unknown
39,Aka,6,6,20070617164159,20181208193033,unknown
40,Toter Alter Mann,6,2,20100918103954,20111004140506,unknown
41,Chubbiee,6,0,20090226112440,20090226191926,unknown
42,Schaumal,6,1,20090113200406,20090114081735,unknown
43,80.213.15.199,5,0,20040120182328,20040121010537,unknown
44,Wunderstürmer,5,2,20130725155852,20130725161342,unknown
45,Lettres,5,2,20100916184455,20140707080819,unknown
46,Alexander Elvers,5,4,20170114173801,20170116213040,unknown
47,Berichtbestatter,5,1,20150512105506,20180119185459,unknown
48,Anti.,5,0,20170115114857,20170919115809,unknown
49,Happolati,5,4,20091115231623,20100211170858,unknown
50,Boshomi,5,2,20150513165040,20170121075807,unknown
51,Hozro,5,2,20080907063633,20100916182039,unknown
52,66.47.62.78,5,0,20040410075209,20040921232854,unknown
53,Pfarrer,5,2,20071205072615,20090728175057,unknown
54,Tous4821,5,2,20130331172112,20130801093352,unknown
55,MatthiasGutfeldt,5,1,20160303145030,20160323170835,unknown
56,Lonegunman,4,0,20091105182040,20091105183112,unknown
57,83.109.178.63,4,0,20050919235045,20050919235357,unknown
58,89.204.155.57,4,0,20160228095652,20160228100535,unknown
59,84.191.82.102,4,0,20070423055927,20070423060650,unknown
60,790,4,2,20060906153506,20080907025548,unknown
61,TB42,4,4,20091117074923,20111004213739,unknown
62,Roxedl,4,0,20181203201601,20181206132843,unknown
63,A.fiedler,4,3,20060202161834,20070501101916,unknown
64,WikiMax,4,1,20060221112558,20090114080149,unknown
65,Tokota,4,1,20170114175100,20170114181757,unknown
66,Hubertl,4,2,20090301061424,20090502080458,unknown
67,80.140.255.139,4,0,20060904175634,20060904181304,unknown
68,Cducsu,4,2,20111205124632,20140306145805,unknown
69,Mazbln,4,2,20100910203133,20110416063219,unknown
70,84.191.115.241,4,0,20070423224015,20070423231620,unknown
71,Tohma,4,1,20080420060134,20130801085046,unknown
72,Alternative für Türkei,4,1,20130620181846,20130620182443,unknown
73,Wikuli,4,1,20170114193500,20180702214418,unknown
74,Slum,3,0,20100406193439,20100407203620,unknown
75,188.96.182.49,3,0,20151015001607,20151015001741,unknown
76,Seewolf,3,3,20090501181029,20151015001923,unknown
77,Draco flavus,3,2,20090304222451,20090304224141,unknown
78,78.8.102.201,3,0,20090301172409,20090301173311,unknown
79,Wikswat,3,2,20100917151126,20100917155513,unknown
80,138.246.2.188,3,0,20150127131804,20150127142725,unknown
81,85.127.15.57,3,0,20090330160651,20090331181038,unknown
82,Şêr,3,0,20100916181635,20100916181925,unknown
83,Betweeneastandwest,3,0,20080905055441,20080905074238,unknown
84,Dominik~dewiki,3,2,20040121000713,20040121091959,unknown
85,84.177.209.12,3,0,20060907172549,20060907184415,unknown
86,BurghardRichter,3,1,20170630204208,20170630205520,unknown
87,87.153.123.132,3,0,20170114230008,20170114230409,unknown
88,83.109.137.49,3,0,20050811174800,20050811175107,unknown
89,Sebbot,3,1,20060811103248,20150703132039,unknown
90,Feliks,3,0,20170114191409,20170114191638,unknown
91,Vincent Eisfeld,3,1,20160228102913,20170928194353,unknown
92,Steschke,3,1,20060920221223,20061126232908,unknown
93,Zaphiro,3,3,20090301211100,20090301211523,unknown
94,Andreas Gertz,3,0,20100909110552,20100909111126,unknown
95,Khatschaturjan,3,0,20170810212148,20180801193511,unknown
96,Lafiestanoesparalosfeos,3,1,20090217235127,20090217235647,unknown
97,Scooter,3,3,20051214210440,20140918194828,unknown
98,84.191.243.215,3,0,20060812204921,20060812205738,unknown
99,84.181.206.115,3,0,20050914201502,20050914202943,unknown
100,Nolispanmo,3,3,20090310124158,20110615113526,unknown
101,Smegger,3,0,20140508073650,20170907094759,unknown
102,Luke081515Bot,3,0,20151011211109,20161124215536,unknown
103,FAFA,3,2,20100917094658,20100922204123,unknown
104,JGalt,3,0,20060812205040,20060812205935,unknown
105,Guffi,3,1,20090226114641,20090226131742,unknown
106,Pelz,2,2,20060222211227,20111219214649,unknown
107,62.167.30.234,2,0,20070410112658,20070410112759,unknown
108,Onkelkoeln,2,1,20071211212931,20171027100448,unknown
109,Roentgenium111,2,1,20180702105038,20180822132800,unknown
110,Deutscher Frühling,2,0,20130617004613,20130617060925,unknown
111,Rmcharb,2,2,20170115111533,20180414174437,unknown
112,Kalorie,2,2,20100106184812,20100106185602,unknown
113,Flavia67,2,1,20160327190811,20160330225720,unknown
114,Brodkey65,2,0,20130402001724,20130402001929,unknown
115,HerrAdams,2,0,20170114212952,20170115100250,unknown
116,Ak120,2,0,20081114173141,20081114173414,unknown
117,80.145.115.94,2,0,20050808112321,20050808112607,unknown
118,Bernardoni,2,1,20100909142541,20100919010847,unknown
119,Raubfisch,2,0,20060810201229,20060810201347,unknown
120,178.3.22.224,2,0,20140602160834,20140602160859,unknown
121,Albin Schmitt,2,2,20181008000711,20181008000749,unknown
122,Fossa,2,0,20101109122459,20110511085020,unknown
123,Dontworry,2,2,20071106155544,20091109175039,unknown
124,77.180.68.213,2,0,20170115174204,20170115181758,unknown
125,Pedwiki,2,2,20100116194840,20100116200236,unknown
126,RobotQuistnix,2,2,20060106022525,20060906223335,unknown
127,Blunt.,2,2,20090114064742,20090114073157,unknown
128,WladiBoromovich,2,0,20090310111433,20090310111737,unknown
129,84.191.94.120,2,0,20070426212437,20070426212832,unknown
130,Horst Gräbner,2,1,20170114174718,20190213190805,unknown
131,Andibrunt,2,0,20090304100031,20091115102822,unknown
132,Nameless23,2,2,20150929202801,20150929213018,unknown
133,Jotzet,2,0,20180811164134,20180811192704,unknown
134,193.17.243.4,2,0,20040917153109,20041019144436,unknown
135,Mehlauge,2,0,20151030233149,20151030233404,unknown
136,134.93.2.150,2,0,20161123152418,20161123152538,unknown
137,92.229.133.189,2,0,20090217143022,20090217143734,unknown
138,212.76.57.103,2,0,20040624102608,20060227021034,unknown
139,Taristo,2,0,20110926051723,20110926155047,unknown
140,Amurtiger,2,0,20070924200438,20070924201157,unknown
141,Raymond,2,1,20070711094924,20170702205925,unknown
142,WarbirdPilot,2,1,20080603203157,20080604170918,unknown
143,Taxiarchos228,2,1,20090226093628,20091117134345,unknown
144,Micha.Kramer,2,0,20120207190313,20120208080525,unknown
145,Asthma,2,2,20080225121820,20080409193823,unknown
146,AsuraBot,2,2,20140201164247,20140201164405,unknown
147,Agathenon,2,1,20170928072744,20170928115746,unknown
148,Zeno Gantner,2,2,20031215001702,20040102001745,unknown
149,79.209.10.190,2,0,20151110204042,20151110204131,unknown
150,Definitiv,2,1,20090218150522,20111222110445,unknown
151,62.204.165.222,2,0,20170706152514,20170709120132,unknown
152,84.177.214.16,2,0,20060907065614,20060907070038,unknown
153,Cymothoa exigua,2,2,20130406112036,20130406112153,unknown
154,Heiner Strauß,2,0,20170601230828,20170912125457,unknown
155,84.57.89.243,2,0,20090228013025,20090228013513,unknown
156,78.53.214.15,2,0,20100106103320,20100106103646,unknown
157,Hermannthomas,2,2,20060814175805,20070410112805,unknown
158,Luckas-bot,2,2,20110713100543,20120409173845,unknown
159,Guandalug,2,1,20090310123220,20101109123303,unknown
160,MBq,2,0,20091203173034,20091203173835,unknown
161,88.73.140.13,2,0,20060810181344,20060810191327,unknown
162,Joerg w,2,2,20110210011030,20120212195106,unknown
163,Nemissimo,2,0,20121215102629,20121215104626,unknown
164,Moritzz,2,0,20080414085118,20101026112632,unknown
165,87.155.248.184,2,0,20170116130256,20170116130446,unknown
166,Mannerheim,2,0,20090304121919,20090310084737,unknown
167,Schmarrnintelligenz,2,0,20181204142522,20181204142728,unknown
168,83.109.153.212,2,0,20050428000252,20050428000453,unknown
169,79.193.45.140,2,0,20090223164826,20090223165243,unknown
170,84.142.76.87,2,0,20090302135200,20090302135409,unknown
171,145.254.50.222,2,0,20031213221525,20031213224625,unknown
172,82.192.227.118,2,0,20040919101206,20040919121312,unknown
173,87.164.65.136,2,0,20100212054323,20100212054425,unknown
174,Gudrun Meyer,2,2,20090523145438,20100918094949,unknown
175,Unscheinbar,2,0,20040704172436,20040704175407,unknown
176,Studmult,2,1,20100917080220,20100917080241,unknown
177,Phi,2,1,20071022151158,20170116213348,unknown
178,Huberbe,2,0,20180303165735,20180303165752,unknown
179,Tsor,2,2,20070713211002,20070714123946,unknown
180,Letdemsay,2,0,20101220155624,20111021093914,unknown
181,Stefan Bellini,2,2,20170114174455,20170115093535,unknown
182,Kozarac,2,0,20170928183322,20170928185224,unknown
