,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Nicholas Urquhart,240,0,20130523115156,20131225105905,unknown
1,Breogan67,37,24,20031213120442,20060522205402,unknown
2,Zeno Gantner,36,24,20031220103328,20060323094501,unknown
3,Aka,16,16,20050328124259,20180505133742,unknown
4,HHill,14,3,20130626072913,20130726103808,unknown
5,Tialtngo,14,3,20080521173052,20090905111639,unknown
6,El Duende,14,2,20090306124229,20100411104611,unknown
7,Anidaat,11,1,20180423154858,20180716102921,unknown
8,Mischa004,9,8,20130624073300,20130627071631,unknown
9,Agathenon,9,2,20090812122531,20180503071606,unknown
10,Furfur,8,2,20170408105719,20170408153910,unknown
11,Nol Aders,8,6,20051218003526,20051226143713,unknown
12,84.131.170.191,7,0,20061231004832,20061231005613,unknown
13,Vicente2782,7,1,20090709053152,20090809134608,unknown
14,JAnDbot,7,7,20061017110741,20090529092058,unknown
15,Oneshook,7,0,20080521114453,20080521120233,unknown
16,SieBot,6,6,20071022111506,20090816192741,unknown
17,SCPS,6,2,20080519224758,20100203171222,unknown
18,WalterNeumann,5,0,20170318071047,20170318072459,unknown
19,ElAlegre,5,1,20070122224734,20070128111445,unknown
20,Xqbot,5,5,20090815050657,20111104025823,unknown
21,81.221.88.152,5,0,20051130230920,20051130232850,unknown
22,Luckas-bot,5,5,20100906074446,20120224093214,unknown
23,Lustiger seth,5,3,20090813193029,20091114212711,unknown
24,Dateientlinkerbot,5,0,20131217181608,20140310223155,unknown
25,212.11.35.173,5,0,20050816131058,20050816144725,unknown
26,Marnal,5,0,20110110115555,20121217173808,unknown
27,Erichnohe,5,0,20050726012834,20071015001045,unknown
28,Muc81477,5,1,20090310154040,20090310183944,unknown
29,KastusK,4,0,20120622173419,20140222104311,unknown
30,Pittigrilli,4,2,20081216180516,20090806122641,unknown
31,87.162.219.51,4,0,20070712082728,20070712083247,unknown
32,RobotQuistnix,4,4,20050805174027,20060221174349,unknown
33,20percent,4,3,20090308143000,20090311010519,unknown
34,Landroval,4,0,20080101083713,20090308205945,unknown
35,Löschfix,4,3,20090904184852,20090904224727,unknown
36,Vertigo Man-iac,4,0,20130626112348,20130628131136,unknown
37,93.130.58.10,4,0,20090309211045,20090309211302,unknown
38,87.188.239.88,4,0,20090730223644,20090730224057,unknown
39,Kohlenklau,4,0,20091112144515,20091114080006,unknown
40,Roxedl,4,1,20130115050450,20130115122118,unknown
41,César,4,0,20090730205536,20090809171504,unknown
42,Dreaven3,4,2,20090730131242,20090814073541,unknown
43,217.85.68.131,4,0,20090809170545,20090809170837,unknown
44,ErikDunsing,3,3,20040212064849,20040701155039,unknown
45,Amalaswintha,3,3,20140918084342,20141001135735,unknown
46,Gregorio0,3,1,20060323075937,20060323092637,unknown
47,88.73.91.208,3,0,20061202152351,20061202153454,unknown
48,Jordi,3,3,20071008070900,20071009144529,unknown
49,Quellenrecherche,3,0,20070515072531,20070515073011,unknown
50,MorbZ-Bot,3,3,20130224161310,20130614170935,unknown
51,JamesP,3,3,20150127092708,20170127125437,unknown
52,Bota47,3,3,20051104234644,20070120155104,unknown
53,Hans Urian,3,2,20080925093906,20081201094721,unknown
54,Ralf Roletschek,3,1,20040313152009,20080412130912,unknown
55,Maha,3,0,20040317002451,20040601133841,unknown
56,82.113.121.16,3,0,20081117230611,20081129224742,unknown
57,Octavian,3,1,20040312084742,20040312092033,unknown
58,UKoch,3,3,20180506221502,20180522013807,unknown
59,Oltau,3,0,20090730204758,20090825183306,unknown
60,92.73.250.123,3,0,20090810124541,20090810124807,unknown
61,84.57.205.243,3,0,20061216192134,20061216192427,unknown
62,131.246.80.123,3,0,20050606093611,20050606102039,unknown
63,Hylia,3,0,20090814062448,20090814064536,unknown
64,153.96.89.4,3,0,20040629080120,20080528102652,unknown
65,Kallewirsch,3,1,20170317194829,20170708233310,unknown
66,Luke081515Bot,3,0,20161116220341,20161124215507,unknown
67,194.245.134.130,3,0,20040312132345,20040312132822,unknown
68,217.227.35.172,3,0,20041121143505,20041121143608,unknown
69,Matrixdancer,3,3,20060509140533,20060509144658,unknown
70,195.93.60.70,3,0,20061220203846,20061220215120,unknown
71,77.188.158.173,3,0,20090731190327,20090731190708,unknown
72,RibotBOT,3,3,20100303103916,20120314205151,unknown
73,217.95.136.185,3,0,20041111102720,20041111102827,unknown
74,62.227.107.241,2,0,20080924082909,20080924083210,unknown
75,84.144.225.129,2,0,20090224112820,20090224114201,unknown
76,217.251.142.237,2,0,20060521125401,20060521125755,unknown
77,Bunnyfrosch,2,0,20090730235542,20090731090949,unknown
78,Ulamm,2,0,20080412103403,20080428113505,unknown
79,81.166.3.236,2,0,20050527161014,20050527163215,unknown
80,He3nry,2,2,20060330062011,20090224112858,unknown
81,Alexbot,2,2,20080206091218,20080316232034,unknown
82,Weissbier,2,0,20081130224231,20081130225416,unknown
83,Wst,2,2,20040313104102,20050413185849,unknown
84,Phzh,2,2,20160525150518,20190113112744,unknown
85,Stingray500,2,2,20180502144444,20180502144648,unknown
86,77.84.170.234,2,0,20090606062210,20090606063735,unknown
87,Mandavi,2,1,20060728173127,20061019000925,unknown
88,212.88.181.17,2,0,20040312174440,20040312174612,unknown
89,Dumont,2,0,20040311100557,20040314120057,unknown
90,Gary Siemund,2,0,20040826170002,20040826170104,unknown
91,LKD,2,2,20080424082202,20090122074913,unknown
92,SilvonenBot,2,2,20080903061523,20090217094102,unknown
93,Boaboa~dewiki,2,0,20090813143926,20090813144116,unknown
94,RobertLechner,2,2,20140513190042,20151213135716,unknown
95,88.151.16.21,2,0,20080307170511,20080307170638,unknown
96,95.89.122.223,2,0,20090730141122,20090730141218,unknown
97,C-M,2,2,20061220215907,20080111074341,unknown
98,87.176.44.244,2,0,20070716165432,20070716165826,unknown
99,Arcy,2,0,20071229091210,20090731182102,unknown
100,84.44.158.16,2,0,20050312145043,20050312150352,unknown
101,84.186.84.18,2,0,20061012171613,20061012171633,unknown
102,90.134.76.98,2,0,20080610152955,20080610153126,unknown
103,Ri st,2,2,20060710021210,20061115135434,unknown
104,Ellard38,2,2,20070105120300,20070105151053,unknown
105,80.184.158.72,2,0,20041117195706,20041117195729,unknown
106,Baumfreund-FFM,2,1,20170408211943,20170408215350,unknown
107,BotMultichill,2,2,20070507021828,20070831021922,unknown
108,217.185.85.111,2,0,20040307094429,20040307094537,unknown
109,Pwagenblast,2,2,20141015181158,20141015181932,unknown
110,Joschi90,2,2,20090730201858,20090730202213,unknown
111,84.167.238.125,2,0,20090811091206,20090811170027,unknown
112,Robbot,2,2,20051014223040,20070625133724,unknown
113,194.95.177.124,2,0,20061214132219,20061214132230,unknown
114,88.153.145.190,2,0,20090809165115,20090809165224,unknown
115,87.166.110.110,2,0,20070126091354,20070126091813,unknown
116,85.177.230.194,2,0,20071202214246,20071202214334,unknown
117,80.141.60.31,2,0,20070108000640,20070108000732,unknown
118,84.158.85.156,2,0,20060221095400,20060221095427,unknown
119,217.82.121.112,2,0,20070103184219,20070103184246,unknown
120,Ibohnet,2,2,20170408174415,20170408174509,unknown
121,213.103.82.188,2,0,20050525130044,20050525130347,unknown
122,212.117.96.146,2,0,20051114143547,20051114143616,unknown
123,Chigliak,2,2,20060325232254,20060325232359,unknown
124,Semper,2,2,20070716165532,20070716165852,unknown
125,Markscheider,2,0,20161106130953,20190108201845,unknown
126,62.47.61.47,2,0,20050313163345,20050313165522,unknown
127,80.136.76.60,2,0,20070115124942,20070115125041,unknown
128,Friederb,2,2,20130724203114,20130724203919,unknown
129,80.58.192.197,2,0,20050815195159,20050815195534,unknown
130,JuTa,2,2,20090228110245,20090301113506,unknown
131,Ulz,2,2,20060604212529,20081119105718,unknown
132,Tohma,2,0,20130105205925,20150131172245,unknown
133,Gorigori,2,0,20140311175338,20140413144354,unknown
134,Bilbotarra~dewiki,2,0,20080306233658,20080306233846,unknown
135,91.14.117.1,2,0,20081119104759,20081119104919,unknown
136,Tsor,2,1,20090616120820,20150207133458,unknown
137,Elch33,2,1,20060816204051,20060816204315,unknown
138,212.40.5.172,2,0,20041130200342,20041130200751,unknown
139,FordPrefect42,2,0,20070103184517,20070106191632,unknown
140,Helium4,2,0,20140720135218,20180402105528,unknown
141,80.90.40.128,2,0,20061230094814,20061230094850,unknown
142,Escla,2,2,20120205190629,20120205190703,unknown
143,ArthurBot,2,2,20081125141939,20090309012918,unknown
144,Bernhard Wallisch,2,2,20090809162556,20090809165005,unknown
145,SashatoBot,2,2,20070117220709,20070212184047,unknown
146,SaschaTeske,2,2,20130725151536,20130725153955,unknown
147,217.231.49.223,2,0,20040313103354,20040313103414,unknown
148,Ulrich Tausend,2,1,20041219112841,20041219115548,unknown
149,Avatar,2,2,20060308131925,20060308132133,unknown
150,Emkaer,2,0,20100905131445,20100905131604,unknown
151,Jbergner,2,1,20130624083318,20130703034508,unknown
152,84.157.234.58,2,0,20070513164408,20070513164545,unknown
153,Zwobot,2,2,20040310194147,20040422190048,unknown
154,213.39.183.185,2,0,20070815164455,20070815164514,unknown
155,91.113.6.193,2,0,20081208231451,20081208231544,unknown
156,87.123.198.207,2,0,20081119105552,20081119105639,unknown
157,Magicnoted,2,1,20071017152745,20071020105834,unknown
158,80.133.57.52,2,0,20041204192912,20041204194533,unknown
159,194.109.227.201,1,0,20060114114736,20060114114736,unknown
160,217.255.165.80,1,0,20061230225054,20061230225054,unknown
161,RedBot,1,1,20090814170910,20090814170910,unknown
162,Trickstar,1,0,20070430114738,20070430114738,unknown
163,Mauerquadrant,1,0,20130103212302,20130103212302,unknown
164,194.94.224.254,1,0,20070824154057,20070824154057,unknown
165,80.131.152.86,1,0,20040811220419,20040811220419,unknown
166,Itti,1,1,20080814211531,20080814211531,unknown
167,Harry O'Reilly,1,1,20180503171531,20180503171531,unknown
168,YurikBot,1,1,20051130162102,20051130162102,unknown
169,Fossa,1,0,20090112174918,20090112174918,unknown
170,62.47.185.90,1,0,20090730174214,20090730174214,unknown
171,80.145.15.199,1,0,20061230100433,20061230100433,unknown
172,79.219.233.211,1,0,20090810210505,20090810210505,unknown
173,195.145.211.193,1,0,20090810045101,20090810045101,unknown
174,85.124.106.39,1,0,20070314185639,20070314185639,unknown
175,80.141.46.233,1,0,20031206225613,20031206225613,unknown
176,Marcl1984,1,0,20070725155420,20070725155420,unknown
177,Oledd,1,1,20140114183213,20140114183213,unknown
178,61.186.112.36,1,0,20040321170032,20040321170032,unknown
179,TaxonBot,1,1,20161215213657,20161215213657,unknown
180,193.170.42.101,1,0,20050407100217,20050407100217,unknown
181,Martin-vogel,1,1,20050929123236,20050929123236,unknown
182,84.141.220.113,1,0,20090725172348,20090725172348,unknown
183,Neilarmstrong69,1,0,20090809164331,20090809164331,unknown
184,Markus.Michalczyk,1,1,20110322000219,20110322000219,unknown
185,89.56.21.100,1,0,20070703112539,20070703112539,unknown
186,Ute Erb,1,1,20130817083822,20130817083822,unknown
187,84.176.137.142,1,0,20071109210341,20071109210341,unknown
188,ChrisM,1,1,20041226090713,20041226090713,unknown
189,Bogdan Museal,1,1,20080613061506,20080613061506,unknown
190,78.53.97.164,1,0,20081118192426,20081118192426,unknown
191,80.136.151.33,1,0,20060312101523,20060312101523,unknown
192,217.93.207.152,1,0,20090801205827,20090801205827,unknown
193,84.128.2.1,1,0,20070107140243,20070107140243,unknown
194,Kent,1,0,20100906011551,20100906011551,unknown
195,213.122.46.66,1,0,20070605232350,20070605232350,unknown
196,Radiojunkie,1,1,20151230102702,20151230102702,unknown
197,83.194.74.208,1,0,20041122173955,20041122173955,unknown
198,Kauziger,1,1,20171006174203,20171006174203,unknown
199,84.176.59.48,1,0,20050803073305,20050803073305,unknown
200,CarsracBot,1,1,20081021074925,20081021074925,unknown
201,84.73.158.173,1,0,20060216155609,20060216155609,unknown
202,85.182.54.84,1,0,20090308103636,20090308103636,unknown
203,Vinci,1,1,20060621093252,20060621093252,unknown
204,84.57.177.15,1,0,20090731085914,20090731085914,unknown
205,Ar-ras,1,0,20070102234919,20070102234919,unknown
206,Dinamik-bot,1,1,20091212131242,20091212131242,unknown
207,84.166.201.213,1,0,20070902134028,20070902134028,unknown
208,Schlurcher,1,1,20050601094926,20050601094926,unknown
209,Formatierer,1,1,20181009081248,20181009081248,unknown
210,Fullhouse,1,0,20051226230658,20051226230658,unknown
211,91.32.127.226,1,0,20090123142937,20090123142937,unknown
212,193.170.222.30,1,0,20060510061809,20060510061809,unknown
213,78.94.110.131,1,0,20090730214953,20090730214953,unknown
214,217.233.191.164,1,0,20061230143326,20061230143326,unknown
215,83.189.63.155,1,0,20070327190013,20070327190013,unknown
216,CennoxX,1,1,20121010233626,20121010233626,unknown
217,212.23.126.5,1,0,20070817214944,20070817214944,unknown
218,62.46.153.32,1,0,20040601123127,20040601123127,unknown
219,JanManu,1,0,20170317143857,20170317143857,unknown
220,Xariegu~dewiki,1,0,20050525081610,20050525081610,unknown
221,Fjalnes,1,1,20180503082831,20180503082831,unknown
222,80.108.111.133,1,0,20060325231543,20060325231543,unknown
223,91.65.100.237,1,0,20090809170944,20090809170944,unknown
224,K.J.Bot~dewiki,1,1,20070217084205,20070217084205,unknown
225,CedricBLN,1,0,20110927113609,20110927113609,unknown
226,H00t4h,1,1,20131005071623,20131005071623,unknown
227,80.185.28.246,1,0,20040315214819,20040315214819,unknown
