,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Boris Fernbacher,106,20,20070730112814,20071120072634,unknown
1,3mnaPashkan,100,1,20110511152355,20190109183721,unknown
2,Benatrevqre,76,24,20090914023201,20150708164235,unknown
3,Ulitz,75,22,20060317215811,20150526115513,unknown
4,Phi,55,17,20050504144131,20190109065537,unknown
5,Hardenacke,50,42,20061111180556,20190202181312,unknown
6,Jesusfreund,39,8,20080112185151,20100930081718,unknown
7,Phantom,25,13,20060629111431,20080112194924,unknown
8,Redzac,22,1,20050614164127,20060323181239,unknown
9,Negerfreund,20,2,20060101112229,20070130223111,unknown
10,Dr. Manuel,18,1,20050426215409,20150416092509,unknown
11,Herr Andrax,17,6,20050103173950,20070730073104,unknown
12,Almeida,15,10,20060616081355,20090223195416,unknown
13,Braganza,14,1,20150526054319,20150629124320,unknown
14,König Rhampsinitos,14,0,20061025011041,20070314154547,unknown
15,Zwobot,14,14,20031207171203,20080110175238,unknown
16,Arcy,14,0,20100515190616,20100911140731,unknown
17,Gustav von Aschenbach,13,9,20071118000039,20150918141405,unknown
18,Southpark,13,12,20040216135951,20050420192034,unknown
19,Hernani,13,2,20040613213052,20040613223215,unknown
20,Rita2008,13,1,20060426202048,20150527164142,unknown
21,Aka,12,12,20050311161546,20161027205152,unknown
22,Schwarze Feder,12,2,20150223132101,20150629174253,unknown
23,Emes,11,7,20041203152438,20150703184230,unknown
24,212.82.236.150,10,0,20050421163323,20050427181616,unknown
25,Neozoen,10,0,20161107220822,20171129023011,unknown
26,Seewolf,10,9,20060427161540,20090224224504,unknown
27,Alex1011,10,3,20050805080847,20070115111349,unknown
28,84.60.196.156,10,0,20060115001524,20060115005542,unknown
29,Skriptor,10,9,20040317085132,20040406190754,unknown
30,Giro,9,6,20070226211846,20070226233406,unknown
31,Anton-Josef,9,9,20060718101505,20090302103455,unknown
32,Captain-C,9,4,20040317084054,20041027071552,unknown
33,Zumbo,8,2,20040401195918,20040825151521,unknown
34,Hubertl,8,6,20060228215356,20090209120441,unknown
35,Dellica,8,3,20100910131327,20110416143748,unknown
36,Senior Coconut,8,0,20090604060328,20090717182011,unknown
37,Stoerte,8,4,20050227172733,20050305192502,unknown
38,Edoe,8,3,20091107154732,20091107162952,unknown
39,212.82.249.11,7,0,20040406182259,20040406190044,unknown
40,Stefan Kühn,7,6,20030815155707,20040307151121,unknown
41,FlaBot,7,7,20041128170526,20060110035306,unknown
42,Bujo,7,0,20151029132313,20160909205042,unknown
43,GS,7,3,20050511152454,20050616114003,unknown
44,Wst,6,5,20020830102812,20040917135833,unknown
45,David Ludwig,6,3,20060115002759,20060430171931,unknown
46,80.120.103.142,6,0,20071105130840,20071105131246,unknown
47,Darina,6,4,20050711073839,20081025111934,unknown
48,Nightdiver,6,0,20110526092237,20181004144938,unknown
49,T.M.L.-KuTV,6,5,20081011135631,20090313015602,unknown
50,80.150.3.156,6,0,20051206103144,20051206104808,unknown
51,Fossa,6,0,20060525145749,20070919181247,unknown
52,Flohrich,6,2,20060915111818,20061202110005,unknown
53,151.28.186.79,6,0,20050401112739,20050401120710,unknown
54,Wolley,6,0,20050511114304,20050524081340,unknown
55,RobotQuistnix,6,6,20051209002208,20060821032758,unknown
56,Amurtiger,6,1,20090913191025,20090914174412,unknown
57,Numbo3-bot,5,5,20080527141622,20090919044412,unknown
58,84.176.21.252,5,0,20060130204319,20060130204600,unknown
59,Mps,5,4,20050107034012,20120629142507,unknown
60,SkotFederal,5,0,20120326102705,20120327101818,unknown
61,DerHexer,5,5,20060427184321,20080704084751,unknown
62,Agp,5,4,20080808150422,20090103163429,unknown
63,Ambo35,5,2,20140702004239,20180210015232,unknown
64,D,5,4,20050421164645,20071101132222,unknown
65,VolkovBot,5,5,20080406222357,20120605190628,unknown
66,212.201.79.3,5,0,20061209234630,20061209235858,unknown
67,BLueFiSH.as,5,2,20050321074739,20050615165824,unknown
68,80.141.39.113,5,0,20060426185821,20060426191145,unknown
69,84.129.200.140,5,0,20060228205015,20060228211528,unknown
