,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Marcus Cyron,28,24,20070204214738,20150225120945,unknown
1,Janjonas,21,17,20140202184258,20180210182904,unknown
2,Miebner,13,0,20110130170329,20160214201507,unknown
3,Az13student,11,3,20150122152755,20150318231234,unknown
4,Kauk0r,10,2,20120122163349,20140105143240,unknown
5,JS8,9,1,20180114140444,20190224125609,unknown
6,César,5,1,20130113104030,20180211133522,unknown
7,Wikijunkie,5,2,20091113185834,20100218203909,unknown
8,217.247.161.131,4,0,20150215111958,20150215125725,unknown
9,Husky22,4,0,20190127131727,20190302230533,unknown
10,82.82.89.31,3,0,20100215011441,20100215011554,unknown
11,Andreasahn,3,1,20131218113900,20150124144525,unknown
12,DCB,3,1,20180130182120,20180723112939,unknown
13,Enzian44,3,2,20140209200552,20140209202427,unknown
14,88.77.187.29,3,0,20100321164042,20100321174133,unknown
15,Xxlfussel,3,0,20150122161421,20180318221056,unknown
16,Yoda1893,3,1,20100215004935,20140213170806,unknown
17,Hegeba,3,2,20070327074419,20100812164256,unknown
18,Luckas-bot,2,2,20100216115707,20100226203031,unknown
19,NCC1291,2,1,20080122091910,20090608073257,unknown
20,Goldener-fighter,2,2,20140207140916,20140207184256,unknown
21,79.228.86.109,2,0,20150301135419,20150301135513,unknown
22,Nixx,2,0,20070505132614,20070615125045,unknown
23,Zorrobot,2,2,20100207143728,20100216175019,unknown
24,62.28.175.186,2,0,20140408174826,20140410164749,unknown
25,ExIP,2,1,20110313120659,20110313120826,unknown
26,Joni-Wolli,2,0,20090726175736,20090726182332,unknown
27,87.170.36.103,2,0,20140711083126,20140711083503,unknown
28,SkiFreak99,2,0,20171119142217,20180130010255,unknown
29,2003:4C:6F30:9C1F:8DA0:4789:86A1:A89E,2,0,20160129152737,20160129152815,unknown
30,Sir James,2,1,20100215075246,20100215075333,unknown
31,Rolf acker,2,1,20121005111648,20121216212907,unknown
32,TXiKiBoT,2,2,20100214151706,20100215214508,unknown
33,Hvd69,2,2,20140120094728,20140120095732,unknown
34,Sportsman99,2,0,20190125153204,20190125154908,unknown
35,DerHexer,2,0,20150219231431,20150219231646,unknown
36,92.227.200.126,2,0,20080126151110,20080126151157,unknown
37,77.0.130.78,2,0,20140309162311,20140309162611,unknown
