,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Slowmover310,105,46,20080521111516,20181007185954,unknown
1,Mrfreddysmith,62,16,20100307190546,20151116092903,unknown
2,Mietschlossherr,40,14,20090305160631,20130525074446,unknown
3,Uli Elch,26,9,20150610201712,20190201173816,unknown
4,Filterkaffee,22,11,20140120111744,20160416115434,unknown
5,Catorom,16,2,20170216140505,20190207085338,unknown
6,Aka,14,14,20060429094857,20180618103953,unknown
7,Dick Tracy,10,2,20050105200918,20060430080208,unknown
8,Wikifantexter,9,4,20071114030624,20090808160127,unknown
9,Oliver Ebbe Sørenson,9,8,20171215125521,20171216121433,unknown
10,VC10,8,6,20180226105249,20190103102350,unknown
11,Times,7,0,20090123104438,20110113114518,unknown
12,D-AIRS,6,3,20080313062524,20080313070037,unknown
13,91.221.59.5,6,0,20111122063344,20120208094035,unknown
14,Markutsch,6,0,20080303131440,20080628170927,unknown
15,Juhuu!,6,0,20100614212813,20100616200505,unknown
16,Albspotter,5,2,20110401101230,20140617145831,unknown
17,NEXT903125,5,1,20100620151107,20100620151745,unknown
18,CWeitzer,4,4,20140930105900,20140930153042,unknown
19,178.9.17.111,4,0,20110923192016,20110923203141,unknown
20,77.179.216.253,4,0,20170407233540,20170407234300,unknown
21,Skyman gozilla,4,4,20070711134113,20090809162914,unknown
22,84.137.208.236,4,0,20060915103105,20060915103335,unknown
23,193.24.32.54,4,0,20111205165856,20111205170135,unknown
24,Wo st 01,4,3,20100614172900,20111121192508,unknown
25,Florian Adler,4,4,20050905201856,20080517141917,unknown
26,Smartyo,4,4,20090617203833,20101024085242,unknown
27,Tirelietirelei,3,1,20110531120539,20110531162052,unknown
28,Ron63,3,1,20110327125342,20110401105102,unknown
29,Matt1971,3,1,20050517071123,20130725203026,unknown
30,FelixFuchs,3,0,20170915170157,20170920084911,unknown
31,Bf110,3,0,20140620132212,20140627203602,unknown
32,77.132.60.3,3,0,20090427120601,20090427120820,unknown
33,LIU,3,1,20050729170808,20110828170617,unknown
34,MB-one,3,3,20070316222836,20080302010408,unknown
35,87.78.206.146,3,0,20100108192553,20100108192910,unknown
36,ZellmerLP,3,0,20171208113158,20180828103415,unknown
37,Leit,3,3,20060530154852,20060530155044,unknown
38,JuergenL,3,2,20060426160820,20070208072503,unknown
39,80.134.10.126,3,0,20051007212702,20051007214145,unknown
40,Frze,3,3,20131001054229,20161220064041,unknown
41,Berg2,3,0,20110426111415,20110928091359,unknown
42,Joeopitz,3,1,20060129052415,20060303225426,unknown
43,The-tester,3,3,20110601085257,20110811221419,unknown
44,HHubi,3,2,20141026122218,20141101100654,unknown
45,Thmsfrst,3,0,20180211091508,20190216183825,unknown
46,92.204.22.112,3,0,20110811135100,20110811135317,unknown
47,87.174.140.172,3,0,20100720094907,20100720100351,unknown
48,Boerneboernesen,3,1,20100114204357,20101021051503,unknown
49,O0TsRVi7,2,2,20170203222650,20170203222936,unknown
50,213.196.225.190,2,0,20050615234441,20050615235131,unknown
51,75.39.37.45,2,0,20131204062800,20131204063159,unknown
52,GodeNehler,2,1,20160620152447,20170204072538,unknown
53,93.204.101.163,2,0,20130716083435,20130716083538,unknown
54,Joschi71,2,2,20171105153429,20181130222543,unknown
55,Cologinux,2,0,20110811140309,20110811144624,unknown
56,Invisigoth67,2,1,20150921140853,20181103200955,unknown
57,80.134.63.116,2,0,20050914185216,20050914190840,unknown
58,84.152.160.75,2,0,20100116201700,20100116201754,unknown
59,77.87.224.99,2,0,20111121101909,20111121102437,unknown
60,Crazy1880,2,0,20130327183057,20131210164244,unknown
61,Lhoppelhase,2,0,20080817153257,20080817153335,unknown
62,91.221.58.5,2,0,20110715061943,20110923084211,unknown
63,Schmendrik881,2,1,20100616171416,20100616192504,unknown
64,Duden-Dödel,2,0,20180904092703,20180904095234,unknown
65,Jonekw13,2,0,20110331140408,20110331140745,unknown
66,Markuja,2,1,20111022171612,20111022184351,unknown
67,172.179.169.233,2,0,20061016184246,20061016184405,unknown
68,84.154.109.238,2,0,20071114141359,20071114143854,unknown
69,HHaeckel,2,0,20130308174102,20130308175133,unknown
70,TheWolf,2,2,20080624232029,20081124205911,unknown
71,213.211.214.118,2,0,20140511083026,20140511154542,unknown
72,Hystrix,2,1,20080315151632,20080324094601,unknown
73,79.229.201.159,2,0,20080619062944,20080619063045,unknown
74,213.211.209.197,2,0,20140620195737,20140620203116,unknown
75,87.79.140.161,2,0,20080323180541,20080323181214,unknown
76,Sjöflygplan,2,0,20160831154249,20160831154520,unknown
77,Studmult,2,0,20100114124549,20100114183118,unknown
78,84.189.54.130,2,0,20110131221627,20110131221736,unknown
79,93.184.128.34,2,0,20130915203746,20130915203845,unknown
80,Bahnmoeller,2,2,20061031195451,20061031195635,unknown
81,153.100.131.96,2,0,20170317170129,20170317170204,unknown
82,79.216.44.31,2,0,20110404110625,20110404110942,unknown
83,Gamma9,2,2,20090111171005,20090305202426,unknown
84,Pobaer,2,0,20181222121735,20190102231222,unknown
85,109.42.1.31,2,0,20181130154854,20181130155538,unknown
86,Trublu,2,0,20060205200048,20060205203337,unknown
87,Bergfalke2,2,2,20110216180707,20111008121127,unknown
88,Florian.Keßler,2,0,20050215184808,20080525121049,unknown
89,80.130.73.121,2,0,20061112013934,20061112014336,unknown
90,Jobu0101,2,2,20130326133435,20150130163724,unknown
91,2003:E2:AF09:1F00:A952:557A:A497:DE66,2,0,20181214071414,20181214071738,unknown
92,77.177.85.122,1,0,20080321093554,20080321093554,unknown
93,InternetArchiveBot,1,0,20180828005832,20180828005832,unknown
94,193.24.34.77,1,0,20090324100627,20090324100627,unknown
95,Crocidura,1,0,20100331122910,20100331122910,unknown
96,Бисмарк,1,0,20110330194138,20110330194138,unknown
97,77.87.228.68,1,0,20111121145135,20111121145135,unknown
98,Gamsbart,1,1,20070228081114,20070228081114,unknown
99,84.128.208.21,1,0,20080301132311,20080301132311,unknown
100,EM311,1,1,20180213120704,20180213120704,unknown
101,134.99.18.38,1,0,20090120184204,20090120184204,unknown
102,Verzettelung,1,0,20190303194000,20190303194000,unknown
103,92.204.8.69,1,0,20100107223435,20100107223435,unknown
104,80.156.44.178,1,0,20110113114028,20110113114028,unknown
105,87.78.54.97,1,0,20111016104546,20111016104546,unknown
106,RosarioVanTulpe,1,0,20061001175745,20061001175745,unknown
107,Erdbeerquetscher,1,1,20080912110531,20080912110531,unknown
108,Victor Schmidt,1,1,20181222122004,20181222122004,unknown
109,Eriosw,1,1,20091013070042,20091013070042,unknown
110,Syced,1,0,20101011114136,20101011114136,unknown
111,Sitacuisses,1,1,20121026151835,20121026151835,unknown
112,217.224.250.51,1,0,20060513115710,20060513115710,unknown
113,87.168.83.108,1,0,20071011144640,20071011144640,unknown
114,91.221.59.25,1,0,20170703112435,20170703112435,unknown
115,84.57.170.45,1,0,20080622072955,20080622072955,unknown
116,Centenier,1,0,20181130155553,20181130155553,unknown
117,Lumu,1,0,20090716093549,20090716093549,unknown
118,Phzh,1,1,20100723091914,20100723091914,unknown
119,80.153.221.195,1,0,20120430083956,20120430083956,unknown
120,217.224.214.146,1,0,20060426155901,20060426155901,unknown
121,78.94.124.126,1,0,20080329181751,20080329181751,unknown
122,CommonsDelinker,1,0,20181021122511,20181021122511,unknown
123,Elvaube,1,0,20090602172628,20090602172628,unknown
124,79.216.23.103,1,0,20100401120245,20100401120245,unknown
125,UTJan,1,0,20111216082544,20111216082544,unknown
126,217.81.213.147,1,0,20140509152557,20140509152557,unknown
127,217.233.133.88,1,0,20070602234418,20070602234418,unknown
128,STYX69,1,0,20161222155638,20161222155638,unknown
129,TabellenBot,1,1,20180609191236,20180609191236,unknown
130,83.135.38.97,1,0,20090302155059,20090302155059,unknown
131,2.243.222.103,1,0,20130928130135,20130928130135,unknown
132,84.137.76.124,1,0,20061208172658,20061208172658,unknown
133,109.45.3.63,1,0,20160501144036,20160501144036,unknown
134,89.107.161.174,1,0,20071227164117,20071227164117,unknown
135,M2k~dewiki,1,0,20171228224940,20171228224940,unknown
136,Nullbarriere,1,0,20081229005458,20081229005458,unknown
137,Bluemel1,1,0,20190201154446,20190201154446,unknown
138,Atrex,1,1,20091213225725,20091213225725,unknown
139,Sisyph,1,1,20101128214031,20101128214031,unknown
140,TA,1,1,20060829063308,20060829063308,unknown
141,IGEL,1,1,20071030073809,20071030073809,unknown
142,2003:E2:AF09:1F00:4DDE:80D0:B037:7DA6,1,0,20181214152653,20181214152653,unknown
143,Wookie,1,0,20090823170241,20090823170241,unknown
144,Church of emacs,1,0,20101001133025,20101001133025,unknown
