,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Hcdgcz,44,0,20170329175236,20180623113448,unknown
1,Berlin-Jurist,25,13,20051017124544,20090307083610,unknown
2,Schopfheimer,23,22,20170304163416,20180609140559,unknown
3,Rominator,23,6,20130929101509,20131216161316,unknown
4,Fit,22,0,20131106001435,20140110100548,unknown
5,BurghardRichter,22,9,20090408134829,20190213185239,unknown
6,Eresthor,20,3,20070123181023,20070803233324,unknown
7,TMFS,17,5,20051017164916,20080705111232,unknown
8,Aka,17,17,20051129130805,20181226080252,unknown
9,3ecken1elfer,17,0,20060830161143,20070522211817,unknown
10,Stefan64,16,13,20060907002935,20150825133420,unknown
11,Ot,15,9,20071113154738,20181119042258,unknown
12,Rusti,15,0,20080302122020,20081018192709,unknown
13,Sebastianvader,14,13,20070914165856,20170318231550,unknown
14,Natsu Dragoneel,14,13,20140429070422,20180903095541,unknown
15,Talnenna,14,1,20160902085803,20160903104259,unknown
16,Neun-x,13,0,20101028112306,20180609215639,unknown
17,Horst Gräbner,11,8,20121226084844,20180728155246,unknown
18,Sol1,10,5,20070930153427,20131002014630,unknown
19,Fossa,10,1,20070128001053,20090803013728,unknown
20,SamWinchester000,10,1,20130704095559,20170521232130,unknown
21,Alexander Leischner,9,9,20120816063111,20170319080659,unknown
22,Kuebi,9,1,20080114191359,20170107202302,unknown
23,ChrisM,9,8,20051013144710,20051013164846,unknown
24,Trollschreck,8,3,20080928204325,20081017160213,unknown
25,62.206.21.246,8,0,20051013145700,20051013211350,unknown
26,Krude,7,0,20071112185835,20080906194140,unknown
27,Gabel1960,7,1,20160620155235,20160620172611,unknown
28,MAY,7,0,20100914215253,20181023202422,unknown
29,UweBayern,7,1,20090301213604,20090301214628,unknown
30,J budissin,7,4,20170212132255,20180525110933,unknown
31,Steschke,7,2,20081104162631,20090927093752,unknown
32,Spuk968,7,7,20100605210240,20140310081345,unknown
33,Scooter,7,4,20051118130500,20110114184727,unknown
34,Oberbootsmann,7,1,20140301232005,20140304091716,unknown
35,Lena1,6,0,20170221164513,20170302172752,unknown
36,Thomas Schulte im Walde,6,6,20161125125632,20170831195240,unknown
37,Mogelzahn,6,3,20101011165440,20140312212008,unknown
38,84.181.198.224,6,0,20060102111742,20060102112933,unknown
39,Chricho,6,0,20140226002558,20140302213301,unknown
40,Sefo,6,3,20090301011708,20090321134519,unknown
41,Benatrevqre,6,3,20120322133112,20161115144254,unknown
42,Cymothoa exigua,6,6,20090301213729,20170915124803,unknown
43,MartinV,6,6,20170322123420,20181113011853,unknown
44,GrummelMC,6,3,20070120105115,20070625181348,unknown
45,Salazu,6,0,20161024071022,20170128133042,unknown
46,Rmcharb,5,4,20171207222156,20190207232922,unknown
47,KV 28,5,2,20140825160901,20161114112549,unknown
48,C-8,5,3,20090611164646,20090626125046,unknown
49,91.34.36.162,5,0,20140307094626,20140307095126,unknown
50,95.222.29.100,5,0,20150425152940,20150426195357,unknown
51,Viet2001,5,0,20170612185412,20180621104236,unknown
52,Schnöpf,5,3,20160915201835,20170610145255,unknown
53,Diba,5,5,20070420090510,20090601211144,unknown
54,Ilja Lorek,5,5,20170319215309,20170319223637,unknown
55,HSV4life,5,5,20180201125743,20180606202034,unknown
56,JLKiel,5,2,20170213094145,20170319092044,unknown
57,Ute Erb,5,4,20101221200154,20101221201730,unknown
58,Stefan,5,5,20051122160137,20170919173159,unknown
59,Slökmann,5,2,20080512111715,20190112033530,unknown
60,Werner von Basil,5,4,20121228121408,20170922062639,unknown
61,Xeon~dewiki,5,3,20070102005547,20070102011416,unknown
62,Robocop1,5,4,20060703235610,20060907002728,unknown
63,TheRandomIP,5,0,20160731183308,20180323140303,unknown
64,Leit,5,0,20081217170928,20170322174736,unknown
65,Itti,5,3,20131213171229,20181010072354,unknown
66,Seewolf,5,5,20090624141423,20180918092454,unknown
67,H-stt,5,5,20070924075822,20081022154224,unknown
68,Eike sauer,5,4,20070101150943,20070127133637,unknown
69,Oliver S.Y.,5,0,20071121234934,20090801105124,unknown
70,N.Eschenhagen,5,2,20100824090315,20131217114104,unknown
71,Tönjes,4,2,20070226102202,20070602163049,unknown
72,LucaLangbricht,4,0,20131214144219,20131214144729,unknown
73,217.89.47.74,4,0,20070123115846,20070125081801,unknown
74,Holger1974,4,0,20170127084529,20170128143615,unknown
75,77.154.202.55,4,0,20180728155224,20180728155607,unknown
76,Schlämmer,4,3,20110117140329,20131105133733,unknown
77,César,4,1,20081018150940,20110327215435,unknown
78,Fwh,4,0,20051123005653,20051130234210,unknown
79,Miltrak,4,0,20130314213059,20130913011131,unknown
80,Yoda1893,4,1,20090929154231,20091027143447,unknown
81,95.222.29.209,4,0,20150430162619,20150504035808,unknown
82,Gscheithaferl123,4,0,20140825154727,20140825155556,unknown
83,Siekermann,4,3,20080906184713,20080906185459,unknown
84,87.165.175.219,4,0,20131214002229,20131214090531,unknown
85,Thorbjoern,4,3,20060830071252,20071115090437,unknown
86,Schnabeltassentier,4,1,20160929014921,20181031064243,unknown
87,TUBS,4,0,20071121110549,20090224181314,unknown
88,Hiddenhauser,4,0,20160213163144,20160213164636,unknown
89,Armin P.,4,3,20100220181146,20170227165057,unknown
90,RoBri,4,3,20150517123303,20190225074600,unknown
91,Risk34,4,0,20110513223503,20160325213049,unknown
92,Tmid,4,4,20090520134808,20170701083127,unknown
93,Jordan1976,3,1,20051130090301,20120314091635,unknown
94,217.85.141.170,3,0,20150716080542,20150716084938,unknown
95,Philipp Wetzlar,3,3,20091028213854,20140828170201,unknown
96,217.235.247.58,3,0,20071114142241,20071114142535,unknown
97,Komischn,3,3,20100621193049,20161202115059,unknown
98,Kajsen,3,0,20170514142704,20170514142748,unknown
99,Logograph,3,3,20171123072949,20190131070627,unknown
100,Taxiarchos228,3,2,20070314110245,20080114204549,unknown
101,19Wilhelm18,3,2,20170123173418,20170201221004,unknown
102,JuergenL,3,3,20050130180007,20051219182708,unknown
103,Davour1980,3,0,20071113182234,20071113184658,unknown
104,Ziko,3,0,20080906225421,20100327184552,unknown
105,84.173.121.13,3,0,20070509093557,20070509094316,unknown
106,93.224.100.82,3,0,20170920094917,20170920095412,unknown
107,WikiMax,3,3,20051102070505,20090530095620,unknown
108,Thijs!bot,3,3,20060721044515,20071026184249,unknown
109,80.134.200.101,3,0,20050401221222,20050401221508,unknown
110,Simpsonsfan2,3,0,20090519210122,20131216232237,unknown
111,Tobias1983,3,2,20080614193426,20151213102538,unknown
112,David Wintzer,3,3,20080910130722,20111211110149,unknown
113,Michael Kühntopf,3,0,20090803011013,20090803011413,unknown
114,Jivee Blau,3,3,20100824163241,20150913095426,unknown
115,85.178.249.156,3,0,20071115080143,20071115081117,unknown
116,Mps,3,2,20090219223405,20170126225444,unknown
117,84.169.217.196,3,0,20090703193806,20090704141752,unknown
118,Crisule,3,0,20090929170003,20090929174945,unknown
119,84.134.234.183,3,0,20051014134957,20051014135433,unknown
120,Malabon,3,3,20120311200836,20150101210846,unknown
121,212.87.149.52,3,0,20171107102410,20171107102928,unknown
122,Dirkpetsch,3,0,20071115175036,20090106224027,unknown
123,Eck,3,0,20060804051208,20060804110903,unknown
124,2A02:1206:4585:78B0:C550:583E:23A9:7FF,3,0,20170721141202,20170721141702,unknown
125,Luke081515Bot,3,0,20161119121119,20161210230813,unknown
126,84.131.115.58,3,0,20101216092311,20101216092433,unknown
127,SieBot,3,3,20071210042331,20090516131123,unknown
128,89.204.139.40,3,0,20180513153646,20190218143638,unknown
129,InternetArchiveBot,3,0,20180325111058,20190308213921,unknown
130,Pelz,3,3,20091115213357,20141113212746,unknown
131,Manecke,3,2,20070301190014,20081019142716,unknown
132,83.109.138.1,3,0,20051206191332,20051206191402,unknown
133,Zahnputzbecher,3,3,20171107102536,20181010072649,unknown
134,*SGR*,3,1,20131217101108,20131220230415,unknown
135,87.175.74.1,3,0,20070126104717,20070126124030,unknown
136,217.125.132.240,3,0,20111016091004,20111016091752,unknown
137,Kupferdach59,3,0,20170122144836,20170122145730,unknown
138,Benowar,3,3,20080414084414,20091208184648,unknown
139,84.180.61.58,3,0,20051215062006,20051215062306,unknown
140,Fuchsgesicht,2,0,20090330194300,20090330194501,unknown
141,78.137.40.136,2,0,20150830060409,20150830081936,unknown
142,84.186.180.50,2,0,20100605205746,20100605210221,unknown
143,Eynbein,2,0,20101221101253,20101221135123,unknown
144,Reinhard Kraasch,2,1,20170411221437,20170411221555,unknown
145,Zero Thrust,2,2,20130929132153,20130929203242,unknown
146,Weissenburg,2,1,20090108235219,20090207201932,unknown
147,84.131.141.159,2,0,20140429070402,20140429070526,unknown
148,Xyqawe,2,0,20090321134340,20090321134636,unknown
149,Virtualiter,2,1,20120119154828,20131217142119,unknown
150,ManfredFX,2,0,20170204130626,20170204130800,unknown
151,85.178.196.137,2,0,20080708203704,20080708204400,unknown
152,93.104.187.156,2,0,20130809220131,20130809220154,unknown
153,217.244.7.220,2,0,20060202131830,20060202131848,unknown
154,Nockel12,2,2,20060815152510,20070204162459,unknown
155,91.64.179.130,2,0,20081215193915,20081215194147,unknown
156,139.18.76.158,2,0,20070830124707,20070830125357,unknown
157,217.6.76.18,2,0,20051013064059,20051013064139,unknown
158,Excolis,2,1,20130630203826,20161115120001,unknown
159,84.173.122.93,2,0,20051221214435,20051221214509,unknown
160,Heinte,2,2,20060717204118,20120421193814,unknown
161,Tafkas,2,1,20070622195104,20071115185939,unknown
162,FinnlandFreund,2,0,20180103214100,20180924115132,unknown
163,Grey Geezer,2,0,20131106150933,20131106151015,unknown
164,DerHexer,2,1,20090704141851,20140922191612,unknown
165,Radschläger,2,2,20090216200011,20100130140631,unknown
166,84.173.219.138,2,0,20070217124434,20070217125716,unknown
167,Made in Yugoslavia,2,1,20151029194904,20151029194943,unknown
168,Franz Wikinews,2,1,20080907121302,20080907121437,unknown
169,Wiki Gh!,2,2,20130930211031,20130930211129,unknown
170,85.178.230.197,2,0,20090624130419,20090624141404,unknown
171,212.8.193.40,2,0,20150820142335,20150820142403,unknown
