,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Antaios,1061,433,20050125211727,20080925173911,unknown
1,Liberexim,55,12,20070924203145,20081121073755,unknown
2,JGalt,52,14,20060107223056,20070914182936,unknown
3,Kratzbaum,51,17,20090113073849,20190305140818,unknown
4,Clari,37,6,20071220144132,20080809080309,unknown
5,Anima,36,14,20060904205534,20071030004615,unknown
6,Chigliak,27,24,20050528073954,20071012112723,unknown
7,Earlofoxford,23,2,20080622103434,20100328140833,unknown
8,Woi,20,19,20050916072137,20050916100658,unknown
9,Sukarnobhumibol,15,2,20100322020512,20100330054645,unknown
10,Rick Blaine,14,7,20090403154201,20090406092213,unknown
11,Ahmadi,13,2,20060627105441,20060714130217,unknown
12,193.179.25.34,13,0,20050604163758,20050606163156,unknown
13,84.176.168.131,13,0,20050529073530,20050529094803,unknown
14,Guille~dewiki,12,2,20071225114336,20071225151054,unknown
15,Dontworry,12,10,20071011125027,20071013163603,unknown
16,84.176.158.72,11,0,20050511193605,20050511202844,unknown
17,62.40.88.102,9,0,20050711185304,20050711194523,unknown
18,134.96.65.123,8,0,20051120180047,20051120185417,unknown
19,Peter Putzer,8,5,20090223094413,20100426115407,unknown
20,84.176.149.121,8,0,20050529145438,20050529171456,unknown
21,Vrumfondel,7,7,20060730145729,20060730180311,unknown
22,Sneecs,7,6,20090221233046,20090223084917,unknown
23,82.198.45.5,7,0,20080725143908,20080727213217,unknown
24,84.176.176.210,7,0,20050612072805,20050612085744,unknown
25,Otberg,7,1,20090310083508,20171114133651,unknown
26,Pequeñita,7,7,20050201195955,20050515173716,unknown
27,132.231.54.1,7,0,20070410120120,20070410125626,unknown
28,Boris Fernbacher,6,0,20060825202005,20060827072716,unknown
29,84.176.136.36,6,0,20050424171953,20050424183527,unknown
30,134.76.6.146,6,0,20070815144656,20070815151347,unknown
31,Boshomi,6,3,20141022214754,20170202172835,unknown
32,84.176.169.164,6,0,20060105122653,20060105124402,unknown
33,49.145.27.138,6,0,20131022045815,20131022050950,unknown
34,Florian Blaschke,6,6,20131202002820,20131202012842,unknown
35,Ibohnet,6,6,20130721070845,20140718174856,unknown
36,84.176.143.177,6,0,20050527224027,20050527230928,unknown
37,80.108.19.63,5,0,20040301213619,20040301214848,unknown
38,84.176.175.205,5,0,20050528163035,20050528171135,unknown
39,77.11.61.236,5,0,20110826173200,20110826173905,unknown
40,CommonsDelinker,5,4,20070430062309,20151017004238,unknown
41,Koppchen,5,1,20120805142732,20170918184522,unknown
42,Aka,5,5,20060703203049,20180630201512,unknown
43,84.176.147.127,5,0,20050626083950,20050626085557,unknown
44,62.214.234.193,5,0,20050515112603,20050515140951,unknown
45,84.176.128.201,5,0,20050525055025,20050525061607,unknown
46,Noresoft,5,5,20161009082327,20161009084229,unknown
47,Carol.Christiansen,4,4,20131022050030,20131022050958,unknown
48,Baikonur,4,4,20050424082439,20050505162204,unknown
49,Araneta,4,0,20071226131158,20071230185557,unknown
50,84.58.195.166,4,0,20050905115529,20050905121218,unknown
51,3mnaPashkan,4,0,20141022183858,20181231214926,unknown
52,Soizic,4,0,20151224095942,20151225214324,unknown
53,84.176.128.191,4,0,20050529211856,20050529215614,unknown
54,84.176.141.116,4,0,20050611185028,20050611190141,unknown
55,MARK,4,4,20090404164641,20090404165028,unknown
56,Jordi,4,0,20150614095026,20150614102933,unknown
57,Kollektivwesen,4,1,20120914100627,20120921140251,unknown
58,193.31.178.138,4,0,20050418092233,20050419072336,unknown
