,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Hardenacke,41,29,20060319151334,20170306155901,unknown
1,Qualiabavariae,35,1,20120313175958,20141206163934,unknown
2,GiordanoBruno,34,11,20130724130116,20190113183402,unknown
3,Spacecaptain,33,5,20040701125651,20041119074942,unknown
4,TMFS,31,10,20031107012254,20070806153052,unknown
5,Voyager1500,29,7,20140207150212,20150915191722,unknown
6,Phi,25,2,20111219173036,20190213161101,unknown
7,Mogelzahn,25,10,20040725181614,20130305143419,unknown
8,Sir,22,14,20050601134832,20070810193235,unknown
9,HorstA,22,3,20080823191326,20080828212613,unknown
10,Feliks,22,0,20051229183645,20150826075511,unknown
11,Polentario,21,11,20080724205311,20100325000231,unknown
12,Pittigrilli,19,2,20090117135450,20121222172105,unknown
13,Nikolaus27,17,0,20110422130250,20121022104525,unknown
14,H-stt,17,1,20120627172041,20190213135152,unknown
15,Neun-x,15,3,20121220092734,20150923213159,unknown
16,Bvo66,14,11,20090621224229,20130612191445,unknown
17,Nixx,13,2,20080323174556,20090813192012,unknown
18,Bene16,12,9,20071129112638,20100930063551,unknown
19,Karl.schwab,12,4,20160227194553,20160302122154,unknown
20,Schnuter,12,1,20060925143458,20061005100058,unknown
21,Margaux,11,5,20110318160939,20110603175150,unknown
22,Konrad Lackerbeck,10,3,20070820133112,20080523214632,unknown
23,Achates,10,4,20061116061146,20090111160712,unknown
24,Alexander.stohr,10,2,20041023163347,20051022094010,unknown
25,129.187.244.28,10,0,20041115093403,20090520095926,unknown
26,Flo Sorg,9,1,20070104115350,20120320210835,unknown
27,217.194.34.103,9,0,20070328174436,20070328183557,unknown
28,207.218.155.226,9,0,20040705102941,20040722111620,unknown
29,Maximilian Schönherr,9,1,20111124090436,20141206215934,unknown
30,Benatrevqre,8,0,20180725102639,20180727104019,unknown
31,Times,8,5,20081009230638,20110613195011,unknown
32,WikiMax,8,5,20060320131102,20190101160031,unknown
33,Aka,8,8,20060524161725,20190101140106,unknown
34,Lämpel,8,1,20170104105415,20171017162650,unknown
35,Anti.,8,0,20130110080053,20170819123335,unknown
36,89.54.116.63,8,0,20090914085516,20090914200803,unknown
37,2.246.128.112,7,0,20150728040157,20150728140707,unknown
38,Stefan Kühn,7,5,20030207135618,20030824172224,unknown
39,Zwobot,7,7,20040105174840,20050724043552,unknown
40,Güwy,7,5,20151229202242,20171105104409,unknown
41,Jón,7,7,20070911160546,20100605082406,unknown
42,Buchbibliothek,7,4,20130612191228,20180922185759,unknown
43,MAY,7,0,20090319233221,20120307114651,unknown
44,Enemenemu,7,3,20091101195728,20101216225529,unknown
45,Str1977,7,0,20071001135103,20081103192129,unknown
46,Kängurutatze,7,2,20071111181200,20160912122653,unknown
47,Atomiccocktail,6,0,20090821154300,20090821213240,unknown
48,Sebbot,6,3,20060909141859,20150703132136,unknown
49,Über-Blick,6,0,20131028155917,20170721091832,unknown
50,Polemos,6,4,20090910074417,20121022210146,unknown
51,Stefan64,6,2,20060706090328,20081010102823,unknown
52,217.234.88.148,6,0,20070822224949,20070822233143,unknown
53,Chrigo,6,5,20051002073828,20051029164526,unknown
54,2.246.135.141,6,0,20150730090100,20150730172857,unknown
55,Horst Gräbner,6,4,20121107133321,20170501133029,unknown
56,Hoheit,6,3,20050326164320,20051102123417,unknown
57,Triebtäter,6,0,20040529163006,20090106120258,unknown
58,Cardhu,6,5,20050715115725,20060802153246,unknown
59,Aspiriniks,5,4,20091225144926,20130104211522,unknown
60,Kh80,5,4,20061207193350,20161008053500,unknown
61,Reinhard Kraasch,5,5,20030927003838,20031215152559,unknown
62,Boonekamp,5,5,20181231165840,20190102093033,unknown
63,Nassauer27,5,5,20161017150524,20161017152456,unknown
64,ⵁ,5,3,20171122081318,20171122081845,unknown
65,84.146.93.38,5,0,20070810152156,20070810153329,unknown
66,Frantisek,5,1,20050325182733,20050428212444,unknown
67,Snahlemmuh,5,2,20081005151153,20120115221952,unknown
68,Schotterebene,5,2,20151117054634,20180209200947,unknown
69,Martin67,5,1,20060802100034,20181106124337,unknown
70,Waelder,5,5,20040127190926,20040224142218,unknown
71,Bin im Garten,5,3,20110603174156,20110613125658,unknown
72,Der Naturfreund,5,0,20140908164901,20140908181223,unknown
73,Aidepikiw-nick,5,4,20180723204905,20190302220610,unknown
74,Zipfelheiner,5,5,20080930073219,20080930074940,unknown
75,Datenspecht,5,0,20120130191055,20120228105912,unknown
76,1.09,4,2,20060317090956,20060317120349,unknown
77,Björk-2,4,1,20181228222238,20181228235513,unknown
78,Florica,4,3,20050716055605,20050726054231,unknown
79,84.167.183.58,4,0,20110310105656,20110310215238,unknown
80,08-15,4,4,20060412213406,20071030211841,unknown
81,Informationswiedergutmachung,4,3,20160317124927,20180804090628,unknown
82,My name,4,3,20070125182512,20080427163103,unknown
83,Fit,4,0,20171130135711,20171130141949,unknown
84,Merkið,4,1,20140921152734,20141009223153,unknown
85,Puddelding,4,1,20151117010255,20151117101827,unknown
86,Nhzzs,4,0,20090823145945,20090823214603,unknown
87,Malabon,4,4,20120116210345,20160208202816,unknown
88,Hypnothalamus,4,4,20160907200514,20160907202722,unknown
89,Tönjes,4,4,20070328183630,20070328191515,unknown
90,Nemissimo,4,0,20071031154316,20100126210515,unknown
91,Ot,4,4,20100123070255,20101115051233,unknown
92,WernerE,4,0,20060509113202,20060531075055,unknown
93,89.54.116.174,4,0,20090913152015,20090913201527,unknown
94,Anton-Josef,4,4,20060904124624,20071221163502,unknown
95,84.144.92.82,4,0,20070224020629,20070224021132,unknown
96,Jordi,4,3,20070921091021,20180609163408,unknown
97,195.229.236.215,4,0,20070328191135,20070328191456,unknown
98,217.184.115.214,4,0,20060219103538,20060219104823,unknown
99,Ilja Lorek,4,2,20030716111448,20150906072341,unknown
100,Der Chronist,4,2,20051120225050,20060116135532,unknown
101,Carbidfischer,4,4,20051025143259,20180310173525,unknown
102,Thylacin,3,0,20171127095208,20171127101455,unknown
103,84.63.99.108,3,0,20060129032724,20060129034013,unknown
104,Doppelback,3,0,20150823072424,20150823230601,unknown
105,Anathema,3,3,20040921084535,20041220092118,unknown
106,MachtaUnix,3,0,20130112005047,20130112005312,unknown
