,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,47,14,20031117212716,20080313122406,unknown
1,Berlin-Jurist,34,19,20050513103701,20090323141240,unknown
2,Tsui,33,26,20050503191629,20060108172541,unknown
3,Mogelzahn,12,8,20051122140230,20131030165333,unknown
4,Sir,12,2,20050501203547,20051125200854,unknown
5,Rusti,11,0,20080214144222,20081018142918,unknown
6,U-96,10,8,20060916201411,20090507152608,unknown
7,Docmo,10,0,20050507172728,20071128124509,unknown
8,Unscheinbar,10,5,20050903161408,20060123113021,unknown
9,Ot,10,3,20050413170552,20180728055414,unknown
10,Wö-ma,9,0,20071113140918,20071114103729,unknown
11,Fair Use,9,9,20060512014750,20060512020914,unknown
12,Machahn,8,5,20060506211809,20130804114038,unknown
13,Leit,7,4,20081026103457,20091113204959,unknown
14,141.57.94.201,7,0,20091015123007,20091015140530,unknown
15,Zaphiro,7,6,20051104202129,20080908082530,unknown
16,Regi51,7,7,20081111182125,20180523134053,unknown
17,Troice,7,0,20090713095353,20090715145335,unknown
18,62.202.57.141,6,0,20050503151207,20050503200627,unknown
19,Parzi,6,3,20110302100103,20110302121453,unknown
20,Stern,6,2,20040321145946,20050513110332,unknown
21,D,6,6,20050814205905,20051103233235,unknown
22,Sciman,5,0,20090427164953,20150731175827,unknown
23,Allesmüller,5,3,20090320154316,20090928205913,unknown
24,Pelz,5,1,20080517212411,20131106221851,unknown
25,Gustav von Aschenbach,5,1,20081018222340,20091015130140,unknown
26,Taxiarchos228,5,1,20070902170458,20071113201829,unknown
27,Scherben,5,1,20071121181601,20080801094712,unknown
28,131.159.70.10,4,0,20051014100735,20051014110505,unknown
29,GrandpaScott,4,0,20110310152944,20110329112905,unknown
30,Horst Gräbner,4,3,20140125165600,20171226165956,unknown
31,84.59.51.229,4,0,20050519194824,20050519195218,unknown
32,S3r0,4,2,20101130120246,20140125163339,unknown
33,83.77.233.26,4,0,20050507152100,20050507193224,unknown
34,84.191.249.176,4,0,20050822162730,20050822193034,unknown
35,Ad4rkb0rg,4,0,20071113140831,20071113141000,unknown
36,Radschläger,4,4,20081210210546,20081214183026,unknown
37,Dundak,4,4,20050523220624,20060128170341,unknown
38,Christoph Wagener,4,1,20051031144204,20051031144518,unknown
39,62.203.3.226,4,0,20050428165018,20050428223234,unknown
40,83.77.234.231,4,0,20050513072719,20050513110234,unknown
41,Sabata,4,1,20080907124528,20080907175830,unknown
42,217.81.14.232,4,0,20050303080609,20050303081600,unknown
43,84.75.101.79,4,0,20090317202528,20090317203402,unknown
44,Conny,4,1,20040831072207,20041229110341,unknown
45,GGFan,4,0,20140125132842,20140125163832,unknown
46,Lley,4,2,20131022180331,20160920133907,unknown
47,Schlämmer,4,3,20090812163633,20120123211743,unknown
48,Blur4760,4,2,20071113095600,20071113105242,unknown
49,84.191.196.127,4,0,20050814195301,20050814210439,unknown
50,Itti,4,2,20080605191814,20171226110716,unknown
