,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Volkstribun 2.0,10,4,20180627141434,20181219162412,unknown
1,David Wintzer,10,9,20150125152540,20180308161739,unknown
2,Komischn,7,6,20150128101323,20180315151526,unknown
3,RoBri,6,2,20181024061541,20190208203014,unknown
4,Mama Leone,6,3,20180306031503,20180429023536,unknown
5,Robert Weemeyer,5,3,20180314155848,20180314161304,unknown
6,Subamaggus,4,1,20180428202029,20190213162132,unknown
7,Albin Schmitt,4,0,20190208161650,20190213150331,unknown
8,Aka,4,4,20151110181149,20180628074743,unknown
9,Parvolus,4,0,20190209110922,20190211215010,unknown
10,Kurpälzer,4,0,20180626073011,20180627093536,unknown
11,Lokalpolitik,3,0,20150125003522,20150415203250,unknown
12,91.59.104.178,3,0,20190208174520,20190208200612,unknown
13,KL052,3,0,20180310215948,20180311113743,unknown
14,Emmridet,3,3,20150416113154,20160313230747,unknown
15,Caesar Mitis,3,0,20180308084842,20180802102723,unknown
16,Smutsmaker,3,1,20180314124054,20180314153038,unknown
17,Rabanusmaurus,3,1,20150128153142,20150128153426,unknown
18,Horst Gräbner,3,3,20151220224902,20180604122319,unknown
19,92.210.117.175,2,0,20180318175852,20180318184523,unknown
20,Aktenstapel,2,1,20190107175820,20190107180128,unknown
21,SamWinchester000,2,0,20160922213346,20160922215302,unknown
22,MrPesi,2,2,20180314123817,20180314124217,unknown
23,Carolin,2,1,20160228091904,20180428125625,unknown
24,InternetArchiveBot,2,0,20180410175638,20180829095454,unknown
25,Fw wiki00,2,0,20160704132335,20160924081147,unknown
26,Harrobot,2,2,20161210121934,20161211222813,unknown
27,46.5.28.63,2,0,20181024061003,20181024061337,unknown
28,77.87.228.69,2,0,20180416140250,20180416140322,unknown
29,78.94.148.194,2,0,20180518083907,20180604122148,unknown
30,Cyve,2,0,20190208184729,20190208184810,unknown
31,Naukratios,2,0,20190208174420,20190208174615,unknown
32,Freya49,2,0,20180310133928,20180310134020,unknown
33,WeiterWeg,2,0,20150428004514,20190208235703,unknown
34,Nhekln,2,0,20180309122748,20180309173741,unknown
35,Regi51,1,1,20190208200128,20190208200128,unknown
36,APPER,1,0,20150129191423,20150129191423,unknown
37,Wolli-j,1,1,20180308151327,20180308151327,unknown
38,Torsten.Zä,1,1,20180410171406,20180410171406,unknown
39,JFH-52,1,1,20190208144631,20190208144631,unknown
40,Harry8,1,0,20170219215308,20170219215308,unknown
41,Gpermant,1,0,20181120205532,20181120205532,unknown
42,92.201.22.41,1,0,20160415213433,20160415213433,unknown
43,Grindinger,1,0,20180312063404,20180312063404,unknown
44,Kängurutatze,1,0,20151104104516,20151104104516,unknown
45,78.52.21.53,1,0,20180309183018,20180309183018,unknown
46,HeBB,1,1,20190225160059,20190225160059,unknown
47,CamelBot,1,1,20150416062640,20150416062640,unknown
48,Joerg w,1,0,20180309063023,20180309063023,unknown
49,Max-78,1,1,20150125161042,20150125161042,unknown
50,Zuviele Interessen,1,0,20180307204714,20180307204714,unknown
51,Invisigoth67,1,1,20181020215732,20181020215732,unknown
52,Fridolin freudenfett,1,0,20150505122415,20150505122415,unknown
53,Slökmann,1,0,20180309130112,20180309130112,unknown
54,2001:4DD3:A5AB:0:6901:EF97:AA51:FC9D,1,0,20180625085855,20180625085855,unknown
55,Cοlin,1,1,20190208223722,20190208223722,unknown
56,85.179.144.115,1,0,20150303003915,20150303003915,unknown
57,Jcornelius,1,0,20180308161319,20180308161319,unknown
58,Informationswiedergutmachung,1,0,20150125011405,20150125011405,unknown
59,Altsprachenfreund,1,1,20170518210521,20170518210521,unknown
60,77.20.248.214,1,0,20180314222224,20180314222224,unknown
61,Paul Haferstroh,1,1,20181203163842,20181203163842,unknown
62,84.182.58.237,1,0,20180313081557,20180313081557,unknown
63,Complex,1,1,20180309183732,20180309183732,unknown
64,PhJ,1,0,20180705123827,20180705123827,unknown
65,Rademacher2015,1,1,20180309112833,20180309112833,unknown
66,46.5.30.250,1,0,20180509090203,20180509090203,unknown
67,Vogelfreund,1,0,20190208183106,20190208183106,unknown
68,95.90.251.143,1,0,20180322194735,20180322194735,unknown
69,81.209.178.140,1,0,20190208135029,20190208135029,unknown
70,33cln33,1,0,20160324102923,20160324102923,unknown
71,Siesta,1,0,20180311112558,20180311112558,unknown
72,79.235.173.249,1,0,20150910154722,20150910154722,unknown
73,Alstersegler,1,0,20180309163443,20180309163443,unknown
74,Dmicha,1,1,20180625104047,20180625104047,unknown
75,Koerpertraining,1,1,20150311104438,20150311104438,unknown
76,188.103.153.110,1,0,20180308171947,20180308171947,unknown
77,Miebner,1,0,20190208173832,20190208173832,unknown
78,Schnabeltassentier,1,0,20150125125833,20150125125833,unknown
79,Karbohut,1,0,20171107095955,20171107095955,unknown
80,77.187.248.20,1,0,20180315111622,20180315111622,unknown
81,217.246.184.30,1,0,20181204132140,20181204132140,unknown
82,Kathryn Merteuil,1,1,20160809151101,20160809151101,unknown
83,Serols,1,1,20180313081609,20180313081609,unknown
84,2003:7C:8F18:1409:B0F7:D41D:F034:1383,1,0,20151220224653,20151220224653,unknown
85,2003:DB:53EA:2E00:691A:708C:C7A2:E74F,1,0,20180310115347,20180310115347,unknown
86,Deissler,1,0,20180717203510,20180717203510,unknown
87,85.179.144.113,1,0,20150426223832,20150426223832,unknown
88,WikiFreibeuter,1,1,20180309121119,20180309121119,unknown
89,188.96.212.63,1,0,20180308150538,20180308150538,unknown
90,Ephraim33,1,0,20180330115902,20180330115902,unknown
91,91.64.214.239,1,0,20190208144216,20190208144216,unknown
92,HvW,1,1,20161222235455,20161222235455,unknown
