,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AF666,225,3,20050331155401,20150106155527,unknown
1,Mogelzahn,142,89,20040701132959,20160522100102,unknown
2,DerSalamander,126,71,20101130004032,20150628060844,unknown
3,Kochel86,83,11,20090822004153,20181219195503,unknown
4,111Alpha,68,16,20130529022658,20180611233126,unknown
5,Rob75,65,7,20090206132822,20180104164024,unknown
6,Olaf Kosinsky,65,2,20090525003127,20180803143101,unknown
7,Cyve,59,9,20130923214840,20181029035204,unknown
8,N.Eschenhagen,52,23,20080817175401,20161106151750,unknown
9,TheRandomIP,47,7,20170113180310,20181113182539,unknown
10,Kleiner Stampfi,45,16,20111003205806,20180725095532,unknown
11,Robertius,45,8,20040719000632,20100217184221,unknown
12,Morten Haan,42,23,20090214225406,20161207150122,unknown
13,Liberalis,40,21,20050801135438,20051230182905,unknown
14,SchirmerPower,38,16,20130903205351,20140303083910,unknown
15,Felix König,37,17,20080415104728,20150426162928,unknown
16,DE1588,37,2,20131230175232,20171004093100,unknown
17,Gerold Rosenberg,36,0,20150122144110,20170703220323,unknown
18,Aka,30,30,20050417093143,20181023201436,unknown
19,Sava,28,3,20050615134855,20051015154613,unknown
20,80.141.15.79,27,0,20050730223351,20050731005311,unknown
21,Niggo911,26,9,20110525171802,20170528181627,unknown
22,Weiße Rose,26,14,20050531224338,20060526185353,unknown
23,Der-Wir-Ing,24,3,20140901004933,20180528071008,unknown
24,ElTres,21,0,20100111175227,20171202105039,unknown
25,Horst-schlaemma,21,8,20150207112029,20180305120819,unknown
26,Benedikt2008,21,2,20110510140359,20160921071001,unknown
27,Theodar,20,0,20051004204108,20051015152202,unknown
28,Charmrock,19,2,20091024165831,20091025205219,unknown
29,Unscheinbar,19,18,20040902171814,20051121011044,unknown
30,Lettres,18,1,20090703100258,20160529104314,unknown
31,Itti,17,17,20130207085601,20161231172618,unknown
32,Horst Gräbner,17,10,20130126132700,20171221220638,unknown
33,Vinci,17,16,20040701105435,20040710145036,unknown
34,Pittimann,17,17,20101116111125,20170320142148,unknown
35,Gustav von Aschenbach,16,12,20080918124102,20190226114523,unknown
36,Chef,15,10,20040701141807,20051011173631,unknown
37,7Pinguine,15,2,20080905114845,20110412130551,unknown
38,Ziko,15,0,20081027162633,20120326145607,unknown
39,Gsälzbär,15,6,20100130151450,20100402171025,unknown
40,Regi51,14,14,20080702093144,20190301153054,unknown
41,141.53.194.251,14,0,20040718134405,20050204153301,unknown
42,MitMachZentrum,14,1,20130219133356,20130321132345,unknown
43,Eishöhle,14,13,20140924172155,20151224103648,unknown
44,Kevin L.,13,1,20110512144846,20140901175731,unknown
45,Barb,13,7,20050923121016,20051120220811,unknown
46,EH⁴²,13,4,20130105174813,20150106113857,unknown
47,Archiv des Liberalismus,12,4,20141028151749,20181025154816,unknown
48,Zollstock,12,0,20050523070110,20051120220832,unknown
49,Gunilla,12,7,20091024211904,20110322210055,unknown
50,80.141.24.157,12,0,20050730213806,20050730220935,unknown
51,Livani,12,0,20071021224116,20080207100543,unknown
52,Kabob,12,5,20150131005828,20160826212639,unknown
53,Jesusfreund,12,6,20050928221924,20051011210002,unknown
54,Serols,11,11,20140923162310,20190227081324,unknown
