,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,ElTres,74,8,20111214151753,20190122122041,unknown
1,Claus Ableiter,12,1,20121209233609,20130921122134,unknown
2,FrühlingsSonnenBad,9,4,20180903203907,20190112221915,unknown
3,33cln33,8,6,20150517134737,20181023164551,unknown
4,Msuess,8,8,20130423033845,20130926163845,unknown
5,Statefree,8,0,20170720170316,20181024151112,unknown
6,Nere,7,7,20150313223642,20161129212012,unknown
7,ElLobito01,7,7,20120319134148,20131024194718,unknown
8,Wetterwolke,6,4,20140707222536,20180526114957,unknown
9,Felix König,6,4,20111230140308,20130921131510,unknown
10,Wikswat,5,2,20130315163025,20130327170411,unknown
11,Aka,5,5,20130414190253,20181226075938,unknown
12,KastusK,5,0,20181014171507,20190119183200,unknown
13,84.19.211.162,5,0,20150113133117,20150113134054,unknown
14,87.183.154.236,5,0,20170120081800,20170120082136,unknown
15,PeterGuhl,4,0,20121014113718,20130913155829,unknown
16,87.178.13.164,4,0,20180510094952,20180510135853,unknown
17,212.34.79.26,4,0,20130709152050,20130709152534,unknown
18,47.66.237.28,3,0,20130719214729,20130719215757,unknown
19,2.201.1.174,3,0,20140812124046,20140812124412,unknown
20,91.50.240.64,3,0,20160909103824,20160909104220,unknown
21,Lheik,3,0,20140812125245,20140812125411,unknown
22,Philippluebbert,3,2,20181117125227,20190101101503,unknown
23,RoBri,3,2,20170816172722,20170816221414,unknown
24,2003:80:AE3D:BB40:9DCC:D92:A17C:50E2,3,0,20170512145433,20170512175130,unknown
25,MorbZ-Bot,3,3,20130310212052,20130425025735,unknown
26,Eishöhle,3,2,20140312200317,20140601170446,unknown
27,Catholicus,3,0,20130902145258,20140625132237,unknown
28,Diopuld,2,2,20190119061146,20190119061327,unknown
29,77.21.175.82,2,0,20120207123719,20120207123947,unknown
30,89.12.205.176,2,0,20130227012817,20130227023431,unknown
31,4342,2,2,20120921211518,20120921213939,unknown
32,Petruz,2,2,20170515180251,20171005030833,unknown
33,Serols,2,2,20170120081807,20170120082155,unknown
34,Andy king50,2,1,20161005163313,20171116190753,unknown
35,Torwartfehler,2,1,20111220161246,20111220161714,unknown
36,78.51.129.224,2,0,20130901121523,20130901121636,unknown
37,Excolis,2,0,20140616142346,20140616142516,unknown
38,188.108.183.142,2,0,20181223063928,20181223065201,unknown
39,Frank-C. Hansel,2,0,20130216142812,20130216144240,unknown
40,Cheerio~dewiki,2,1,20140115191735,20150319205823,unknown
41,Mattes,2,2,20160611191818,20170308235704,unknown
42,PETe!,2,0,20171123234356,20171123234529,unknown
43,Dandelo,2,1,20121128112531,20170207115812,unknown
44,95.208.93.188,2,0,20130913140708,20130913155638,unknown
45,Nils Freiheit,2,0,20120918102304,20121014120636,unknown
46,192.124.238.235,2,0,20140526150840,20140526154143,unknown
47,Kevin L.,2,0,20130120231716,20170923210941,unknown
48,2003:57:6E86:9301:F59D:7602:F4E1:F306,2,0,20131118112322,20131118112550,unknown
49,78.94.25.198,2,0,20170913063604,20170914095442,unknown
50,2.201.2.67,2,0,20140827135321,20140827135520,unknown
51,Crazy1880,2,0,20151030180819,20151223180831,unknown
52,SamWinchester000,2,0,20161023235555,20180915123405,unknown
53,Itti,2,2,20130709152110,20160415062539,unknown
54,2003:80:AE3D:BBCD:462:9108:FAE2:60D1,2,0,20170514185155,20170514185300,unknown
55,Felix Koenig~dewiki,2,1,20140608160439,20140608160610,unknown
56,Maxaccount,2,2,20130625110457,20130625110829,unknown
57,BuschBohne,1,1,20161027204055,20161027204055,unknown
58,46.5.16.10,1,0,20180525155436,20180525155436,unknown
59,Doc Taxon,1,0,20140302111906,20140302111906,unknown
60,91.63.147.158,1,0,20150405174422,20150405174422,unknown
61,Cartinal,1,1,20160908233644,20160908233644,unknown
62,Slökmann,1,0,20180313085040,20180313085040,unknown
63,Mick149,1,1,20181118141447,20181118141447,unknown
64,SchirmerPower,1,1,20130923015746,20130923015746,unknown
65,94.16.74.222,1,0,20150122193902,20150122193902,unknown
66,Unscheinbar,1,1,20170908210404,20170908210404,unknown
67,2003:E2:B70B:304:24A8:A819:A1AA:A20C,1,0,20181105224027,20181105224027,unknown
68,93.221.77.116,1,0,20160415062531,20160415062531,unknown
69,Tokota,1,1,20181017181030,20181017181030,unknown
70,91.3.66.82,1,0,20120704103120,20120704103120,unknown
71,Geitost,1,1,20130428011220,20130428011220,unknown
72,Connoisseur of politics,1,1,20140616140817,20140616140817,unknown
73,132.75.161.115,1,0,20151128085834,20151128085834,unknown
74,80.187.121.41,1,0,20180910160843,20180910160843,unknown
75,Roaring phoenix,1,0,20190303143834,20190303143834,unknown
76,77.184.139.89,1,0,20120316102418,20120316102418,unknown
77,2A01:198:200:4FD:0:0:0:2,1,0,20140329221154,20140329221154,unknown
78,178.15.195.52,1,0,20151005084423,20151005084423,unknown
79,InternetArchiveBot,1,0,20180410210215,20180410210215,unknown
