,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Msuess,37,22,20130321031427,20130423033343,unknown
1,ElTres,11,2,20110617085222,20130419050749,unknown
2,95.90.115.121,10,0,20181015085117,20181119115356,unknown
3,Maxaccount,7,3,20130625105846,20130918122637,unknown
4,Tokota,6,3,20181018171847,20181018182439,unknown
5,Olaf Kosinsky,5,0,20130808173151,20170417155202,unknown
6,Chaddy,4,3,20120312052428,20140702195850,unknown
7,MorbZ-Bot,4,4,20130324130350,20130809154337,unknown
8,In dubio pro dubio,3,3,20181014210458,20181015194538,unknown
9,Nere,3,3,20150609215041,20171212200828,unknown
10,Wilske,3,1,20130806205310,20140213163111,unknown
11,Nomygon,3,1,20181023141913,20181023144310,unknown
12,88.65.246.15,3,0,20130420160854,20130420162948,unknown
13,Daniel749,2,1,20170829172524,20190110192945,unknown
14,62.159.72.202,2,0,20181204135856,20181204141438,unknown
15,Bernardoni,2,1,20111212003411,20111222001719,unknown
16,Jaellee,2,2,20160510210049,20180414195321,unknown
17,SamWinchester000,2,0,20170921232212,20170921233011,unknown
18,BA123,2,0,20130829204522,20181126193345,unknown
19,Nillurcheier,2,0,20181119124443,20181204174455,unknown
20,Lukpera,2,2,20181016105911,20181016143506,unknown
21,Engie,2,1,20081008112944,20081008113107,unknown
22,Freigut,2,1,20181015085301,20181015085320,unknown
23,Boshomi,2,0,20121026111544,20130120081655,unknown
24,WeiterWeg,2,0,20180613053359,20180613053738,unknown
25,Aka,2,2,20130830155722,20181119195346,unknown
26,WinfriedSchneider,2,1,20130916090750,20130916092037,unknown
27,188.194.0.51,2,0,20121206224526,20121206224703,unknown
28,87.150.153.13,2,0,20180728114203,20180728114251,unknown
29,Old Death,1,1,20130910110013,20130910110013,unknown
30,79.208.37.47,1,0,20110701123541,20110701123541,unknown
31,80.128.253.119,1,0,20130712194546,20130712194546,unknown
32,Nuuk,1,1,20161012180734,20161012180734,unknown
33,Nolispanmo,1,0,20071116150528,20071116150528,unknown
34,Claus Ableiter,1,0,20130416232446,20130416232446,unknown
35,Trustable,1,1,20151009184346,20151009184346,unknown
36,Gut informiert,1,1,20141113121301,20141113121301,unknown
37,TVDSPSX,1,0,20181002155143,20181002155143,unknown
38,111Alpha,1,0,20121010141517,20121010141517,unknown
39,Matt1971,1,1,20131107231950,20131107231950,unknown
40,Girus,1,0,20180323085243,20180323085243,unknown
41,TaxonKatBot,1,1,20190129003706,20190129003706,unknown
42,Plinganser,1,0,20130816185837,20130816185837,unknown
43,88.217.48.222,1,0,20170412142305,20170412142305,unknown
44,217.94.249.195,1,0,20181103011404,20181103011404,unknown
45,109.250.133.43,1,0,20101108060812,20101108060812,unknown
46,Ute Erb,1,1,20130610141043,20130610141043,unknown
47,2A02:810D:923F:FABE:8563:ED7:BE2A:D334,1,0,20181015213104,20181015213104,unknown
48,185.39.64.130,1,0,20181010212932,20181010212932,unknown
49,Bildungsbürger,1,1,20140423145841,20140423145841,unknown
50,Ephraim33,1,0,20180811134459,20180811134459,unknown
51,217.254.71.195,1,0,20120814182705,20120814182705,unknown
52,Ködermaus,1,0,20130915150948,20130915150948,unknown
53,2003:FA:705:F47:F017:47DE:6E28:39C2,1,0,20190110092438,20190110092438,unknown
54,188.104.82.170,1,0,20110804113745,20110804113745,unknown
55,79.249.253.64,1,0,20170215232217,20170215232217,unknown
56,Derim Hunt,1,0,20181019074507,20181019074507,unknown
57,91.34.44.61,1,0,20081008112252,20081008112252,unknown
58,88.64.10.70,1,0,20130418213730,20130418213730,unknown
59,Update,1,0,20160207235034,20160207235034,unknown
60,Marcus Cyron,1,1,20141118125738,20141118125738,unknown
61,TobiKunz,1,1,20181004092538,20181004092538,unknown
62,TammoSeppelt,1,0,20121024140542,20121024140542,unknown
63,Timk70,1,1,20140119004344,20140119004344,unknown
64,InternetArchiveBot,1,0,20180410210220,20180410210220,unknown
65,Raymond,1,0,20190226082520,20190226082520,unknown
66,46.125.249.13,1,0,20170706121856,20170706121856,unknown
67,Buffty,1,1,20101128224234,20101128224234,unknown
68,91.11.171.79,1,0,20160614141612,20160614141612,unknown
69,Cholo Aleman,1,0,20150621200725,20150621200725,unknown
70,Sprachpfleger,1,0,20181011222532,20181011222532,unknown
71,Minnettarlık,1,1,20140624202145,20140624202145,unknown
72,FrühlingsSonnenBad,1,1,20180904184623,20180904184623,unknown
73,Rufus46,1,1,20120823175401,20120823175401,unknown
74,Christian1985,1,0,20130915155026,20130915155026,unknown
75,Petruz,1,1,20171005031749,20171005031749,unknown
76,Codc,1,1,20190110092459,20190110092459,unknown
77,DerSalamander,1,0,20110905230735,20110905230735,unknown
78,YahZila,1,1,20130808112146,20130808112146,unknown
79,Jürgen Oetting,1,1,20170223112930,20170223112930,unknown
80,84.145.189.179,1,0,20160425112903,20160425112903,unknown
81,PenumbraLpz,1,0,20150525174838,20150525174838,unknown
82,CommonsDelinker,1,0,20181004162010,20181004162010,unknown
83,217.85.150.70,1,0,20140225084216,20140225084216,unknown
84,217.252.113.185,1,0,20120328205630,20120328205630,unknown
85,Zahnputzbecher,1,1,20170706122048,20170706122048,unknown
86,RH-editora,1,0,20181129151409,20181129151409,unknown
87,Karsten11,1,0,20130704083334,20130704083334,unknown
88,Harry8,1,1,20160614141843,20160614141843,unknown
89,2A01:598:818B:E99C:6DDA:E1B5:F6B3:4DF9,1,0,20181017174954,20181017174954,unknown
90,Verschlusssache,1,0,20150904234351,20150904234351,unknown
91,EliVog,1,1,20181013145311,20181013145311,unknown
92,Abdiel,1,1,20130412053632,20130412053632,unknown
93,91.0.247.64,1,0,20141016112540,20141016112540,unknown
94,Pinguin55,1,0,20180929100128,20180929100128,unknown
95,YourEyesOnly,1,1,20121004043201,20121004043201,unknown
96,212.114.180.169,1,0,20180310225640,20180310225640,unknown
97,2001:A61:3597:3F02:49B0:2DD3:5761:658D,1,0,20190126211628,20190126211628,unknown
98,217.85.151.89,1,0,20110910225323,20110910225323,unknown
99,Mattes,1,1,20170309033756,20170309033756,unknown
100,Khatschaturjan,1,0,20181030203114,20181030203114,unknown
101,84.175.9.247,1,0,20090627200242,20090627200242,unknown
102,89.204.130.71,1,0,20130423070411,20130423070411,unknown
103,87.151.246.157,1,0,20160430211402,20160430211402,unknown
104,2A02:8108:1700:528:DD88:6896:9A05:595C,1,0,20181015101534,20181015101534,unknown
105,JuTe CLZ,1,0,20150608185344,20150608185344,unknown
106,Drahreg01,1,0,20181004211052,20181004211052,unknown
107,Kritzolina,1,1,20140225084626,20140225084626,unknown
108,Rainer21,1,1,20120715125539,20120715125539,unknown
