,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Rosengregor,89,11,20060214110455,20150522150527,unknown
1,Leif Czerny,53,14,20111205124311,20170811155453,unknown
2,Olag,42,4,20090320100217,20160907120144,unknown
3,Saidmann,39,4,20141206173059,20170622120305,unknown
4,Avantix,38,3,20060911093116,20061120230321,unknown
5,134.106.40.32,26,0,20100730214033,20110107201748,unknown
6,Antarctica365,23,0,20091026155716,20110221170811,unknown
7,134.106.119.110,21,0,20091026162924,20100613125939,unknown
8,Monroviavia,20,0,20111215040300,20120202222616,unknown
9,Phänotyp,17,1,20180810100400,20180824083317,unknown
10,87.151.252.222,14,0,20141206152447,20141207124537,unknown
11,Pittimann,14,14,20110204100510,20170907094441,unknown
12,Aka,13,13,20051116142803,20180824085555,unknown
13,Logograph,13,5,20060901112415,20170215074656,unknown
14,Neun-x,12,2,20110201125924,20130407080823,unknown
15,Hojokendal,11,4,20111201110750,20111205221954,unknown
16,Boonekamp,10,9,20110429081122,20120604191921,unknown
17,Qwqchris,10,0,20050718153605,20050718155131,unknown
18,Parizifal,10,0,20080610145547,20080611220236,unknown
19,Regi51,10,9,20100218200741,20180409132841,unknown
20,Jan eissfeldt,9,1,20110205075242,20140123081458,unknown
21,Horst Gräbner,9,8,20130123165711,20170910175937,unknown
22,Freedomindahouse,9,2,20110430155627,20110606154122,unknown
23,Alnilam,9,9,20100915073045,20170505104124,unknown
24,RV,9,0,20061209004347,20070222140929,unknown
25,Luha,8,6,20060124153452,20160308214235,unknown
26,Tsui,8,1,20060624015700,20071231012733,unknown
27,Livani,8,1,20070827080843,20080713210214,unknown
28,WAH,8,0,20060328140329,20070824141457,unknown
29,Hubertl,8,6,20060309102930,20080807085204,unknown
30,Ca$e,8,8,20110222223208,20110425212150,unknown
31,Raubfisch,8,3,20060512110122,20061108155449,unknown
32,Sava,7,2,20050126211523,20051012232935,unknown
33,213.138.48.27,7,0,20051007065223,20051007065608,unknown
34,Carol.Christiansen,7,7,20080825191021,20110913202434,unknown
35,Duesentrieb,6,2,20041018153922,20041109123657,unknown
36,Sinn,6,1,20070307213930,20071109113546,unknown
37,79.249.99.149,6,0,20141211184316,20141212173953,unknown
38,Katach,6,5,20101020165400,20110407135754,unknown
39,Karloman98,6,0,20141031185800,20141031193440,unknown
40,DL5MDA,6,0,20080713080433,20081123004025,unknown
41,85.5.228.42,6,0,20131221181107,20131221182308,unknown
42,Igniferox,6,0,20060123005029,20060123153029,unknown
43,Gerhardvalentin,6,2,20081004105011,20160626141833,unknown
44,Se4598,6,6,20140306090722,20141208095002,unknown
45,134.106.119.31,6,0,20091215221649,20110401211607,unknown
46,LKD,6,6,20060622092343,20070119095802,unknown
47,Sauhase,5,2,20151028123754,20160220161234,unknown
48,Markus Mueller,5,5,20060109222719,20070315142745,unknown
49,84.143.252.5,5,0,20060703094951,20060703101655,unknown
50,Timann,5,1,20080107143619,20080107151347,unknown
51,89.56.187.144,5,0,20060603091219,20060603091638,unknown
52,130.37.158.37,5,0,20070618121227,20070618121509,unknown
53,91.96.90.196,5,0,20061119110318,20061119111443,unknown
54,128.176.254.10,5,0,20160512110340,20160512111402,unknown
55,79.249.104.222,5,0,20141208100943,20141208120629,unknown
56,Inspektor.Godot,5,3,20060521131548,20070205112314,unknown
57,85.1.234.103,5,0,20090305163200,20090305163652,unknown
58,79.249.100.193,5,0,20141205140112,20141206101615,unknown
59,80.134.91.26,5,0,20060329131250,20060329132318,unknown
60,87.151.225.153,5,0,20141222141953,20141222151140,unknown
61,Schmettau,5,5,20110213003811,20110225000620,unknown
62,Pass3456,5,0,20111201204843,20111204201541,unknown
63,217.255.239.126,5,0,20070420135518,20070420140253,unknown
64,85.183.20.70,5,0,20110105144112,20130711155029,unknown
65,84.146.81.70,5,0,20151119095139,20151119095425,unknown
66,87.193.5.141,5,0,20051110114935,20051110115422,unknown
67,Susannesonnenschein,5,0,20110407133100,20110416135242,unknown
68,84.143.200.224,5,0,20060522103940,20060522111658,unknown
69,Rangnawatgita,4,0,20110713194602,20110717113934,unknown
70,Gaplus,4,0,20060829103423,20060829111211,unknown
71,84.154.255.208,4,0,20051007064808,20051007065238,unknown
72,Avoided,4,4,20081213124423,20101115162318,unknown
73,Baritwa,4,2,20110628120601,20110628132816,unknown
74,87.151.251.133,4,0,20141211102714,20141211113714,unknown
75,62.180.160.223,4,0,20060113192551,20060113195644,unknown
76,Karl-Henner,4,4,20040613011127,20050824083159,unknown
77,Nobody.de,4,4,20040513214531,20040513215350,unknown
78,87.175.110.213,4,0,20070121020924,20070121033556,unknown
79,130.37.244.19,4,0,20070315141829,20070315142424,unknown
80,134.106.119.42,4,0,20100930132227,20101011171507,unknown
81,Alois Alexander,4,3,20051225204937,20080914111853,unknown
82,Hans-Jörg Günther,4,3,20050326140313,20050414163439,unknown
83,83.64.199.138,4,0,20051114222815,20060702231201,unknown
84,He3nry,4,4,20060328140257,20141210110728,unknown
85,HerbertErwin,4,1,20150101132502,20160612091219,unknown
86,Peter200,4,4,20080602152208,20130826095823,unknown
87,Southpark,4,2,20060724191125,20070121021209,unknown
88,80.153.77.236,4,0,20160609211830,20160615214025,unknown
89,Mautpreller,4,0,20111204223530,20120104104426,unknown
90,CommonsDelinker,4,4,20091106184007,20140711121934,unknown
91,Turric,4,3,20070317115307,20070317121854,unknown
92,Serols,4,4,20161012172523,20170203081055,unknown
93,HorstTitus,4,0,20060726080135,20060923001231,unknown
94,Seewolf,4,4,20060608130742,20170913173713,unknown
95,KHeck,4,0,20040504070819,20040504075930,unknown
96,134.106.87.55,3,0,20141027103558,20151027222524,unknown
97,C.Löser,3,3,20050306122128,20060122104637,unknown
98,Querverplänkler,3,3,20071212113124,20071212115227,unknown
99,Zaibatsu,3,3,20081027185240,20101008182832,unknown
100,Färber,3,3,20141208095057,20171208075816,unknown
101,Ilja Lorek,3,1,20040521203034,20141204130759,unknown
102,Mr. Mustard,3,3,20090302180739,20090406172516,unknown
103,87.151.249.20,3,0,20141204105820,20141204115031,unknown
104,Spazzo,3,0,20050417232027,20050511215515,unknown
105,217.186.76.48,3,0,20070423140149,20070423140602,unknown
106,Hummingbird-451,3,0,20120511191555,20120604160217,unknown
107,TomDerBabo,3,0,20140314072109,20140314072900,unknown
108,Victor Eremita,3,0,20060108001417,20080329223107,unknown
109,84.191.67.38,3,0,20060227190923,20060227192830,unknown
110,Diba,3,3,20080901105022,20080905083134,unknown
111,84.173.212.59,3,0,20060512213602,20060512214155,unknown
112,91.16.159.111,3,0,20171208074203,20171208074918,unknown
113,84.143.226.21,3,0,20080811120606,20080811121009,unknown
114,Andy king50,3,3,20130602121520,20180311200701,unknown
115,SanFran Farmer,3,2,20101128210000,20101203212840,unknown
116,77.4.60.1,3,0,20071212114141,20071212115120,unknown
117,Polarlys,3,2,20060526143112,20061014175946,unknown
118,DerHexer,3,2,20131113101336,20131113101544,unknown
119,217.83.216.230,3,0,20140603062857,20140603063158,unknown
120,Scooter,3,1,20090831092529,20141222142111,unknown
121,89.12.18.24,3,0,20080825160546,20080825190938,unknown
122,Ute Erb,3,3,20120718111121,20141210145952,unknown
123,Kaisersoft,3,3,20101105220857,20101105221122,unknown
124,134.106.87.67,3,0,20140410170401,20140904160334,unknown
125,84.176.77.94,3,0,20050512082939,20050512132336,unknown
126,139.18.1.5,3,0,20160906082831,20160929162831,unknown
127,79.249.112.31,3,0,20141219152101,20141219174751,unknown
128,Gustav von Aschenbach,3,3,20090305163704,20160707125138,unknown
129,Itti,3,3,20130927063604,20141030075830,unknown
130,P. Birken,3,2,20051007065600,20051007065708,unknown
131,78.104.50.213,3,0,20170111081527,20170111082217,unknown
132,62.156.63.181,3,0,20170615083253,20170615085557,unknown
133,Xqbot,3,3,20110712135424,20160717140330,unknown
134,79.247.103.13,3,0,20081209092446,20081209092845,unknown
135,SieBot,3,3,20090420044833,20100331012319,unknown
136,Zitronenquetscher,3,0,20120305205704,20120305222641,unknown
137,134.106.119.43,3,0,20100131155530,20100131155808,unknown
138,Sherresh,3,3,20070925183615,20070925184359,unknown
139,217.253.224.71,3,0,20060329131510,20060329131840,unknown
140,RedBot,3,3,20090513071048,20090818160828,unknown
141,Spuk968,3,3,20101028124257,20141119093035,unknown
142,217.184.101.169,3,0,20040612065708,20040612070502,unknown
143,84.57.188.156,3,0,20061108145520,20061108145752,unknown
144,91.34.51.49,3,0,20141114071049,20141114071151,unknown
145,84.180.102.35,2,0,20101115162156,20101115162240,unknown
146,88.72.30.85,2,0,20070827074259,20070827074419,unknown
147,Catrin,2,1,20060328194051,20060329131452,unknown
148,79.252.190.41,2,0,20120524190453,20120524190536,unknown
149,Acf,2,0,20040911190243,20050807203816,unknown
150,193.171.249.174,2,0,20090421083050,20090421083715,unknown
151,87.151.231.1,2,0,20141218095827,20141218100740,unknown
152,213.168.105.77,2,0,20060120183628,20060120184500,unknown
153,YourEyesOnly,2,2,20080606102903,20101102162514,unknown
154,145.254.34.130,2,0,20060525180644,20060525181018,unknown
155,139.11.205.103,2,0,20040712134311,20040713103308,unknown
156,93.198.111.134,2,0,20131113101330,20131113101530,unknown
157,Hkoeln,2,2,20140526130943,20140526131408,unknown
158,84.148.117.82,2,0,20070302131339,20070302134051,unknown
159,Jivee Blau,2,2,20110315145157,20141221003325,unknown
160,194.95.58.42,2,0,20071109113539,20071109114035,unknown
161,217.225.198.164,2,0,20081004104404,20081004104657,unknown
162,Layer8,2,0,20060518085223,20060518085517,unknown
163,91.248.84.203,2,0,20161115160323,20161115160349,unknown
164,Friman~dewiki,2,2,20051223013004,20051223020543,unknown
165,80.109.140.197,2,0,20050801120212,20050801120435,unknown
166,Dateientlinkerbot,2,0,20141104181734,20141108013151,unknown
167,134.106.119.45,2,0,20100529154805,20100529155226,unknown
168,Kai-Hendrik,2,0,20090515220149,20100801020342,unknown
169,178.239.76.144,2,0,20150128101216,20150128101223,unknown
170,84.174.4.58,2,0,20050323064905,20050323064920,unknown
171,194.40.230.14,2,0,20061212141037,20061212141137,unknown
172,217.85.49.51,2,0,20170505104016,20170505104104,unknown
173,80.134.83.163,2,0,20060328140230,20060328140315,unknown
174,134.2.236.61,2,0,20060821231402,20060821231450,unknown
175,Nwabueze,2,0,20141228133658,20141228141213,unknown
176,79.229.0.63,2,0,20151003214215,20151003214645,unknown
177,84.58.139.132,2,0,20051023175650,20051023180254,unknown
178,Benatrevqre,2,0,20120222180022,20120222180059,unknown
179,84.143.105.131,2,0,20060523202945,20060523203136,unknown
180,HaeB,2,1,20051007155340,20060329131740,unknown
