,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,HerbertErwin,274,191,20100926231054,20130203121816,unknown
1,WhoisWhoME,96,16,20110122150241,20190124202603,unknown
2,Tets,48,24,20060922010741,20101213165057,unknown
3,Dr. Manuel,31,3,20060422115239,20090107230820,unknown
4,Rosenkohl,29,8,20071002173718,20121222185910,unknown
5,Nuuk,18,10,20061227163321,20171012153727,unknown
6,Atamari,13,4,20070225234332,20151203110133,unknown
7,Eryakaas,12,9,20051215230258,20130525154531,unknown
8,Aka,11,11,20060603133049,20190125095832,unknown
9,FelMol,11,0,20101113215233,20120118190633,unknown
10,Pittimann,11,11,20110328184002,20150924082357,unknown
11,Rita2008,10,1,20090206182421,20151105184242,unknown
12,Gonzo Greyskull,10,4,20100613134825,20110403124233,unknown
13,Mia-etol,10,7,20080525171440,20081116190517,unknown
14,Ulitz,9,5,20090213213349,20150805102008,unknown
15,Regi51,8,8,20110816190446,20180506103950,unknown
16,Stefan Kühn,7,4,20030522212332,20030821180114,unknown
17,Cosal,7,7,20101205160714,20101205161750,unknown
18,Gerd Wiechmann,7,0,20110502194121,20130308121139,unknown
19,Ute Erb,7,7,20150307165647,20150805214636,unknown
20,Nils,6,2,20030522190622,20030822155341,unknown
21,Louis Wu,6,1,20101004143104,20180818173057,unknown
22,91.48.164.153,5,0,20120329084923,20120329085532,unknown
23,GiordanoBruno,5,1,20170102213914,20180830142739,unknown
24,Zwobot,5,5,20031209175148,20070311163704,unknown
25,Luckas-bot,5,5,20100805053452,20120207161021,unknown
26,CherryX,5,4,20131123111049,20131123111312,unknown
27,Roland Kutzki,5,2,20090222142254,20170920131545,unknown
28,RobotQuistnix,4,4,20051209064742,20070601050802,unknown
29,Harrobot,4,4,20061227211118,20161211221503,unknown
30,Docfeelgood3,4,0,20070711091131,20070711105506,unknown
31,Thijs!bot,4,4,20070126073503,20070813002033,unknown
32,PeeCee,4,4,20120329084933,20120329090005,unknown
33,Loveless,4,4,20070621085146,20101122083932,unknown
34,Dreizung,4,4,20100120182121,20100123171550,unknown
35,Nightflyer,4,1,20080303214348,20120223141939,unknown
36,MerlIwBot,4,4,20110326135705,20121020121205,unknown
37,TXiKiBoT,4,4,20090118152129,20100206083110,unknown
38,Martin-vogel,4,1,20051226191735,20080824131612,unknown
39,Goliath613,4,0,20111001181049,20111001191930,unknown
40,Fräggel,4,2,20061219142709,20070423221805,unknown
41,EmausBot,4,4,20120330091734,20130123000233,unknown
42,Philipendula,4,4,20060804154603,20060804155829,unknown
43,Markus Mueller,4,3,20051127000010,20070420112334,unknown
44,SieBot,3,3,20070807104244,20101017005851,unknown
45,Se4598,3,3,20140401102353,20141103091854,unknown
46,Walter P.,3,2,20030821231604,20030822170629,unknown
47,Jageterix,3,1,20160316074050,20180503082606,unknown
48,JAnDbot,3,3,20061003064115,20080111144132,unknown
49,DerHexer,3,3,20070113123624,20110302154354,unknown
50,WuaccaWuacca,3,1,20080223203015,20080224171926,unknown
51,87.175.31.82,3,0,20061130231707,20061130231831,unknown
52,Tfjt,3,1,20101127172216,20101128154636,unknown
53,Alex1011,3,2,20051130214512,20100418212054,unknown
54,€pa,3,0,20070112215246,20090210124514,unknown
55,Mwknacker,3,1,20130217081835,20130217082150,unknown
56,80.136.219.47,3,0,20061114101849,20061114102228,unknown
57,212.118.216.43,3,0,20140307160124,20140914145516,unknown
