,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Dioskorides,88,11,20181104102015,20190127205759,unknown
1,TMFS,39,9,20031112163710,20070716162938,unknown
2,Volkstribun 2.0,39,14,20181104154846,20181130125902,unknown
3,Qualiabavariae,35,3,20120126173254,20121121103738,unknown
4,Rademacher2015,28,11,20181031180010,20181211171555,unknown
5,TheRandomIP,27,5,20181030161007,20181125204435,unknown
6,Aschmidt,17,1,20181102210450,20190127181341,unknown
7,Casra,14,7,20100621140141,20110524190445,unknown
8,Aka,12,12,20050707151101,20190127222037,unknown
9,Lettres,10,3,20101107040501,20181112141409,unknown
10,ClenX,9,1,20181031135609,20181207164739,unknown
11,MA5,8,3,20050721031825,20050914080656,unknown
12,Lukpera,7,6,20181103124504,20181209125521,unknown
13,Cyve,7,0,20181023112659,20181031121816,unknown
14,Andropov,6,0,20181104212908,20181215214614,unknown
15,Gustav von Aschenbach,6,2,20080416120818,20160919204650,unknown
16,Kricket,6,2,20070502184244,20090628162537,unknown
17,Zaphiro,6,5,20080912110828,20100625145201,unknown
18,N50%,5,2,20100109105249,20100215154724,unknown
19,Blunt.,5,4,20090319183157,20090701203549,unknown
20,Neun-x,5,0,20100625023952,20171228184240,unknown
21,EH⁴²,5,1,20100622164030,20181031161102,unknown
22,Zwobot,5,5,20040207005540,20060122055801,unknown
23,WeiterWeg,5,0,20181123061640,20181129082250,unknown
24,Hardenacke,5,3,20120105163046,20141102143412,unknown
25,Dr Möpuse,5,1,20070805090453,20080912182401,unknown
26,Schotterebene,4,2,20170409085822,20181207075006,unknown
27,80.243.50.193,4,0,20031111092745,20031111093345,unknown
28,Pelz,4,2,20070314223520,20121119124806,unknown
29,Vincenzo1492,4,1,20181002212801,20181105075718,unknown
30,213.182.117.124,4,0,20060921150927,20060921151202,unknown
31,Falkmart,4,0,20181118100018,20181118160121,unknown
32,80.143.83.140,4,0,20050606140702,20050606141555,unknown
33,Docmo,4,0,20060212150504,20181029094238,unknown
34,Denis Barthel,4,0,20181029103737,20181029110738,unknown
35,PH2005,4,0,20070502140614,20070503091630,unknown
36,Wifoear,4,0,20051111131406,20051111140234,unknown
37,CM~dewiki,3,0,20020924214634,20020924215428,unknown
38,Pwagenblast,3,2,20121009222311,20130724102940,unknown
39,ChristophDemmer,3,3,20051102064426,20051102064537,unknown
40,Zollernalb,3,1,20070225214427,20181207175916,unknown
41,Davit.1980,3,3,20180917124846,20190212172225,unknown
42,Vorwald,3,2,20181120131745,20181120132416,unknown
43,Stijn Calle,3,3,20050616172048,20060309101917,unknown
44,Artregor,3,2,20140724151225,20140724151415,unknown
45,Calluna,3,2,20090201172625,20090930182818,unknown
46,DemokratenJoe,3,0,20190127171837,20190127173401,unknown
47,87.160.170.231,3,0,20061012221501,20061012224524,unknown
48,Über-Blick,3,0,20181105033751,20181122111033,unknown
49,Frozen Hippopotamus,3,1,20181122135104,20181122140008,unknown
50,Sicherlich,3,1,20041027171307,20060108114419,unknown
51,4Frankie,3,3,20081027230556,20081027230940,unknown
52,Nomygon,3,1,20181029105748,20181029111508,unknown
53,Mupa280868,3,3,20181122215412,20181208115153,unknown
54,Musik,3,0,20070513225116,20070513225844,unknown
55,Machahn,3,3,20070215181145,20121014173016,unknown
56,BuiTTClub,3,0,20090319142958,20090319182837,unknown
57,213.39.185.24,3,0,20061012223304,20061012225351,unknown
58,Stefan Kühn,3,3,20031115134731,20040917173140,unknown
59,Olaf Kosinsky,3,2,20150212190705,20180505145312,unknown
60,Nachtwächter90,3,1,20080718185933,20081029155204,unknown
61,LKD,3,3,20060528124601,20070309100650,unknown
62,Ute Erb,3,3,20181105104939,20181105110449,unknown
63,Sandstein,3,2,20181118225141,20181118225406,unknown
64,Buchbibliothek,3,3,20181029194156,20181029194505,unknown
65,Anony,3,1,20070205210233,20070205214113,unknown
66,Arieswings,2,2,20181029094634,20181029094926,unknown
67,Pelagus,2,0,20090201094523,20090201094624,unknown
68,Head,2,2,20050913085056,20050913085125,unknown
69,2.241.6.48,2,0,20160229205554,20160229210700,unknown
70,2A02:8070:B88:C700:4C0E:A712:42D0:B99A,2,0,20180724214425,20180724215327,unknown
71,AlexanderRahm,2,1,20070521170355,20070521170506,unknown
72,TacticalWeasel,2,0,20100811104714,20100811105016,unknown
73,Malabon,2,2,20150406162607,20181104220602,unknown
74,80.146.165.42,2,0,20081010134926,20081010135002,unknown
75,Rudolfquellevon2018,2,0,20181207140851,20181207141154,unknown
76,Jogo.obb,2,0,20100624104200,20100624104250,unknown
77,80.218.6.29,2,0,20050605204631,20050605204717,unknown
78,Spuk968,2,2,20110714202754,20160403161846,unknown
79,Captain-C,2,0,20040223130747,20040731071233,unknown
80,217.238.191.238,2,0,20050124234117,20050124234204,unknown
81,Adi 23,2,1,20101201074548,20101201074626,unknown
82,130.149.174.7,2,0,20061017132558,20061017133237,unknown
83,Werther359,2,1,20070705150230,20070705211642,unknown
84,194.6.166.5,2,0,20050831153645,20050902093700,unknown
85,88.217.107.118,2,0,20181104131410,20181104131554,unknown
86,141.20.148.11,2,0,20051208122252,20051208122338,unknown
87,N.Eschenhagen,2,0,20070215181002,20070621090249,unknown
88,Yoda1893,2,0,20181029125446,20181029125500,unknown
89,84.58.42.103,2,0,20050529180206,20050529180359,unknown
90,Jed,2,2,20040206021045,20051103220743,unknown
91,Miltrak,2,0,20130314194426,20170514211632,unknown
92,Tim.landscheidt,2,0,20081113100054,20171228222544,unknown
93,Squasher,2,2,20181114201740,20181114201801,unknown
94,Zimt-Speculatius,2,2,20181030113845,20181205143839,unknown
95,ArthurMcGill,2,1,20120203081428,20120918073627,unknown
96,217.85.216.116,2,0,20060726091945,20060726093110,unknown
97,Paul Ewe,2,2,20181029172104,20181029172207,unknown
98,Gladius Dei,2,1,20080804230125,20080804230227,unknown
99,212.204.22.50,2,0,20041012140651,20041012140810,unknown
100,Wackknuerstchen,2,0,20100607161350,20100607162247,unknown
101,Southpark,2,2,20050605204834,20050613002504,unknown
102,Bernardoni,2,2,20110802045259,20110802045725,unknown
103,2003:C0:1F27:4703:CC3A:D168:84E5:5E3,2,0,20181031213946,20181031214229,unknown
104,Jkü,2,1,20080416173643,20080805094729,unknown
105,Micha LA,2,0,20070705160223,20070705160739,unknown
106,Terminfracht,2,0,20090115211647,20090206123101,unknown
107,91.13.60.80,2,0,20121119124414,20121119124437,unknown
108,Rabanusmaurus,2,1,20151123203153,20151123203229,unknown
109,Turing,2,0,20050816113513,20050908113921,unknown
110,Sebbot,2,1,20080926231723,20150213062756,unknown
111,HowardBeale,2,0,20181207015102,20181207021658,unknown
112,MalteF,2,0,20181102124855,20181102140125,unknown
113,Kh80,2,2,20050918130033,20081025180720,unknown
114,Bemoty,2,1,20160616214003,20160616214035,unknown
115,Lómelinde,2,2,20160319072711,20181023131251,unknown
116,Luke081515Bot,2,0,20150615172330,20151213014137,unknown
117,Law-and-order,2,0,20070406154056,20070503204058,unknown
118,Däädaa,2,0,20120313102050,20120313102111,unknown
119,Boshomi,2,1,20141031172230,20150615192235,unknown
120,RoBri,2,2,20181102193502,20181104131816,unknown
121,80.145.235.240,2,0,20050925120901,20050925120935,unknown
122,Pittimann,2,2,20130627174832,20181207173723,unknown
123,Alexander Z.,2,2,20061017133657,20080518151950,unknown
124,Walter Gibson,2,2,20090116101811,20090206124527,unknown
125,FuerEhrlichkeit,2,0,20181114195910,20181114201009,unknown
126,Pünktchen&Anton,2,2,20100624100718,20100624100949,unknown
127,84.131.162.219,2,0,20051022161935,20051022162306,unknown
128,79.207.167.139,2,0,20141013182224,20141013183846,unknown
129,143.58.124.11,2,0,20060707122429,20060707122532,unknown
130,84.157.235.4,2,0,20050920005215,20050920010157,unknown
131,TaxonKatBot,2,2,20160621181429,20160809141953,unknown
132,Ordnung,2,0,20070117140134,20070120104534,unknown
133,85.72.166.253,2,0,20050915001648,20050915001902,unknown
134,94.114.59.78,2,0,20160330085951,20160403115023,unknown
135,89.52.175.255,2,0,20081122202053,20081122202115,unknown
136,2003:DB:53CB:BA00:38E8:96E5:3336:59B3,2,0,20181210161814,20181210163049,unknown
137,Hafenbar,2,1,20031109232945,20110326030638,unknown
138,80.136.212.106,2,0,20050830204518,20050830205202,unknown
139,84.165.152.94,2,0,20150803165041,20150803165214,unknown
140,212.62.220.110,2,0,20181030123251,20181030123320,unknown
141,Charlotte Dujardin,2,0,20181102201737,20181102201831,unknown
142,Tuvanor,2,0,20170201110933,20181203180100,unknown
143,84.165.224.191,2,0,20051006114453,20051006114638,unknown
144,Michael Kühntopf,1,0,20100427182528,20100427182528,unknown
145,84.58.125.211,1,0,20050510182920,20050510182920,unknown
146,Mideal,1,1,20110414085525,20110414085525,unknown
147,84.145.187.147,1,0,20050915160807,20050915160807,unknown
148,188.174.177.56,1,0,20130724074349,20130724074349,unknown
149,Sir,1,1,20060511124758,20060511124758,unknown
150,2001:638:504:C026:98A8:5A87:7BE7:75C1,1,0,20181031104607,20181031104607,unknown
151,Hubon,1,1,20160613184012,20160613184012,unknown
152,Wiki123,1,1,20061113203516,20061113203516,unknown
153,188.108.132.131,1,0,20181106184608,20181106184608,unknown
154,Extrala~dewiki,1,0,20070716151559,20070716151559,unknown
155,Wusselpowa,1,1,20181123173454,20181123173454,unknown
156,Verum,1,0,20190101202824,20190101202824,unknown
157,Captain-c~dewiki,1,0,20040121111555,20040121111555,unknown
158,Stern,1,0,20041216231427,20041216231427,unknown
159,Rumpelstolz,1,0,20101013234725,20101013234725,unknown
160,Trolleyfuchs,1,0,20130210180144,20130210180144,unknown
161,Cassandro,1,0,20060225193519,20060225193519,unknown
162,Leit,1,1,20181030160644,20181030160644,unknown
163,80.136.46.26,1,0,20061012170022,20061012170022,unknown
164,80.145.110.16,1,0,20181122125446,20181122125446,unknown
165,Bluemel1,1,0,20181030134353,20181030134353,unknown
166,141.6.8.89,1,0,20081112140528,20081112140528,unknown
167,Bodhi-Baum,1,0,20181208235814,20181208235814,unknown
168,212.204.6.57,1,0,20041027132508,20041027132508,unknown
169,141.2.42.130,1,0,20050819175746,20050819175746,unknown
170,ChristianErtl,1,1,20051219171457,20051219171457,unknown
171,Svens Welt,1,1,20060906115918,20060906115918,unknown
172,Eresthor,1,0,20070405100919,20070405100919,unknown
173,Felix Stember,1,1,20181114195951,20181114195951,unknown
174,2003:D6:2F16:7B00:E4C1:BF47:52FA:6DD8,1,0,20181030113709,20181030113709,unknown
175,MerlLinkBot,1,1,20090919171426,20090919171426,unknown
176,217.7.23.103,1,0,20141014113549,20141014113549,unknown
177,84.147.164.104,1,0,20060710173835,20060710173835,unknown
178,Komischn,1,1,20181102140737,20181102140737,unknown
179,Jbergner,1,0,20161113003011,20161113003011,unknown
180,91.67.190.212,1,0,20181110093314,20181110093314,unknown
181,Mesha19,1,1,20181029164013,20181029164013,unknown
182,Jodo,1,1,20080718210243,20080718210243,unknown
