,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Verzettelung,48,21,20151225232446,20180423093357,unknown
1,MARK,33,20,20070729152323,20090526080056,unknown
2,Siwibegewp,24,3,20170112060224,20171005012602,unknown
3,Sanandros,22,1,20080521163716,20181204043626,unknown
4,Andropov,21,2,20160405220520,20180522172705,unknown
5,Lektor w,21,9,20150215142608,20150215192647,unknown
6,Stefan Knauf,18,11,20060307231507,20150307180904,unknown
7,Tohma,16,0,20141201182338,20170212205648,unknown
8,Sonaz,14,10,20070922180641,20170103230825,unknown
9,195.126.85.141,13,0,20050807031511,20081104095300,unknown
10,Bojo,13,2,20070905191944,20090903100859,unknown
11,Skyman gozilla,13,3,20060915124602,20071215222610,unknown
12,Jonathan Hornung,12,6,20050605134558,20060703172242,unknown
13,88.70.202.107,11,0,20081116104858,20081116143650,unknown
14,Pb1791,9,7,20080215073311,20091017191052,unknown
15,Harrygarry,9,0,20060818020246,20060818021457,unknown
16,Skyhawk4,8,2,20110828191631,20120709180014,unknown
17,Benatrevqre,8,2,20091116224155,20180522162827,unknown
18,Zaphiro,8,6,20080404140757,20080404215758,unknown
19,Horst Gräbner,8,5,20120929075751,20160921162244,unknown
20,DerHexer,7,7,20060614135838,20131112105713,unknown
21,Namenlos.net,7,6,20060618093638,20101014193240,unknown
22,Label5,7,0,20170212075221,20170212162206,unknown
23,Matthias Hake,7,0,20101016061446,20151222081116,unknown
24,Regi51,6,6,20100304163421,20180323115628,unknown
25,Diba,6,6,20060706113721,20120416085936,unknown
26,HolgerB,6,3,20080124182438,20081228100735,unknown
27,Knoerz,6,2,20160916075717,20161017192219,unknown
28,Natsu Dragoneel,6,2,20160720082900,20180814204109,unknown
29,Tilo,6,3,20040410111651,20040501222037,unknown
30,DerWolf,6,6,20040728164142,20060506142751,unknown
31,Sir James,6,5,20090526092326,20170731160200,unknown
32,Mister Winterbottom,6,5,20070308193255,20070910160229,unknown
33,80.171.152.121,5,0,20050622011440,20050622011925,unknown
34,Igorakkerman,5,4,20070830170107,20070830171813,unknown
35,77.87.228.72,5,0,20171016223315,20190207091517,unknown
36,LKD,5,5,20060704082200,20090112135714,unknown
37,80.131.65.195,5,0,20150604110630,20150604111149,unknown
38,Alnilam,5,5,20121105143456,20150604111101,unknown
39,Mediatus,5,5,20071111142039,20080313152833,unknown
40,82.82.143.157,5,0,20090109193139,20090109221456,unknown
41,141.68.112.188,5,0,20170918153811,20170918184755,unknown
42,195.14.197.215,5,0,20040813173040,20040813193912,unknown
43,195.93.60.13,5,0,20050701135217,20051128104242,unknown
44,SiriusB,5,2,20040429090016,20160827122811,unknown
45,87.162.197.69,4,0,20060622175702,20060622192923,unknown
46,Nikodemus13,4,0,20130713060946,20140418071507,unknown
47,89.54.32.117,4,0,20060614135812,20060614140138,unknown
48,Geschichtsfan,4,4,20040411161328,20040414070854,unknown
49,Assi735,4,3,20081026131213,20081026131454,unknown
50,194.95.179.178,4,0,20040804133752,20050727174304,unknown
51,Flophila88,4,0,20100909222632,20121104160049,unknown
52,88.70.40.241,4,0,20090502203021,20090502204325,unknown
53,C.Löser,4,4,20041127094525,20060129013621,unknown
54,2A02:8108:44C0:44F8:B829:E423:A41F:42B,4,0,20170328134115,20170328134758,unknown
55,84.135.253.207,4,0,20060425194053,20060425194328,unknown
56,Pajz,4,1,20070203154722,20070402110259,unknown
57,Fux,4,4,20030512161405,20030512174741,unknown
58,Pappenheim,4,0,20121008114448,20141007083909,unknown
59,Jadadoo,4,4,20060815194518,20060815195935,unknown
60,Xiton,4,1,20070906151003,20071016160337,unknown
61,79.193.47.48,4,0,20170206095533,20170206100452,unknown
62,Generator,4,0,20050711141908,20070906152642,unknown
63,87.177.97.84,4,0,20111114205034,20111114205305,unknown
64,79.223.216.12,4,0,20140313161209,20140329170210,unknown
65,Bib~dewiki,4,1,20040613141044,20040820175511,unknown
66,84.57.83.29,4,0,20060518083652,20060518083825,unknown
67,Chaddy,4,4,20090913024812,20120328222413,unknown
68,134.114.59.41,4,0,20060123021215,20060405070811,unknown
69,Apokalypse,4,2,20110520180027,20170118082529,unknown
70,Hybscher,4,0,20060820163259,20060921002115,unknown
71,2A02:810D:2340:2530:359F:5C8C:C228:C278,4,0,20170406102848,20170406104120,unknown
72,MartinWill,4,1,20051210201545,20060815163837,unknown
73,Coradoline,4,1,20080122115231,20120608071600,unknown
74,85.16.0.36,3,0,20060307233840,20060307234420,unknown
75,DanielC46,3,0,20161119094403,20161119095051,unknown
76,62.128.6.5,3,0,20091118094349,20091118094535,unknown
77,82.207.218.199,3,0,20070819131353,20070819132405,unknown
78,Ragnacgzzh,3,0,20170824182807,20170824183745,unknown
79,Ishbane,3,0,20110525191721,20120314094840,unknown
