,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,GrummelJS,53,10,20060511153325,20100625065951,unknown
1,Bungert55,18,5,20140327173729,20180419093012,unknown
2,GiordanoBruno,11,8,20091218140855,20170906150512,unknown
3,Raubfisch,9,3,20060420151242,20060613071255,unknown
4,Roland Kutzki,8,0,20170904145001,20171024080536,unknown
5,Howard61313,7,0,20170513125022,20181003142233,unknown
6,Miltrak,6,0,20130523222051,20160906233541,unknown
7,Mietschlossherr,6,4,20091115141440,20130418091127,unknown
8,Matysik,6,1,20081228215249,20120405100845,unknown
9,Filterkaffee,5,3,20140831104132,20160423131322,unknown
10,Apokalypse,5,0,20070730112729,20071012131917,unknown
11,Wrehl,5,0,20091008180648,20091011184610,unknown
12,Berlin-Jurist,5,1,20050916170522,20091226164057,unknown
13,62.104.208.74,4,0,20060512115246,20060512120158,unknown
14,Sir James,4,3,20091220214404,20110303092326,unknown
15,Berlinschneid,4,1,20091218140147,20111012143231,unknown
16,Biolekk,4,0,20151112162043,20160812134110,unknown
17,Milgesch,4,2,20080915075623,20080915093309,unknown
18,Ekkehart baals,3,1,20140402190150,20151115141838,unknown
19,195.243.222.10,3,0,20040927071117,20040927071417,unknown
20,Smutsmaker,3,1,20180419091543,20180421221618,unknown
21,Andy Kohler,3,2,20091231132619,20091231133236,unknown
22,91.11.6.127,3,0,20091218133638,20091218133749,unknown
23,TUBS,3,1,20080314083931,20080506151957,unknown
24,Florian.Keßler,3,1,20041225225534,20090907124839,unknown
25,Hoschi72,3,0,20060415122208,20060611082337,unknown
26,Catorom,3,0,20170426091616,20181003134043,unknown
27,Macmewes,3,1,20040324210340,20071006220144,unknown
28,Reibeisen,3,0,20080122231918,20080122232105,unknown
29,Livermorium,2,1,20130426005400,20130426010815,unknown
30,Bear,2,1,20030816112942,20030816113032,unknown
31,Matt1971,2,1,20051124112015,20051125190004,unknown
32,80.142.20.214,2,0,20130521202717,20130521202930,unknown
33,Pluriscient,2,2,20040222202549,20080127215347,unknown
34,91.11.103.212,2,0,20130731142901,20130731143442,unknown
35,Redonebird,2,0,20150713045052,20150713045545,unknown
36,Dateientlinkerbot,2,0,20140420093905,20140420094115,unknown
37,Guffi,2,0,20080826060609,20080826060731,unknown
38,HolgerB,2,2,20071231163626,20071231163949,unknown
39,91.221.58.29,2,0,20170116113519,20170713072724,unknown
40,Tafkas,2,1,20070514204043,20070514204108,unknown
41,J. Patrick Fischer,2,0,20141214102636,20150708123609,unknown
42,Aka,2,2,20111012191828,20180419161127,unknown
43,Volker-Morath,2,0,20160906220526,20160906233216,unknown
44,80.128.52.107,2,0,20040214180224,20040214180255,unknown
45,DanielHerzberg,2,2,20120321232944,20120321233013,unknown
46,80.143.213.227,2,0,20060612113622,20060612113825,unknown
47,Aspiriniks,2,2,20091218133949,20091218134639,unknown
48,King,2,0,20050914123226,20060109211751,unknown
49,217.34.221.25,2,0,20091126085211,20091126085232,unknown
50,George Smith Patton,2,1,20090105013555,20090816135030,unknown
