,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Feliks,14,0,20150803064555,20150803080424,unknown
1,J. Patrick Fischer,11,2,20140712092708,20170522105757,unknown
2,Flo Sorg,10,1,20100817112744,20151122074735,unknown
3,193.17.243.2,7,0,20100113104203,20100118131431,unknown
4,Mama Leone,7,4,20140726223749,20160911115346,unknown
5,Qualiabavariae,7,0,20160804115706,20170503123208,unknown
6,Reinold M3i3r,5,5,20170228152456,20170228152838,unknown
7,Olaf Kosinsky,4,2,20131215233112,20160319174830,unknown
8,Kinnla,3,0,20131218150640,20131219124126,unknown
9,MOVAlte,3,2,20170522085218,20170704133921,unknown
10,TMFS,3,0,20051122094557,20070630130935,unknown
11,Supermartl,3,2,20091025100644,20091025101044,unknown
12,Pan Tau,3,1,20130210202250,20170306141247,unknown
13,Pelz,3,3,20111214204106,20141111170258,unknown
14,Hardenacke,3,3,20090515140655,20121209185557,unknown
15,Fossa,3,2,20190110175417,20190110175751,unknown
16,Longinus Müller,3,3,20140418183514,20140418184114,unknown
17,130.180.87.178,3,0,20190130092353,20190130092851,unknown
18,188.105.232.208,3,0,20140415204609,20140415204723,unknown
19,Freud,3,1,20151122074210,20151129080805,unknown
20,El Duende,3,0,20131216231958,20131216232105,unknown
21,87.191.58.242,3,0,20180313095256,20180313095441,unknown
22,Komischn,2,2,20150605073229,20150605074244,unknown
23,Luke081515Bot,2,0,20161119193424,20161212001740,unknown
24,USt,2,2,20120324182129,20140722153118,unknown
25,Friedjof,2,0,20151128212933,20151128213313,unknown
26,Jcornelius,2,2,20100304165648,20100304165732,unknown
27,-jkb-,2,0,20170228162614,20170228162726,unknown
28,5.28.76.176,2,0,20140119184734,20140119184903,unknown
29,Aka,2,2,20150624152848,20181227215423,unknown
30,Horst Gräbner,2,0,20180211211552,20180218163603,unknown
31,Landwirt,2,2,20081006140258,20110122103901,unknown
32,194.127.8.17,2,0,20060711081320,20060711081714,unknown
33,Schreiber99,2,1,20170306133328,20170306135459,unknown
34,Ngowatchtransparent,2,0,20090312153411,20100727093132,unknown
35,2A02:8108:1180:5760:64A6:5750:A583:1F3B,2,0,20160911112019,20160911112326,unknown
36,79.254.248.236,2,0,20160222093332,20160222093542,unknown
37,87.168.15.12,2,0,20180315083614,20180315083711,unknown
38,Martin Kraft,2,0,20140923084113,20170522115009,unknown
39,Der wahre Jakob,2,1,20170224165628,20170224165648,unknown
40,Chemnitzer96,2,0,20150504172456,20150620101237,unknown
41,Michelhausen,2,0,20120130191527,20120130191808,unknown
42,FNDE,2,2,20160222093334,20160222093543,unknown
43,Itu,2,0,20140927055920,20140927060518,unknown
44,Jared Preston,2,2,20060605170358,20060605170508,unknown
45,Zeilenleser,2,1,20140423090604,20140423091617,unknown
46,Thgoiter,2,0,20130112200743,20130112201437,unknown
47,Slökmann,2,2,20160129115408,20180313095500,unknown
48,Seewolf,1,1,20100423164353,20100423164353,unknown
49,2001:4C50:469:4500:C52D:AB34:4875:5AEB,1,0,20180211205430,20180211205430,unknown
50,217.91.6.235,1,0,20060814104111,20060814104111,unknown
51,Dateientlinkerbot,1,0,20140715113610,20140715113610,unknown
52,Braganza,1,0,20190222172823,20190222172823,unknown
53,Sebbot,1,1,20090325004152,20090325004152,unknown
54,Indeedous,1,0,20130704231436,20130704231436,unknown
55,88.67.161.34,1,0,20140416111004,20140416111004,unknown
56,80.187.106.3,1,0,20181030154459,20181030154459,unknown
57,Gamma9,1,1,20080915142054,20080915142054,unknown
58,AsuraBot,1,1,20140131223038,20140131223038,unknown
59,37.120.33.45,1,0,20160302065051,20160302065051,unknown
60,PieRat,1,1,20180315083722,20180315083722,unknown
61,Kladson,1,0,20100818091146,20100818091146,unknown
62,84.177.131.58,1,0,20140110200354,20140110200354,unknown
63,Epimachus,1,0,20180305171045,20180305171045,unknown
64,Vikipedija,1,0,20060828183316,20060828183316,unknown
65,Kartenhörnchen,1,1,20131217101647,20131217101647,unknown
66,Matysik,1,0,20141201122519,20141201122519,unknown
67,Informationswiedergutmachung,1,1,20171227154016,20171227154016,unknown
68,Bepp,1,0,20060623010803,20060623010803,unknown
69,DF5GO,1,1,20131215175349,20131215175349,unknown
70,Ernstol,1,1,20140423142104,20140423142104,unknown
71,Schnabeltassentier,1,1,20190130092819,20190130092819,unknown
72,Alexbot,1,1,20081028125137,20081028125137,unknown
73,Rmcharb,1,1,20140409092503,20140409092503,unknown
74,TaxonKatBot,1,1,20160809142139,20160809142139,unknown
75,Pittimann,1,1,20180316095845,20180316095845,unknown
76,Triebtäter,1,0,20070710165944,20070710165944,unknown
77,JuTe CLZ,1,1,20160219204151,20160219204151,unknown
78,HubertSt,1,0,20180314150413,20180314150413,unknown
79,87.173.189.149,1,0,20100426110911,20100426110911,unknown
80,Cyve,1,0,20131218191120,20131218191120,unknown
81,Pendulin,1,1,20060814104203,20060814104203,unknown
82,Peter200,1,1,20100117141404,20100117141404,unknown
83,Label5,1,0,20131216062041,20131216062041,unknown
84,Crazy1880,1,0,20170704184720,20170704184720,unknown
85,139.18.1.5,1,0,20051124080725,20051124080725,unknown
86,Neun-x,1,0,20130905053526,20130905053526,unknown
87,Itti,1,0,20140416111112,20140416111112,unknown
88,Tobe86nrw,1,0,20161219021117,20161219021117,unknown
89,92.75.48.65,1,0,20121206190554,20121206190554,unknown
90,78.51.101.245,1,0,20140408205807,20140408205807,unknown
91,85.16.27.139,1,0,20160523110756,20160523110756,unknown
92,Jobu0101,1,1,20180315120355,20180315120355,unknown
93,Krauterer,1,1,20110406184621,20110406184621,unknown
94,194.77.157.241,1,0,20140113164601,20140113164601,unknown
95,Pfieffer Latsch,1,0,20151129080432,20151129080432,unknown
96,Alstersegler,1,0,20180309163819,20180309163819,unknown
97,Ordnung,1,0,20070125095227,20070125095227,unknown
98,APPER,1,0,20100324230426,20100324230426,unknown
99,Yoda1893,1,0,20131217114356,20131217114356,unknown
100,Mick149,1,0,20150504115721,20150504115721,unknown
101,Krdbot,1,1,20171227154631,20171227154631,unknown
102,Yardsrules,1,0,20091029082411,20091029082411,unknown
103,Gauss,1,0,20131215175528,20131215175528,unknown
104,Einsamer Schütze,1,1,20140512170928,20140512170928,unknown
105,Pyaet,1,1,20190130093323,20190130093323,unknown
106,EmausBot,1,1,20130330122900,20130330122900,unknown
107,92.226.137.247,1,0,20140409103520,20140409103520,unknown
108,InternetArchiveBot,1,0,20180325112049,20180325112049,unknown
109,Don Magnifico,1,0,20080206105621,20080206105621,unknown
110,87.165.107.63,1,0,20111218204317,20111218204317,unknown
111,Ot,1,1,20140119184945,20140119184945,unknown
112,Felix Stember,1,1,20100426111126,20100426111126,unknown
113,Webverbesserer,1,0,20131219082406,20131219082406,unknown
114,85.8.107.195,1,0,20180218163255,20180218163255,unknown
115,84.153.158.8,1,0,20060818014301,20060818014301,unknown
116,Blackjogger,1,1,20100118131446,20100118131446,unknown
117,SFfmL,1,0,20131216204556,20131216204556,unknown
118,2003:DD:13CB:AA40:3494:B0C:EE69:D74A,1,0,20170920204640,20170920204640,unknown
119,Scooter,1,1,20051217204444,20051217204444,unknown
120,MerlLinkBot,1,1,20090919171939,20090919171939,unknown
121,Church of emacs,1,0,20131215115626,20131215115626,unknown
