,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Waldersee,170,99,20081227154258,20121118190228,unknown
1,Datenspecht,49,4,20120130172651,20120526192905,unknown
2,Altaripensis,44,11,20120412165437,20120531172321,unknown
3,TMFS,27,9,20031031000234,20060610132607,unknown
4,Mogelzahn,18,11,20040724225447,20120409202110,unknown
5,Aka,13,13,20050706071627,20180824203300,unknown
6,Felix König,13,11,20120102111741,20140205220051,unknown
7,217.80.66.50,11,0,20060125065917,20060125075825,unknown
8,SamWinchester000,10,0,20130704170559,20160911005302,unknown
9,HaeB,10,6,20040429021405,20051019162313,unknown
10,Zwobot,8,8,20040105195049,20041205161726,unknown
11,Ute Erb,8,8,20120921205221,20160724170305,unknown
12,Chilrreh,6,3,20151220233922,20170925221646,unknown
13,Andropov,5,0,20141211133708,20180214193738,unknown
14,Pm,5,3,20120319171000,20120319171809,unknown
15,Dnaber,4,4,20131126114900,20150116172140,unknown
16,Scooter,4,3,20051213223620,20110607233914,unknown
17,195.86.39.194,4,0,20060201140541,20060201141753,unknown
18,Afforever,4,3,20110618135951,20111228215002,unknown
19,p5080E05D.dip0.t-ipconnect.de,3,1,20020826160053,20020826160120,unknown
20,77.12.51.121,3,0,20130117134242,20130117135137,unknown
21,FlaBot,3,2,20041206015920,20051115125758,unknown
22,129.187.244.28,3,0,20060413145332,20060413145757,unknown
23,Krdbot,3,3,20110822090055,20150422181644,unknown
24,Kängurutatze,3,0,20160522111854,20160522112955,unknown
25,MAY,3,0,20111219173203,20180914013520,unknown
26,Gugerell,3,3,20120610180000,20131011184443,unknown
27,84.138.232.98,3,0,20051014185427,20051014185754,unknown
28,GT1976,3,0,20081223082200,20151114063239,unknown
29,Wiki surfer bcr,3,3,20120309181102,20120309181336,unknown
30,EBB,3,3,20040523073036,20040611214118,unknown
31,Miltrak,3,0,20130525000519,20160522113203,unknown
32,Stefan Kühn,3,3,20031101131937,20041012122013,unknown
33,AHZ,3,2,20040815134843,20131003221446,unknown
34,Florian Adler,3,3,20070521220904,20100831082745,unknown
35,141.10.79.154,3,0,20081002113834,20081002114027,unknown
36,Waelder,3,3,20040125203151,20040127234708,unknown
37,79.198.82.113,3,0,20080118125613,20080118130209,unknown
38,149.170.192.242,3,0,20051120124214,20051120124427,unknown
