,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Berlin-Jurist,171,44,20050204181722,20090221113033,unknown
1,Gabel1960,85,16,20160619081730,20160708203907,unknown
2,Unscheinbar,74,56,20040711171549,20160119122946,unknown
3,Southpark,51,42,20040221181335,20070215220618,unknown
4,SanFran Farmer,48,4,20160623214618,20180226192316,unknown
5,D,38,33,20040209133250,20060113103839,unknown
6,Tsor,34,23,20031102092404,20061003193626,unknown
7,Voyeur,31,0,20091028213135,20100222233815,unknown
8,Qualiabavariae,29,0,20120315202735,20141113154745,unknown
9,Centspower,27,2,20110305111257,20110604003033,unknown
10,GuterSoldat,25,4,20060315174336,20061025021847,unknown
11,2001:638:607:205:0:0:0:30,23,0,20160629071701,20160629081552,unknown
12,Neun-x,23,1,20120712064606,20171001192010,unknown
13,Skriptor,22,18,20040219092103,20050920213909,unknown
14,TMFS,21,9,20031118115707,20060615172834,unknown
15,Sir,18,12,20050425085048,20070724144048,unknown
16,Wiki1939,18,14,20180125134819,20190117104703,unknown
17,WinfriedSchneider,17,8,20110217085027,20140518095332,unknown
18,EBB,16,9,20031117181009,20080606094415,unknown
19,Friedrichheinz,16,5,20060428120052,20060530151729,unknown
20,Aka,16,16,20050510081633,20180804074900,unknown
21,Zaphiro,15,13,20050527225344,20100417071021,unknown
22,LightWolf,14,3,20040428210256,20040709130202,unknown
23,Steschke,13,5,20050831184727,20061212204126,unknown
24,Stefan64,13,5,20041105101232,20141001191822,unknown
25,Pittimann,12,10,20100527081105,20171109084921,unknown
26,Gustav von Aschenbach,12,9,20100710133319,20180805161602,unknown
27,195.93.60.10,12,0,20050523194419,20050828081917,unknown
28,Zwobot,11,11,20040105195000,20061208012807,unknown
29,Stern,11,4,20040324164855,20050720224334,unknown
30,J budissin,11,2,20050216083409,20160504131326,unknown
31,HaeB,11,8,20040608164207,20060809020853,unknown
32,Karloswinz,11,6,20050919142858,20060223104051,unknown
33,N.Eschenhagen,10,4,20061212134333,20130620053737,unknown
34,Europa1,10,5,20060325134524,20060422095443,unknown
35,Benatrevqre,10,2,20141217130305,20160707103004,unknown
36,Polaris,10,0,20061211164130,20080718212139,unknown
37,77.22.114.22,9,0,20091022155229,20091022190943,unknown
38,Jurgen,9,2,20030727213304,20041227224047,unknown
39,Jkbw,9,9,20090731142149,20110117221727,unknown
40,Tolanor,9,9,20060716005141,20120915031840,unknown
41,Horst Gräbner,9,5,20120601064144,20190306095711,unknown
42,Nocturne,9,2,20040701140510,20051006083940,unknown
43,Scooter,9,3,20051110201728,20111122230450,unknown
44,Mick149,8,6,20070622114404,20160504192737,unknown
45,Anathema,8,3,20040717094447,20041123164621,unknown
46,Onkel Dittmeyer,8,7,20130306230810,20140328075045,unknown
47,Orange cake,8,2,20110304104255,20110304183550,unknown
48,Spuk968,8,8,20100205102524,20140711180059,unknown
49,Asserty,8,6,20041123160942,20041125015021,unknown
50,MAK,8,2,20050815085346,20051217171838,unknown
51,Jivee Blau,8,8,20100127170743,20121112170321,unknown
52,Dachris,8,0,20050819124700,20060102090652,unknown
53,Mathias Schindler,8,8,20040709130838,20040830095821,unknown
54,Notebook,8,0,20060716012306,20060818020525,unknown
55,Okatjerute,8,5,20040818091400,20120702150619,unknown
56,Snevern,7,1,20091028100702,20100418080905,unknown
57,194.15.138.11,7,0,20110928151745,20110929161704,unknown
58,RoBri,7,3,20040716112753,20181113133630,unknown
59,Heidas,7,6,20041015195700,20051030191119,unknown
60,Drosophilia,7,0,20050602190238,20060430084850,unknown
61,213.182.102.98,7,0,20050927231718,20050927234024,unknown
62,82.83.214.157,7,0,20060112145836,20060112165551,unknown
63,Polluks,7,5,20050518174430,20050524172457,unknown
64,He3nry,7,7,20050708151711,20090825091749,unknown
65,84.152.58.96,7,0,20130623131809,20130623135217,unknown
66,Alter Fuxx,7,1,20060906070908,20061211180519,unknown
67,Ralf Roletschek,7,3,20081011160107,20111013175129,unknown
68,Dipok,7,3,20061115194011,20061118080936,unknown
69,212.62.92.6,7,0,20050710001444,20050710003807,unknown
70,Boshomi,7,2,20140926192807,20161129213803,unknown
