,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,51,29,20051008135634,20180803190851,unknown
1,Rita2008,41,1,20050926091337,20190130165239,unknown
2,Sic!,29,5,20050603113845,20080721061224,unknown
3,Phantom,28,10,20051206191155,20080721225002,unknown
4,Lobservateur,26,0,20080529013938,20080529072906,unknown
5,Hardenacke,23,16,20090917173347,20180803190542,unknown
6,Csac4864,21,4,20171011101711,20180420105603,unknown
7,Wiki-vr,20,18,20131217110816,20131217161503,unknown
8,TMFS,20,3,20041007150351,20071006105755,unknown
9,Jukebox,16,7,20080527010848,20080529131551,unknown
10,W. Edlmeier,15,6,20180810151424,20190309073143,unknown
11,Zitronenpresse,12,0,20120724223526,20150416134513,unknown
12,Gloser,11,1,20151016154307,20180612101716,unknown
13,Gysin,11,0,20150410060750,20150411082700,unknown
14,Zollstock,10,0,20050706111109,20051001025229,unknown
15,Lley,10,3,20140126160840,20160818070157,unknown
16,Boshomi,10,4,20121103204110,20161129210226,unknown
17,Init,9,3,20060919184653,20061210181941,unknown
18,Times,9,0,20080529124753,20110311125528,unknown
19,Aka,9,9,20060608130357,20190306202614,unknown
20,Anton-Josef,9,8,20051008092304,20060622102523,unknown
21,Jesi,9,2,20080406042745,20080602174358,unknown
22,Abdiel,9,0,20061122211552,20071030170450,unknown
23,Sir,8,2,20050526162838,20050619111700,unknown
24,Der Tildenmann,8,0,20080528211853,20080605212900,unknown
25,Gustav von Aschenbach,8,6,20081115203359,20180315120740,unknown
26,Sol1,7,0,20071223012208,20120130182538,unknown
27,Sophia4justice,7,5,20130903135645,20130904121257,unknown
28,Ralf Roletschek,7,0,20130610215010,20170110224855,unknown
29,Edelseider,7,4,20141126154758,20150411081325,unknown
30,Tohma,7,0,20070607073523,20090706174214,unknown
31,ArtMechanic,7,5,20050821105815,20081115234324,unknown
32,Afeig,7,0,20080527072731,20090508092502,unknown
33,Sir James,6,3,20101125074353,20110831145804,unknown
34,Juwelental,6,5,20170804130330,20170804131234,unknown
35,Hans Dunkelberg,6,6,20110327005228,20110327012412,unknown
36,TSDUS,6,0,20071229120232,20080307203740,unknown
37,7Pinguine,6,2,20100719114815,20101007190542,unknown
38,Bernardoni,6,2,20131117232206,20181214220632,unknown
39,Wikifreund,6,0,20081223010927,20090927195920,unknown
40,Rusti,6,0,20070616111729,20071107101028,unknown
41,Unscheinbar,5,1,20050619162013,20051210222446,unknown
42,Ronny van Berlin,5,2,20121218074652,20121218112438,unknown
43,Sportfreund.php,5,5,20150218210926,20160722110517,unknown
44,DJ Doena,5,3,20050603113335,20050603130906,unknown
45,Andreas 06,5,0,20060514194626,20060904021638,unknown
46,Wici,5,1,20080602173517,20080605212617,unknown
47,Miastko,5,1,20050620063325,20060831172651,unknown
48,Procolotor,5,1,20091108182316,20130317210353,unknown
49,Gabel1960,5,0,20160403092914,20160403141001,unknown
50,Srvban,5,4,20080702172856,20080703174449,unknown
51,St.Krekeler,5,2,20050216195940,20050809164606,unknown
52,Hermes31,5,0,20071101202430,20071203103408,unknown
53,Berlin-Jurist,5,2,20051009065349,20160720093211,unknown
54,Southpark,5,5,20040508203113,20050924171322,unknown
55,217.248.48.222,4,0,20060904014722,20060904021602,unknown
56,Aspiriniks,4,2,20131006094548,20150903144526,unknown
57,Regi51,4,4,20120223184030,20151217113459,unknown
58,NeXXor,4,3,20100415101951,20110103123952,unknown
59,AF666,4,1,20050607193224,20080722144419,unknown
60,Leit,4,2,20081025202751,20181030215147,unknown
61,Drgkl,4,2,20160613230956,20170409030902,unknown
62,Andropov,4,1,20161219185925,20180728145252,unknown
63,PanchoS,4,1,20131010031829,20131026112141,unknown
64,JohannesLeonhard,4,0,20071002091504,20071006004857,unknown
65,Stern,4,2,20050314233749,20051008082425,unknown
66,Schnargel,4,1,20051008092117,20051008112126,unknown
67,Nicor,4,0,20100219171350,20130921044435,unknown
68,DaB.,4,1,20050701121444,20080127012749,unknown
69,Tickle me,4,0,20051208200544,20051209201047,unknown
70,Hänschen Rilow,4,4,20150609081003,20150613155708,unknown
71,Hasselklausi,4,2,20170817191910,20170817205259,unknown
72,Tanzpirator,4,0,20071203090752,20071203103009,unknown
73,Horst Gräbner,4,2,20131011144750,20170424172948,unknown
74,Allegoriowitsch,4,4,20090929150950,20151012112928,unknown
75,Komischn,3,3,20110303145737,20120602002733,unknown
76,Felix König,3,1,20121003175917,20131217200231,unknown
77,BanaChang,3,1,20130921215823,20130921220014,unknown
78,213.189.178.202,3,0,20040602210221,20040615214915,unknown
79,Tialtngo,3,2,20080523090424,20080523090722,unknown
80,83.31.168.252,3,0,20051008081315,20051008082317,unknown
81,N.Eschenhagen,3,0,20070123120210,20151013205354,unknown
82,JuTe CLZ,3,2,20160906204325,20180928202837,unknown
83,Oberst~dewiki,3,0,20080529092145,20080529112332,unknown
84,Jón,3,1,20070616223829,20130921082401,unknown
85,CoolSiro,3,0,20090519153854,20090519154415,unknown
86,Sascha-Wagner,3,3,20061214120752,20061214121622,unknown
87,Umherirrender,3,3,20080201172819,20110715181431,unknown
88,CherryX,3,2,20131120080717,20131120081005,unknown
89,134.2.240.133,3,0,20060811081721,20060811083513,unknown
90,Arieswings,3,3,20170131221954,20170408205941,unknown
91,84.146.208.165,3,0,20080915082003,20080915082730,unknown
92,Karsten11,3,1,20070416195924,20160207204525,unknown
93,80.146.43.247,3,0,20050908223700,20050908225835,unknown
94,62.226.69.184,3,0,20021008202530,20021008203259,unknown
95,131.111.221.236,3,0,20050827185538,20050827192040,unknown
96,Rolf acker,3,3,20131219235856,20140109142414,unknown
97,80.187.149.17,3,0,20050818180426,20050818180619,unknown
98,Sarita98,3,0,20141201231624,20141201232157,unknown
99,213.7.70.108,3,0,20050604233538,20050605000139,unknown
100,Kurt Jansson,3,2,20020803043148,20021008215313,unknown
101,Die Winterreise,3,0,20090706082644,20090706105105,unknown
102,Mattes,3,1,20151003073920,20161217201102,unknown
103,Zwobot,3,3,20040610235002,20080807002128,unknown
104,Kladson,3,0,20091112123549,20091217155929,unknown
105,Memnon335bc,3,2,20080605214835,20080605215014,unknown
106,Berlin~dewiki,3,0,20041001120420,20041001121127,unknown
107,Birthday Massacre,3,0,20080601105326,20080601110747,unknown
108,Arminklein,3,2,20131221195344,20131221201111,unknown
109,Pittimann,3,3,20150914073418,20151116114942,unknown
110,Hagbard,3,2,20050116051006,20050116052723,unknown
111,Stefan Kühn,3,3,20030504090005,20040709092113,unknown
112,84.61.51.41,3,0,20060824224428,20060824224648,unknown
113,Mondscheintarek,3,0,20110103091854,20110103092151,unknown
114,84.59.40.184,3,0,20050603113107,20050603113258,unknown
115,RoBri,3,3,20150915135403,20180728065312,unknown
116,Langec,3,3,20050217102651,20050616084109,unknown
117,Luke081515Bot,3,0,20161119111034,20161129185121,unknown
118,Polartysken,3,0,20080127012254,20080127012526,unknown
119,Bwbuz,3,3,20170516170423,20170516171007,unknown
120,InternetArchiveBot,2,0,20180325112422,20180827114307,unknown
121,Zeno Gantner,2,1,20030116044446,20050219154815,unknown
122,AlBa112,2,0,20160814081645,20160814081721,unknown
123,82.82.212.137,2,0,20050603142014,20050603142115,unknown
124,Abe Lincoln,2,0,20090916203447,20090917173205,unknown
125,94.16.79.157,2,0,20151029132412,20151029132715,unknown
126,Rmw73,2,0,20070906125433,20070906125544,unknown
127,194.94.40.241,2,0,20060615080235,20060615080610,unknown
128,81.189.42.195,2,0,20050813174535,20050813174908,unknown
129,Lettres,2,0,20090409114032,20090413191753,unknown
130,Simpsonsfan2,2,0,20091216000550,20100809140850,unknown
131,Eisbaer44,2,2,20130218200419,20130218200657,unknown
132,213.61.130.220,2,0,20051006170740,20051007181745,unknown
133,Gordito1869,2,0,20150830185231,20150830194910,unknown
134,Andy king50,2,2,20151210183855,20151219220402,unknown
135,Skandalopedia,2,1,20131020173026,20131020173413,unknown
136,84.153.114.239,2,0,20051003145730,20051003150440,unknown
137,Dlonra,2,1,20090707133151,20100319135516,unknown
138,Rmcharb,2,1,20141227200411,20160827125613,unknown
139,Gersve,2,2,20040708195708,20040708195722,unknown
140,FlaBot,2,2,20050521113525,20050905044819,unknown
141,145.254.47.16,2,0,20050817220919,20050817221132,unknown
142,Xqt,2,2,20141128112248,20141223134702,unknown
143,Scherben,2,1,20050920073049,20080215093941,unknown
144,217.227.64.200,2,0,20150604105351,20150604105552,unknown
145,131.173.17.161,2,0,20060608130151,20060608130339,unknown
146,PDD,2,1,20080731110032,20140207184954,unknown
147,Matze-berlin,2,1,20051007194314,20051008091518,unknown
148,Nuuk,2,0,20110810124617,20121115134958,unknown
149,Mathias Schindler,2,2,20041222012411,20051001071723,unknown
150,Marcus Cyron,2,2,20081204121556,20100522135019,unknown
151,Wivoelke,2,2,20151128213520,20181223141822,unknown
152,Doc.Heintz,2,2,20160814092638,20160814092709,unknown
153,195.212.29.163,2,0,20050805165745,20050805170012,unknown
154,Luckas-bot,2,2,20101001153555,20111019142900,unknown
155,Wst,2,2,20020802233915,20020803044746,unknown
