,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Stahlfresser,68,22,20090929104605,20141001044737,unknown
1,Qualiabavariae,34,1,20140624124338,20150924151232,unknown
2,Mogelzahn,30,17,20040711090618,20131101203548,unknown
3,TMFS,19,3,20041103142931,20080227204514,unknown
4,Sir,18,13,20050512222810,20060501124840,unknown
5,Sir James,16,5,20111207215010,20160414043627,unknown
6,Brodkey65,12,5,20100918010315,20171218210056,unknown
7,Reinold M3i3r,12,12,20170216105414,20170216112149,unknown
8,80.143.133.123,11,0,20030911205633,20030911211118,unknown
9,Harry Canyon,11,4,20160318142001,20160413221141,unknown
10,Jón,10,4,20090517192346,20120712203247,unknown
11,Der wahre Jakob,10,6,20101024133043,20160404081504,unknown
12,Politics,10,4,20091028084424,20100606100220,unknown
13,Benowar,9,6,20100223103126,20100225093357,unknown
14,ChrisM,9,9,20040718121859,20040718123311,unknown
15,Miltrak,9,0,20130217013058,20140623152535,unknown
16,Rudolfox,8,0,20100213173442,20100224121332,unknown
17,Max Dax,8,0,20110409165915,20110410213735,unknown
18,Aka,8,8,20051119184018,20171217224555,unknown
19,Alexikanone,7,6,20091021125002,20091027143413,unknown
20,N.Eschenhagen,7,0,20061213154311,20131217113621,unknown
21,Verzettelung,7,7,20160318134157,20160816173214,unknown
22,Southpark,6,5,20040116230944,20060102035358,unknown
23,Steffen Löwe Gera,6,5,20160318164548,20181201035315,unknown
24,Pausetaste,6,5,20080226093313,20080227201601,unknown
25,Neun-x,6,1,20110209064731,20160320204446,unknown
26,AlexR,6,4,20040720233028,20040723163759,unknown
27,Pittimann,6,3,20110404084719,20160318133338,unknown
28,D,6,5,20050726232754,20060107145121,unknown
29,Cekay,5,5,20131227014509,20160318133703,unknown
30,Olaf Kosinsky,5,1,20120519084900,20180419100455,unknown
31,Sargoth,5,4,20091125143723,20110829125413,unknown
32,Mediatrotter,5,3,20160318133218,20160318133440,unknown
33,Komischn,5,5,20110405142754,20161202115433,unknown
34,Taxiarchos228,5,5,20060318172554,20090928144828,unknown
35,Coolgretchen,5,2,20050918095304,20050924081200,unknown
36,Jivee Blau,5,2,20110217203633,20160318135831,unknown
37,Lettres,5,1,20090703094702,20110227001843,unknown
