,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Avatar1206,23,0,20150707200158,20150801082419,unknown
1,Tohma,14,1,20140803180852,20190205034514,unknown
2,TMFS,12,2,20031117213125,20080514185857,unknown
3,Mogelzahn,9,4,20051122135613,20161023093919,unknown
4,Rita2008,8,0,20140804124345,20151231164148,unknown
5,Aka,7,7,20121205185821,20180324204641,unknown
6,HeBB,5,1,20080327174016,20161016160526,unknown
7,Cherub51,4,0,20140326223748,20140327153456,unknown
8,Dmicha,4,4,20160725142817,20180430060942,unknown
9,Dassisses,4,0,20150603040954,20150603042050,unknown
10,Mastermaus,3,0,20090901145802,20100119090222,unknown
11,Scooter,3,3,20051207230849,20070923111335,unknown
12,Mazbln,3,2,20110623194821,20150803111829,unknown
13,Kricket,3,0,20080102104517,20080102105508,unknown
14,AKor4711,3,1,20131007203750,20131007205614,unknown
15,Anathema,3,3,20040921104727,20041220092531,unknown
16,AlternativesLebensglück,3,1,20180101084424,20180101084617,unknown
17,UHT,3,3,20121126114017,20130502113046,unknown
18,Nothingserious,3,2,20170921064724,20180106064130,unknown
19,Olaf Kosinsky,3,2,20150210130253,20180418201935,unknown
20,87.143.44.107,3,0,20151003212432,20151003214044,unknown
21,Richard Lenzen,3,3,20141212124830,20141212125328,unknown
22,Laroon,2,1,20031026072834,20031026073142,unknown
23,Groupsixty,2,2,20150217091714,20150725074549,unknown
24,195.158.130.170,2,0,20050722130341,20050722130418,unknown
25,80.135.222.210,2,0,20040822070215,20040822070300,unknown
26,Aktenstapel,2,0,20151023142056,20160522213148,unknown
27,RoBri,2,2,20180228080400,20180805163645,unknown
28,Doc.Heintz,2,0,20120617073655,20120617073947,unknown
29,Triebtäter,2,0,20041203160121,20041203160159,unknown
30,Guffi,2,0,20070914075246,20070914075612,unknown
31,Stefan Kühn,2,2,20031026074254,20041018152302,unknown
32,157.181.23.103,2,0,20060307170219,20060307170259,unknown
33,Ambo35,2,0,20140813105446,20140814114820,unknown
34,Karsten11,2,0,20100322184319,20100322204020,unknown
35,Emmridet,2,2,20140501162524,20140501163215,unknown
36,RonMeier,2,2,20130207115057,20150708112156,unknown
37,InternetArchiveBot,2,0,20180325112721,20180827130045,unknown
38,Xqbot,2,2,20090720220532,20091009121936,unknown
39,84.151.240.70,2,0,20090106123118,20090106123423,unknown
40,Giftmischer,2,2,20110623202339,20150927152913,unknown
41,178.8.168.67,2,0,20160507204751,20160507204850,unknown
42,Times,2,1,20091103235411,20100124133337,unknown
43,93.195.204.100,2,0,20151003172515,20151003172638,unknown
44,Asthma,2,1,20080704100527,20080704100606,unknown
45,Don Magnifico,2,0,20110507114205,20130415093105,unknown
46,Aarp65,2,2,20141120142723,20141120143018,unknown
47,Ruprecht,2,2,20180501224141,20180501224208,unknown
48,AHZ,2,0,20070628204341,20070628224136,unknown
49,80.135.216.19,2,0,20040515091440,20040515091520,unknown
50,84.151.222.170,2,0,20090822171728,20090822172308,unknown
51,84.139.229.236,2,0,20060110120405,20060110120717,unknown
52,Nicolai P.,2,2,20110706112455,20140526092854,unknown
53,Scialfa,2,1,20080213091017,20180227185650,unknown
54,APPERbot,2,2,20100317204934,20131012140444,unknown
55,Zollernalb,2,2,20090526224442,20090526224502,unknown
56,Lektor w,2,1,20171220030557,20171220030823,unknown
57,Pelz,2,1,20070909183149,20111222213538,unknown
58,Kjalarr,1,0,20180410125539,20180410125539,unknown
59,Wiegand,1,1,20040515093731,20040515093731,unknown
60,Fabchief,1,0,20070105110547,20070105110547,unknown
61,SDB,1,0,20121102194147,20121102194147,unknown
62,2003:46:E1A:A352:9CAD:1C74:12DA:FA5D,1,0,20150722115218,20150722115218,unknown
63,109.45.1.27,1,0,20180109141515,20180109141515,unknown
64,81.0.127.226,1,0,20060227224705,20060227224705,unknown
65,Ticketautomat,1,1,20090113191347,20090113191347,unknown
66,Uwca,1,0,20110719172220,20110719172220,unknown
67,Trustable,1,1,20170212175843,20170212175843,unknown
68,MystBot,1,1,20100819102124,20100819102124,unknown
69,Hardcorebambi,1,1,20181106182137,20181106182137,unknown
70,85.74.131.234,1,0,20041214234742,20041214234742,unknown
71,U-96,1,1,20071030133957,20071030133957,unknown
72,194.246.46.15,1,0,20100319090041,20100319090041,unknown
73,Máel Milscothach,1,1,20160606085711,20160606085711,unknown
74,80.187.98.185,1,0,20180429211945,20180429211945,unknown
75,84.184.220.210,1,0,20070227233844,20070227233844,unknown
