,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AnzugPasstHeute,39,0,20120701081745,20120702233802,unknown
1,R2Dine,31,7,20150508084401,20170731092021,unknown
2,Eisbaer44,30,24,20060324160535,20180218154620,unknown
3,Volkes Stimme,24,2,20110109224529,20190301122918,unknown
4,Mmg,24,15,20050214215254,20180218133539,unknown
5,Jörg Zägel,13,3,20060608090838,20091203133637,unknown
6,Holgerjan,11,2,20051230125135,20120703111306,unknown
7,Rita2008,11,1,20061103110306,20190204162543,unknown
8,Gabel1960,9,0,20160323093910,20160524145547,unknown
9,Aka,9,9,20060714190226,20190301164331,unknown
10,Verzettelung,8,4,20120701150327,20180218155033,unknown
11,Goesseln,8,5,20090528150015,20130427172039,unknown
12,Trublu,7,7,20070301211211,20080121094052,unknown
13,Katharina B.,5,3,20060607184651,20060608115220,unknown
14,MAY,5,0,20110126020507,20150831153502,unknown
15,Rabanusmaurus,5,1,20141128170406,20161102104508,unknown
16,Radschläger,5,3,20070323174027,20100130140305,unknown
17,Richard Lenzen,5,5,20140522123629,20140615215845,unknown
18,Phi,4,1,20150925140043,20190227163711,unknown
19,Maximilian Schönherr,4,1,20130126005831,20130803124946,unknown
20,87.156.235.195,4,0,20160920160251,20160920164313,unknown
21,Stijn Calle,4,4,20050518191045,20060309101851,unknown
22,Gudrun Meyer,4,2,20090228002619,20090809100107,unknown
23,Khatschaturjan,4,0,20160507211157,20180813212132,unknown
24,85.178.67.149,3,0,20060609104744,20060609104939,unknown
25,GT1976,3,0,20120711195558,20151113212223,unknown
26,Allonsenfants,3,0,20161119171630,20170419182428,unknown
27,Malabon,3,3,20111123214041,20111124075355,unknown
28,Glaubweiter,3,0,20120702145912,20120703122157,unknown
29,Historiker11,3,0,20080121092853,20080121095355,unknown
30,Emmridet,2,2,20130104202403,20130126095607,unknown
31,Asthma,2,1,20060603163314,20080706134351,unknown
32,Fossa,2,0,20070207164336,20110304225736,unknown
33,Sebbot,2,1,20101004190947,20150725130259,unknown
34,Interpretix,2,1,20081026225019,20081028142636,unknown
35,Rolf acker,2,2,20130902094929,20130912211101,unknown
36,Zwobot,2,2,20050504212057,20061109114922,unknown
37,Goliath613,2,0,20110919130915,20110919131040,unknown
38,Volkstribun 2.0,2,0,20121212020612,20121216014910,unknown
39,Jürgen Bevers,2,0,20090420122945,20090506152642,unknown
40,Str1977,2,0,20140119172827,20140119221404,unknown
41,BurghardRichter,2,1,20160224215323,20160224233226,unknown
42,Asdfj,2,1,20081008200615,20091127120122,unknown
43,Armin P.,2,2,20091011141146,20100619214046,unknown
44,Feldwebel,2,0,20070226192235,20070721225532,unknown
45,Nuuk,2,2,20151128090756,20180414102904,unknown
46,84.73.155.250,2,0,20060607215742,20060609183750,unknown
47,Kaffekofa,2,0,20091203130650,20091203130759,unknown
48,Hozro,2,2,20120703212656,20120704092204,unknown
49,Herr Andrax,2,0,20050713004321,20050713005647,unknown
50,80.136.251.131,2,0,20061003100803,20061003100919,unknown
51,PenumbraLpz,2,0,20130706175913,20130706183602,unknown
52,MarkusHagenlocher,2,2,20050410171256,20060607073857,unknown
53,176.199.24.239,2,0,20170111215922,20170111220045,unknown
54,Coredump,2,1,20060607133631,20060608110503,unknown
55,Ambo35,2,0,20141121221235,20150327013736,unknown
56,Über-Blick,2,0,20181230225308,20181230225446,unknown
57,Wahrerwattwurm,2,2,20120704092446,20120704092519,unknown
58,Mogelzahn,2,2,20051030193046,20100116173348,unknown
59,Buchbibliothek,2,0,20160104225546,20160224205419,unknown
60,Jesi,2,0,20080831113804,20150114163504,unknown
61,Göte,2,2,20130520163055,20150608180333,unknown
62,Ulli Purwin,2,0,20090816005918,20090816010303,unknown
63,Frank C. Müller,2,2,20070103202307,20070301073753,unknown
64,2A02:8109:8080:71C:4447:DA42:F86E:A36,2,0,20160225093728,20160225101944,unknown
65,Tohma,2,0,20050904152622,20120624051427,unknown
66,Kricket,2,0,20100302103958,20100302105527,unknown
67,Gurgelgonzo,2,0,20060609045326,20061021191759,unknown
68,Enemenemu,2,0,20100418213216,20100418215649,unknown
69,Kvnst,2,2,20131121044135,20140507175107,unknown
70,85.178.75.183,2,0,20060608090225,20060608173559,unknown
71,Q'Alex,1,1,20110430083518,20110430083518,unknown
72,Oranier,1,1,20150413091829,20150413091829,unknown
73,200.124.9.140,1,0,20041115030558,20041115030558,unknown
74,TaxonKatBot,1,1,20161127140239,20161127140239,unknown
75,62.245.203.42,1,0,20070530190340,20070530190340,unknown
76,Between the lines,1,1,20090908193059,20090908193059,unknown
77,84.152.201.191,1,0,20110119194003,20110119194003,unknown
78,Majoritems,1,1,20120811192710,20120811192710,unknown
79,Agathenon,1,0,20140904102913,20140904102913,unknown
80,213.54.201.193,1,0,20040312205855,20040312205855,unknown
81,Lotje,1,0,20160813054146,20160813054146,unknown
82,Tobby72,1,0,20181211071652,20181211071652,unknown
83,87.189.237.253,1,0,20090215111714,20090215111714,unknown
84,Ninthcause~dewiki,1,0,20120704091554,20120704091554,unknown
85,Vanellus,1,1,20140312170503,20140312170503,unknown
86,WAH,1,1,20160225173737,20160225173737,unknown
87,81.173.154.148,1,0,20050927232603,20050927232603,unknown
88,Helium4,1,0,20180716131211,20180716131211,unknown
89,84.171.103.168,1,0,20061106210220,20061106210220,unknown
