,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Mazbln,32,9,20050907200234,20120610060957,unknown
1,Nicolai P.,12,2,20101228142544,20110204113951,unknown
2,JosFritz,11,2,20111018170433,20130903094529,unknown
3,Jotzet,11,4,20111217114609,20131004154030,unknown
4,TMFS,11,2,20041130135815,20080615012934,unknown
5,Molgreen,9,2,20180505161855,20180506052043,unknown
6,Tohma,9,1,20090723055337,20151016062338,unknown
7,Millbart,8,7,20060508154646,20090719175608,unknown
8,Alkim Y,8,1,20121212201821,20131004090729,unknown
9,Bene16,8,2,20080613162019,20091014061752,unknown
10,Complex,8,7,20070218001341,20090928152752,unknown
11,Hozro,7,4,20080304235641,20110922092242,unknown
12,D,7,6,20050813160421,20060205231216,unknown
13,Spuk968,7,6,20100514000116,20120528162029,unknown
14,KastusK,6,0,20130827062924,20130903082824,unknown
15,Hardenacke,6,6,20100525112806,20140601162022,unknown
16,Aka,6,6,20091024122220,20171206092502,unknown
17,EH⁴²,6,0,20111126182105,20130203163409,unknown
18,Osika,6,3,20091022150621,20110211070101,unknown
19,91.12.126.98,5,0,20070704155739,20070704163522,unknown
20,Joker.mg,5,2,20100829110529,20111104170209,unknown
21,Ekuah,5,1,20041117113634,20060506075719,unknown
22,Sir James,5,2,20120423123906,20120613171735,unknown
23,Tickle me,4,0,20080919112246,20080924211538,unknown
24,Gruenfisch,4,0,20050714123436,20051007153302,unknown
25,Zaphiro,4,4,20051105205556,20051105211444,unknown
26,Pittigrilli,4,0,20130124102120,20130302130521,unknown
27,195.200.34.50,4,0,20070219110558,20070219120457,unknown
28,Encyclopedist~dewiki,4,0,20071020204813,20071020213918,unknown
29,Xaver Beimdiek,4,0,20080304032015,20080305000231,unknown
30,Polentario,4,2,20080923134701,20111126193750,unknown
31,PDD,4,1,20080430232150,20130923113421,unknown
32,Chef,4,1,20050619145255,20050619173625,unknown
33,Rabanusmaurus,4,0,20160708172243,20161214120834,unknown
34,Taxiarchos228,4,2,20080104161022,20081130204304,unknown
35,Frantisek,4,2,20060503151129,20060507165559,unknown
36,84.151.72.96,4,0,20050815143032,20050815152735,unknown
37,Neun-x,3,0,20161214183053,20161214220545,unknown
38,62.153.71.162,3,0,20060109132931,20060119135359,unknown
39,Parzi,3,1,20160223193638,20160223195339,unknown
40,2003:51:4F56:D317:55A4:CE65:C1AD:EB25,3,0,20141109210653,20141109212630,unknown
41,FloCo,3,0,20060827203017,20060827203147,unknown
42,62.158.58.19,3,0,20070218160207,20070218161119,unknown
43,Ute Erb,3,3,20160405231612,20160405233351,unknown
44,Antaios,3,2,20050815143729,20050818202939,unknown
45,Giftmischer,3,3,20100713175854,20110223094632,unknown
46,Schotterebene,3,2,20150524053016,20160212060943,unknown
47,Röhrender Elch,3,2,20101014184157,20101014184615,unknown
48,Jivee Blau,3,3,20120602003204,20141109212702,unknown
49,FranzFerdinand~dewiki,3,1,20051124010409,20051124011800,unknown
50,Zwobot,3,3,20040506164154,20081231154659,unknown
51,Sulfolobus,3,3,20061129233057,20061129233610,unknown
52,80.226.0.1,3,0,20110719215645,20110816190948,unknown
53,Diba,3,3,20070704162359,20070704163534,unknown
54,Tillwe,3,1,20050814130355,20060502133709,unknown
55,Pfalzfrank,3,1,20070828234208,20070830230635,unknown
56,Bjj,3,3,20110707103436,20110707105714,unknown
57,Alrici,3,3,20120528080020,20120528162018,unknown
58,Boshomi,3,1,20130302074919,20161103231206,unknown
59,Stepan,3,0,20080310021936,20080310022117,unknown
60,Zero Thrust,3,2,20131101213712,20150508200555,unknown
61,Olaf Kosinsky,3,2,20150212190416,20170918112626,unknown
62,Dick Tracy,3,0,20051105121049,20051109171322,unknown
63,Liquidat,2,2,20050918231213,20050918231246,unknown
64,Mussklprozz,2,1,20140708154102,20150201191707,unknown
65,72.14.220.136,2,0,20081130202727,20081130203839,unknown
66,Tsor,2,2,20050818203404,20060618082747,unknown
67,Engie,2,2,20090917214946,20100902195242,unknown
68,08-15,2,2,20060525100917,20060525174129,unknown
69,Vinci,2,0,20021001230429,20021001230556,unknown
70,Sicherlich,2,1,20051208221747,20060116193752,unknown
71,Kh80,2,2,20111126193758,20111126193909,unknown
72,Jobu0101,2,2,20130326134918,20150130164334,unknown
73,Helenopel,2,0,20071005145945,20071005150047,unknown
74,Luke081515Bot,2,0,20161103223929,20161120122637,unknown
75,Joriki,2,1,20101206014128,20101206022644,unknown
76,Mastad,2,1,20031127201708,20041224162131,unknown
77,Filtor,2,2,20081122110315,20081222083930,unknown
78,92.229.59.174,2,0,20090723060920,20090723062403,unknown
79,Zerohund,2,1,20060507093820,20060507094523,unknown
80,Anaqonda,2,0,20061029131806,20061029132010,unknown
81,Sciurus,2,2,20041116185929,20041116191451,unknown
82,Oberlaender,2,0,20091031163658,20100127183141,unknown
83,81.170.185.48,2,0,20131101124555,20131101124814,unknown
84,Codeispoetry,2,1,20080430213059,20080612155540,unknown
85,LaaknorBot,2,2,20090409200952,20120911195153,unknown
86,91.10.179.211,2,0,20181130165233,20181130170140,unknown
87,89.14.217.17,2,0,20070212134338,20070212134647,unknown
88,Doktor Love,2,1,20131004232035,20131007144447,unknown
89,Nachtwächter90,2,1,20081221165736,20081221165929,unknown
90,MerlLinkBot,2,2,20090919190814,20091203162347,unknown
91,Freud,2,0,20130903124246,20131007100742,unknown
92,GrouchoBot,2,2,20081027204714,20100502125628,unknown
93,Scooter,2,1,20051215183224,20060503080304,unknown
94,Altmark,2,1,20080116123451,20080116123859,unknown
95,Definitiv,2,2,20111209072813,20111209161303,unknown
96,Asperatus,2,0,20190106162633,20190106173935,unknown
97,84.156.97.131,2,0,20060927080924,20060927080956,unknown
98,Magnus Nufer,2,1,20050523212138,20050607055003,unknown
99,80.145.179.53,2,0,20040321012808,20040321013256,unknown
100,Silberštejn,2,0,20140608235844,20140609000107,unknown
101,Max Plenert,2,0,20051229120441,20061029132628,unknown
102,Über-Blick,2,0,20120523232122,20120523232531,unknown
103,79.231.78.1,2,0,20130828134641,20130828135119,unknown
104,80.136.90.93,2,0,20170925065014,20170925065715,unknown
105,92.229.59.66,2,0,20090723064714,20090723065359,unknown
106,83.135.221.200,2,0,20080104151707,20080104161521,unknown
107,92.226.37.150,2,0,20090719174640,20090719174804,unknown
108,Demoskratos,2,0,20071205191252,20071205191441,unknown
109,GerhardSchuhmacher,2,1,20140826074521,20140916132432,unknown
110,84.72.75.236,2,0,20060205230532,20060205231153,unknown
111,Sebbot,2,0,20061218105641,20150213063252,unknown
112,Braunbaer,2,1,20030709120657,20051125124939,unknown
113,Dateientlinkerbot,2,0,20140307092506,20171008085036,unknown
114,Scaevola,2,2,20060510052212,20060715082912,unknown
115,93.222.184.191,2,0,20130717142646,20130717142900,unknown
