,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,In dubio pro dubio,72,65,20160401204526,20160426093713,unknown
1,Mogelzahn,33,21,20040711083816,20170101165329,unknown
2,Sir James,23,13,20111011174408,20161102105928,unknown
3,TMFS,22,5,20031117170214,20070702121444,unknown
4,Harry Canyon,15,5,20160401114331,20160402092815,unknown
5,MAY,15,0,20100921012157,20160216212511,unknown
6,Miltrak,15,0,20130603152522,20170514210125,unknown
7,TJ.MD,14,5,20100912200741,20111116174230,unknown
8,Olaf Kosinsky,14,5,20160319094614,20180721093645,unknown
9,Der wahre Jakob,9,6,20101024133748,20181216141049,unknown
10,Archiv des Liberalismus,8,1,20131117003040,20181218153907,unknown
11,80.143.133.11,8,0,20030911201422,20030911202849,unknown
12,Boonekamp,7,4,20100317212222,20110620080334,unknown
13,J.-H. Janßen,7,2,20060910181855,20160402220744,unknown
14,Aka,7,6,20050705172612,20180530120726,unknown
15,Steffen Löwe Gera,7,7,20160401130550,20171104155111,unknown
16,Sebbot,7,2,20070501182534,20150704130323,unknown
17,Roland Kutzki,7,5,20140627085039,20160401104816,unknown
18,PhChAK,6,2,20091004105440,20100428150656,unknown
19,Berihert,6,3,20150203214131,20170220200451,unknown
20,GT1976,6,0,20081223081638,20151113185251,unknown
21,88.71.72.193,6,0,20100630100931,20100630101125,unknown
22,HaeB,6,0,20040928094754,20061122210716,unknown
23,Lilliebine,5,0,20140627055101,20140702210740,unknown
24,Ngowatchtransparent,5,1,20090727133955,20101113102041,unknown
25,Triebtäter,5,0,20041203155318,20050120200519,unknown
26,Datenspecht,5,2,20120209221424,20120321183726,unknown
27,Horst-schlaemma,5,2,20160401194555,20160401200423,unknown
28,EBB,5,5,20040611154444,20050314140728,unknown
29,Bonnlander,5,5,20160402081113,20160403163939,unknown
30,Clemenceau,5,0,20041112113256,20041112125206,unknown
31,Sas2009,5,4,20110615053313,20110615054051,unknown
32,Anton Sevarius,5,1,20160401102023,20160404074022,unknown
33,Pölkkyposkisolisti,4,0,20141104212307,20160403092629,unknown
34,Verzettelung,4,4,20160312144942,20160322191609,unknown
35,Regi51,4,3,20080306095219,20120123091705,unknown
36,LIU,4,2,20111121081955,20140605164905,unknown
37,Stefan Kühn,4,3,20040810165332,20040918210220,unknown
38,Meier99,4,3,20160402115417,20160402153302,unknown
39,Saidmann,4,0,20140331120254,20140331124939,unknown
40,Funmann2000,4,0,20160401123237,20160401194511,unknown
41,Alinea,4,1,20160401145456,20171005154022,unknown
42,JCS,4,1,20060104032520,20080323055107,unknown
43,Leit,4,4,20060721145929,20070208183211,unknown
44,Jivee Blau,4,2,20120530223941,20160325150044,unknown
45,88.128.82.70,3,0,20160401101206,20160401101312,unknown
46,Ulrich.fuchs,3,1,20030911201701,20030911214501,unknown
47,Matthead,3,0,20070920125528,20070920130402,unknown
48,Armin P.,3,2,20120615111933,20131220212405,unknown
49,Ot,3,3,20100929035612,20160420044131,unknown
50,MBq,3,3,20160622063915,20170401164426,unknown
51,SDB,3,0,20110520154218,20121102194020,unknown
52,80.219.210.120,3,0,20070409221122,20070409222545,unknown
53,Anathema,3,3,20040921105333,20041204200745,unknown
54,Doc Taxon,3,1,20160401122345,20160401171241,unknown
55,213.23.4.74,3,0,20060725143451,20060727145633,unknown
56,Gödeke,3,3,20110128143050,20121006151445,unknown
57,Hejkal,3,0,20160402050212,20180912182301,unknown
58,Kritischer Geist,3,0,20120319191012,20121012175616,unknown
59,RoBri,3,2,20160401101020,20180708230248,unknown
60,Martin Sg.,3,0,20151126185530,20160401112652,unknown
61,46.252.136.82,3,0,20160401102651,20160401103205,unknown
62,Ixitixel,3,3,20050516180838,20050518135357,unknown
63,Philipp Wetzlar,3,2,20090528155346,20090528155643,unknown
64,Waelder,3,2,20040123003122,20040125220853,unknown
65,Zwobot,3,3,20040903080307,20060122080853,unknown
66,Luckas-bot,3,3,20100119054215,20111208073132,unknown
67,132.195.114.137,3,0,20060613062836,20060613063659,unknown
68,Radschläger,3,2,20081211150252,20090225153826,unknown
69,Dmicha,3,3,20140816132447,20170908124353,unknown
70,Bettenlager,3,2,20040820131439,20040908125134,unknown
71,Gonzo.Lubitsch,3,0,20160401112100,20160401112530,unknown
72,Emmridet,3,2,20090103000306,20170902212123,unknown
73,Horst Gräbner,3,1,20140508211616,20161209154924,unknown
74,Pittimann,3,2,20130104141737,20160401101634,unknown
75,Southpark,3,2,20040109114143,20081211130709,unknown
76,ArthurMcGill,3,2,20120918093949,20151204154324,unknown
77,Atamari,3,0,20090426175055,20130922125718,unknown
78,Giebenrath,2,0,20140606141429,20140607003853,unknown
79,155.56.68.221,2,0,20070321102658,20070327122626,unknown
80,Guido.Frey,2,1,20080510182011,20080510222544,unknown
81,Dancer,2,2,20090624162942,20090625010925,unknown
82,Kochel86,2,0,20150120153302,20151222163449,unknown
83,Bernhard55,2,2,20040627135511,20040627135537,unknown
84,Sportfreund.php,2,2,20120322073203,20161124084427,unknown
85,Geof,2,0,20050615215649,20050616013943,unknown
86,Sol1,2,1,20090605210655,20110914155314,unknown
87,Inkowik,2,2,20091210160914,20091210161020,unknown
88,Peter Tritthart,2,1,20160209165042,20160209165442,unknown
89,62.214.12.198,2,0,20040330073824,20040330073943,unknown
90,84.128.106.102,2,0,20041004094826,20041004100332,unknown
91,10Tagebart,2,0,20131230163424,20131230173015,unknown
92,Schubbay,2,1,20100730185424,20100730185608,unknown
93,Atc,2,1,20160401102133,20171211102746,unknown
94,Malabon,2,1,20120116210721,20150713190718,unknown
95,GMH,2,2,20071212185114,20071212185141,unknown
96,Ai,2,1,20050302094454,20050302145119,unknown
97,Hubu66,2,0,20170612093919,20170612093940,unknown
98,94.216.198.208,2,0,20160401101612,20160401101647,unknown
99,Chjb,2,0,20110406145023,20110513101015,unknown
100,Kaiser in Europa,2,0,20111218150250,20111218151012,unknown
101,Garnichtsoeinfach,2,2,20090327124325,20090327124404,unknown
102,193.22.32.200,2,0,20070321064228,20090327115347,unknown
103,24-online,2,2,20040724221622,20040820153243,unknown
104,Nolispanmo,2,2,20080407201807,20130104142226,unknown
105,Speaker,2,0,20090112173537,20090112203107,unknown
106,Didym,2,2,20180327132011,20180327132350,unknown
107,Leucojum vernum,2,2,20140523031411,20140523031524,unknown
108,Qaswa,2,0,20160401105210,20180518104718,unknown
109,80.152.48.234,2,0,20161102073157,20161102103434,unknown
110,62.245.207.10,2,0,20060412163535,20060412164129,unknown
111,192.124.243.233,2,0,20110614145519,20110614145706,unknown
112,Till Wollheim,2,0,20070424010206,20070424010357,unknown
113,Tohma,2,1,20080119220828,20150301170423,unknown
114,Florian.keller,2,0,20050421135742,20050421161454,unknown
115,Neun-x,2,0,20170723071427,20170820214159,unknown
116,80.138.79.242,2,0,20061113142033,20061113142158,unknown
117,Leserbrief,2,0,20160401101449,20160401101601,unknown
118,80.135.177.91,2,0,20031012124645,20031012124809,unknown
119,Iwesb,2,2,20170211050954,20170628001532,unknown
120,Holger1974,2,0,20090208215036,20090208215211,unknown
121,2A02:810D:923F:FABE:84A3:5ED0:E83D:83B1,2,0,20180705204846,20180705210508,unknown
122,Quarz,2,0,20110108062755,20120709085910,unknown
123,Mac CH,2,2,20040630193626,20040726153118,unknown
124,Harrobot,2,2,20161210121215,20161211222044,unknown
125,145.243.194.130,2,0,20070119153808,20070119154445,unknown
126,Head,2,1,20041008221212,20051008131937,unknown
127,Stikatta,2,0,20060331060653,20060331060737,unknown
128,SchirmerPower,2,0,20160401102215,20160401102433,unknown
129,Spargelschuft,2,0,20080910113547,20090224134634,unknown
130,Filterkaffee,2,1,20131008194519,20150924162617,unknown
131,Stawi0611,2,2,20160401101735,20160401113241,unknown
132,Max Dax,2,0,20110412233321,20110412233452,unknown
133,77.56.53.183,2,0,20160401123109,20160401123326,unknown
134,Harry8,2,1,20170313144251,20170313144351,unknown
135,Intheusa,2,2,20050724013802,20050724060437,unknown
136,217.91.71.128,2,0,20100426080706,20100426080834,unknown
137,Däädaa,2,0,20111116172330,20111122020359,unknown
138,Andrea014,2,0,20170204121345,20170211042420,unknown
139,Amberg,2,0,20090115090936,20090115092433,unknown
140,217.250.179.230,2,0,20051118170440,20051118170556,unknown
141,Matthias Hake,2,0,20160401105529,20160401105633,unknown
142,91.67.217.104,2,0,20091202235606,20091202235755,unknown
143,Frochtrup,2,1,20100716193937,20100718165352,unknown
144,Hunding,2,1,20050128210701,20050202030703,unknown
145,F.Blaubiget,2,0,20170426110008,20170426110708,unknown
146,84.153.8.156,2,0,20060126173749,20060126173906,unknown
147,Felix17101999,2,1,20160401101457,20160401101626,unknown
148,155.56.68.220,2,0,20070321135128,20070321135301,unknown
149,Pelz,2,1,20111201214626,20140819112809,unknown
150,Saloa,2,0,20130505112918,20130505113000,unknown
151,Scribo,2,0,20070319112313,20070319112952,unknown
152,ReneDens,2,0,20120530215140,20120530224043,unknown
153,Unscheinbar,2,2,20041121150050,20051118171227,unknown
154,Dr Lol,2,0,20130318091836,20130318103330,unknown
155,I. Christa Kant,2,0,20090607105757,20090607110059,unknown
156,89.51.245.103,2,0,20070129215739,20070129215800,unknown
157,GregorHelms,2,2,20160401104554,20160401104738,unknown
158,Malteser,2,0,20040506122426,20040506122511,unknown
159,Savin 2005,2,2,20080224170413,20090930073840,unknown
160,141.48.69.164,2,0,20081128120432,20081128120540,unknown
161,84.58.105.44,2,0,20050828155721,20050828160159,unknown
162,79.194.88.183,2,0,20140912163503,20140912164537,unknown
163,87.152.243.81,2,0,20151111135408,20151111140352,unknown
164,62.226.232.83,2,0,20110607071746,20110607071815,unknown
165,Mattes,2,1,20150826184626,20160417200449,unknown
166,80.128.92.153,2,0,20040831125503,20040831125703,unknown
167,ZéroBot,2,2,20120815122515,20121108235031,unknown
168,Torinberl,2,1,20041225121659,20050828062247,unknown
169,Glglgl,2,1,20040728210615,20161207121144,unknown
170,176.198.254.58,2,0,20140603131532,20140606140158,unknown
171,Wistula,2,0,20090622173430,20090622214015,unknown
172,Pfefferkuchentroll,2,2,20171211165249,20171211165418,unknown
