,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Elvaube,76,1,20120717061655,20181105212734,unknown
1,分液漏斗,51,47,20180914140746,20181105172752,unknown
2,In dubio pro dubio,48,42,20180907203703,20181105233630,unknown
3,Parvolus,46,3,20180916041739,20190102071024,unknown
4,Lectorium,24,0,20160613102147,20181105155637,unknown
5,Benatrevqre,22,3,20180909142536,20180928141032,unknown
6,Khatschaturjan,21,3,20180918170721,20181107095953,unknown
7,Schilderwaldmeister,17,6,20180911165135,20190307192953,unknown
8,JosFritz,17,7,20180922173821,20181115112055,unknown
9,Knopffabrik,16,3,20120717210547,20141110173233,unknown
10,Über-Blick,15,0,20121013141036,20181124041009,unknown
11,Phi,12,1,20180908143214,20181127140357,unknown
12,F. J. von Abgrund,12,0,20150802194824,20150803235219,unknown
13,WeiterWeg,11,1,20180914185154,20181114181131,unknown
14,Cyve,10,0,20180913102819,20181105204408,unknown
15,Aka,10,10,20161027111600,20190214164725,unknown
16,Martin Sg.,8,0,20180918162425,20181105145917,unknown
17,Mps,7,4,20170729101536,20180917173939,unknown
18,Learyx2012,6,3,20120718173657,20120720154948,unknown
19,Pgoergen,6,4,20150804154301,20150810083601,unknown
20,Sanandros,6,0,20121013171430,20180921201613,unknown
21,Julraft,5,0,20180921143151,20180923173214,unknown
22,Max12Max,5,1,20181105151540,20181105183429,unknown
23,RoBri,5,5,20180913164004,20181128005136,unknown
24,Petruz,5,1,20180816112805,20180913151447,unknown
25,Severin Kohler,5,4,20141022185121,20141022185810,unknown
26,Munibert,5,1,20180923220925,20180925003610,unknown
27,Tfjt,5,5,20150731170755,20181105144224,unknown
28,Gunnar ostfald,5,0,20150730205000,20150730211610,unknown
29,KurtR,4,1,20180915021047,20181106004140,unknown
30,-stk,4,2,20180808135217,20181020132121,unknown
31,Smutsmaker,4,2,20180918162442,20180923145335,unknown
32,Kalorie,4,0,20120719082314,20180923160833,unknown
33,Universalamateur,4,2,20181108055958,20181112205411,unknown
34,Agathenon,4,2,20180909091404,20180920132445,unknown
35,Tohma,4,0,20130827074317,20181127151157,unknown
36,Dioskorides,4,0,20180914111339,20180914121638,unknown
37,Shoshone,3,1,20180913133832,20180913134415,unknown
38,Jensbest,3,0,20181030195401,20181127150514,unknown
39,Sir Horatio,3,1,20181105151300,20181109094646,unknown
40,Ute Erb,3,3,20120719111248,20120719111758,unknown
41,Zxmt,3,3,20150216143026,20180218211452,unknown
42,Connoisseur of politics,3,2,20150813013328,20180919104620,unknown
43,Luke081515Bot,3,0,20161103221310,20161120154948,unknown
44,Altsprachenfreund,3,2,20180905135809,20180922113138,unknown
45,Lettres,3,0,20180912222604,20181108210041,unknown
46,Sujalajus,3,0,20160104130438,20180917190007,unknown
47,Andropov,3,1,20161105104626,20180313004313,unknown
48,Muns,3,2,20180907114953,20180907115304,unknown
49,Markobr,3,3,20180917092536,20180917111157,unknown
50,Saint-Louis,3,0,20120717202642,20120719194614,unknown
51,Albin Schmitt,3,0,20180811100853,20180812100010,unknown
52,JFH-52,3,2,20180918141108,20180918142048,unknown
53,AndySchneider71,3,0,20181110180739,20181111162709,unknown
54,Gig74,3,2,20140507102438,20150809110147,unknown
55,Gert Lauken,3,1,20180812145116,20180812185730,unknown
56,Logograph,2,0,20180816120901,20181106080603,unknown
57,Hejkal,2,0,20150803175928,20180919202358,unknown
58,95.222.78.189,2,0,20180921052122,20181105173342,unknown
59,Kku,2,1,20150731083801,20150731084415,unknown
60,87.170.204.239,2,0,20180916103425,20180916104844,unknown
61,195.88.117.166,2,0,20181106114449,20181106114620,unknown
62,GestHat,2,2,20190214070005,20190214071130,unknown
63,GT1976,2,0,20181217075135,20181217075214,unknown
64,Horst Gräbner,2,2,20150730170756,20180624211221,unknown
65,Paintdog,2,0,20180918164904,20180918164941,unknown
66,Fraknö,2,2,20180919071858,20181105155122,unknown
67,Kommerz79,2,1,20181105192507,20181105195145,unknown
