,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,33,12,20031103013704,20071027142925,unknown
1,Sir James,22,19,20080921063825,20160112223125,unknown
2,Barnos,16,5,20160131143433,20160711141029,unknown
3,SPD Parteivorstand,15,0,20071016174621,20080130082606,unknown
4,Mogelzahn,13,6,20040713110148,20151225151811,unknown
5,Vogelperspektive,13,1,20111201140510,20120514152000,unknown
6,Hardenacke,11,11,20080501154852,20101008061239,unknown
7,Buchbibliothek,7,6,20131116151719,20160425193031,unknown
8,Hubertl,7,4,20061115180940,20080519152107,unknown
9,88.75.85.113,7,0,20080424062525,20080424171048,unknown
10,Triebtäter,6,1,20040528195620,20090102105520,unknown
11,178.26.78.135,6,0,20141023123623,20141023133239,unknown
12,Aka,6,6,20081226200232,20180211212742,unknown
13,178.26.81.211,6,0,20141105175000,20141105180932,unknown
14,Anathema,6,2,20040419145921,20040923064201,unknown
15,88.72.15.248,6,0,20070314150637,20070315072825,unknown
16,David Wintzer,6,6,20080916121159,20180129091955,unknown
17,N.Eschenhagen,5,0,20061213185022,20080821203151,unknown
18,Kandro3,5,1,20060124122313,20060131100845,unknown
19,Paddy,5,1,20040921132331,20040921152407,unknown
20,88.72.13.201,5,0,20070331170610,20070331172859,unknown
21,Str1977,5,1,20051122221850,20120613170722,unknown
22,Cornwells,4,0,20120328001454,20120701093524,unknown
23,Complex,4,1,20070423183929,20100904115317,unknown
24,MAY,4,1,20100804235732,20141202210650,unknown
25,Schlesinger,4,4,20070614191336,20110327210727,unknown
26,Muns,4,0,20050322135435,20050323144643,unknown
27,178.26.63.46,4,0,20141024123945,20141024130622,unknown
28,Gustav von Aschenbach,4,3,20080424171308,20120622134030,unknown
29,Ruedigerzim,4,4,20110922075307,20110922075916,unknown
30,217.249.126.5,3,0,20050627115305,20050627115530,unknown
31,188.174.5.173,3,0,20130630102114,20130630110239,unknown
32,Thomas Schulte im Walde,3,2,20160808195407,20160808195922,unknown
33,88.72.15.107,3,0,20070406124335,20070406124501,unknown
34,Busbahnhof,3,1,20160112220931,20160117191156,unknown
35,Xqbot,3,3,20090429031617,20100807161646,unknown
36,Cholo Aleman,3,1,20160821061652,20160821153803,unknown
37,Dmicha,3,3,20131222103636,20160601105611,unknown
