,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,EH⁴²,18,5,20150113113433,20170605152632,unknown
1,Cyve,17,3,20131214195128,20170529090140,unknown
2,Schotterebene,14,12,20140914082224,20180308135849,unknown
3,Kängurutatze,13,2,20150827114801,20160413093001,unknown
4,Neun-x,12,0,20160908071231,20160908164505,unknown
5,Alstersegler,11,0,20180315004124,20180315134334,unknown
6,N.Eschenhagen,10,0,20070316110832,20120126143322,unknown
7,Rævhuld,9,0,20170519165515,20170616162826,unknown
8,Jordi,9,5,20170519134541,20170520072937,unknown
9,RoBri,9,6,20170519143501,20181007161853,unknown
10,Aka,8,8,20120327163052,20180317115707,unknown
11,Pass3456,8,0,20170520151832,20170530191721,unknown
12,EPei,7,0,20090819112750,20150412100848,unknown
13,Horst Gräbner,7,3,20131213213548,20171022142734,unknown
14,87.176.237.53,7,0,20131213221207,20131213222237,unknown
15,Slökmann,6,2,20070925174059,20180813181334,unknown
16,Bautsch,5,2,20140207082248,20141219081745,unknown
17,Rmcharb,5,3,20160927163444,20180529171330,unknown
18,Brevity,5,2,20140108092342,20140615091205,unknown
19,Regi51,5,5,20150528205430,20180317221336,unknown
20,Serols,5,5,20170129180242,20180320080604,unknown
21,Eppelheim,5,0,20141114071357,20160225070429,unknown
22,Volkstribun 2.0,5,3,20170723234752,20180317015813,unknown
23,Se4598,5,5,20140113131714,20140306100224,unknown
24,Schnabeltassentier,4,3,20161215200600,20170701032211,unknown
25,Leko28,4,3,20190104143116,20190104143817,unknown
26,Andy king50,4,2,20161022151944,20180314164648,unknown
27,2003:D7:3D6:3400:DCB3:1522:8E7A:3778,4,0,20180328082343,20180328082829,unknown
28,Ute Erb,4,4,20150805083819,20160908164743,unknown
29,Batschkapp,4,0,20120215075914,20141209092244,unknown
30,Yoda1893,4,0,20131217125957,20181116205131,unknown
31,2A02:8070:9494:AA00:F91B:61B5:BA0E:A781,4,0,20151022202600,20151022203522,unknown
32,Nixus Minimax,4,0,20160411153022,20180314152255,unknown
33,Olaf Kosinsky,4,2,20150214133116,20180310164107,unknown
34,Chemnitzer96,4,0,20151017120809,20151217185104,unknown
35,78.54.148.25,4,0,20151227110148,20151227111022,unknown
36,134.155.99.72,4,0,20131213162508,20131213170618,unknown
37,Luke081515Bot,4,0,20161103212936,20161125223203,unknown
38,Poldy 1973,4,4,20131215161124,20170927095411,unknown
39,Centenier,3,3,20151227110746,20180416155358,unknown
40,AF666,3,0,20050528105555,20050528162101,unknown
41,Kleiner Stampfi,3,1,20150620164223,20150620173921,unknown
42,Hgzh,3,3,20170206095221,20170206095610,unknown
43,91.17.49.22,3,0,20170501112529,20170501172014,unknown
44,2A02:810D:923F:FABE:7512:4826:35FA:7A29,3,0,20180814201426,20180814235932,unknown
45,217.85.168.12,3,0,20150113142023,20150113142407,unknown
46,Myaburm,3,1,20180926190824,20180926192312,unknown
