,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Dioskorides,37,6,20170912214316,20181105204239,unknown
1,Mazbln,22,7,20040914201826,20120530192411,unknown
2,Pittigrilli,21,0,20090603140206,20130130175112,unknown
3,TMFS,17,6,20031117210647,20070605154408,unknown
4,Donautalbahner,13,4,20070824190149,20081014170140,unknown
5,Sir,12,6,20050723130458,20070809195933,unknown
6,Über-Blick,12,0,20151226190104,20170912211624,unknown
7,RoBri,11,1,20170912091419,20170912092637,unknown
8,Fossa,10,1,20081113152416,20091014013436,unknown
9,Bene16,9,5,20070603133547,20070605042749,unknown
10,Gary Dee,8,4,20101022201301,20101207221801,unknown
11,Ersterstock,7,0,20150318122305,20150318123300,unknown
12,Aka,7,6,20050705164443,20180422062622,unknown
13,Neun-x,7,0,20101027092959,20170915065555,unknown
14,Stefan64,6,0,20070603163741,20101011220757,unknown
15,Blaua,5,0,20131105133607,20131105134303,unknown
16,Solaris3,5,0,20131126132009,20150318141101,unknown
17,Pelz,5,2,20050501113819,20120130222020,unknown
18,Felix König,5,4,20101007180215,20130130175508,unknown
19,Svencb,4,1,20050411001859,20050430115020,unknown
20,Benatrevqre,4,1,20070531213418,20101022201459,unknown
21,87.151.38.97,4,0,20170912091456,20170912092528,unknown
22,Rbrausse,4,2,20101201221855,20101203082205,unknown
23,87.164.208.204,4,0,20130208095726,20130208100525,unknown
24,Udh,4,3,20101006125710,20101006131645,unknown
25,Spuk968,4,4,20100112224259,20110107152234,unknown
26,217.232.112.49,4,0,20060825123638,20060825125247,unknown
27,85.178.76.61,4,0,20081014143716,20081014144223,unknown
28,H.Albatros,4,4,20110611083055,20120214125715,unknown
29,Matt1971,4,4,20051003161323,20111029235214,unknown
30,Hasenläufer,3,3,20170912182736,20170927181958,unknown
31,Zaphiro,3,2,20050801210108,20100304005949,unknown
32,Drahreg01,3,0,20100410110551,20141123084525,unknown
33,80.134.192.185,3,0,20050403210456,20050403211821,unknown
34,Geisslr,3,1,20101007180308,20110718110046,unknown
35,92.195.142.187,3,0,20100225064115,20100225065158,unknown
36,Horst Gräbner,3,2,20150402104912,20170913190308,unknown
37,95.114.96.61,3,0,20090307045824,20090307052326,unknown
38,Qaswa,3,0,20170912091729,20170912122227,unknown
39,Manuel Heinemann,3,0,20110829184140,20110829190743,unknown
40,Scibork,3,1,20110118231758,20110119094955,unknown
41,Ciciban,3,0,20070811102223,20110804125826,unknown
42,Dirk33,3,0,20060614183441,20060622000148,unknown
43,Pm,3,1,20130208100344,20130208100716,unknown
44,Helium4,3,0,20180203124121,20180203131843,unknown
45,87.159.197.200,3,0,20090207234221,20090207234400,unknown
46,Dietrich,3,0,20100303165756,20100303180052,unknown
47,84.168.173.84,3,0,20070516165216,20070516165638,unknown
48,ArthurMcGill,3,2,20120203081217,20160113181700,unknown
49,89.51.125.254,3,0,20070223135157,20070223135700,unknown
50,84.170.219.159,3,0,20070812233936,20070812234253,unknown
51,Docmo,3,0,20100303075525,20170912100322,unknown
52,Itu,3,0,20111116081115,20111116081959,unknown
53,MAY,3,0,20110726042224,20120320201239,unknown
54,OLTMAR,3,0,20080730064817,20080730065340,unknown
55,O.Koslowski,3,3,20070810165748,20100303122425,unknown
56,95.114.121.118,3,0,20090307040138,20090307040820,unknown
57,HerrAdams,2,0,20170912092252,20170912092755,unknown
58,130.83.252.90,2,0,20070519110520,20070519110554,unknown
59,Radschläger,2,2,20081211145410,20090131184419,unknown
60,Waelder,2,2,20040502224607,20040504142744,unknown
61,84.170.79.106,2,0,20060802144232,20060802144315,unknown
62,91.67.44.153,2,0,20081025202849,20081025202925,unknown
63,87.138.156.51,2,0,20170912091159,20170912091858,unknown
64,Josef2610,2,2,20101201114139,20101201114324,unknown
65,217.83.4.40,2,0,20041109201712,20041109201848,unknown
66,Carlos Eggenstein,2,1,20170912104042,20170912104837,unknown
67,84.134.159.203,2,0,20100609124907,20100609124941,unknown
68,91.89.85.161,2,0,20110701195400,20110701195851,unknown
69,Nescio*,2,1,20070813144231,20070813144715,unknown
70,2A02:810C:8C0:3D4:1D2B:5AF5:15CF:7845,2,0,20160805223836,20160805223919,unknown
71,Tohma,2,0,20120417045225,20120417190619,unknown
72,Mehlauge,2,1,20140802210158,20160120145204,unknown
73,Pereos,2,1,20151110223344,20151110225313,unknown
74,217.230.200.58,2,0,20081113144440,20081113150148,unknown
75,188.107.210.117,2,0,20100303112857,20100303112947,unknown
76,DerMaxdorfer,2,0,20170912131142,20170912131502,unknown
77,Luke081515Bot,2,0,20161119122707,20161129185958,unknown
78,79.198.136.43,2,0,20100112224251,20100112224357,unknown
79,Kalumet,2,1,20100603144522,20100604160355,unknown
80,88.72.23.38,2,0,20070525221256,20070525221808,unknown
81,Thomas Schulte im Walde,2,1,20141124073516,20170913202917,unknown
82,85.124.107.225,2,0,20100325201916,20100325202108,unknown
83,Iwesb,2,2,20150918050201,20181225002202,unknown
84,Falonso360,2,1,20170912091214,20170912091301,unknown
85,Pfeifadeggl,2,2,20101007125000,20101007130651,unknown
86,95.88.10.10,2,0,20101201143343,20101201181350,unknown
87,Clemenceau,2,0,20041112113833,20041112121955,unknown
88,79.233.112.82,2,0,20110407062222,20110407062429,unknown
89,Schorle,2,2,20151119100737,20180920133110,unknown
90,Jed,2,2,20040206144747,20040207154342,unknown
91,Giftmischer,2,2,20110515173400,20180214154603,unknown
92,Ehrhardt,2,1,20090410170858,20090524215508,unknown
93,Skara Brae,2,2,20061120142210,20061202105058,unknown
94,84.128.133.185,2,0,20110402192959,20110402193023,unknown
95,88.66.229.179,2,0,20080319013408,20080319013517,unknown
96,Teilzeittroll,2,0,20091024112444,20091030001446,unknown
97,Harro von Wuff,2,2,20080124000814,20080124000953,unknown
98,80.139.120.62,2,0,20031210151031,20031210151055,unknown
99,Buchbibliothek,2,0,20151101204733,20151130214714,unknown
100,Martinus65,2,2,20181105185518,20181106134144,unknown
101,Audaxx,2,2,20071214130518,20080530221011,unknown
102,Zwobot,2,2,20041204213947,20060216031841,unknown
103,Sauerteig,2,1,20170320102519,20170320102629,unknown
104,Gelli63,2,0,20110718105703,20110718131255,unknown
105,EscoBier,2,0,20070524181210,20070528192321,unknown
106,Howwi,2,2,20110407062231,20110407062445,unknown
107,84.188.246.158,2,0,20070517205216,20070517205522,unknown
108,Torsten Bätge,2,2,20070621121640,20080116193321,unknown
109,Rusti,2,0,20080223122758,20080223123510,unknown
110,217.249.143.5,2,0,20060802144031,20060802144517,unknown
111,79.238.190.160,2,0,20101011215336,20101011215514,unknown
112,Rybak,2,1,20041221152821,20081211115329,unknown
113,William Wiltshire,2,1,20110803154941,20110803155053,unknown
114,Gipsei,2,1,20130131033058,20140322004153,unknown
115,Olaf Kosinsky,2,2,20150208202149,20150208202201,unknown
116,24karamea,2,2,20110402193042,20110402193530,unknown
117,84.58.130.99,2,0,20070809155937,20070809160209,unknown
118,Christof1981,2,1,20151103182134,20151103182237,unknown
119,Faber-Castell,2,0,20060827093131,20060827093825,unknown
120,Guillermo,2,0,20031210151857,20031210152329,unknown
121,Inforadio,2,1,20071215203941,20071216131700,unknown
122,Qhx,2,2,20100824092527,20101006210006,unknown
123,Baumfreund-FFM,2,1,20070902172533,20080107211327,unknown
124,Fuzzile,2,2,20070524200538,20070524200709,unknown
125,Bergwald,2,0,20080507171723,20080507172301,unknown
126,Nico-Nissen,1,0,20160218085717,20160218085717,unknown
127,MerlLinkBot,1,1,20091203163230,20091203163230,unknown
128,84.167.254.174,1,0,20050712203755,20050712203755,unknown
129,Stöver,1,1,20100321164449,20100321164449,unknown
130,Kurpälzer,1,1,20060928154315,20060928154315,unknown
131,Ute Erb,1,1,20170912230748,20170912230748,unknown
132,Verita,1,0,20101030141329,20101030141329,unknown
133,Miss-Sophie,1,1,20110311171709,20110311171709,unknown
134,217.234.80.143,1,0,20070624174011,20070624174011,unknown
135,174.137.63.71,1,0,20120401162903,20120401162903,unknown
136,87.161.77.32,1,0,20080224201037,20080224201037,unknown
137,Mag678,1,1,20131220103406,20131220103406,unknown
138,Geitost,1,1,20091011110419,20091011110419,unknown
139,2003:D1:DBE5:D901:EDF9:D33D:3D94:EB5,1,0,20170912091657,20170912091657,unknown
140,92.194.216.2,1,0,20100303214934,20100303214934,unknown
141,78.43.199.26,1,0,20101014183743,20101014183743,unknown
142,80.140.79.49,1,0,20070516203634,20070516203634,unknown
143,79.216.204.135,1,0,20101203074520,20101203074520,unknown
144,85.233.17.73,1,0,20070602202209,20070602202209,unknown
145,188.174.17.215,1,0,20120305000554,20120305000554,unknown
146,°,1,0,20080114123734,20080114123734,unknown
147,Amberg,1,0,20130608190626,20130608190626,unknown
148,Laroon,1,0,20031101083312,20031101083312,unknown
149,62.143.12.190,1,0,20150918045546,20150918045546,unknown
150,87.139.123.188,1,0,20090831163741,20090831163741,unknown
151,Mps,1,1,20041222172635,20041222172635,unknown
152,BKSlink,1,1,20100226080514,20100226080514,unknown
153,84.162.75.51,1,0,20060525212412,20060525212412,unknown
154,Superbass,1,0,20170912112633,20170912112633,unknown
155,Faltenwolf,1,0,20101006214502,20101006214502,unknown
156,Krawi,1,1,20070508143519,20070508143519,unknown
157,2003:EC:5BDC:75B1:899F:A1CD:8C92:C824,1,0,20180920123920,20180920123920,unknown
158,PixelBot,1,1,20110818200049,20110818200049,unknown
159,KnopfBot,1,1,20071121112317,20071121112317,unknown
160,93.133.228.99,1,0,20130207020647,20130207020647,unknown
161,62.224.31.214,1,0,20080812065909,20080812065909,unknown
162,JobuBot,1,1,20150526094418,20150526094418,unknown
163,Gerhard51,1,0,20161212170629,20161212170629,unknown
164,WIKImaniac,1,1,20100125203004,20100125203004,unknown
165,193.175.141.2,1,0,20051130171911,20051130171911,unknown
166,84.140.203.162,1,0,20070305195742,20070305195742,unknown
167,Atomiccocktail,1,0,20170927110350,20170927110350,unknown
168,Sportfreak66,1,0,20101127160427,20101127160427,unknown
169,ThePeter,1,0,20070526085158,20070526085158,unknown
170,Kuebi,1,0,20120917081503,20120917081503,unknown
171,Thijs!bot,1,1,20080606195610,20080606195610,unknown
172,84.145.173.91,1,0,20090524164351,20090524164351,unknown
173,Tkarcher,1,1,20091223094416,20091223094416,unknown
174,80.246.32.33,1,0,20170912093432,20170912093432,unknown
175,KriWer,1,0,20061205222501,20061205222501,unknown
176,BalzLeuthold,1,1,20170913180539,20170913180539,unknown
177,Wunscherfüller,1,1,20101104204858,20101104204858,unknown
178,C.Löser,1,0,20070524114809,20070524114809,unknown
179,Wnme,1,1,20110402193138,20110402193138,unknown
180,ThR,1,1,20070810132443,20070810132443,unknown
181,Tvwatch,1,0,20080320090401,20080320090401,unknown
182,Lax~dewiki,1,1,20090101135845,20090101135845,unknown
183,BWBot,1,1,20040816032427,20040816032427,unknown
184,Koerpertraining,1,1,20091102170013,20091102170013,unknown
185,84.141.10.204,1,0,20050519231327,20050519231327,unknown
186,141.70.80.5,1,0,20170912091904,20170912091904,unknown
187,84.129.228.150,1,0,20100316110952,20100316110952,unknown
188,Svens Welt,1,1,20060906115836,20060906115836,unknown
189,84.226.133.74,1,0,20170912211709,20170912211709,unknown
190,Dealerofsalvation,1,1,20101022162500,20101022162500,unknown
191,88.207.161.95,1,0,20070517011314,20070517011314,unknown
192,79.229.240.40,1,0,20110107152224,20110107152224,unknown
193,80.149.16.69,1,0,20070605234635,20070605234635,unknown
194,Toska 42,1,1,20120330211343,20120330211343,unknown
195,DumZiBoT,1,1,20080203150714,20080203150714,unknown
196,Rolf acker,1,1,20131119210226,20131119210226,unknown
197,217.84.78.64,1,1,20040106020359,20040106020359,unknown
198,212.202.199.192,1,0,20090913015553,20090913015553,unknown
199,84.170.121.180,1,0,20060707213749,20060707213749,unknown
200,217.229.87.121,1,0,20070516151514,20070516151514,unknown
201,Gamba,1,1,20190109101940,20190109101940,unknown
202,Ilsebill,1,0,20070601123915,20070601123915,unknown
203,Definitiv,1,0,20111221121013,20111221121013,unknown
204,213.182.140.189,1,0,20080107210919,20080107210919,unknown
205,Feliks,1,0,20130318130518,20130318130518,unknown
206,Chillvie,1,0,20080823133630,20080823133630,unknown
207,Abrixas2,1,1,20150813200414,20150813200414,unknown
208,84.75.148.45,1,0,20090629083418,20090629083418,unknown
209,Sansculotte,1,1,20041217143738,20041217143738,unknown
210,Mellebga,1,0,20170518101840,20170518101840,unknown
211,129.187.244.28,1,0,20060404120218,20060404120218,unknown
212,Karim,1,1,20170912110157,20170912110157,unknown
213,62.214.175.70,1,0,20101006105431,20101006105431,unknown
214,217.185.125.174,1,0,20070418191210,20070418191210,unknown
215,Solomon Dandy,1,0,20180515042219,20180515042219,unknown
216,78.43.200.99,1,0,20101130174650,20101130174650,unknown
217,Andante,1,0,20070531180307,20070531180307,unknown
218,79.168.32.208,1,0,20110727205228,20110727205228,unknown
219,217.189.225.125,1,0,20070906212658,20070906212658,unknown
