,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Mogelzahn,29,19,20040629195947,20120319205923,unknown
1,TMFS,28,10,20031117203758,20080522223725,unknown
2,Ekab,17,0,20120531173252,20121217155102,unknown
3,S.Didam,17,4,20080520164258,20121217171053,unknown
4,Stefan64,9,5,20050607221437,20090327155133,unknown
5,Vsop,8,3,20120222134311,20150807130545,unknown
6,Sol1,7,4,20071027163355,20120109031745,unknown
7,Benatrevqre,7,2,20100813045938,20100813055757,unknown
8,Machahn,7,7,20070609083212,20170217135151,unknown
9,Aka,7,7,20071103131258,20171021202232,unknown
10,Hejkal,7,1,20060202182646,20081218221332,unknown
11,Schubbay,6,5,20040505160455,20051215101732,unknown
12,Tohma,6,1,20050918094426,20121228103205,unknown
13,(nob),6,5,20100323204245,20111207215825,unknown
14,Langec,6,6,20040809204755,20060129091130,unknown
15,ErzPoet,6,1,20070512084626,20070703201201,unknown
16,S.Mielke,6,1,20040316004041,20050823004840,unknown
17,122.167.13.246,5,0,20091224032702,20091224033809,unknown
18,81.223.16.242,5,0,20070202093405,20070202104435,unknown
19,Gustav von Aschenbach,5,3,20070225181026,20140322093507,unknown
20,134.34.69.76,5,0,20051203131416,20051203132910,unknown
21,Triebtäter,5,0,20040523004249,20050120195033,unknown
22,217.250.232.117,5,0,20060122232027,20060122235821,unknown
23,Sir James,4,3,20080228074843,20090713062313,unknown
24,Bubo bubo,4,3,20100516175512,20160412100233,unknown
25,Wikifreund,4,3,20080606233658,20080606235138,unknown
26,Radschläger,4,4,20081210195548,20081210205921,unknown
27,Neun-x,4,3,20100509184706,20131221013517,unknown
28,GrandpaScott,4,0,20110309152502,20110328141313,unknown
29,Jed,4,3,20031207014025,20140702073456,unknown
30,Rybak,4,0,20081212081422,20081213103150,unknown
31,Definitiv,4,0,20090130095230,20111218191035,unknown
32,Thaddäus Tentakel,4,0,20091016161327,20091016191005,unknown
33,TNolte,3,2,20090331212947,20090331213601,unknown
34,89.51.151.231,3,0,20060610154823,20060610155354,unknown
35,Kku,3,1,20030217155606,20040809204355,unknown
36,84.137.61.222,3,0,20070611090230,20070611090835,unknown
37,Anathema,3,3,20040921070423,20050428084000,unknown
38,DaB.,3,3,20060806222341,20061129004504,unknown
39,77.178.161.184,3,0,20071031073337,20071031073618,unknown
40,LIU,3,0,20120109150547,20120219125550,unknown
41,FlaBot,3,2,20041206020359,20050604173435,unknown
42,TXiKiBoT,3,3,20080802175012,20110104000129,unknown
43,84.173.240.14,3,0,20070408122752,20070408123811,unknown
44,Eschweiler,3,0,20110408141452,20110408192950,unknown
45,Pelz,3,2,20070916205823,20120123231614,unknown
46,217.250.234.18,3,0,20060807230531,20060807231702,unknown
47,Orik,3,0,20150511141801,20151219010439,unknown
48,Sansculotte,3,2,20040718011702,20041220141417,unknown
49,Hansele,3,0,20050428083217,20050629111807,unknown
50,Karsten11,3,1,20070130210341,20091207110304,unknown
51,212.222.128.40,3,0,20040304130735,20040304131007,unknown
52,134.34.69.57,3,0,20051203132411,20051203132600,unknown
53,79.232.163.200,3,0,20091208113623,20091208113949,unknown
54,Maximilian Schönherr,3,3,20120109202514,20120225183246,unknown
55,PolskiNiemiec,3,0,20100515213840,20100515214532,unknown
56,Rat,2,1,20040806175512,20050321113123,unknown
57,91.51.75.61,2,0,20120220100350,20120220100619,unknown
58,AlMa77,2,2,20100607125422,20100607135004,unknown
59,HaeB,2,1,20040610101829,20040701233636,unknown
60,Felix Stember,2,2,20090115131459,20090115131549,unknown
61,195.93.60.147,2,0,20051017205939,20051128135859,unknown
62,Ziko,2,0,20100531215141,20100601203723,unknown
63,80.129.85.8,2,0,20061208214402,20061208220416,unknown
64,80.143.73.147,2,0,20070722003231,20070722003510,unknown
65,EBB,2,2,20040523073314,20040611104703,unknown
66,ElNuevoEinstein,2,0,20090929192652,20090929192729,unknown
67,Wivoelke,2,2,20151128091335,20181221143001,unknown
68,84.58.106.232,2,0,20050819192109,20050819192250,unknown
69,JFH-52,2,2,20130528122858,20190204202352,unknown
70,91.32.246.215,2,0,20100512082900,20100512083046,unknown
71,80.145.221.211,2,0,20150511104535,20150511104714,unknown
72,Hanseat,2,2,20040304132122,20040304132156,unknown
73,Graf Foto,2,0,20130426105819,20130426105903,unknown
74,WIKImaniac,2,2,20051205173717,20051205173848,unknown
75,84.112.100.173,2,0,20060604173000,20060604173018,unknown
76,139.18.197.79,2,0,20070111233606,20070117165531,unknown
77,SieBot,2,2,20070818230036,20071103051434,unknown
78,Nightflyer,2,2,20080406191549,20120220100404,unknown
79,Lindenschmit,2,0,20131211181018,20131211181155,unknown
80,Nichtraucher789,2,0,20160525162556,20160525162721,unknown
81,84.166.118.71,2,0,20070626002446,20070626002521,unknown
82,Röhrender Elch,2,2,20090711210527,20120105213332,unknown
83,MelancholieBot,2,2,20050930175827,20050930182910,unknown
84,MAY,2,0,20120315122431,20161215010017,unknown
85,129.125.129.142,2,0,20050630131951,20051101124913,unknown
86,Unscheinbar,2,2,20040806175857,20040806184009,unknown
87,Peter200,2,2,20120220100627,20130902132544,unknown
88,Malabon,2,2,20120201205830,20120201210154,unknown
89,Zwobot,2,2,20050319104356,20060123185329,unknown
90,122.167.30.212,2,0,20091101021059,20091101023611,unknown
91,D,2,1,20051017210117,20060711195831,unknown
92,Luke081515Bot,2,0,20161119114448,20161124213448,unknown
93,ThoR,2,1,20070723184320,20070723184729,unknown
94,Calvin Ballantine,2,0,20051008070951,20060706141855,unknown
95,Nuuk,2,1,20131125104708,20131211183346,unknown
96,Buchbibliothek,2,0,20160314152829,20160314152934,unknown
97,80.129.121.83,2,0,20070611094141,20070611094219,unknown
98,Der.Traeumer,2,2,20150511104552,20150511104719,unknown
99,80.87.162.74,2,0,20050617141918,20050617142337,unknown
100,ArthurBot,2,2,20091221083644,20100420133351,unknown
101,Speaker,2,0,20090112154607,20090112155007,unknown
102,141.55.125.33,2,0,20050206131637,20050206132111,unknown
103,Konrad Conrad,2,2,20120109082916,20130122113217,unknown
104,2A02:8070:E194:1C00:D9A5:D3E3:CF25:AD70,2,0,20150910043932,20150910044143,unknown
105,Engelbaet,2,0,20060926153726,20061012154611,unknown
106,Simeon Kienzle,2,0,20040211214416,20040211214521,unknown
107,Louis63,2,0,20100105174008,20100105174101,unknown
108,217.224.144.232,2,0,20040613135632,20040613140343,unknown
109,El Kael,2,2,20090122041244,20090122041611,unknown
110,Christoph Franzen,2,2,20121230201209,20121230201949,unknown
111,Jkü,2,2,20080402050736,20090422051233,unknown
112,DLiebisch,2,2,20081223120744,20081223121134,unknown
113,Armin P.,2,2,20091013211130,20091013211455,unknown
114,84.185.252.134,2,0,20051012114411,20051012114532,unknown
115,Luckas-bot,2,2,20100530185001,20101215202728,unknown
116,SteveK,2,2,20060315194850,20150921200822,unknown
117,Feliks,2,1,20080213163007,20080213163149,unknown
118,89.12.21.254,2,0,20120521085854,20120521091624,unknown
119,Horst Gräbner,2,2,20130529131034,20131008072257,unknown
120,Scooter,2,1,20051209214306,20060122232437,unknown
121,87.148.154.34,2,0,20150225135248,20150225135410,unknown
122,88.76.62.75,2,0,20100621171912,20100629134916,unknown
123,217.87.119.195,2,0,20070409103042,20070409103157,unknown
124,Flominator,2,2,20080421191956,20080421192111,unknown
125,89.49.200.244,2,0,20090115131413,20090115131506,unknown
126,92.228.133.65,2,0,20121225203935,20121225205016,unknown
127,84.165.95.136,2,0,20051017185808,20051017185843,unknown
128,84.61.53.1,2,0,20070703134225,20070703134309,unknown
129,Mps,2,0,20041222150435,20180503204839,unknown
130,89.12.39.192,2,0,20120602163601,20120602165117,unknown
131,Hubertl,2,1,20111020223114,20111226203317,unknown
132,Miltrak,2,0,20130524141241,20130524144402,unknown
133,Zaphiro,2,2,20100510112720,20100510112806,unknown
134,84.19.220.138,2,0,20060809121539,20060809122148,unknown
135,Tobias Kirchhof,2,2,20090421110808,20090421142753,unknown
136,Emmridet,2,2,20141106230032,20180108225659,unknown
137,Harry8,2,1,20100618150122,20100618150302,unknown
138,80.140.81.67,2,0,20060711194240,20060711195820,unknown
139,Magnus,2,2,20030519174006,20030519174338,unknown
140,Slökmann,2,2,20051018133508,20051110134846,unknown
141,Markus Thielmann,2,1,20040523192723,20040523192758,unknown
142,Falkmart,2,0,20090705104716,20090705105419,unknown
143,62.131.140.230,2,0,20041013135623,20050323140530,unknown
144,217.84.78.64,1,1,20040106021040,20040106021040,unknown
145,82.113.106.16,1,0,20080703205521,20080703205521,unknown
146,194.76.232.148,1,0,20050513101845,20050513101845,unknown
147,Walcoford,1,0,20130124092602,20130124092602,unknown
148,Paddy,1,0,20051104194920,20051104194920,unknown
149,Eusibius,1,0,20140709225413,20140709225413,unknown
150,109.43.2.95,1,0,20170204180406,20170204180406,unknown
151,Graphikus,1,1,20110413104858,20110413104858,unknown
152,79.215.126.84,1,0,20080430062301,20080430062301,unknown
153,84.130.252.157,1,0,20120109210842,20120109210842,unknown
154,80.146.108.90,1,0,20050226005014,20050226005014,unknown
155,79.204.232.199,1,0,20121225210808,20121225210808,unknown
156,Entlinkt,1,1,20091031092134,20091031092134,unknown
157,H7,1,1,20140209122035,20140209122035,unknown
158,84.191.146.172,1,0,20060505072339,20060505072339,unknown
159,Hasselklausi,1,0,20161002215210,20161002215210,unknown
160,87.162.196.77,1,0,20101225131025,20101225131025,unknown
161,77.6.125.163,1,0,20120109145333,20120109145333,unknown
162,Frankee 67,1,1,20081218124258,20081218124258,unknown
163,Martin Herbst,1,0,20041224131920,20041224131920,unknown
164,77.47.38.225,1,0,20120619164701,20120619164701,unknown
165,Kubrick,1,1,20051002095734,20051002095734,unknown
166,109.193.69.230,1,0,20131008072149,20131008072149,unknown
167,84.153.17.23,1,0,20060305105646,20060305105646,unknown
168,Amras wi,1,1,20100701050644,20100701050644,unknown
169,83.35.180.157,1,0,20061005000600,20061005000600,unknown
170,KBit17,1,1,20190306154246,20190306154246,unknown
171,KurtR,1,1,20111216035809,20111216035809,unknown
172,FredericII,1,1,20080212042407,20080212042407,unknown
173,TomK32,1,0,20040505155732,20040505155732,unknown
174,Reinhard Kraasch,1,1,20081125122638,20081125122638,unknown
175,Ulis,1,1,20041201114415,20041201114415,unknown
176,Pfieffer Latsch,1,0,20120414084240,20120414084240,unknown
177,Zollernalb,1,1,20090603215846,20090603215846,unknown
178,Sir,1,1,20060127131033,20060127131033,unknown
179,141.20.6.84,1,0,20100629203525,20100629203525,unknown
180,Setanta,1,1,20060813125545,20060813125545,unknown
181,InternetArchiveBot,1,0,20180325114118,20180325114118,unknown
182,93.129.174.255,1,0,20110713002946,20110713002946,unknown
183,84.137.197.165,1,0,20070429162940,20070429162940,unknown
184,Schäfer-Hartmann,1,1,20071111100708,20071111100708,unknown
185,Wolfgang Schulze,1,1,20080717120431,20080717120431,unknown
186,80.137.238.99,1,0,20120226125215,20120226125215,unknown
187,LKD,1,1,20090421111206,20090421111206,unknown
188,Ephraim33,1,0,20100320103953,20100320103953,unknown
189,Louis Wu,1,0,20150116201754,20150116201754,unknown
190,Onkel Dittmeyer,1,0,20100618194309,20100618194309,unknown
191,Southpark,1,1,20060711194530,20060711194530,unknown
192,Ama von und zu,1,0,20170216051741,20170216051741,unknown
193,WikitanvirBot,1,1,20110518102921,20110518102921,unknown
194,87.175.195.191,1,0,20070406114521,20070406114521,unknown
195,217.231.253.46,1,0,20030819011509,20030819011509,unknown
196,H92Bot,1,1,20080601190141,20080601190141,unknown
197,Alexander Fischer,1,0,20120208151317,20120208151317,unknown
198,Alma,1,1,20090213130152,20090213130152,unknown
199,Florian.keller,1,0,20050422094428,20050422094428,unknown
200,87.163.192.135,1,0,20130122111216,20130122111216,unknown
201,Magnummandel,1,1,20091208114010,20091208114010,unknown
202,84.185.97.135,1,0,20051023093241,20051023093241,unknown
