,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ferdie12,10,0,20131121125436,20170911084236,unknown
1,Emha,9,8,20071129094117,20180329140236,unknown
2,Kirkmueller,7,3,20091212234549,20131219122731,unknown
3,Pelz,5,3,20070712221153,20141110230723,unknown
4,HBraun3,5,1,20081209111049,20111126131216,unknown
5,Oreg,4,2,20180207162821,20180208102635,unknown
6,Aka,4,4,20150801220321,20181230124349,unknown
7,Rabanusmaurus,4,0,20150924141457,20150924142522,unknown
8,Rolf acker,3,2,20140107184329,20170928073707,unknown
9,Deprifry,3,1,20050927201653,20051104160219,unknown
10,91.21.82.54,3,0,20130507191215,20130507191739,unknown
11,CommonsDelinker,3,0,20170919203755,20180329061350,unknown
12,84.59.13.183,3,0,20090928201455,20090928201714,unknown
13,Hardenacke,3,3,20081006140338,20081006140455,unknown
14,Liebigschule,3,1,20131217131202,20131217180936,unknown
15,KL052,2,0,20180310221133,20180311132545,unknown
16,84.174.244.78,2,0,20051104153721,20051104153758,unknown
17,Xqbot,2,2,20090718220256,20091009110530,unknown
18,Stefan,2,2,20091025130848,20091029112743,unknown
19,Count Count,2,2,20180430082726,20180430100721,unknown
20,HHE99,2,0,20131216113239,20131216113338,unknown
21,JayAhr,2,0,20180225173029,20180225173104,unknown
22,Alstersegler,2,0,20180309163945,20180309164029,unknown
23,77.180.201.251,1,0,20130706201856,20130706201856,unknown
24,HubertSt,1,0,20180314150604,20180314150604,unknown
25,Siffler,1,0,20060930142647,20060930142647,unknown
26,193.17.244.3,1,0,20100923113529,20100923113529,unknown
27,Hebo98,1,0,20180225185150,20180225185150,unknown
28,Adminimax,1,0,20181104085625,20181104085625,unknown
29,JuergenL,1,0,20050315210309,20050315210309,unknown
30,217.227.249.69,1,0,20091018095532,20091018095532,unknown
31,Dateientlinkerbot,1,0,20170927211021,20170927211021,unknown
32,Cymothoa exigua,1,1,20180501104231,20180501104231,unknown
33,Cducsu,1,1,20140217114541,20140217114541,unknown
34,188.96.210.211,1,0,20180430081941,20180430081941,unknown
35,84.58.248.187,1,0,20081115161249,20081115161249,unknown
36,Zollernalb,1,1,20131121131203,20131121131203,unknown
37,InternetArchiveBot,1,0,20180325114257,20180325114257,unknown
38,78.49.105.15,1,0,20071111212519,20071111212519,unknown
39,87.165.101.206,1,0,20111220210418,20111220210418,unknown
40,Zero Thrust,1,1,20180207223818,20180207223818,unknown
41,109.41.0.241,1,0,20180914222353,20180914222353,unknown
42,Jesi,1,0,20151211135716,20151211135716,unknown
43,188.108.140.28,1,0,20180430162626,20180430162626,unknown
44,Dmicha,1,1,20131218082032,20131218082032,unknown
45,Brodkey65,1,0,20180421055442,20180421055442,unknown
46,Longbow4u,1,0,20080123190517,20080123190517,unknown
47,Horst Gräbner,1,0,20130706204139,20130706204139,unknown
48,Leit,1,0,20180314171931,20180314171931,unknown
49,NEXT903125,1,0,20101231013853,20101231013853,unknown
50,Lettres,1,0,20180226000904,20180226000904,unknown
51,Schotterebene,1,1,20181104095620,20181104095620,unknown
52,MathePeter,1,1,20050810214703,20050810214703,unknown
53,77.187.122.0,1,0,20171101140813,20171101140813,unknown
54,188.96.215.110,1,0,20180502131601,20180502131601,unknown
55,Olaf Kosinsky,1,0,20140825081914,20140825081914,unknown
56,David Wintzer,1,1,20180430082622,20180430082622,unknown
57,GammaGate,1,1,20131216113125,20131216113125,unknown
58,Albtalkourtaki,1,0,20180328201155,20180328201155,unknown
59,BLueFiSH.as,1,1,20071120233729,20071120233729,unknown
60,Indeedous,1,0,20130427155659,20130427155659,unknown
61,2003:E5:B3C0:4901:91B:4284:17E:20DE,1,0,20180313075106,20180313075106,unknown
62,Scooter,1,1,20051119195729,20051119195729,unknown
63,Simpsonsfan2,1,0,20091223222949,20091223222949,unknown
64,Felix König,1,0,20180224213802,20180224213802,unknown
65,Codc,1,1,20180914222406,20180914222406,unknown
66,SFfmL,1,0,20170506133333,20170506133333,unknown
67,188.96.210.234,1,0,20180501053608,20180501053608,unknown
68,77.21.66.72,1,0,20090810110128,20090810110128,unknown
69,92.77.80.33,1,0,20180429184224,20180429184224,unknown
70,Asthma,1,1,20080409192945,20080409192945,unknown
71,84.165.84.234,1,0,20130903142045,20130903142045,unknown
72,Docmo,1,0,20180317112032,20180317112032,unknown
73,Toerbchen,1,1,20071026205050,20071026205050,unknown
74,Akkakk,1,0,20110605150616,20110605150616,unknown
75,Informationswiedergutmachung,1,1,20180226002505,20180226002505,unknown
76,Braganza,1,0,20190222172847,20190222172847,unknown
77,Yardsrules,1,1,20091028213416,20091028213416,unknown
78,Hardcorebambi,1,1,20180706021522,20180706021522,unknown
79,Graphikus,1,0,20090130211719,20090130211719,unknown
80,CamelBot,1,1,20180328204209,20180328204209,unknown
81,84.58.240.254,1,0,20071128222309,20071128222309,unknown
82,Logograph,1,1,20180313075116,20180313075116,unknown
83,194.55.211.71,1,0,20060711142927,20060711142927,unknown
84,Ngowatchtransparent,1,0,20100727082153,20100727082153,unknown
85,92.192.180.168,1,0,20180922195247,20180922195247,unknown
86,109.41.66.119,1,0,20180501062845,20180501062845,unknown
87,Pinguin55,1,0,20140205214600,20140205214600,unknown
88,RoBri,1,1,20180429220538,20180429220538,unknown
89,Felipo83,1,0,20180320144518,20180320144518,unknown
90,84.59.24.209,1,0,20071101085702,20071101085702,unknown
91,Krdbot,1,0,20110705144507,20110705144507,unknown
92,DannyBusch,1,0,20050928181925,20050928181925,unknown
93,84.59.25.206,1,0,20091107213012,20091107213012,unknown
94,2A02:A03F:5282:D00:3DF4:B906:5BC2:BBE8,1,0,20180207192825,20180207192825,unknown
95,Trappenei,1,1,20180914170801,20180914170801,unknown
96,92.77.70.118,1,0,20180430094612,20180430094612,unknown
97,APPERbot,1,0,20090620181934,20090620181934,unknown
98,AFBorchert,1,0,20180421055039,20180421055039,unknown
