,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Dioskorides,464,91,20170617181336,20190303091356,unknown
1,HaeB,58,18,20040620211714,20060310092150,unknown
2,Qualiabavariae,54,1,20111206203247,20150602141039,unknown
3,Southpark,48,42,20040225100307,20180206162956,unknown
4,Memolu,37,37,20120227103105,20120324101058,unknown
5,Phi,33,5,20100907204123,20170916163421,unknown
6,Berlin-Jurist,32,16,20050705115031,20071017100538,unknown
7,TMFS,31,6,20031118115631,20070614123033,unknown
8,Zollstock,29,0,20050714231426,20051114101830,unknown
9,Hardenacke,23,20,20081017142812,20180901172857,unknown
10,Aka,22,22,20051019093928,20180405215636,unknown
11,Pittigrilli,20,3,20121011155131,20130125115617,unknown
12,Unscheinbar,18,12,20040527210708,20170203221452,unknown
13,John1401,17,9,20040308213607,20040629152222,unknown
14,Ulitz,16,2,20170616203415,20170817165635,unknown
15,MAY,15,2,20100922225253,20190226235014,unknown
16,Horst Gräbner,13,5,20120825073012,20190303074223,unknown
17,Sir,13,11,20051028153218,20071122231427,unknown
18,Regi51,13,13,20090920175121,20160426143008,unknown
19,Scooter,12,5,20050815201055,20090830090321,unknown
20,N.Eschenhagen,12,1,20061211155247,20140403145551,unknown
21,Vsop,12,4,20110106062931,20170817070642,unknown
22,Politics,12,4,20080510065415,20100401075628,unknown
23,Ben gb,11,4,20030928094403,20050612083608,unknown
24,Mick149,11,3,20060514202433,20130408094252,unknown
25,Itti,11,11,20130808164345,20180517191806,unknown
26,AndreasPraefcke,10,7,20041110181716,20120515201836,unknown
27,Cardhu,10,4,20050624113604,20150121122309,unknown
28,GiordanoBruno,10,4,20110924123352,20181216094356,unknown
29,Von Eden,9,9,20110313052324,20110618115045,unknown
30,Rolling Thunder,8,5,20041230115027,20050104201107,unknown
31,Sonneninsel,8,6,20040219125534,20040315213705,unknown
32,Asphaltmann,8,0,20140116220252,20140117002205,unknown
33,Spuk968,8,8,20090613180247,20141118095518,unknown
34,Sprachpfleger,8,7,20120930142558,20150414213941,unknown
35,Gustav von Aschenbach,8,4,20091009091659,20151101104955,unknown
36,Saidmann,8,2,20140407120934,20140506124510,unknown
37,Störfix,8,2,20120820220826,20131125180701,unknown
38,Martin Sg.,8,2,20170616201923,20170623223254,unknown
39,Ziko,8,0,20071030122555,20170703220827,unknown
40,194.8.197.45,8,0,20050622123153,20050622125158,unknown
41,AF666,8,1,20050611104140,20150104125231,unknown
42,Snevern,7,1,20091029191337,20100418184906,unknown
43,Taxiarchos228,7,7,20050619095724,20090928111215,unknown
44,Andropov,7,1,20150821162044,20180818075625,unknown
45,Luckas-bot,7,7,20100129181359,20120412132957,unknown
46,Armin P.,7,7,20090323185439,20171026215811,unknown
47,217.83.74.186,7,0,20051217085943,20051217100015,unknown
48,Quirin,7,5,20051113162750,20051210094333,unknown
49,Rosenkohl,7,0,20130703110340,20140302183055,unknown
50,84.152.58.96,7,0,20130623113825,20130623140102,unknown
51,Gloser,7,2,20170620070017,20190106203038,unknown
52,Letdemsay,7,0,20100525121339,20170913111543,unknown
53,Hasenläufer,7,7,20170619031418,20170703041149,unknown
54,Mag678,7,0,20130824140128,20150308124418,unknown
55,Korny78,7,0,20030730193229,20050521082845,unknown
56,RoBri,7,6,20060222132356,20180325112910,unknown
57,Anne Winsch,7,3,20170616152745,20170630233430,unknown
58,Mogelzahn,7,4,20080131181758,20170115153507,unknown
59,Neun-x,7,0,20110607185220,20170913153555,unknown
60,84.153.165.214,7,0,20051210093432,20051210093532,unknown
61,NACHTFALKEueberBERLIN,7,7,20060515145015,20060517130003,unknown
62,Setting the standards,6,2,20070630012655,20110126232524,unknown
63,Stefan64,6,4,20051120162614,20140303190043,unknown
64,Dundak,6,6,20051110214300,20060130154703,unknown
65,Geschichtsfan,6,1,20040305085318,20040502133506,unknown
66,Anathema,6,3,20040408121440,20040921063448,unknown
67,84.172.11.86,6,0,20050413183533,20050413190500,unknown
68,Aspiriniks,6,3,20130728113226,20171226093201,unknown
69,GT1976,6,0,20081223081754,20151213035510,unknown
70,Bluemel1,6,0,20170701114920,20170701211406,unknown
71,Zollernalb,6,6,20090925101539,20170709161803,unknown
72,Ekab,6,0,20101012090201,20121028171635,unknown
73,Steffen Löwe Gera,6,5,20030816112800,20170624211758,unknown
74,84.56.160.239,6,0,20171130105449,20171207142056,unknown
75,Diba,6,5,20060205204620,20141113082538,unknown
76,S3r0,6,1,20140225111158,20140228144817,unknown
77,Pittimann,6,5,20111214090713,20171130105723,unknown
78,Zwobot,6,6,20031223202639,20070921021854,unknown
79,Heidas,5,4,20050123162658,20050428172103,unknown
80,62.153.71.162,5,0,20051031113807,20060308111429,unknown
81,Lektor w,5,2,20140514140359,20140514141751,unknown
82,Stauffen,5,5,20170616154409,20170831153957,unknown
83,Bene16,5,0,20070323154836,20070425130738,unknown
84,Cyve,5,0,20170616152854,20170616210025,unknown
85,Andreas Parker,5,0,20120727165948,20120805214029,unknown
86,TomekHH,5,0,20050323065818,20050413052925,unknown
87,Avatar,5,3,20050303083400,20070413204326,unknown
88,Boshomi,5,3,20141004104637,20170226141542,unknown
89,Mulno,5,0,20050702145427,20050702202941,unknown
90,PH2005,5,1,20060902174400,20060908083220,unknown
91,PibeDeOuro,5,0,20141021235457,20141023220938,unknown
92,Karsten11,5,1,20060903082343,20131004094043,unknown
93,195.93.66.12,5,0,20031030020452,20031030020824,unknown
94,Ennimate,5,3,20141220104400,20170701003823,unknown
95,Xocolatl,5,5,20151230171320,20171028190751,unknown
96,Chrigo,5,5,20050821163359,20050821170459,unknown
97,Sebbot,5,1,20070104020249,20141203064751,unknown
98,Caisare,5,5,20170702190133,20171030042144,unknown
99,Scheinschein,5,2,20170617174409,20170617181726,unknown
100,Small Axe,4,4,20091020085921,20091027094905,unknown
101,Hako,4,4,20050625121446,20050917223739,unknown
102,Malcolm77,4,4,20170620092451,20170620092803,unknown
103,93.104.184.77,4,0,20130810172810,20130810173702,unknown
104,82.135.64.78,4,0,20050412205858,20050412210301,unknown
105,Mundartpoet,4,3,20050607075134,20050618210245,unknown
106,Maximilian Schönherr,4,1,20120531232632,20120608105032,unknown
107,195.49.224.20,4,0,20040624120233,20040629113851,unknown
108,Mwka,4,2,20040225153752,20050124111053,unknown
109,Se4598,4,4,20130426063902,20131216093202,unknown
110,217.229.51.66,4,0,20040703204450,20040703205440,unknown
111,Mehlauge,4,2,20120115004104,20170703061406,unknown
112,MichaelDiederich,4,3,20040301210807,20050927095205,unknown
113,Schopfheimer,4,2,20170616203057,20170630181038,unknown
114,Carol.Christiansen,4,4,20130424105313,20131010033950,unknown
115,Rmcharb,4,2,20171026223936,20190226172243,unknown
116,Dandelo,4,0,20111212191643,20120527081350,unknown
117,Felistoria,4,3,20160426142810,20170616222845,unknown
118,77.1.92.150,4,0,20130531211737,20130531212209,unknown
119,80.145.124.234,4,0,20060209113928,20060209114524,unknown
120,CommonsDelinker,4,3,20070621160900,20170707192404,unknown
121,An-d,4,3,20111214165033,20131121085317,unknown
122,Triebtäter,4,1,20040529124702,20090107094517,unknown
123,Vwpolonia75,4,2,20111125160300,20111125165113,unknown
124,Jed,4,4,20031207010728,20120827194757,unknown
125,83.109.170.48,4,0,20051018222527,20051019181642,unknown
126,Juesch,4,4,20050628113416,20060120153019,unknown
127,217.84.230.202,4,0,20041221145711,20041221150659,unknown
128,Stephele,4,0,20060608101430,20071220134902,unknown
129,Vikipedija,4,1,20061206184852,20061206185652,unknown
130,Amberg,4,1,20070405134605,20110515224022,unknown
131,Howwi,4,4,20111221072945,20140116223140,unknown
132,MH~dewiki,4,4,20030918212958,20040316172917,unknown
133,Jivee Blau,4,3,20120320164438,20151110220020,unknown
134,And93hil,4,0,20151110145952,20151110151045,unknown
135,Pelz,4,2,20041101201139,20130812224616,unknown
136,83.109.158.77,4,0,20050216230253,20050216230925,unknown
137,85.73.12.86,4,0,20051023091930,20051023100640,unknown
138,137.226.39.10,4,0,20051223092403,20051223092956,unknown
139,K1812,4,3,20140113122920,20180907074414,unknown
140,Isa Blake,4,1,20121028162747,20121101140016,unknown
141,Macgyverjoel,4,0,20040504124751,20040505103052,unknown
142,Schnabeltassentier,3,2,20150713112547,20181119090159,unknown
143,Edelseider,3,2,20110106122332,20170616183554,unknown
144,VolkovBot,3,3,20081001210157,20120125042020,unknown
145,Logograph,3,3,20130911094347,20170126103931,unknown
146,Esina,3,0,20120517091851,20120517092527,unknown
147,141.43.220.30,3,2,20021121190504,20021121190840,unknown
148,Vinci,3,0,20030920182606,20081203102519,unknown
149,Göte,3,3,20141209190004,20160116211323,unknown
150,Ghoffart,3,3,20040330152726,20040330153157,unknown
151,Head,3,2,20030730195311,20060122022013,unknown
152,Paddy,3,1,20040830024249,20041112171031,unknown
153,Leipnizkeks,3,2,20061218145208,20070216175355,unknown
154,Lung,3,0,20051029093721,20051031150905,unknown
155,Onkel Dittmeyer,3,2,20100425075344,20101022154204,unknown
156,LeoDavid,3,1,20110331145725,20110331145948,unknown
157,178.8.69.44,3,0,20131010033900,20131010175133,unknown
158,FlaBot,3,3,20041206020406,20061115043612,unknown
159,Mathias Schindler,3,3,20040304133757,20041003121821,unknown
160,SchirmerPower,3,2,20080405232129,20090618231908,unknown
161,Guido Hollstein,3,3,20170818071600,20170818072829,unknown
162,Matthäus Wander,3,2,20040413225017,20050402120956,unknown
163,Klausmach,3,3,20110706104446,20110706105153,unknown
164,80.135.148.88,3,0,20050815200054,20050815203811,unknown
165,Kku,3,2,20030612103759,20130911152528,unknown
166,Phantom,3,2,20080105033814,20080227155059,unknown
167,Tohma,3,0,20160604131149,20171028201322,unknown
168,Gersve,3,0,20040817200936,20040819163708,unknown
169,Magnus,3,3,20030530191943,20031103172846,unknown
170,Siehe-auch-Löscher,3,0,20060517070726,20130411083919,unknown
171,AHZ,3,1,20080427162025,20130111173928,unknown
172,62.138.184.35,3,0,20050702113511,20050706214840,unknown
173,Janneman,3,1,20140304100506,20140304232604,unknown
174,Don Bühl,3,0,20050819201802,20060419093039,unknown
175,Berthold Werner,3,1,20140223181117,20171114095017,unknown
176,ALE!,3,2,20040908125837,20050322103957,unknown
177,Gum'Mib'Aer,3,3,20041221113909,20041221150923,unknown
178,83.109.168.202,3,0,20060224195108,20060226121557,unknown
179,217.82.176.174,3,0,20030608155052,20030608161554,unknown
180,Zbrnajsem,3,1,20170618114212,20170702163211,unknown
181,Serols,3,3,20141021071609,20171207142117,unknown
182,85.176.245.8,3,0,20051214231821,20051214232053,unknown
183,217.231.157.206,3,0,20040814143248,20040814143404,unknown
184,195.126.39.23,3,0,20041213141024,20050927092933,unknown
185,84.140.209.231,3,0,20050128074114,20050128074507,unknown
186,DaB.,3,0,20031221141454,20070507141644,unknown
187,Schaengel,3,1,20100404095556,20141218060808,unknown
188,KurtR,3,2,20110220020707,20110615080725,unknown
189,92.201.30.105,3,0,20170203221414,20170203222852,unknown
190,D,3,2,20041003124747,20130924090945,unknown
191,Hartsig2000,3,3,20120208210008,20120209195244,unknown
192,RobotQuistnix,3,3,20060821171420,20071118132709,unknown
193,Wiegels,3,3,20050505133119,20150902131553,unknown
194,80.135.78.193,3,0,20040903145117,20040903150835,unknown
195,83.109.151.36,3,0,20041219214534,20041219215622,unknown
196,Docmo,3,0,20060221145948,20100427081813,unknown
197,Slökmann,3,3,20060627014423,20151030001746,unknown
198,Bonnlander,3,1,20170616160931,20170617090335,unknown
199,Zugang AP 42,3,0,20071129233455,20071221232130,unknown
200,Philipendula,3,3,20050410152413,20051223093031,unknown
201,83.109.169.201,3,0,20060116213909,20060116214244,unknown
202,Rosenzweig,3,1,20110324164818,20180829072833,unknown
203,Thijs!bot,3,3,20061026150851,20100406082045,unknown
204,Carlos Eggenstein,3,0,20120721223242,20170624060159,unknown
205,Wully,3,0,20091102073420,20091102075655,unknown
206,Eppelheim,3,0,20170831072509,20180403061837,unknown
207,88.77.145.150,3,0,20130828045019,20130828050436,unknown
208,Saint-Louis,3,1,20140225110215,20140226092548,unknown
209,PortalBot,3,3,20060129164234,20060129202203,unknown
210,He3nry,3,3,20050622121420,20051011121511,unknown
211,WinfriedSchneider,3,3,20130812075927,20170525091009,unknown
212,ChristophDemmer,3,2,20040610204436,20040704121649,unknown
213,Aktenstapel,3,0,20150505155456,20170427162446,unknown
214,Sockenpuppe 4 from outer space,3,0,20050413184928,20050413185938,unknown
215,Tsor,3,3,20050608123749,20051204190207,unknown
216,Gödeke,3,1,20090110105004,20120802024707,unknown
217,Codc,3,3,20111113033850,20151028005103,unknown
218,Solid State,3,3,20120802141800,20150314230727,unknown
219,Holger1974,3,0,20170617173428,20170618084854,unknown
220,TJ.MD,3,2,20091104084754,20091104090730,unknown
221,217.81.250.233,3,0,20060213215309,20060213220957,unknown
222,217.227.157.57,3,0,20041004152523,20041004223640,unknown
223,Olaf Kosinsky,3,3,20130531211841,20130531212150,unknown
224,Sol1,3,2,20080216234226,20120419183750,unknown
225,134.100.32.47,3,0,20060131205424,20060131205706,unknown
226,62.180.204.6,3,0,20040219040333,20040219041112,unknown
227,Giftmischer,3,3,20110502090542,20141107100132,unknown
228,Sic!,3,0,20050920110805,20061206193545,unknown
229,87.79.117.86,3,0,20121018183007,20121018183458,unknown
230,WikitanvirBot,3,3,20110327140437,20111127110952,unknown
231,85.72.35.20,3,0,20050711201832,20050711203038,unknown
232,78.52.202.189,3,0,20120722121535,20120722213112,unknown
233,80.143.129.205,3,0,20051110213751,20051110214538,unknown
234,Buchbibliothek,3,2,20130613125220,20170717204451,unknown
235,Sir James,3,0,20160325165936,20161230233318,unknown
236,Izadso,3,0,20110906190810,20111102150642,unknown
237,Flups,3,2,20030115213411,20040516155407,unknown
238,SieBot,3,3,20070918235956,20100406152850,unknown
239,Mwknacker,3,0,20130106091721,20130723182547,unknown
240,Blaumaler,3,0,20050516200119,20050516203014,unknown
241,80.143.199.61,3,0,20060130154205,20060130154541,unknown
242,Xqbot,3,3,20090316075335,20100308084518,unknown
243,80.123.128.98,3,0,20051215172132,20051215172344,unknown
244,134.95.207.31,3,0,20050415133919,20050415134757,unknown
245,Haigst-Mann,3,1,20130801110216,20130801112904,unknown
246,Klara77,3,1,20100409185753,20130514232950,unknown
247,Fichteneichhorn,2,2,20071017095351,20071017095448,unknown
248,Jotzo1,2,1,20080422173702,20080509102835,unknown
249,Sewepb,2,0,20160114215014,20160114221037,unknown
250,TheK,2,0,20040703144854,20040716124808,unknown
251,Gelli63,2,0,20110715123327,20110718064942,unknown
252,Koerpertraining,2,2,20090515091952,20151129172027,unknown
253,LMU Dozent Medizin,2,0,20181206054335,20181206175501,unknown
254,Temtet,2,2,20060829223445,20060830121006,unknown
255,213.182.6.115,2,0,20051017132608,20051017132647,unknown
256,Drahreg01,2,1,20070315171416,20121018184807,unknown
257,JosFritz,2,2,20170617095111,20170617095223,unknown
258,83.109.153.73,2,0,20051128151239,20051129142437,unknown
259,Zeuschen,2,2,20100223152009,20100223152136,unknown
260,Mef.ellingen,2,1,20101010094117,20101010094215,unknown
261,Denalos,2,0,20171130105519,20171205144420,unknown
262,84.179.66.65,2,0,20050817205618,20050817210119,unknown
263,Nemonand,2,2,20040907073419,20040907090304,unknown
264,134.102.17.160,2,0,20111215184559,20111215185106,unknown
265,79.218.7.252,2,0,20090830085724,20090830085805,unknown
266,217.227.144.172,2,0,20041111202024,20041111202052,unknown
267,90.15.119.173,2,0,20090918155223,20090918155259,unknown
268,Nauenerbuerger,2,0,20070211101947,20070211102050,unknown
269,Diopuld,2,0,20170616202019,20170616202120,unknown
270,78.52.202.103,2,0,20120814105458,20120814165707,unknown
271,Antonio Mussolini,2,0,20141113082408,20141113082531,unknown
272,212.5.4.148,2,0,20170705092547,20170705092627,unknown
273,217.250.152.188,2,0,20050424201004,20050424201059,unknown
274,Hafenbar,2,2,20040325112238,20040325113107,unknown
275,Tobias1983,2,1,20080702181630,20120426230944,unknown
276,RonGames,2,0,20151110214839,20151110214909,unknown
277,Oge,2,2,20040605120841,20040605121423,unknown
278,Tkarcher,2,1,20030604115948,20030609212304,unknown
279,94.79.163.178,2,0,20141021071513,20141021071558,unknown
280,Antonin,2,2,20050217165122,20050506124526,unknown
281,92.77.206.136,2,0,20121018183041,20121018183420,unknown
282,Chriki,2,2,20040315234032,20040316214933,unknown
283,83.71.31.156,2,0,20060119212807,20060119212925,unknown
284,InternetArchiveBot,2,0,20180325114520,20180827114541,unknown
285,Bhuck,2,1,20060523180043,20080509125630,unknown
286,Früchtebrot,2,2,20140508185353,20140508185751,unknown
287,Hoheit,2,0,20041014191937,20041019195516,unknown
288,Q'Alex,2,1,20051023110538,20060103174648,unknown
289,BurghardRichter,2,2,20141007072439,20141009165853,unknown
290,MorbZ-Bot,2,2,20130221103538,20130809145448,unknown
291,Robbit,2,2,20080511025318,20080705100953,unknown
292,83.109.142.52,2,0,20060111001459,20060111002241,unknown
293,Losdedos,2,2,20110126211459,20110126221246,unknown
294,Abzo,2,1,20180206154543,20180206155910,unknown
295,Micwil,2,2,20090518192950,20120330220525,unknown
296,Cesar,2,2,20060412170254,20060412170525,unknown
297,PieRat,2,2,20170127125155,20170328074741,unknown
298,O.Koslowski,2,2,20120204122844,20180607062850,unknown
299,El,2,0,20031030090041,20031105205302,unknown
300,César,2,0,20170630211453,20170701093151,unknown
301,217.187.65.49,2,0,20060103193058,20060103193245,unknown
302,185.22.142.80,2,0,20181202104515,20181202105914,unknown
303,SamWinchester000,2,0,20161229060641,20161229062655,unknown
304,Alnilam,2,2,20111220225127,20130918102512,unknown
305,Magnus Manske,2,2,20020829121849,20021007141914,unknown
306,95.95.207.101,2,0,20091018145208,20091018145307,unknown
307,Finanzer,2,2,20050321135812,20060313214313,unknown
308,Gerbil,2,0,20051223092458,20051223092944,unknown
309,2A02:810D:5C0:23C8:8070:4A06:80B3:D8A1,2,0,20151206195111,20151206195236,unknown
310,Dolos,2,2,20040901224926,20041002180110,unknown
311,Staehler,2,2,20090827075356,20090827082720,unknown
312,TheRationalist,2,0,20170521182139,20170521182331,unknown
313,129.143.4.66,2,0,20041110133306,20041110133536,unknown
314,Okatjerute,2,2,20041214133156,20060115153315,unknown
315,80.139.153.163,2,0,20051119154344,20051119154400,unknown
316,84.146.252.113,2,0,20050612143233,20050612143538,unknown
317,Fomafix,2,2,20060623093721,20060712222716,unknown
318,Jacun,2,2,20091109191251,20091109191343,unknown
319,145.254.254.218,2,0,20051210174704,20051210174826,unknown
320,79.213.118.163,2,0,20130306094109,20130306094538,unknown
321,Foundert,2,0,20081213211147,20081213211250,unknown
322,Felix Stember,2,1,20060213221239,20170203223457,unknown
323,Ibohnet,2,1,20130927052404,20130927052556,unknown
324,Frank-m,2,1,20050903141000,20050904125847,unknown
325,MR 2017,2,2,20170617115408,20170624115152,unknown
326,188.106.98.218,2,0,20120927071012,20120927071338,unknown
327,Doktor Wu,2,2,20170829124312,20170829174010,unknown
328,Balear,2,2,20090517211053,20090517212526,unknown
329,217.93.107.17,2,0,20170125114319,20170125114632,unknown
330,Gardini,2,2,20060830141603,20060830151008,unknown
331,Pöt,2,1,20080816101513,20111031070317,unknown
332,ZOiDberg,2,1,20060821042436,20060929184853,unknown
333,84.191.62.69,2,0,20051005162005,20051005162249,unknown
334,83.109.186.155,2,0,20051101022630,20051101022653,unknown
335,93.206.45.49,2,0,20141113121619,20141113121713,unknown
336,Mps,2,2,20050307010013,20050307010126,unknown
337,Flammingo,2,1,20080116112742,20091102223455,unknown
338,79.249.202.121,2,0,20150604143847,20150604143929,unknown
339,Matt1971,2,1,20050427032436,20070713210957,unknown
340,XenonX3,2,2,20090812004007,20090920141449,unknown
341,Athenchen,2,2,20060706103006,20090524164133,unknown
342,Informationswiedergutmachung,2,1,20140601131351,20170618002635,unknown
343,80.137.47.153,2,0,20041108171234,20041108171443,unknown
344,Gge,2,1,20170702092136,20170702092251,unknown
345,Atticus Finch,2,1,20140510094123,20140510094510,unknown
346,Falkmart,2,0,20130301010016,20170623171301,unknown
347,Juliane,2,1,20080513091957,20080513092111,unknown
348,Stefan,2,2,20081108131956,20170616152031,unknown
349,Mac CH,2,2,20040704123557,20041028074749,unknown
350,Wikifreund,2,0,20060427210933,20060506014044,unknown
351,PhHertzog,2,1,20050831231900,20081102015210,unknown
352,80.144.225.22,2,0,20091027094722,20091027094826,unknown
353,84.58.27.145,2,0,20050330231103,20050330231516,unknown
354,Harry8,2,1,20130123111855,20180615181919,unknown
355,62.96.60.250,2,0,20040304135401,20040304135626,unknown
356,84.59.215.37,2,0,20060108010839,20060108010907,unknown
357,JuergenL,2,0,20040629200235,20040716173331,unknown
358,Krdbot,2,1,20110706131105,20170514172504,unknown
359,141.227.1.1,2,0,20060313130640,20060313130710,unknown
360,Braveheart,2,1,20090921194409,20090926112122,unknown
361,Thornard,2,2,20070313181402,20080811233839,unknown
362,92.74.186.7,2,0,20091019183157,20091019183227,unknown
363,Nillurcheier,2,0,20170624135604,20180224174955,unknown
