,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,GiordanoBruno,70,31,20071001091103,20190103164932,unknown
1,Ekab,39,1,20090608144635,20190103124333,unknown
2,Mogelzahn,39,22,20050611174758,20131210150938,unknown
3,TMFS,38,12,20031117143828,20080306123223,unknown
4,H.Albatros,35,31,20070320214433,20150407201431,unknown
5,Bvo66,34,19,20070903074449,20130604002224,unknown
6,Leit,34,12,20070617135747,20131219143225,unknown
7,Qualiabavariae,23,0,20120313175647,20140114121711,unknown
8,Sir James,21,16,20081222201704,20120923093519,unknown
9,Aconcagua,20,11,20070705053949,20111111065501,unknown
10,Phi,19,3,20110626174851,20170116095521,unknown
11,Aka,19,19,20050414101534,20190109211521,unknown
12,Nachtwächter90,17,5,20080726183225,20081220152624,unknown
13,Zinnmann,17,7,20051010222040,20170415150139,unknown
14,Regi51,16,14,20080624104446,20190131143722,unknown
15,Benatrevqre,15,5,20070705203046,20160610163533,unknown
16,Waldersee,14,3,20070321160212,20130613135618,unknown
17,Datenspecht,13,2,20120130160744,20120218115036,unknown
18,Volkes Stimme,13,1,20080304135331,20080305151648,unknown
19,AHZ,13,4,20050522203434,20171225135150,unknown
20,Times,12,3,20081224114425,20110904192519,unknown
21,Michael Bednarek,12,7,20130703054503,20150204035648,unknown
22,Felix Stember,12,6,20060206110950,20160602103841,unknown
23,Richarddd,11,6,20080121152537,20080701213408,unknown
24,-jha-,11,1,20060627165921,20071106123329,unknown
25,Fomafix,11,10,20060619120331,20120416061619,unknown
26,Sir,11,7,20051101130708,20070312183324,unknown
27,Miltrak,10,0,20110916143214,20170817102223,unknown
28,Gustav von Aschenbach,10,9,20090520215216,20180519170009,unknown
29,Pittimann,10,9,20091005084620,20180219083238,unknown
30,Boshomi,10,3,20140122200829,20161129193048,unknown
31,Suirenn,10,8,20100601192224,20140107221121,unknown
32,KorrekTOM,9,7,20151111164725,20190117074747,unknown
33,Chef,9,7,20041019135002,20070816232521,unknown
34,Lektor w,9,1,20140419103427,20160311203812,unknown
35,Pittigrilli,9,3,20110201125233,20110202141141,unknown
36,Flavia67,8,5,20151110145255,20151111160517,unknown
37,Uwe W.,8,6,20051011140509,20080101162622,unknown
38,Emmridet,8,7,20141106224400,20151110142541,unknown
39,Nico b.,8,1,20151109233220,20170911142051,unknown
40,H005,8,5,20060925220431,20070201182220,unknown
41,UweRohwedder,8,5,20070928104714,20181030122953,unknown
42,Mannerheim,8,2,20080804125333,20081107185701,unknown
43,Zwobot,8,8,20040220215922,20080110010047,unknown
44,Onkel Dittmeyer,8,6,20091115121017,20101023074641,unknown
45,Itti,7,5,20120927071214,20160307181007,unknown
46,Elop,7,6,20150903102211,20190112184923,unknown
47,1971markus,7,6,20100912225029,20150606215742,unknown
48,Walter Riccius,7,7,20190109131823,20190109141039,unknown
49,Bonzo*,7,0,20070704223845,20080127183432,unknown
50,Waelder,7,6,20031223105838,20040127234914,unknown
51,Stijn Calle,7,7,20051208101306,20070214131136,unknown
52,RoBri,7,5,20141209082727,20190131143918,unknown
53,Intimidator,7,1,20091019200706,20141219163432,unknown
54,Roland Kutzki,7,2,20100406145412,20141129180252,unknown
55,Janjonas,7,6,20151110180750,20151110215517,unknown
56,Kolakowski~dewiki,6,1,20090311202706,20090312222746,unknown
57,JFH-52,6,5,20111224161308,20171218200043,unknown
58,Albrecht1,6,3,20060623090220,20110829150002,unknown
59,Bene16,6,3,20070521054208,20070521162829,unknown
60,Raubsaurier,6,5,20080124171652,20151110152343,unknown
61,Neun-x,6,0,20101011112749,20150901174205,unknown
62,Draftholds~dewiki,6,0,20111007115614,20111007130112,unknown
63,89.49.192.37,6,0,20070605071357,20070605075802,unknown
64,88.76.238.131,6,0,20070430095623,20070430100102,unknown
65,87.178.59.180,6,0,20141129150334,20141129163306,unknown
66,Andif1,6,5,20151111210711,20170312073418,unknown
67,84.57.69.90,6,0,20060912182758,20060912202647,unknown
68,WAH,6,2,20060512154358,20100316225207,unknown
69,Jivee Blau,6,5,20120608182804,20150910151226,unknown
70,InternetArchiveBot,6,0,20180325114558,20190308203719,unknown
71,Seewolf,6,6,20070617223843,20181011193313,unknown
72,P. Birken,6,3,20040408142920,20051011142947,unknown
73,94.219.219.136,6,0,20111112104019,20111112144441,unknown
74,84.160.150.201,6,0,20050704145405,20050704161105,unknown
75,Ulitz,6,3,20120807214424,20151110181856,unknown
76,Gary Dee,5,1,20151110184336,20151110191816,unknown
77,Toto~dewiki,5,2,20030619155405,20091020070922,unknown
78,Casra,5,4,20100507131620,20110908061258,unknown
79,Letdemsay,5,0,20121008184323,20151223105243,unknown
80,Sebbot,5,2,20060909113826,20130213144146,unknown
81,Luckas-bot,5,5,20101129162809,20120412133347,unknown
82,DomiBe123,5,0,20151110152559,20151110153955,unknown
83,AKor4711,5,4,20131009130603,20150519072927,unknown
84,Snahlemmuh,5,3,20081222220537,20111025183715,unknown
85,Pierre gronau,5,2,20050522190606,20050522195244,unknown
86,Barnos,5,2,20160607060046,20160618125421,unknown
87,Luke081515Bot,5,0,20161119113342,20161210223814,unknown
88,91.65.206.83,5,0,20080620215431,20080620221329,unknown
89,Otberg,5,3,20110926081513,20180219085706,unknown
90,Horst Gräbner,5,3,20120505115745,20170313101417,unknown
91,Pöt,5,3,20091103171221,20100128065724,unknown
92,Radschläger,5,3,20081211142414,20090216195948,unknown
93,Göte,5,5,20131119200358,20160426190332,unknown
94,Aspiriniks,5,3,20120804053834,20170312074847,unknown
95,Captain Hynding,5,0,20100830121841,20100831110049,unknown
96,Spuk968,5,5,20100220145027,20140208184752,unknown
97,Bonpland,5,2,20080903125107,20081116105025,unknown
98,80.141.56.245,5,0,20040521144601,20040521152800,unknown
99,CBC,5,2,20040909182201,20060207224337,unknown
100,Svenboi78,5,5,20151113103639,20151202153200,unknown
101,EBB,5,5,20040611104351,20050314140719,unknown
102,Marc-André Aßbrock,4,3,20060215084348,20160507142012,unknown
103,Oenie,4,4,20110610200727,20110610202724,unknown
104,91.43.74.10,4,0,20100128065219,20100128065702,unknown
105,Schreibvieh,4,3,20071114173841,20081108144026,unknown
106,Triebtäter,4,1,20040529125231,20090111155423,unknown
107,Xocolatl,4,4,20111112142529,20180325221251,unknown
108,Tsor,4,2,20031231212718,20111111000612,unknown
109,EH⁴²,4,3,20100703120604,20130307173835,unknown
110,Mps,4,2,20041222180317,20151114202201,unknown
111,84.152.160.182,4,0,20100214092201,20100214093413,unknown
112,Geitost,4,1,20090615124528,20101022180202,unknown
113,85.179.206.40,4,0,20160201150538,20160201222749,unknown
114,RobotQuistnix,4,4,20051021030927,20070601214926,unknown
115,95.119.81.67,4,0,20090520211522,20090520215227,unknown
116,Jossi2,4,1,20151110205645,20160206115927,unknown
117,Jed,4,4,20031207010613,20061203222522,unknown
118,Scooter,4,3,20080201002421,20120803075351,unknown
119,Der Boss der Bosse,4,2,20070626201439,20071011013651,unknown
120,Ziko,4,0,20090316184723,20090517201240,unknown
121,Gut informiert,4,0,20070602163324,20070609114915,unknown
122,84.146.241.254,4,0,20061231101546,20061231102603,unknown
123,Ilja Lorek,4,3,20151110194555,20160131134456,unknown
124,TheK,4,2,20040716124759,20080801160250,unknown
125,OCTopus,4,1,20071113081509,20090302120013,unknown
126,Horst-schlaemma,4,0,20161110100416,20161110100905,unknown
127,Sänger,4,1,20151111061408,20171225125324,unknown
128,188.97.4.85,4,0,20111110233043,20111111000239,unknown
129,87.178.10.109,4,0,20150830141942,20150830202044,unknown
130,88.75.64.119,4,0,20090318102413,20090318103718,unknown
131,Discordion,4,1,20160514125216,20160514142309,unknown
132,Liberexim,4,3,20080620215609,20080620221432,unknown
133,87.184.167.12,4,0,20070612210107,20070612210534,unknown
134,Hein.Mück,4,0,20071111141818,20161111084222,unknown
135,Adamy,4,0,20051031091847,20051031092231,unknown
136,84.179.105.38,4,0,20060925220841,20060925223525,unknown
137,Eusc,4,0,20130204170150,20130415122607,unknown
138,Hardenacke,4,0,20151111191416,20181221190002,unknown
139,91.20.230.46,4,0,20120506054842,20120506060614,unknown
140,Alinea,4,3,20161112161143,20181223190812,unknown
141,212.234.180.194,4,0,20060927141947,20061004091823,unknown
142,87.173.119.20,4,0,20081224102535,20081224103709,unknown
143,Väterchen,4,0,20071225173201,20080109082615,unknown
144,Profiteur,4,1,20130322074601,20130322085505,unknown
145,Alnilam,4,2,20130125193458,20171020070941,unknown
146,80.171.62.117,4,0,20081213142723,20081213153243,unknown
147,Snoopy1964,4,4,20150121115211,20170130120937,unknown
148,SuicideSociety,4,4,20161019150146,20161114223218,unknown
149,Centenier,4,4,20151202152950,20151217105350,unknown
150,Mick149,3,3,20080126192012,20120802220546,unknown
151,128.176.12.173,3,0,20180219083028,20180219084736,unknown
152,Falkmart,3,0,20090723000727,20141216111143,unknown
153,Holgerjan,3,2,20070706174815,20090605140345,unknown
154,217.227.91.63,3,0,20111024165452,20111024171215,unknown
155,79.251.225.249,3,0,20160602101636,20160602103704,unknown
