,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Hardenacke,28,25,20080502063700,20170524110304,unknown
1,Osika,20,9,20090910133613,20111004185111,unknown
2,Mogelzahn,19,16,20040617162447,20131022185725,unknown
3,195.93.60.140,16,0,20050930075618,20050930151842,unknown
4,Ulula,16,0,20050930160940,20090806065822,unknown
5,Sir,12,9,20050512222031,20070617172554,unknown
6,88.134.84.53,11,0,20060718090130,20060718091025,unknown
7,Saidmann,11,3,20131217153732,20140102130553,unknown
8,Qualiabavariae,10,0,20120411160118,20120915161520,unknown
9,Schulpädagoge,10,0,20101104233028,20110906204926,unknown
10,Phi,9,0,20131218143709,20180225105713,unknown
11,Ziko,9,1,20071021234600,20100110214543,unknown
12,TMFS,8,4,20031106001554,20041205213019,unknown
13,Zwobot,7,7,20040220220040,20060122084213,unknown
14,Sirdon,7,2,20060225155301,20070723104043,unknown
15,77.190.188.227,7,0,20180328081036,20180328172816,unknown
16,Pvanderloewen,7,0,20090714174534,20100308021537,unknown
17,Anima,7,6,20090920140533,20090920211542,unknown
18,Stefan2552,6,0,20081205164634,20081205164913,unknown
19,Str1977,6,0,20081124084307,20091104155802,unknown
20,141.91.129.2,6,0,20051206131454,20051206132745,unknown
21,Andropov,6,1,20160929162832,20180802193417,unknown
22,Kuebi,6,2,20180225103434,20180225121017,unknown
23,80.185.182.100,5,0,20060119104746,20060119105233,unknown
24,Logograph,5,4,20061025094241,20100209094509,unknown
25,Mravinszky,5,3,20091010020115,20091017225546,unknown
26,Markobr,5,5,20190102190952,20190112150833,unknown
27,Atomiccocktail,4,1,20091208224708,20100715134749,unknown
28,84.59.203.188,4,0,20051001144106,20051001144357,unknown
29,Tarantelle,4,1,20090910174323,20090917215144,unknown
30,Lupus in Saxonia,4,3,20180802190139,20180802191036,unknown
31,Die42,4,4,20180328172718,20180328172833,unknown
32,Informationswiedergutmachung,4,3,20160317124933,20171229165155,unknown
33,Eingangskontrolle,4,2,20080131135601,20160830100002,unknown
34,Rybak,4,3,20041022121316,20081211104045,unknown
35,RoBri,4,4,20180226100402,20190112150704,unknown
36,Soziallotse,4,1,20040925133011,20050125162646,unknown
37,Aka,4,4,20110204182331,20181028130833,unknown
38,WAH,4,0,20060718090147,20060718090511,unknown
39,Fossa,4,3,20081113003154,20090726014020,unknown
40,Gonzo Greyskull,4,0,20091102205040,20130310102758,unknown
41,61.255.59.214,3,0,20190102191108,20190102192201,unknown
42,Pelz,3,3,20051120214441,20111227203634,unknown
43,David Wintzer,3,3,20131117100110,20150215135207,unknown
44,Dr.peter,3,0,20071015112209,20071015115226,unknown
45,Melkom,3,1,20040909131212,20040923222739,unknown
46,Uwe Gille,3,3,20081113104032,20141129212659,unknown
47,Oge,3,3,20040629184150,20041018135859,unknown
48,77.189.46.49,3,0,20180226095145,20180226100358,unknown
49,N.Eschenhagen,3,1,20070216155334,20141012121344,unknown
50,JCS,3,1,20061109205157,20080324044629,unknown
51,129.187.244.28,3,0,20060412112810,20060412113317,unknown
