,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Partynia,10,2,20131215173645,20131215181129,unknown
1,92.72.178.154,9,0,20130504170322,20130504171104,unknown
2,Olaf Kosinsky,7,2,20150205130701,20171204220710,unknown
3,H. Gröhe MdB - Büro Dt. Bundestag,7,0,20140917131909,20180320175321,unknown
4,Stell98,5,0,20080203225241,20091102192817,unknown
5,Grey Geezer,5,0,20141024063918,20141024064425,unknown
6,217.226.29.132,4,0,20041020171207,20041020180222,unknown
7,Cducsu,4,2,20061220152714,20140217125213,unknown
8,I-mage,4,1,20160707200812,20160708075436,unknown
9,Smeyen,4,1,20051208173249,20080415193419,unknown
10,Aka,4,4,20091025095740,20180320204207,unknown
11,TMFS,4,0,20060306211609,20080214181012,unknown
12,Lllorenz80,4,0,20140414135417,20140414135832,unknown
13,212.204.45.139,3,0,20091023174536,20091023174612,unknown
14,EH⁴²,3,0,20140726160359,20140726161328,unknown
15,172.179.217.125,3,0,20060306160454,20060306160600,unknown
16,MerlLinkBot,3,3,20090919161907,20091024232231,unknown
17,Saanix,3,0,20091118201557,20091119204550,unknown
18,Flacus,3,3,20040310092557,20040310092813,unknown
19,Pump (BMG),3,0,20140514122300,20140514122504,unknown
20,87.184.74.9,3,0,20090331005657,20090331005845,unknown
21,193.110.46.66,3,0,20050801090903,20051209122253,unknown
22,217.226.23.5,3,0,20041020083142,20041020090200,unknown
23,134.100.32.73,3,0,20040331122533,20040714131519,unknown
24,Wiegels,2,0,20041020113301,20041020172722,unknown
25,194.231.0.34,2,0,20040310092018,20040310095718,unknown
26,Zumthie,2,2,20130924083418,20130924083749,unknown
27,87.148.33.151,2,0,20160316093629,20160316093849,unknown
28,Dodo von den Bergen,2,2,20080216230319,20080216232559,unknown
29,VonJuifen,2,2,20110609132906,20110609133153,unknown
30,Pumpilumpi,2,0,20170609081304,20170609085043,unknown
31,80.133.254.165,2,0,20060423154046,20060423154250,unknown
32,80.133.219.14,2,0,20060116163142,20060116163307,unknown
33,Definitiv,2,1,20090128184847,20111220080500,unknown
34,Indeedous,2,0,20130428224231,20130506100608,unknown
35,Natsu Dragoneel,2,2,20160308092445,20160316093647,unknown
36,Derteaser,2,0,20050708110956,20050708111133,unknown
37,128.176.101.248,2,0,20170918144734,20180321104347,unknown
38,Der Fußballgott,2,0,20141211005314,20141211005334,unknown
39,176.94.33.153,2,0,20170304161056,20170304161145,unknown
40,ChristophDemmer,2,2,20060612103747,20070119073743,unknown
41,Luke081515Bot,2,0,20161119130718,20161124220736,unknown
42,Velbert2,2,0,20060306160553,20060306161005,unknown
43,Tohma,2,0,20110122161604,20111127195026,unknown
44,Helenopel,2,0,20081006210316,20081006210408,unknown
45,Krd,2,0,20100518152102,20100707155356,unknown
46,Wikifreund,2,0,20150104231615,20180616161242,unknown
47,Berlinschneid,2,1,20170208103114,20170927170004,unknown
48,Merlissimo,2,2,20090919181315,20090919182545,unknown
49,217.234.118.172,2,0,20110320163054,20110320235929,unknown
50,Hubon,2,1,20160808121211,20160808121245,unknown
51,Kam Solusar,2,2,20060116163242,20060116163358,unknown
52,82.83.144.21,2,0,20080923155332,20080923155517,unknown
53,217.95.208.81,2,0,20041020140507,20041020140648,unknown
54,92.227.176.136,2,0,20080211200741,20080211200837,unknown
55,Yoda1893,2,0,20091025005542,20131217121853,unknown
56,WAH,2,0,20060306160630,20060306161452,unknown
57,Rapober,2,2,20090901155454,20110615220716,unknown
58,Horst Gräbner,2,1,20130224153157,20161016133148,unknown
59,2003:D2:3BEC:EE91:FC1D:2338:C723:7CB0,2,0,20180531090159,20180531090327,unknown
60,Sputniktilt,2,2,20140208150722,20170918153251,unknown
61,Kresspahl,2,2,20170624225445,20170927203403,unknown
62,80.136.125.176,2,0,20060302222602,20060302222652,unknown
63,Milziade,2,0,20100907080342,20100907080736,unknown
64,AndreasPraefcke,2,2,20120512154750,20120512154807,unknown
65,Andropov,2,0,20150817125052,20180531160025,unknown
66,Intertorsten,2,2,20041020143515,20041020193008,unknown
67,84.62.47.108,2,0,20080216230306,20080216232547,unknown
68,Luckas-bot,2,2,20100130170234,20101119160921,unknown
69,80.133.95.128,2,0,20061112114115,20061112114218,unknown
70,80.133.231.184,2,0,20060113160419,20060113160533,unknown
71,TabellenBot,2,2,20180609185029,20181014101746,unknown
72,Carolus Ludovicus,2,2,20080923083906,20080924200635,unknown
73,193.17.243.1,2,0,20100322172422,20100322172534,unknown
74,212.65.1.102,2,0,20110914111201,20110914112549,unknown
75,Kolja21,1,1,20170905190610,20170905190610,unknown
76,88.77.30.160,1,0,20080211172411,20080211172411,unknown
77,87.169.71.182,1,0,20091108132309,20091108132309,unknown
78,Cú Faoil,1,1,20110323235709,20110323235709,unknown
79,Acht-x,1,0,20140120032718,20140120032718,unknown
80,Textur80,1,0,20141209111541,20141209111541,unknown
81,Felix17101999,1,0,20170301095249,20170301095249,unknown
82,89.54.108.209,1,0,20060612103644,20060612103644,unknown
83,Oderfing,1,1,20110321001602,20110321001602,unknown
84,Pinguin55,1,0,20131226211104,20131226211104,unknown
85,84.56.10.134,1,0,20161111232932,20161111232932,unknown
86,82.113.106.112,1,0,20090717095104,20090717095104,unknown
87,Pokbot,1,1,20101220105331,20101220105331,unknown
88,Koyaanisqatsi01,1,1,20181030191929,20181030191929,unknown
89,84.60.142.15,1,0,20051208080248,20051208080248,unknown
90,Pajz,1,1,20080923185454,20080923185454,unknown
91,79.211.36.124,1,0,20100518151632,20100518151632,unknown
92,Ktesias,1,1,20130215110452,20130215110452,unknown
93,84.60.242.164,1,0,20140409080913,20140409080913,unknown
94,95.90.185.192,1,0,20150917170436,20150917170436,unknown
95,2A01:598:8883:15A8:C98B:9E09:2E0F:3006,1,0,20171203095445,20171203095445,unknown
96,Kladson,1,0,20100225124851,20100225124851,unknown
97,91.44.91.218,1,0,20140207124813,20140207124813,unknown
98,80.132.185.199,1,0,20141230121917,20141230121917,unknown
99,145.254.51.47,1,0,20040618112906,20040618112906,unknown
100,GLGermann,1,0,20091028034236,20091028034236,unknown
101,Invisigoth67,1,1,20110321124722,20110321124722,unknown
102,37.24.193.107,1,0,20140110163822,20140110163822,unknown
103,Serols,1,1,20140924161009,20140924161009,unknown
104,2A02:908:FD51:7D60:69B0:7199:C418:DF8E,1,0,20170206193227,20170206193227,unknown
105,88.71.16.26,1,0,20110320161814,20110320161814,unknown
106,SFfmL,1,0,20131216204833,20131216204833,unknown
107,Gymel,1,1,20140425103303,20140425103303,unknown
108,Student17527,1,0,20190202190218,20190202190218,unknown
109,85.178.139.162,1,0,20100906224200,20100906224200,unknown
110,Kalorie,1,1,20180705160552,20180705160552,unknown
111,Webverbesserer,1,1,20080923090559,20080923090559,unknown
112,82.113.121.104,1,0,20100324111902,20100324111902,unknown
113,Pelz,1,1,20111201225000,20111201225000,unknown
114,J.-H. Janßen,1,0,20140319200650,20140319200650,unknown
115,Bubo bubo,1,1,20150317214156,20150317214156,unknown
116,Stefan Kühn,1,1,20041020124529,20041020124529,unknown
117,Hubertl,1,1,20080211172434,20080211172434,unknown
118,Max Dax,1,0,20110412220711,20110412220711,unknown
119,79.230.140.51,1,0,20140120091322,20140120091322,unknown
120,Radschläger,1,1,20091023191134,20091023191134,unknown
121,217.234.101.140,1,0,20110321123352,20110321123352,unknown
122,Heldt,1,1,20140105112854,20140105112854,unknown
123,Ireas,1,0,20140910095420,20140910095420,unknown
124,Investor,1,0,20090828203315,20090828203315,unknown
125,79.228.113.124,1,0,20131215160024,20131215160024,unknown
126,Snoopy1964,1,1,20160316093912,20160316093912,unknown
127,Hardcorebambi,1,1,20181122230921,20181122230921,unknown
128,188.194.108.111,1,0,20130224152300,20130224152300,unknown
129,Alnilam,1,1,20140409081004,20140409081004,unknown
130,79.238.171.215,1,0,20151230175803,20151230175803,unknown
131,InternetArchiveBot,1,0,20180325114735,20180325114735,unknown
132,212.202.251.162,1,0,20050129182951,20050129182951,unknown
133,Mgehrmann,1,1,20080509084017,20080509084017,unknown
134,Nilreb,1,1,20100306182916,20100306182916,unknown
135,Krdbot,1,0,20110705182708,20110705182708,unknown
136,188.194.254.118,1,0,20140208133739,20140208133739,unknown
137,2.240.130.72,1,0,20170609105704,20170609105704,unknown
138,Triebtäter,1,0,20040705193110,20040705193110,unknown
139,80.132.249.186,1,0,20070119073632,20070119073632,unknown
140,79.193.76.158,1,0,20091031081837,20091031081837,unknown
141,217.234.90.129,1,0,20110322195438,20110322195438,unknown
142,Fettbemme,1,0,20140110163918,20140110163918,unknown
143,Der-Wir-Ing,1,0,20141023224254,20141023224254,unknown
144,LKD,1,1,20060423154354,20060423154354,unknown
145,Paddy2674,1,1,20131217055959,20131217055959,unknown
146,Mainpage,1,0,20100907014000,20100907014000,unknown
147,80.128.244.217,1,0,20160310092259,20160310092259,unknown
148,109.41.0.241,1,0,20180916040233,20180916040233,unknown
149,Dr. Jens Hartmann,1,1,20100324115527,20100324115527,unknown
150,Zorrobot,1,1,20120214213557,20120214213557,unknown
151,JourneyToNeverland,1,0,20140330142124,20140330142124,unknown
152,178.0.201.134,1,0,20150817124724,20150817124724,unknown
153,Walcoford,1,1,20170919145905,20170919145905,unknown
154,Simpsonsfan2,1,0,20091216002957,20091216002957,unknown
155,Neun-x,1,0,20110414065737,20110414065737,unknown
156,Gerbil,1,1,20140120091356,20140120091356,unknown
157,Parzi,1,1,20141220132948,20141220132948,unknown
158,79.229.67.23,1,0,20170414202115,20170414202115,unknown
159,Geschichtsfan,1,1,20040310093317,20040310093317,unknown
160,Skyman gozilla,1,1,20061109213711,20061109213711,unknown
161,TruebadiX,1,1,20110321123510,20110321123510,unknown
162,77.20.233.236,1,0,20140106094234,20140106094234,unknown
163,84.137.176.100,1,0,20161212111311,20161212111311,unknown
164,92.228.252.12,1,0,20110221142432,20110221142432,unknown
165,141.22.170.142,1,0,20160608134915,20160608134915,unknown
166,GT1976,1,0,20181206053621,20181206053621,unknown
167,Scooter,1,1,20051217181913,20051217181913,unknown
168,Tom Bouctou,1,0,20081007082454,20081007082454,unknown
169,178.25.225.237,1,0,20100707131439,20100707131439,unknown
170,Alex2222,1,1,20140410180950,20140410180950,unknown
171,Qaswed,1,0,20160120223515,20160120223515,unknown
172,80.135.138.136,1,0,20050312130632,20050312130632,unknown
173,Michael Reschke,1,1,20080831130753,20080831130753,unknown
174,Sebbot,1,0,20100313121940,20100313121940,unknown
175,Filzpantoffel,1,0,20110715104430,20110715104430,unknown
176,80.132.139.72,1,0,20150105202118,20150105202118,unknown
177,OsGr,1,0,20091031094826,20091031094826,unknown
178,Baird's Tapir,1,1,20110322195501,20110322195501,unknown
179,MAY,1,0,20140113130046,20140113130046,unknown
180,2A02:908:FD51:7D60:1D7A:8B23:4284:5C27,1,0,20170218124809,20170218124809,unknown
181,84.166.24.113,1,0,20060526114723,20060526114723,unknown
182,Nuuk,1,1,20090920102449,20090920102449,unknown
183,Hozro,1,1,20110320165244,20110320165244,unknown
184,Speedy87,1,1,20131217142352,20131217142352,unknown
185,91.36.194.167,1,0,20140603183933,20140603183933,unknown
186,90.186.2.101,1,0,20161016113523,20161016113523,unknown
187,Echtner,1,0,20090402185028,20090402185028,unknown
188,Komischn,1,1,20130902203919,20130902203919,unknown
189,Sander Sander,1,1,20160310092531,20160310092531,unknown
190,Ot,1,1,20180916040938,20180916040938,unknown
191,Ehrhardt,1,0,20050827234959,20050827234959,unknown
192,Rudi der Regenwurm,1,1,20080923155350,20080923155350,unknown
193,Tilla,1,0,20100405182755,20100405182755,unknown
194,78.51.101.245,1,0,20140408205945,20140408205945,unknown
195,Francomacorisano,1,1,20170922200923,20170922200923,unknown
196,Akkakk,1,0,20110604144122,20110604144122,unknown
197,Jón,1,0,20140205152631,20140205152631,unknown
198,Rekitilop,1,0,20141220203736,20141220203736,unknown
199,2.240.26.75,1,0,20170608092520,20170608092520,unknown
200,217.234.107.192,1,0,20110321124511,20110321124511,unknown
201,Se4598,1,1,20140106094308,20140106094308,unknown
202,84.150.49.69,1,0,20140924160946,20140924160946,unknown
203,Regi51,1,1,20161212111317,20161212111317,unknown
204,Gunnarspandau,1,1,20090916011625,20090916011625,unknown
205,217.234.62.27,1,0,20110320161755,20110320161755,unknown
206,Squasher,1,0,20131215214704,20131215214704,unknown
207,Dandelo,1,1,20160608134934,20160608134934,unknown
208,Leyo,1,1,20190107225117,20190107225117,unknown
209,Hardenacke,1,1,20081013185510,20081013185510,unknown
210,Leit,1,1,20100828220020,20100828220020,unknown
211,EmausBot,1,1,20130401233725,20130401233725,unknown
212,62.156.47.25,1,0,20160308092404,20160308092404,unknown
213,Magnus Manske,1,0,20050430140206,20050430140206,unknown
214,Diba,1,1,20140218194546,20140218194546,unknown
