,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Zaphiro,52,51,20100531124129,20100608225719,unknown
1,Geschichtsfan,40,17,20040305104343,20040402070539,unknown
2,H-stt,32,2,20080929090013,20180623145922,unknown
3,EUBürger,30,6,20040618115831,20040923083524,unknown
4,DanielDüsentrieb,29,0,20100531120720,20100601085702,unknown
5,AxelHH,24,6,20060805205515,20140214145303,unknown
6,Wolfgang Ost,22,8,20170418173410,20180111204826,unknown
7,Leit,22,7,20070210113241,20090812171103,unknown
8,Havaube,16,4,20100531131545,20100606120439,unknown
9,Aka,16,16,20051012065336,20181030102259,unknown
10,Trainspotter,16,14,20040523120432,20050202170630,unknown
11,134.100.172.24,15,0,20050624081040,20051221142042,unknown
12,Mogelzahn,15,6,20090701115020,20160829102300,unknown
13,Sir,15,4,20050721183126,20060109104428,unknown
14,Miltrak,14,0,20110916142644,20160201003301,unknown
15,Noebse,13,2,20100531130402,20100601123124,unknown
16,Unscheinbar,12,6,20040621091032,20060123112959,unknown
17,Fsiggi,12,3,20050623172521,20060211203807,unknown
18,Benatrevqre,11,3,20090503142654,20180211133840,unknown
19,Neun-x,10,0,20100531125842,20110613073754,unknown
20,Koffer,10,7,20050528163638,20050827103739,unknown
21,84.172.102.239,9,0,20050707090057,20050707091257,unknown
22,217.83.95.232,9,0,20040702183059,20040702213241,unknown
23,Jbergner,8,1,20170423132133,20170423135001,unknown
24,217.228.125.28,8,0,20040716141956,20040717024118,unknown
25,Ute Erb,8,8,20100601115834,20160115124449,unknown
26,Stefan64,8,6,20100531141825,20180107182258,unknown
27,217.230.122.130,8,0,20040304222711,20040305024942,unknown
28,ChrisM,8,7,20040418131542,20050207202712,unknown
29,SonicY,8,6,20050315174131,20060207181053,unknown
30,Zwobot,8,8,20040307170443,20060123203155,unknown
31,MAY,7,0,20110531165023,20180208232449,unknown
32,Mathias Schindler,7,7,20040304081832,20041026070547,unknown
33,80.136.220.91,7,0,20050604203006,20050604215034,unknown
34,Tobe man,7,0,20040624164513,20040912144843,unknown
35,Axel Hindemith,7,2,20050113221226,20051006214546,unknown
36,M. Yasan,7,2,20071007164309,20071009095046,unknown
37,Theophilus Berger,6,2,20100626082013,20100626171035,unknown
38,ChristophDemmer,6,3,20040708173319,20060603084142,unknown
39,Jón,6,4,20090705205451,20130919094750,unknown
40,91.96.99.2,6,0,20120225122958,20120225123618,unknown
41,Muns,6,6,20040305133757,20160302123833,unknown
42,Andropov,6,0,20180209100520,20180209230819,unknown
43,Anathema,6,1,20040418132536,20040921070757,unknown
44,Wilske,6,2,20100627172036,20101120213344,unknown
45,Ehrhardt,6,1,20050831103129,20090502202412,unknown
46,Walter.Frosch,6,0,20100531125554,20100531145311,unknown
47,Luckas-bot,6,6,20100404071903,20120327201956,unknown
48,Calvin Ballantine,6,1,20050826010215,20060706120121,unknown
49,Southpark,6,5,20040523214637,20070208134146,unknown
50,Roentgenium111,6,1,20100604003655,20160606132359,unknown
51,N.Eschenhagen,5,0,20080522131224,20180218215220,unknown
52,Rotkaeppchen68,5,5,20100531135333,20100531140801,unknown
53,Seewolf,5,3,20071008093543,20120106215802,unknown
54,Thorbjoern,5,4,20110128083503,20150727075319,unknown
55,80.135.122.246,5,0,20040621090805,20040621091213,unknown
56,Inkowik,5,5,20100502125108,20120312135805,unknown
57,Jergen,5,5,20050915115605,20110913123809,unknown
58,Stefanwege,5,0,20061024181738,20061123095115,unknown
59,(nob),5,1,20040304121219,20040305002336,unknown
60,TUBS,5,0,20100531120736,20100616195743,unknown
61,Pittimann,5,5,20110906081717,20181203164241,unknown
62,Gustav von Aschenbach,5,3,20090522110756,20160115122025,unknown
63,JFH-52,5,5,20150101004012,20150101004833,unknown
64,Sky82,5,5,20040530215044,20040612184103,unknown
65,EBB,5,4,20040523071735,20040630220039,unknown
66,Dr. Volkmar Weiss,5,2,20040703195159,20040923081922,unknown
67,Trofobi,5,1,20100531220100,20100615224224,unknown
68,Baird's Tapir,4,4,20100517151315,20100924185822,unknown
69,HV,4,1,20100531132130,20100531134306,unknown
70,SieBot,4,4,20070613014317,20100525030107,unknown
71,Regi51,4,4,20101011161059,20140219114315,unknown
72,87.161.159.86,4,0,20120425114236,20120425114516,unknown
