,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,J. Patrick Fischer,65,22,20080202230209,20180317200152,unknown
1,Qualiabavariae,51,4,20110811093430,20170227104328,unknown
2,Leit,27,6,20081004141858,20180314170558,unknown
3,Zaphiro,23,20,20050723115518,20051022133928,unknown
4,Aka,19,19,20051110110902,20180930194721,unknown
5,In dubio pro dubio,17,16,20101030202800,20101214032601,unknown
6,Miltrak,16,0,20130217000611,20130301095425,unknown
7,TMFS,15,1,20031117212032,20070214121124,unknown
8,Volkstribun 2.0,14,8,20130917150313,20190308145953,unknown
9,Gustav von Aschenbach,14,12,20081027203946,20180711183832,unknown
10,Meier99,13,13,20160131184143,20161017090951,unknown
11,Nemissimo,13,3,20070215074739,20130701183020,unknown
12,Roxedl,13,4,20120909204947,20140217210202,unknown
13,Mogelzahn,12,5,20051122135023,20130506192902,unknown
14,Pass3456,11,0,20161002203225,20190309001413,unknown
15,Nomygon,11,7,20190118155743,20190130151831,unknown
16,Yoda1893,11,4,20081103204547,20130915214820,unknown
17,Neun-x,10,1,20111211014818,20151208212002,unknown
18,Boobarkee,9,3,20090718123325,20151124055056,unknown
19,Simplicius,9,0,20070120203522,20081004105742,unknown
20,Eck,8,0,20060803142618,20060803152947,unknown
21,Blunt.,8,8,20081116205529,20090201133547,unknown
22,Jadadoo,8,3,20081007162132,20081111081022,unknown
23,Fossa,7,1,20081001185807,20081003190011,unknown
24,Olaf Kosinsky,7,4,20160319172007,20180616210541,unknown
25,KastusK,7,0,20130709145051,20180113194706,unknown
26,Freud,7,1,20130704210336,20160213072323,unknown
27,Von Eden,6,4,20110312040404,20120308131551,unknown
28,84.153.149.217,6,0,20070116144622,20070116145501,unknown
29,Oenie,6,6,20110601120856,20110610202513,unknown
30,MAY,6,0,20100708043041,20161226013806,unknown
31,Matysik,6,0,20170522140157,20180907054808,unknown
32,Achatos,6,3,20070209194818,20070215124715,unknown
33,Secular mind,6,0,20060613214445,20060614143126,unknown
34,Rusti,6,0,20081025125415,20081027161110,unknown
35,Q'Alex,6,2,20040906195148,20080401193509,unknown
36,Bmstr,6,0,20170821072408,20180714215349,unknown
37,Darkone,5,5,20050706213211,20051017125951,unknown
38,Giftmischer,5,5,20110502081635,20130608181555,unknown
39,Brandeis,5,0,20120708081525,20120708083901,unknown
40,LudwigSebastianMicheler,5,2,20181112172121,20181112182913,unknown
41,EH⁴²,5,2,20121214184648,20180920152335,unknown
42,Scooter,5,4,20070113183131,20080930223223,unknown
43,Andropov,5,1,20161016071825,20181112133218,unknown
44,GrouchoBot,5,5,20081030203339,20120221151452,unknown
45,Pelz,5,5,20090719104828,20160920093342,unknown
46,Knkrdnz,5,4,20181112075220,20181116202642,unknown
47,47.71.120.154,4,0,20150930215122,20150930215526,unknown
48,84.152.83.250,4,0,20060304162524,20060304165914,unknown
49,Jhartmann,4,1,20070118113539,20070121171558,unknown
50,Pittimann,4,4,20101222093622,20150507073720,unknown
51,Luckas-bot,4,4,20090728152059,20120227172604,unknown
52,Alstersegler,4,0,20180309162132,20180614220706,unknown
53,César,4,1,20130504090217,20171217061030,unknown
54,Hauskatze,4,3,20120107170714,20120112124012,unknown
55,Itti,4,4,20130729110210,20151221085508,unknown
56,Horst Gräbner,4,4,20131009150031,20151020081121,unknown
57,N.Eschenhagen,4,0,20081007155040,20111102161943,unknown
58,87.161.253.155,4,0,20151020081023,20151020081213,unknown
59,Jivee Blau,4,2,20120718190335,20180317124148,unknown
60,KL052,4,2,20180310215010,20180314190331,unknown
61,Zollernalb,4,4,20080414114016,20080928151815,unknown
62,Schaengel89,4,0,20051124195808,20060306083333,unknown
63,Pandarine,4,0,20090615073029,20120808140516,unknown
64,DerHexer,4,3,20070120120408,20131219013121,unknown
65,Berlin-Jurist,4,1,20051017124800,20060215084105,unknown
66,Le petit prince,4,4,20070615131648,20070929125327,unknown
67,Tafkas,4,0,20081007160451,20081007163651,unknown
68,Seigneur de Bougie,4,1,20080617212604,20110628130450,unknown
69,Diba,4,4,20081021203846,20130918085732,unknown
70,YourEyesOnly,4,4,20080310102035,20110312043652,unknown
71,Flavia67,4,3,20130424132836,20130424140827,unknown
72,Stefan64,4,2,20060304221832,20060305113255,unknown
73,Zwobot,4,4,20031218081045,20080111174420,unknown
74,Wangen,4,2,20120217123527,20130709175521,unknown
75,Logograph,4,1,20070215123044,20070905213411,unknown
76,Sprachpfleger,4,1,20181007202957,20181201102631,unknown
77,81.173.153.245,4,0,20060121230005,20060121230455,unknown
78,91.12.236.58,4,0,20070929125402,20070929132737,unknown
79,62.156.44.22,4,0,20151219124149,20151219195406,unknown
80,Gamma9,4,4,20080915131232,20090221195302,unknown
81,Schotterebene,4,3,20130920052936,20180722094743,unknown
82,B.Kueper,3,0,20181017060652,20181017063336,unknown
83,84.171.242.151,3,0,20070120120355,20070120120729,unknown
84,79.198.100.101,3,0,20111118213123,20111118221346,unknown
85,Jeff42,3,2,20081027132813,20081030162107,unknown
86,Rapober,3,3,20090208122050,20111115080356,unknown
87,Sebbot,3,2,20080926232253,20150703131958,unknown
88,Carol.Christiansen,3,2,20130708111007,20130916141919,unknown
89,Bettenburg,3,2,20041122193441,20041122194222,unknown
90,Willicher,3,0,20051122160143,20070116180141,unknown
91,Chr...,3,0,20171123134656,20171123135253,unknown
92,Reinhard Kraasch,3,3,20081008100015,20170726113208,unknown
93,Ziko,3,0,20081027152300,20180504144635,unknown
94,Cyve,3,2,20120217120917,20181112104748,unknown
95,84.189.88.117,3,0,20110512090252,20110512090851,unknown
96,Andy king50,3,3,20120107171037,20151219124343,unknown
97,Peter200,3,3,20110117134720,20130919060502,unknown
98,Sabata,3,1,20081025142419,20081026202602,unknown
99,Qaswed,3,2,20110608094326,20110703091206,unknown
100,Nase2,3,0,20070114003723,20070114005015,unknown
101,Spuk968,3,3,20101017104416,20151219195101,unknown
102,Regi51,3,3,20120516135302,20151014104900,unknown
103,HSV4life,3,3,20180528194835,20180606153702,unknown
104,Haraldbischoff,3,1,20130219145120,20140704061925,unknown
105,Snoopy1964,3,3,20150427091316,20160719061720,unknown
106,Carolin,3,0,20180329183718,20180722141546,unknown
