,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Allonsenfants,186,6,20160506082723,20170627161035,unknown
1,JosFritz,118,34,20130101220052,20181205215135,unknown
2,Miltrak,99,0,20150702231035,20160901152716,unknown
3,In dubio pro dubio,85,84,20121225232250,20160830222311,unknown
4,Airwave2k2,62,0,20130205003103,20150612091306,unknown
5,Elektrofisch,60,12,20130330071646,20160901113734,unknown
6,Fiona B.,54,15,20130205144756,20160812112349,unknown
7,Niedergrund,28,11,20130221062554,20130402115344,unknown
8,Bwag,24,5,20160429053821,20190123215034,unknown
9,Micha.Kramer,24,6,20130201145857,20140805072239,unknown
10,Agathenon,22,10,20130304164655,20180801140809,unknown
11,Über-Blick,22,0,20130411190133,20190212205521,unknown
12,Braveheart,22,9,20130227130741,20160620101734,unknown
13,Berichtbestatter,21,9,20160612203350,20180203181248,unknown
14,85.183.138.186,21,0,20121212063558,20130302183503,unknown
15,Scooterman,19,3,20170926164254,20171119205504,unknown
16,Jensbest,18,1,20160416140501,20171121093925,unknown
17,Fossa,17,1,20130206084532,20130222134757,unknown
18,BurghardRichter,15,11,20170612154345,20190123231213,unknown
19,Sänger,11,2,20160508083453,20181209085221,unknown
20,Simplicius,10,1,20121208135100,20130101151634,unknown
21,YourEyesOnly,9,9,20160919044833,20160919050728,unknown
22,SlartibErtfass der bertige,8,1,20171116213910,20190123215832,unknown
23,Aka,8,8,20160507120125,20180707075514,unknown
24,Gustav von Aschenbach,7,6,20151129192442,20171208161743,unknown
25,Asurnipal,6,5,20170727150558,20170729104007,unknown
26,Raphael Kirchner,6,2,20160415060807,20160417062832,unknown
27,Deuxentre,6,1,20140525121643,20160428200249,unknown
28,Alkim Y,6,4,20130307144953,20131008063843,unknown
29,Altsprachenfreund,6,4,20160706132556,20170620124018,unknown
30,MatthiasGutfeldt,6,1,20160530132509,20171006084839,unknown
31,Langano2,6,6,20130306190017,20130306193707,unknown
32,Chricho,6,4,20140109160938,20160828100847,unknown
33,91.4.70.219,5,0,20160612170030,20160612174416,unknown
34,Liberaler Humanist,5,0,20130201230417,20130302205641,unknown
35,Jergen,5,5,20130205143421,20130205144100,unknown
36,JD,5,3,20130425223454,20160613143339,unknown
37,Der Unbestechliche,5,3,20130220200147,20190124133137,unknown
38,Feliks,5,0,20170622142110,20170622143420,unknown
39,Roxedl,5,0,20171121062858,20171206133013,unknown
40,Jaellee,5,5,20160220232032,20170929231125,unknown
41,LeJerome,5,5,20121212104755,20130322091910,unknown
42,Androl,5,4,20130715142114,20130715151143,unknown
43,Didionline,5,0,20181205164343,20181209101044,unknown
44,212.118.216.43,5,0,20130402101100,20141006100837,unknown
45,Gropaga,5,0,20131116180255,20160506173949,unknown
46,Ul1-82-2,5,0,20121223190852,20121225222451,unknown
47,Stefanbw,4,0,20121213114431,20130919233143,unknown
48,Kein Einstein,4,2,20161127140459,20170611090032,unknown
49,Ot,4,2,20130402055214,20170927052828,unknown
50,Widerborst,4,1,20121213165734,20130209100001,unknown
51,Dogross,4,2,20160612062537,20160612083319,unknown
52,193.170.134.2,4,0,20160426215916,20160504202650,unknown
53,77.11.5.127,4,0,20121229151419,20121229161049,unknown
54,Oryx,4,0,20121212140848,20130308130007,unknown
55,93.203.140.113,4,0,20160621201331,20160621202020,unknown
56,Benqo,4,1,20160428151918,20170616002618,unknown
57,Horst Gräbner,4,4,20121229151501,20160415095249,unknown
58,Torana,4,1,20131213083635,20160421225515,unknown
59,Drüfft,3,3,20171110104634,20171122170248,unknown
60,Boshomi,3,1,20140621203334,20161127143030,unknown
61,Rolf acker,3,3,20130607084200,20160721145149,unknown
62,Okin,3,0,20140813224359,20180307010137,unknown
63,D.825,3,2,20130313014018,20130314050020,unknown
64,Rita2008,3,0,20131020141218,20131020165204,unknown
65,Jola100573,3,0,20140206110039,20140206172217,unknown
66,UMyd,3,0,20130209164749,20130210172916,unknown
67,Arabsalam,3,0,20130307154116,20130322184010,unknown
68,Desperado69,3,0,20151129191942,20151130090016,unknown
69,77.22.148.170,3,0,20130302130332,20130302131119,unknown
70,Gripweed,3,3,20170729074239,20180813052818,unknown
