,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,J. Patrick Fischer,33,6,20090728125819,20171118191932,unknown
1,Yoda1893,16,3,20081030151317,20181114030028,unknown
2,Qualiabavariae,14,0,20140319162857,20150924140825,unknown
3,Olaf Kosinsky,9,2,20150213104633,20180101124230,unknown
4,Nordprinz,7,0,20180316111232,20190211114001,unknown
5,193.17.243.4,7,0,20061030084759,20061030085228,unknown
6,193.17.243.1,5,0,20100304133100,20100304140114,unknown
7,TMFS,5,4,20070303161314,20080521184643,unknown
8,SchirmerPower,5,1,20090908102939,20131009143019,unknown
9,Mama Leone,5,2,20130904103141,20140321220442,unknown
10,Nixx,5,3,20080517192851,20100106184219,unknown
11,Politics,5,2,20091030121455,20100602234443,unknown
12,Leit,4,1,20081031131232,20170318234749,unknown
13,InternetArchiveBot,4,0,20180325115046,20180827150340,unknown
14,LIU,4,3,20130830080747,20130830083300,unknown
15,Bmstr,4,0,20171118164858,20181111060319,unknown
16,91.63.96.161,4,0,20110530103818,20110530104402,unknown
17,Gamma9,4,4,20080915132017,20081228181855,unknown
18,Neun-x,4,0,20130106204513,20130917021139,unknown
19,Hardenacke,3,3,20090429191210,20090911083907,unknown
20,JD,3,3,20151004133557,20151027154106,unknown
21,Aka,3,3,20120506211528,20150722152200,unknown
22,91.58.89.131,3,0,20091209114941,20091209115759,unknown
23,Itti,3,3,20130729110150,20151211064742,unknown
24,Bautsch,3,0,20121017081215,20140207082147,unknown
25,Volkstribun 2.0,3,2,20130919131934,20130925134106,unknown
26,Schotterebene,3,3,20120801134557,20131003145931,unknown
27,Michelhausen,3,0,20120210124539,20120210125814,unknown
28,Landtag Bayern Internetredaktion,3,2,20181019113739,20181019121341,unknown
29,Scooter,3,3,20051025194436,20051217172157,unknown
30,Mogelzahn,3,2,20081117161032,20171224210217,unknown
31,Slökmann,2,2,20150911203546,20151014003013,unknown
32,Westhover,2,0,20110306093631,20110801144326,unknown
33,Alexbot,2,2,20081028125036,20090929192903,unknown
34,Zorrobot,2,2,20081115115921,20091029094318,unknown
35,84.61.212.226,2,0,20130105152323,20130105152526,unknown
36,80.135.178.142,2,0,20121026075033,20121026075104,unknown
37,Landwirt,2,1,20081230195925,20090616181213,unknown
38,Mipago,2,2,20081031155136,20081031155245,unknown
39,95.115.111.72,2,0,20100602220454,20100602220544,unknown
40,Seeteufel,2,0,20150220201150,20150929082003,unknown
41,Ilaig,2,0,20100304154106,20100304154552,unknown
42,Baba Wijnia,2,2,20040710161948,20040710163440,unknown
43,Vertuioper,2,0,20151201042306,20151201044826,unknown
44,80.156.43.154,2,0,20090929121937,20090929122055,unknown
45,Aristarch von Laim,2,0,20100405194531,20100412145916,unknown
46,92.198.195.14,2,0,20141210233026,20141210233042,unknown
47,84.44.177.189,2,0,20081101113807,20081101161346,unknown
48,87.174.165.94,2,0,20091030062741,20091030062827,unknown
49,Max Dax,2,0,20110413135304,20110413135452,unknown
50,85.239.121.125,2,0,20130805152226,20130805152419,unknown
51,Dokkalli,2,0,20141115185855,20141115190036,unknown
52,Luke081515Bot,2,0,20161119135329,20161129190825,unknown
53,Hinterwäldler18,2,0,20081116230743,20081116230816,unknown
54,Unscheinbar,2,2,20151201044514,20151201044908,unknown
55,62.214.246.57,2,0,20081102102954,20081102103051,unknown
