,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Arabist,100,41,20061230135835,20080924172649,unknown
1,Mariachi,58,31,20050713135640,20070705203257,unknown
2,Muhamed,35,1,20050715112702,20061112180034,unknown
3,Shoshone,24,7,20060317172357,20181121110730,unknown
4,Pittimann,22,20,20090925080646,20181115131241,unknown
5,Alkim Y,22,11,20110630075922,20130912181357,unknown
6,85.178.72.13,16,0,20091201063950,20091201174217,unknown
7,Aka,14,14,20050328093058,20190207213943,unknown
8,Bertramz,14,3,20090905230413,20190117094453,unknown
9,790,13,0,20050227134753,20070201130122,unknown
10,Drüfft,12,12,20171019172101,20180403220358,unknown
11,80.218.187.213,12,0,20061226113601,20061226135908,unknown
12,Alex Hinz,12,0,20070406144848,20070407100408,unknown
13,Elian,11,9,20031023213956,20040405191239,unknown
14,Rep~dewiki,11,0,20060525093949,20060731110430,unknown
15,Roxanna,10,3,20060629081629,20060916112542,unknown
16,213.209.140.202,10,0,20050703202139,20050703202314,unknown
17,Se90,9,0,20170620115304,20180816011700,unknown
18,Spuk968,9,9,20100420101751,20150831125522,unknown
19,Koenraad,9,5,20070701180747,20140713153920,unknown
20,85.179.29.44,9,0,20060803225404,20060804085600,unknown
21,Itti,9,9,20070130191617,20160927065540,unknown
22,Behemoth~dewiki,8,6,20070324143627,20070401214137,unknown
23,Gustav von Aschenbach,8,5,20090625224337,20160530125218,unknown
24,Orient,8,2,20060628153051,20070517091539,unknown
25,Alfred Grudszus,8,1,20091128195223,20091206114020,unknown
26,Goliath613,8,0,20130720195720,20130721070625,unknown
27,Tfjt,8,6,20141004100001,20150822154639,unknown
28,-jha-,8,2,20051204011949,20060317222129,unknown
29,84.112.216.191,7,0,20090620210222,20090625232657,unknown
30,79.214.177.6,7,0,20140701103341,20140701103931,unknown
31,Arconitum,7,1,20060226022605,20060226023636,unknown
32,Neun-x,7,0,20100629023625,20121007220341,unknown
33,P. Birken,7,0,20060821121731,20070307154928,unknown
34,Amurtiger,7,1,20090619070022,20090619070948,unknown
35,G-C,7,3,20080503132625,20080515113631,unknown
36,Baba66,7,4,20040716221236,20080501181658,unknown
