,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,In dubio pro dubio,56,53,20170824223048,20171004190141,unknown
1,Nomygon,27,13,20181227094259,20190112083612,unknown
2,Rademacher2015,11,3,20171113091834,20180320084650,unknown
3,Horst Gräbner,11,5,20120702160727,20181111102206,unknown
4,RoBri,10,6,20150901130358,20181111102023,unknown
5,Olaf Kosinsky,9,4,20150205130441,20180505145927,unknown
6,Jordi,8,3,20160730140105,20160730152242,unknown
7,2A01:598:B902:B63E:4446:840E:F2A5:8C55,8,0,20181111100802,20181111102107,unknown
8,Logograph,7,6,20070823165322,20180322075620,unknown
9,EH⁴²,7,0,20180520112621,20181031160017,unknown
10,Volkstribun 2.0,7,3,20131122153719,20180403132320,unknown
11,KL052,6,0,20180310220436,20180403170830,unknown
12,Rudolph Buch,6,6,20130502213603,20190105133022,unknown
13,WAH,6,0,20070330134411,20070330152030,unknown
14,Feldarbeit,5,3,20171007204218,20171112225946,unknown
15,Neun-x,5,0,20100625073429,20180905194827,unknown
16,89.166.175.115,5,0,20070330134058,20070330134320,unknown
17,Sprachpfleger,5,3,20170610101121,20190105213027,unknown
18,Vdreadnought,5,2,20120921092223,20121001145443,unknown
19,Aka,5,5,20170906175442,20190202224317,unknown
20,85.8.89.97,5,0,20070330151317,20070330151915,unknown
21,DDMS,5,0,20081021132810,20081021141330,unknown
22,Bnawiki,4,3,20040409150419,20040412234415,unknown
23,Brodkey65,4,1,20180225203233,20180810221713,unknown
24,Zero Thrust,4,1,20150119031907,20160816060345,unknown
25,149.11.111.59,4,0,20180227100902,20180227101611,unknown
26,Wossen,4,2,20091217013455,20091217014025,unknown
27,Kleiner Stampfi,4,1,20130726093006,20170825204227,unknown
28,Regi51,4,4,20150716165423,20180316194539,unknown
29,79.255.69.31,3,0,20180319001508,20180319132329,unknown
30,WiPo-Troll,3,0,20180316180900,20180316221436,unknown
31,89.247.116.28,3,0,20090216185059,20090216185330,unknown
32,19Wilhelm18,3,0,20180324110620,20180324134838,unknown
