,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Benatrevqre,487,218,20100608121747,20170220165600,unknown
1,Thomas Wozniak,120,23,20100608172158,20160320131808,unknown
2,In dubio pro dubio,119,108,20120220131455,20120324220822,unknown
3,Qualiabavariae,112,3,20120225153108,20150909145202,unknown
4,JosFritz,73,50,20110629192442,20150611183143,unknown
5,Barnos,60,21,20100608124109,20170820095940,unknown
6,Atomiccocktail,57,1,20120220092343,20120226121609,unknown
7,Rita2008,55,2,20100618145908,20180731161012,unknown
8,Pfieffer Latsch,55,0,20120414092100,20190223082438,unknown
9,Neun-x,50,8,20100604011305,20170119090741,unknown
10,Hcdgcz,47,3,20131209173707,20170328231922,unknown
11,Franz Jäger Berlin,47,9,20101229142450,20110823131522,unknown
12,Bakulan,35,6,20110312203504,20110313131012,unknown
13,Rosenkohl,33,4,20120220215307,20120505114130,unknown
14,KL052,32,0,20180401185513,20180406153754,unknown
15,Adornix,31,3,20100611135827,20110826170915,unknown
16,Hardenacke,30,19,20110102181522,20170306181541,unknown
17,Tohma,28,3,20080907090716,20170920151508,unknown
18,TJ.MD,27,3,20100613130657,20110312214013,unknown
19,Gonzo.Lubitsch,26,4,20100620101123,20120619083504,unknown
20,BrThomas,24,5,20100612153242,20150427214430,unknown
21,Luckas-bot,23,23,20100606215057,20120504155236,unknown
22,Gloser,22,3,20130606220110,20180720072702,unknown
23,Vsop,22,1,20120314202214,20170219213914,unknown
24,Bonnlander,21,12,20130830151828,20170213070104,unknown
25,J. Patrick Fischer,20,4,20111003113407,20121223125447,unknown
26,Cartinal,19,7,20100609154129,20150117200124,unknown
27,Josh Gorand,19,1,20100604000543,20100629150149,unknown
28,Gustav von Aschenbach,18,9,20100618151054,20150904190914,unknown
29,Times,18,0,20100608192951,20120318145536,unknown
30,Trinitrix,18,0,20110309032959,20110701140652,unknown
31,MAY,18,1,20100617234418,20190103020304,unknown
32,Schiwago,17,13,20060729122645,20120510063108,unknown
33,Aka,17,17,20110326100812,20171104080700,unknown
34,Wilske,17,7,20100628142638,20101129205901,unknown
35,Alkim Y,16,10,20111018123145,20130505163935,unknown
36,Caumasee,15,0,20160218084454,20180731133125,unknown
37,Gonzo Greyskull,15,3,20120219195020,20120226164554,unknown
38,Widerborst,15,1,20120223102150,20120226163833,unknown
39,Michelhausen,15,0,20120220133049,20120612093342,unknown
40,Freud,14,2,20120221132757,20130617110656,unknown
41,Esina,13,2,20120321214425,20120321222154,unknown
42,MannfürsGrobe,13,0,20120222003112,20120427151607,unknown
43,Casra,13,2,20100603222407,20100608204636,unknown
44,Havaube,13,8,20100626204327,20121224105531,unknown
45,Rtc,12,3,20120222002201,20120318154855,unknown
46,Maximilian Schönherr,12,5,20120223123109,20120319101143,unknown
47,Anima,11,7,20120427193834,20120728235234,unknown
48,Olaf Kosinsky,11,3,20120425093827,20180720103033,unknown
49,Däädaa,10,0,20120226012138,20120530030737,unknown
50,Natsu Dragoneel,10,6,20140728130538,20170318065447,unknown
51,Pittimann,10,9,20100607080624,20181109105617,unknown
52,Richtest,10,7,20120220190322,20120223123921,unknown
53,BerlinerSchule,9,8,20100703174152,20110326114741,unknown
54,Luke081515Bot,9,0,20160321025300,20170111214048,unknown
55,Horst Gräbner,9,7,20130519094720,20180624135134,unknown
56,Wikswat,9,4,20130930164516,20131010193028,unknown
57,Dummbeutel,9,2,20120321055118,20120517133319,unknown
58,Hirschgruber,9,1,20120221113532,20120222152448,unknown
59,Nicola,9,1,20120222164206,20120223115441,unknown
60,Goldzahn,9,2,20120324002315,20131006130230,unknown
61,47.70.156.198,9,0,20151226031249,20151226032159,unknown
62,Nicolai P.,9,1,20100611201034,20120220082453,unknown
63,Blatand,9,4,20100608140937,20121117192718,unknown
64,Bwbuz,9,7,20170121133949,20171215123903,unknown
65,Alstersegler,9,0,20170317185419,20170319010309,unknown
66,Hannes.kl,8,0,20150121143545,20150430144111,unknown
67,Komischn,8,7,20100604142539,20160606160809,unknown
68,Frauke32,8,0,20120303181044,20181109154702,unknown
69,Regi51,8,6,20120219232506,20160122153204,unknown
70,Label5,8,2,20100720181238,20130430083225,unknown
71,Sir James,8,6,20120219221612,20150214054342,unknown
72,Purschka,8,7,20091026133643,20100601125020,unknown
73,Itti,7,6,20120910174414,20141102131533,unknown
74,Amberg,7,5,20100605030805,20171022232016,unknown
75,PhChAK,7,0,20120219204042,20120225161252,unknown
76,Svebert,7,0,20130501130152,20130501134743,unknown
77,Bennsenson,7,0,20120219235455,20120428210958,unknown
78,Cyve,7,5,20120219201716,20120221090006,unknown
79,ZéroBot,7,7,20110611220055,20121030115445,unknown
80,7Pinguine,7,1,20100802163436,20111018124711,unknown
81,Mautpreller,7,0,20110108195042,20110109133141,unknown
82,ChuispastonBot,6,6,20120220012237,20120319133738,unknown
83,Roentgenium111,6,3,20120220190324,20150421144354,unknown
84,Liesbeth,6,0,20100726043935,20110408124929,unknown
85,Josef2610,6,2,20120219201325,20120320234811,unknown
86,Nemissimo,6,2,20130715011837,20130715020032,unknown
87,Entbert,6,6,20121218163405,20131027153149,unknown
88,Spuk968,6,6,20120319172842,20160127143008,unknown
89,Sportfreund.php,6,6,20120319091329,20140921174447,unknown
90,Simplicius,6,1,20120220225156,20120612190238,unknown
91,Stefan64,6,4,20110308102518,20140605160016,unknown
92,Jobu0101,6,6,20120221094127,20150131232119,unknown
93,Phd,6,0,20120220120430,20120320161045,unknown
94,CHensel,6,0,20120220093720,20120301223416,unknown
95,Sneecs,5,1,20120505100212,20130227200322,unknown
96,Snahlemmuh,5,2,20120319074952,20120505113018,unknown
97,Boshomi,5,4,20141004105130,20170111215646,unknown
98,Wikifreund,5,4,20130606210727,20130606222021,unknown
99,Olag,5,0,20120505165317,20120505171535,unknown
100,195.71.165.234,5,0,20120208124754,20120208125103,unknown
101,Polentario,5,0,20120220210045,20120610141356,unknown
102,Nuuk,5,3,20100613110112,20180719160759,unknown
