,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Andropov,68,10,20150108161922,20180928075736,unknown
1,TMFS,41,8,20050620133112,20080220231324,unknown
2,Roland Kutzki,18,7,20091202085625,20180914110433,unknown
3,Hardenacke,13,13,20080104150620,20090905195014,unknown
4,Rudolfox,13,1,20090206154503,20130902063726,unknown
5,Sefo,11,7,20080910213409,20090928215937,unknown
6,Northside,10,1,20060616161731,20081217204356,unknown
7,Aka,9,9,20090913190842,20180919190134,unknown
8,84.172.190.201,8,0,20050717202724,20050717212118,unknown
9,62.156.205.193,8,0,20060309160501,20060713081627,unknown
10,YoungDylan,8,5,20170701063135,20170702122501,unknown
11,84.189.59.38,8,0,20070827134008,20070827141221,unknown
12,TomekHH,7,0,20050322065210,20050919152055,unknown
13,Jcgberlin,7,3,20070913134507,20070918163627,unknown
14,Miltrak,7,0,20110919104504,20150424110329,unknown
15,80.171.73.62,6,0,20060612143923,20060612150802,unknown
16,Gerd Mausbach,6,3,20070302173247,20070425203429,unknown
17,80.171.126.7,6,0,20060206234049,20060207000059,unknown
18,CrazyForce,6,0,20070411091241,20070416131205,unknown
19,Vollprofi,6,1,20121010215903,20121011203814,unknown
20,SchubertHa,6,0,20150208201532,20150322163108,unknown
21,DerWegWarLang,5,3,20060829191224,20060903083844,unknown
22,Gustav von Aschenbach,5,1,20090815191548,20180618011912,unknown
23,HaeB,5,0,20051207073809,20060903083936,unknown
24,84.189.51.81,5,0,20061017040312,20061017041933,unknown
25,VeithHH,5,4,20120305142508,20120305144154,unknown
26,134.100.185.65,5,0,20051025152013,20051025154649,unknown
27,134.100.177.61,4,0,20050829115939,20051126203005,unknown
28,Excolis,4,1,20150204120952,20160320183803,unknown
29,80.171.74.247,4,0,20051011112130,20051011112433,unknown
30,91.60.71.194,4,0,20110606070110,20110606070949,unknown
31,Thor buchenwald,4,1,20170630180207,20170704155508,unknown
32,Olaf Kosinsky,4,2,20120408211312,20160918082749,unknown
33,80.171.179.212,4,0,20061020205907,20061020212500,unknown
34,Sebbot,4,2,20071030000513,20150213061040,unknown
35,Orik,4,0,20130916120206,20150307075842,unknown
36,84.147.227.193,4,0,20060109154250,20060109155236,unknown
37,213.39.229.76,4,0,20051207124616,20051207125217,unknown
38,Altsprachenfreund,4,1,20170630201437,20170928122957,unknown
39,Linus1961,4,1,20150203213249,20150203225310,unknown
40,87.78.122.75,4,0,20061111154133,20061111154520,unknown
41,Achatos,4,3,20070425152847,20070425204013,unknown
42,Oneiros,3,3,20061015194717,20061015194831,unknown
43,Bansh,3,0,20081217174147,20081217174426,unknown
44,Ute Erb,3,3,20180618185530,20180618190750,unknown
45,84.172.248.243,3,0,20050713074706,20050713075525,unknown
46,193.17.243.102,3,0,20070119143957,20070119152610,unknown
47,Galant Khan,3,0,20170630083928,20180129041950,unknown
48,77.186.206.117,3,0,20161220194020,20161220195705,unknown
49,Sven-steffen arndt,3,1,20070320172430,20070325070551,unknown
50,Cheeder,3,1,20050718122532,20050718124644,unknown
51,Uwe Gille,3,2,20060508112850,20061231154312,unknown
52,84.190.67.32,3,0,20071008053310,20071008053652,unknown
53,80.171.105.181,3,0,20070305181959,20070305182941,unknown
54,213.39.150.115,3,0,20060207144619,20060207155652,unknown
