,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,MAY,19,0,20090309204559,20131101150319,unknown
1,Docmo,19,9,20060127133654,20060206120438,unknown
2,Sir,18,11,20050426182434,20060528173848,unknown
3,TMFS,18,8,20031106194835,20080110223928,unknown
4,Atamari,13,5,20060927165646,20170114233056,unknown
5,Aka,12,12,20060117095836,20180809162534,unknown
6,M.ottenbruch,11,1,20060127212341,20120305133822,unknown
7,84.135.131.48,11,0,20160116102153,20160116175622,unknown
8,Dr Möpuse,10,0,20120103150100,20121020081413,unknown
9,N.Eschenhagen,10,3,20061207184431,20111107211549,unknown
10,Syrcro,9,3,20060117101848,20060130100541,unknown
11,Rusti,8,0,20080214161537,20080308185140,unknown
12,Gödeke,8,6,20090122125404,20140831025939,unknown
13,80.130.73.112,7,0,20060117095816,20060117100432,unknown
14,JüKü,7,5,20040712171602,20060109163025,unknown
15,Simbabwe,6,1,20060127114751,20060127115703,unknown
16,Unscheinbar,6,3,20060127140049,20060127164112,unknown
17,213.183.13.20,6,0,20060303122519,20060303125902,unknown
18,Gobel,6,0,20060131092052,20060911192235,unknown
19,Mink95,5,2,20060127121607,20060606155345,unknown
20,Bettenburg,5,4,20060127161428,20060128150440,unknown
21,Plenz,5,1,20060127133746,20060203131553,unknown
22,Wattsname,5,0,20060128131445,20060307190053,unknown
23,Madbros,5,4,20060207112328,20060207113709,unknown
24,84.187.140.45,5,0,20080213015347,20080213023946,unknown
25,GrandpaScott,5,0,20110325154430,20110405101050,unknown
26,LKD,5,5,20060820232848,20090210104620,unknown
27,-jha-,5,0,20060410014317,20060916101304,unknown
28,172.158.17.82,5,0,20070902135237,20070902200632,unknown
29,Liborianer,5,0,20120531042710,20130211120826,unknown
30,Toto~dewiki,5,2,20040610173403,20061227114823,unknown
31,Zwobot,5,5,20031218085416,20060123190138,unknown
32,Scheinschein,4,2,20130222191848,20130222193548,unknown
33,Sargoth,4,2,20120104142928,20120122222043,unknown
34,Achatos,4,1,20061128200743,20061130095318,unknown
35,Gerbil,4,0,20060127112006,20060127112505,unknown
36,Amano1,4,0,20071213005226,20080104230050,unknown
37,Triebtäter,4,0,20040523004347,20060128182237,unknown
38,Verzettelung,4,4,20160312145259,20160312145648,unknown
39,Eins,4,4,20060127150557,20060127161549,unknown
40,Morty,4,3,20090102141356,20090105214916,unknown
41,Mihewag,4,4,20110920121459,20110920123017,unknown
42,Neun-x,4,1,20130609042549,20130609050534,unknown
43,Nepomucki,4,3,20070202131522,20080502082324,unknown
44,Guillermo,4,0,20031106201127,20031106212354,unknown
45,195.93.60.140,4,0,20060127154406,20060127155526,unknown
46,Lutheraner,4,1,20140529173139,20190101153111,unknown
47,Historiograf,4,1,20051104200714,20060127162645,unknown
48,Jüppken,4,4,20100816170454,20101223132002,unknown
49,David Wintzer,4,4,20090102174841,20150215134458,unknown
50,Jed,4,4,20031207013732,20051223142858,unknown
51,134.245.53.99,4,0,20050127071318,20050127080446,unknown
52,Franz Wikinews,4,2,20060127155216,20060127160803,unknown
53,Pittimann,4,3,20110118095051,20160222104551,unknown
54,84.130.101.155,4,0,20060127161000,20060127163710,unknown
55,GDK,4,3,20060127152744,20060127163003,unknown
56,217.226.23.5,4,0,20041020034143,20041020122445,unknown
57,Luckas-bot,4,4,20101007103251,20120401201802,unknown
58,GT1976,4,1,20081222035803,20151111062103,unknown
59,Benatrevqre,3,1,20090910152313,20090911084821,unknown
60,176.199.83.15,3,0,20160222104541,20160222105204,unknown
61,Intertorsten,3,3,20041020143135,20041020193031,unknown
62,Vsop,3,2,20120308234629,20170212171533,unknown
63,213.240.148.20,3,0,20130405124820,20130405125733,unknown
64,Magnus,3,3,20030904204126,20031107225904,unknown
65,Xqbot,3,3,20090116061327,20110424011951,unknown
66,Wiegels,3,0,20041020113157,20090407010003,unknown
67,Nito,3,1,20040816061808,20041223142656,unknown
68,TXiKiBoT,3,3,20090327152124,20101116193202,unknown
69,Franz Richter,3,0,20060603083728,20060606154649,unknown
70,Stefan64,3,3,20060127125311,20070923005601,unknown
71,217.0.96.124,3,0,20040601202153,20040601202602,unknown
72,193.188.197.6,3,0,20040315165500,20040907144600,unknown
73,Deralex,3,3,20060127113541,20060207124118,unknown
74,Hasselklausi,3,2,20161218215711,20170907213230,unknown
75,Eingangskontrolle,3,3,20080101173418,20080101174541,unknown
76,EBB,3,3,20040523071916,20040630220328,unknown
77,87.189.221.184,3,0,20110118095022,20110118101446,unknown
78,Hubertl,3,1,20080402095000,20111021061149,unknown
79,Hey Teacher,3,3,20060127121857,20080810192030,unknown
80,Joe-Tomato,3,1,20090803084236,20100325085225,unknown
81,Flavia67,3,1,20110114031823,20110114034719,unknown
82,Dancer,3,3,20090623105201,20100721231718,unknown
83,Laurentianus,3,1,20100918164958,20110727161851,unknown
84,Temistokles,3,2,20060127163511,20060127195334,unknown
85,87.79.215.22,3,0,20070122165456,20070122165546,unknown
86,84.128.98.89,3,0,20040523121131,20040523121646,unknown
87,Tomukas,3,1,20131217124537,20131217124851,unknown
88,Ot,3,3,20061123081757,20100905061701,unknown
89,Pelz,3,2,20120124221807,20140731212952,unknown
90,217.111.27.41,3,0,20060127120827,20080714113959,unknown
91,87.189.243.76,3,0,20100515201151,20100515202429,unknown
92,80.130.196.133,3,0,20060729230155,20060729230258,unknown
93,DerHexer,3,3,20070307180731,20090318082347,unknown
94,ChrisM,3,3,20051006055920,20051006070216,unknown
95,Pfieffer Latsch,2,0,20110313180412,20110317155128,unknown
96,Kubrick,2,2,20060117100217,20060117100451,unknown
97,62.153.71.162,2,0,20060215135441,20060522112934,unknown
98,80.130.126.203,2,0,20060919113532,20060919114054,unknown
99,84.102.149.163,2,0,20070108193013,20070108193128,unknown
100,Altsprachenfreund,2,2,20140112175312,20140112175338,unknown
101,HSV4life,2,2,20180801201706,20180801201748,unknown
102,Hansele,2,0,20050622101752,20061209163430,unknown
103,194.55.216.23,2,0,20060404085852,20060404085928,unknown
104,Slökmann,2,2,20051018142721,20051110145201,unknown
105,80.136.52.111,2,0,20060127134531,20060127135203,unknown
106,Sir James,2,2,20090413084557,20121013120907,unknown
107,Ma'ame Michu,2,2,20040716002110,20040716003511,unknown
108,Wikix,2,0,20050312144252,20050312144303,unknown
109,80.130.45.25,2,0,20070201191054,20070201192151,unknown
110,Akl,2,1,20031106195651,20031106211825,unknown
111,80.142.67.32,2,0,20060528173743,20060528192926,unknown
112,130.92.9.57,2,0,20080731070936,20080731071256,unknown
113,Thijs!bot,2,2,20070101151347,20070802194029,unknown
114,Maximilian Schönherr,2,1,20120102225059,20120102234920,unknown
115,Peter200,2,1,20071021130427,20130923060510,unknown
116,ZéroBot,2,2,20120928044936,20121126133618,unknown
117,217.88.61.52,2,0,20131107113352,20131107113441,unknown
118,Erwin E aus U,2,0,20040324114511,20040324120634,unknown
119,BLueFiSH.as,2,1,20060207191940,20060207192303,unknown
120,Visitator,2,1,20090702085822,20090702090106,unknown
121,Tsca.bot,2,2,20060414134312,20060512221424,unknown
122,Seewolf,2,2,20100517212531,20110125173557,unknown
123,84.190.222.12,2,0,20060207112320,20060207112527,unknown
124,Judith M-S,2,0,20110606181326,20120104143929,unknown
125,Sinn,2,2,20060201092727,20090317100106,unknown
126,Dk1909,2,0,20170212130723,20170212131130,unknown
127,YurikBot,2,2,20050804193813,20051009042816,unknown
128,Karsten11,2,1,20070127102747,20070828104715,unknown
129,Kircherli,2,0,20090910234639,20090910234708,unknown
130,Rybak,2,2,20041222124332,20070905123309,unknown
131,80.130.76.213,2,0,20060109124132,20060109124201,unknown
132,PhHertzog,2,1,20040401231611,20040401231658,unknown
133,Serols,2,2,20160222105103,20160222105209,unknown
134,Onkel25,2,2,20060208155102,20060208155154,unknown
135,Don Magnifico,2,1,20090802213216,20091214221458,unknown
136,Dalokko,2,0,20110114031645,20110114032601,unknown
137,Savin 2005,2,2,20071009211448,20081202181005,unknown
138,Louis Bafrance,2,0,20070327103746,20070327103906,unknown
139,Oberbootsmann,2,0,20120714204931,20130609160209,unknown
140,Leit,2,2,20080308184926,20080909142507,unknown
141,Radschläger,2,2,20081210204002,20081210220116,unknown
142,Knochen,2,0,20110411192939,20110411193517,unknown
143,80.145.106.57,2,0,20060127133401,20060127133930,unknown
144,Sebbot,2,0,20130202111512,20131214060449,unknown
145,217.228.38.122,2,0,20030905000110,20030905000209,unknown
146,Itti,2,2,20131107113509,20141029141202,unknown
147,Andibrunt,2,1,20060129123602,20060129123628,unknown
148,Anti.,2,1,20111120093928,20111120094113,unknown
149,Mac CH,2,2,20060127140735,20060127221826,unknown
150,Sol1,2,1,20080219004100,20080219004337,unknown
151,Buchbibliothek,2,0,20151203165708,20151203165822,unknown
152,Howwi,2,2,20090528164153,20111202071944,unknown
153,Calvin Ballantine,2,0,20051008073046,20060706141946,unknown
154,Zeno Gantner,2,2,20040102021614,20041206130750,unknown
155,Memorino,2,2,20090304195727,20090307082522,unknown
156,83.236.142.178,2,0,20060127152102,20060127152234,unknown
157,145.254.133.226,2,0,20040423222843,20040423223134,unknown
158,Ostfriese73,2,0,20160301213413,20160301213612,unknown
159,84.133.202.110,2,0,20060208191544,20060208191758,unknown
160,84.172.36.126,2,0,20050625175949,20050625180105,unknown
161,Meine Wenigkeit,2,0,20070415123320,20070415175630,unknown
162,80.143.211.43,2,0,20060127142035,20060127142958,unknown
163,Shchuna gimmel b7,2,0,20051026203150,20051118152150,unknown
164,Schumir,2,2,20061207111921,20061207112006,unknown
165,Dandelo,2,0,20120331092434,20120331102838,unknown
166,217.197.85.1,2,0,20060201071230,20060201071245,unknown
167,Rafael Zink,2,2,20091111214404,20091111214455,unknown
168,Moepeloepi,2,0,20100625222704,20100625223451,unknown
169,Reinbaner,2,1,20080802170313,20080803115153,unknown
170,Hans Schäfer,2,2,20060130153141,20060215094734,unknown
171,80.137.68.14,2,0,20051230183936,20051230184138,unknown
172,87.173.230.134,2,0,20070104184634,20070104184831,unknown
173,Carlos Eggenstein,2,0,20120103213041,20160120225540,unknown
174,Samos1,2,2,20071026224110,20071026225618,unknown
175,MaxxL,2,0,20121018105655,20130405132028,unknown
176,217.95.208.81,2,0,20041020142923,20041020144604,unknown
177,Adomnan,2,2,20050616113302,20060523115510,unknown
178,80.134.119.28,2,0,20100905061603,20100905061919,unknown
179,134.95.206.113,2,0,20060127113258,20060127113308,unknown
180,Zaungast,2,0,20060303125252,20060303131021,unknown
181,Andrest,2,2,20050812225941,20050813150137,unknown
182,S.Didam,2,0,20070129193144,20070129193215,unknown
183,ThoR,2,2,20080904215308,20080904221240,unknown
184,YokoHH,2,1,20090305223023,20090305223121,unknown
185,WAH,2,1,20060216142226,20060606091829,unknown
186,78.53.45.52,2,0,20100605160045,20100605160257,unknown
187,RobotQuistnix,2,2,20060116125821,20070602174039,unknown
188,84.146.231.82,2,0,20060127122449,20060127123008,unknown
189,213.54.74.182,2,0,20041202235255,20041202235407,unknown
