,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Elya,29,18,20031130092909,20100611062152,unknown
1,Martin Rasmussen,27,10,20041225233254,20050516173836,unknown
2,Berlin-Jurist,26,10,20050911164109,20090228122032,unknown
3,Anti.,20,8,20090726113412,20180402220557,unknown
4,Southpark,19,17,20040307212135,20050816131207,unknown
5,Tillwe,16,3,20040506182543,20050921130445,unknown
6,TMFS,15,7,20031117191838,20051124144630,unknown
7,Phi,14,0,20110530164751,20180308163809,unknown
8,Frauke32,13,1,20120317174344,20130524113656,unknown
9,212.112.232.175,12,0,20050722132425,20050722143448,unknown
10,Donautalbahner,11,2,20060623084619,20090105171216,unknown
11,Alleswirdbesser,11,3,20120223064348,20120223080439,unknown
12,D,11,11,20050722133823,20050818150654,unknown
13,FelMol,10,1,20100219162856,20110310093452,unknown
14,Neun-x,10,0,20100818010926,20170201192839,unknown
15,Aka,10,10,20050524065145,20190107193731,unknown
16,Bene16,10,5,20070103110214,20101120074436,unknown
17,Peteremueller,10,2,20180408001245,20180410070605,unknown
18,Schotterebene,10,9,20100908141051,20190107145740,unknown
19,MAK,9,1,20050228072211,20051125155140,unknown
20,Toter Alter Mann,9,5,20090802090315,20100423165012,unknown
21,Blunt.,8,5,20090518204413,20100421093923,unknown
22,Textkorrektur,8,1,20090519182545,20110811080157,unknown
23,Florian K,8,8,20041129053002,20050510184902,unknown
24,84.59.54.210,8,0,20050517203038,20050517205246,unknown
25,Mwka,8,1,20040808092512,20050331211456,unknown
26,Stefanwege,8,5,20050309221348,20071102192349,unknown
27,Davidbraun,8,0,20060517125934,20060730092821,unknown
28,Unscheinbar,8,6,20050831192406,20160503142539,unknown
29,Florian Adler,7,7,20070217150848,20100421104420,unknown
30,Sol1,7,4,20071026190421,20170704214516,unknown
31,Sir James,7,5,20080123223925,20120531214403,unknown
32,134.76.62.254,7,0,20070415211708,20070417080243,unknown
33,Wikswat,6,1,20090701185750,20121114201842,unknown
34,84.151.251.51,6,0,20050922215711,20050922221647,unknown
35,Malteser,6,0,20040506115856,20040506140322,unknown
36,Gustav von Aschenbach,6,4,20090511120204,20170203204907,unknown
37,Dundak,6,4,20050226223219,20050722143616,unknown
38,F.Blaubiget,6,3,20141016170706,20141016191755,unknown
39,HaeB,6,2,20050513025044,20050923022920,unknown
40,Kh80,6,6,20050501111317,20060311063235,unknown
41,Nicor,6,0,20061213123850,20130301011459,unknown
42,Giro,5,2,20100301225624,20121114145136,unknown
