,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Lettres,125,33,20100925144504,20180326203213,unknown
1,Kängurutatze,32,0,20130618124342,20170304213333,unknown
2,Squarerigger,27,0,20150924130806,20170322054108,unknown
3,Axpde,23,1,20110821220806,20160728202329,unknown
4,AHZ,19,4,20101211214523,20160123171345,unknown
5,Pölkkyposkisolisti,15,2,20140219155440,20160221190125,unknown
6,Zaphiro,14,14,20091117173424,20091125012258,unknown
7,Dr Möpuse,14,1,20111226163214,20130210114056,unknown
8,Olaf Kosinsky,12,1,20121003064347,20180419091702,unknown
9,Falkmart,11,1,20151227101648,20180311130154,unknown
10,Joligm,11,0,20110510185718,20110518125715,unknown
11,Artmax,11,1,20140930095322,20180523092744,unknown
12,Rmcharb,9,3,20140218135420,20180114180637,unknown
13,46.5.42.52,9,0,20130915074101,20130915093126,unknown
14,CDU Rheinland-Pfalz,9,1,20140611083003,20171116110005,unknown
15,TMFS,9,5,20070525142419,20080710165111,unknown
16,Aka,9,9,20110412175227,20181209212743,unknown
17,2.240.6.67,8,0,20160205120336,20160205164529,unknown
18,Andropov,8,1,20180307164706,20181023195400,unknown
19,N.Eschenhagen,8,2,20110406203832,20160812062132,unknown
20,Kandschwar,8,4,20141217155615,20190218210341,unknown
21,Ziegelbrenner,7,7,20050920113005,20100921111613,unknown
22,Spurzem,7,2,20160728111102,20181217213333,unknown
23,Wiki Cherry,7,5,20111124145815,20111209115314,unknown
24,WinfriedSchneider,7,5,20091117224413,20091123143711,unknown
25,2.240.242.20,7,0,20160201121309,20160201164209,unknown
26,Bakulan,6,1,20110410213323,20110410221523,unknown
27,Tagliagola,6,0,20160125155904,20160205162618,unknown
28,Steppenwolf83,6,0,20090721125418,20090728132414,unknown
29,Adornix,5,2,20101213153153,20110105134840,unknown
30,Schreibkraft,5,0,20100211154921,20100419102148,unknown
31,87.167.238.17,5,0,20110218200409,20110218205001,unknown
32,Holmium,5,4,20160202182243,20160312084624,unknown
33,2.240.142.215,5,0,20160130122705,20160130160613,unknown
34,Cirdan,5,1,20180306233918,20180315151835,unknown
35,Graf Umarov,5,1,20160730095128,20170607094404,unknown
36,Nordprinz,5,0,20190217094653,20190308235204,unknown
37,YoungDylan,5,3,20160126133556,20171205162846,unknown
38,WeiterWeg,5,0,20151101220357,20170606235744,unknown
39,2.240.136.252,5,0,20160129173430,20160129213244,unknown
40,Aktenstapel,5,1,20160520180035,20160731165100,unknown
41,Boshomi,5,2,20150510121143,20161129211746,unknown
42,AF666,4,0,20050406134724,20180324233840,unknown
43,Luke081515Bot,4,0,20161116224752,20161129191815,unknown
44,Blunt.,4,2,20080708192933,20080710170524,unknown
45,Natsu Dragoneel,4,0,20160802120751,20171231153926,unknown
46,Symposiarch,4,4,20180225172847,20190219071331,unknown
47,Cdurlp,4,1,20101124121746,20101124123745,unknown
48,Cdurlp12,4,0,20120102092759,20120102101037,unknown
49,82.113.121.95,4,0,20091117175529,20091117181345,unknown
50,Hans Haase,4,0,20160130131525,20160312075733,unknown
51,Miltrak,4,0,20160121152756,20170219131734,unknown
52,Subamaggus,4,2,20150928213934,20171117140417,unknown
53,2.241.57.226,4,0,20160123113314,20160123170730,unknown
