,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Kopilot,22,6,20130512143644,20150912034955,unknown
1,TMFS,21,4,20031117191622,20071129235439,unknown
2,DerGlobetrotter,21,18,20070606210523,20071007141747,unknown
3,HaeB,14,1,20040722160738,20060531115647,unknown
4,Ceterum censeo,13,1,20051202225545,20060117012559,unknown
5,Michael.bender,13,5,20070629081621,20070823091852,unknown
6,Snevern,12,8,20090914212715,20091201190649,unknown
7,Edelseider,11,9,20070629081738,20110520070041,unknown
8,Kris Kaiser,10,3,20030708233945,20050307091256,unknown
9,Simplicius,10,0,20120103113225,20120115101101,unknown
10,Nephelin,8,6,20030906202358,20030906210046,unknown
11,Stern,7,1,20040207223637,20041219224533,unknown
12,Amberg,7,1,20061015192637,20181023163752,unknown
13,Kurt Jansson,7,2,20021008205058,20030614224704,unknown
14,Ilja Lorek,7,3,20030605135306,20030711162006,unknown
15,Lollystick,6,0,20090916114212,20090916121107,unknown
16,Braunbaer,6,2,20030607143849,20030628190642,unknown
17,Vinci,5,1,20030610012542,20040801220552,unknown
18,85.216.18.210,5,0,20130605094446,20130605095516,unknown
19,Sir,5,5,20051207143334,20070103155122,unknown
20,Zwobot,5,5,20040207014211,20070907201609,unknown
21,Chef,5,2,20040820145445,20070410150437,unknown
22,77.23.114.166,5,0,20090916112940,20090918193651,unknown
23,Seewolf,4,4,20070829135213,20090125162913,unknown
24,62.226.67.145,4,0,20021008195219,20021008195342,unknown
25,Jurastudentin,4,3,20071114050038,20080127205430,unknown
26,APPER,4,4,20050829031504,20150521160043,unknown
27,Hlamerz,4,1,20130605070239,20130606091615,unknown
28,Berlin-Jurist,4,2,20060117010001,20090916113334,unknown
29,62.180.88.148,4,0,20041012124131,20041012124523,unknown
30,MarcyMarc1980,4,3,20070628230032,20070628230254,unknown
31,Christoph1975,4,0,20101007071241,20101008101620,unknown
32,Doc Sleeve,4,4,20040227100418,20110207160047,unknown
33,Aka,4,4,20061101190028,20161222204123,unknown
34,217.2.128.79,4,0,20030605113929,20030605114237,unknown
35,Srvban,4,1,20080602172629,20091201181836,unknown
36,Urbanus,4,4,20030605115408,20030614165415,unknown
37,80.171.188.39,4,0,20130512141842,20130512153456,unknown
38,Ulrich.fuchs,4,0,20030605151927,20030710160625,unknown
39,178.6.162.168,3,0,20120710075208,20120710080917,unknown
40,84.59.3.205,3,0,20070410145655,20070410145906,unknown
41,Kuebi,3,2,20120706064451,20170121121140,unknown
42,Janjonas,3,2,20130608204059,20130608204225,unknown
43,Waelder,3,2,20040123003446,20040126185253,unknown
44,Talaris,3,2,20061211133230,20071130131610,unknown
45,TlatoSMD,3,0,20070511075010,20070511091106,unknown
46,Freiheitsglocke,3,0,20080501195741,20080501200300,unknown
47,84.153.23.35,3,0,20061101173321,20061101174019,unknown
48,Gersve,3,0,20040819120501,20040819133519,unknown
49,Sol1,3,2,20100904000410,20100904000741,unknown
50,Olaf Kosinsky,3,0,20130414215612,20160502154234,unknown
51,Davidbraun,3,1,20060612102717,20060612155628,unknown
52,Southpark,3,3,20040508203157,20060117011353,unknown
53,85.177.86.214,3,0,20160102041543,20160102041848,unknown
54,Mogelzahn,3,3,20040712114526,20061119171752,unknown
55,Hansele,3,1,20051212011254,20060611205442,unknown
56,Head,3,1,20030906204535,20041008220135,unknown
57,Pc3021,3,1,20120813090315,20130512173748,unknown
58,Weiße Rose,3,2,20060304181112,20060304225841,unknown
59,Pelz,3,2,20080622211624,20120124205930,unknown
60,NameDerGeht2018,3,0,20181023124830,20181023200504,unknown
61,Deutsche Eiche,3,0,20080728142040,20080728142135,unknown
62,83.189.129.9,3,0,20071017065616,20071017073232,unknown
63,84.112.196.7,3,0,20181013193440,20181105212042,unknown
64,Miltrak,3,0,20110919103140,20130603085436,unknown
65,Auto,3,0,20060412203702,20060412203739,unknown
66,Tönjes,3,0,20060929223945,20070619083808,unknown
67,Aineias,3,1,20160319212628,20170624200256,unknown
68,Ticketautomat,3,0,20071129101429,20071129101636,unknown
69,80.142.15.252,3,0,20070428090507,20070428120345,unknown
70,El,2,1,20030624112821,20030906212035,unknown
71,STBR,2,1,20070419200855,20090729110458,unknown
72,Walter Koch,2,2,20030209153448,20030319090008,unknown
73,Nixred,2,2,20070216193832,20070216193919,unknown
74,62.158.77.168,2,0,20050121184919,20050121185029,unknown
75,Ziko,2,0,20090108130641,20090216224452,unknown
76,Carol.Christiansen,2,2,20111002144145,20111002144439,unknown
77,OLTMAR,2,1,20071021063420,20080815091439,unknown
78,Bennsenson,2,0,20090702140718,20090702141209,unknown
79,121.200.228.177,2,0,20091209021800,20091209022434,unknown
80,84.73.153.248,2,0,20060425180957,20060425181315,unknown
81,WeißNix,2,0,20030605132824,20030614204907,unknown
82,Andropov,2,0,20161116113625,20170817180540,unknown
83,Sommerkom,2,0,20071130150058,20071130150241,unknown
84,84.153.8.156,2,0,20060126151318,20060126151453,unknown
