,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Miltrak,45,0,20130320231938,20131024001859,unknown
1,TMFS,36,6,20031117225850,20080809105931,unknown
2,Nicolai P.,28,7,20100129000107,20131111175305,unknown
3,Mogelzahn,19,9,20060122152432,20131112191253,unknown
4,Rudolfox,19,0,20090908141636,20120308082907,unknown
5,EH⁴²,19,2,20130630115413,20130918121420,unknown
6,Alkim Y,19,8,20130916090830,20130918145541,unknown
7,Roland Kutzki,18,8,20091031052550,20141028153945,unknown
8,Wikswat,15,2,20121121183637,20130905080353,unknown
9,0g1o2i3k4e5n6,14,1,20100126194618,20120303145731,unknown
10,Zollernalb,13,13,20120521190007,20150113215811,unknown
11,Lukati,12,2,20130916171216,20130918173508,unknown
12,Neun-x,11,0,20110425141627,20160613050902,unknown
13,D,11,10,20050814211727,20060102203431,unknown
14,Aka,9,9,20051118212907,20180727231010,unknown
15,Rosenkohl,8,3,20130917144450,20130918173726,unknown
16,62.180.160.155,7,0,20050907110419,20050907120019,unknown
17,Hal42,7,0,20051118214010,20051118230107,unknown
18,Regi51,7,7,20080809100351,20170309111735,unknown
19,Striegistalzwerg,6,0,20130916101741,20130917144854,unknown
20,79.240.206.155,6,0,20121121200016,20121122164512,unknown
21,88.64.144.24,6,0,20061003120023,20061003121445,unknown
22,Olaf Kosinsky,6,4,20130203174414,20150213175849,unknown
23,GigaMaxi,6,3,20121113142656,20121206090701,unknown
24,Tohma,6,3,20070730051118,20130917080428,unknown
25,Zeno Gantner,5,3,20030123104451,20041114122145,unknown
26,Paul Peplow,5,2,20130629163329,20130918141549,unknown
27,House1630,5,1,20130925104432,20160509161610,unknown
28,85.73.42.78,5,0,20051118212139,20051118213500,unknown
29,Walter Falter,5,0,20061003120257,20061003122929,unknown
30,Yoda1893,4,1,20081031131350,20181208134459,unknown
31,Alexander Fischer,4,1,20051020094426,20070119223659,unknown
32,62.214.83.165,4,0,20061003115939,20061003122946,unknown
33,Ralf Roletschek,4,1,20130121221726,20130829051106,unknown
34,JuergenL,4,3,20050110073528,20050713214024,unknown
35,Macabu,4,0,20151128174748,20151129035040,unknown
36,Goliath613,4,0,20130917143754,20130917144703,unknown
37,80.187.101.158,4,0,20130916084223,20130916092023,unknown
38,Wortsportler,4,2,20081228225302,20160819145841,unknown
39,Holiday,4,1,20130617132715,20130916143533,unknown
40,08-15,4,3,20060525095702,20060817203752,unknown
41,COD95,4,0,20121213140906,20121213200454,unknown
42,84.141.109.102,4,0,20060705221246,20060705222347,unknown
43,Jürgen Oetting,4,0,20130626181727,20130630172617,unknown
44,Phlo,4,2,20050503225215,20050817222843,unknown
45,91.11.63.57,4,0,20130828133149,20130828133448,unknown
46,JosFritz,4,0,20130917135004,20130918142654,unknown
47,Horst Gräbner,4,1,20120725134805,20180121152634,unknown
48,193.17.243.102,3,0,20070106103238,20070111085535,unknown
49,Kartoffelkönig,3,3,20070423214949,20070803123932,unknown
50,Steschke,3,0,20140919220922,20140923211027,unknown
51,Sebbot,3,0,20061218105616,20130212140643,unknown
52,Happolati,3,1,20121110105120,20121110123610,unknown
53,Blauraum,3,0,20060826142443,20070424193038,unknown
54,91.43.245.220,3,0,20131110224426,20131110233530,unknown
55,62.134.88.3,3,0,20050904031831,20050904032857,unknown
56,Mearaem,3,0,20120307184414,20120308191754,unknown
57,WeiterWeg,3,0,20130724224329,20130805165150,unknown
58,Hansele,3,1,20050712220112,20060708183920,unknown
59,79.200.70.134,3,0,20080809100303,20080809101257,unknown
60,62.134.88.166,3,0,20050906114502,20050906122918,unknown
61,FaktenSucher,3,1,20160224220104,20160224220318,unknown
62,Norbert,3,0,20030128095839,20040323212622,unknown
63,Tillwe,3,3,20040601211225,20040601211459,unknown
64,Agathenon,3,1,20130917123043,20130918173321,unknown
65,84.148.220.80,3,0,20060120084829,20060120102203,unknown
66,BadInstinct,3,0,20130227174836,20130227183755,unknown
67,Dachris,3,0,20050906120342,20051118225556,unknown
68,KastusK,3,0,20130715132836,20130909114917,unknown
69,81.173.164.8,3,0,20050907082755,20050907083021,unknown
70,74albia,3,0,20120607075625,20120609133253,unknown
71,Inkowik,3,3,20101117134349,20101117140311,unknown
72,Zwobot,3,3,20040207014340,20070606004116,unknown
73,Sir,3,3,20051004112357,20051016171500,unknown
74,Max Plenert,3,1,20060120091956,20060226000748,unknown
75,79.200.102.162,3,0,20080719150155,20080719150940,unknown
76,80.138.126.152,3,0,20090926185033,20090926185159,unknown
77,217.234.216.26,3,0,20040320225903,20040321011747,unknown
78,AxelHH,2,1,20130629143657,20130629143723,unknown
79,Kixx~dewiki,2,0,20030430173634,20030430173724,unknown
80,Malabon,2,2,20130322212953,20151128210236,unknown
81,Ahellwig,2,2,20090430160848,20090926185232,unknown
82,Wahldresdner,2,2,20110303222917,20130918110642,unknown
83,Max-78,2,1,20121203111911,20121205131240,unknown
84,Anathema,2,1,20040921064206,20040921064225,unknown
85,Seewolf,2,2,20060619095010,20100919131118,unknown
86,91.21.92.74,2,0,20121114140624,20121114142805,unknown
87,Jed,2,2,20040207152950,20071104212012,unknown
88,Harry8,2,0,20100723173841,20160325140642,unknown
89,Pittimann,2,2,20090926185057,20101117141816,unknown
90,Optimismus,2,0,20060707142819,20060707142920,unknown
91,Joachim Weckermann,2,2,20071122201146,20071122201300,unknown
92,Axt,2,1,20081210201252,20081210201958,unknown
93,84.164.145.199,2,0,20050817214422,20050817214611,unknown
94,91.115.251.98,2,0,20121110215406,20121110215505,unknown
95,Krisstian,2,2,20090801093947,20090801094522,unknown
96,Der Buckesfelder,2,0,20100918225537,20100919130936,unknown
97,134.96.79.160,2,0,20050605222306,20050605222620,unknown
98,82.97.140.139,2,0,20060112022510,20060112022718,unknown
99,79.240.203.51,2,0,20171205180322,20171205180431,unknown
100,84.144.229.18,2,0,20060810190358,20060810190643,unknown
101,80.138.96.196,2,0,20051112104006,20051112104257,unknown
102,PallesRille,2,0,20101117140306,20101117140343,unknown
103,Alnilam,2,2,20121114140631,20121114142811,unknown
104,Skriptor,2,1,20040219092255,20040309181421,unknown
105,Tangensalpha,2,1,20140529103321,20140529103549,unknown
106,84.175.127.95,2,0,20051016131634,20051016131838,unknown
107,Complex,2,1,20070522210044,20070918102817,unknown
108,217.251.112.24,2,0,20050414183019,20050414183107,unknown
109,-WolliWolli-,2,0,20120605230535,20120605231405,unknown
110,Phlixx,2,2,20131110225933,20131110230701,unknown
111,LKD,2,2,20101117141957,20110117194029,unknown
112,Gustav von Aschenbach,2,1,20100127174842,20130916111829,unknown
113,Pelz,2,2,20111219224834,20120117205414,unknown
114,Kolja21,2,1,20070110225925,20121012231459,unknown
115,InDubioProReo,2,2,20121111124930,20121111125007,unknown
116,213.6.236.4,2,0,20050713213941,20050713215506,unknown
117,80686,2,0,20140912071241,20140913193307,unknown
118,Eilmeldung,2,0,20061203120119,20061203120232,unknown
119,79.221.247.97,2,0,20130606104317,20130606104535,unknown
120,Ephraim33,2,0,20090605152337,20100320100656,unknown
121,77.188.22.236,2,0,20100717032152,20100717032405,unknown
