,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,38,9,20051013091439,20080907143215,unknown
1,Musik-chris,10,5,20051013113914,20051122185733,unknown
2,Berlin-Jurist,8,3,20051015083308,20090327191425,unknown
3,Abe Lincoln,8,1,20051026085854,20091008124405,unknown
4,Aljoscha,7,2,20051017173444,20051118193754,unknown
5,Uwe W.,6,5,20051107160236,20060104213104,unknown
6,Hansele,6,0,20051114011915,20061107111703,unknown
7,84.175.107.204,6,0,20051013111527,20051013201307,unknown
8,N.Eschenhagen,5,0,20061212143927,20081027135628,unknown
9,Yoda1893,5,1,20081030172459,20091027150953,unknown
10,Rusti,5,0,20071122164342,20081031143932,unknown
11,79.215.27.85,5,0,20160102175355,20160102200855,unknown
12,Maxl,5,1,20091023134627,20091023140335,unknown
13,84.166.243.90,5,0,20051017195725,20051017200313,unknown
14,Rapober,5,5,20090422092608,20101027162449,unknown
15,217.187.104.75,5,0,20051116084503,20051116091552,unknown
16,Catansiedler,4,0,20060107120716,20071017162041,unknown
17,Zaphiro,4,4,20051013122308,20091023135540,unknown
18,Wikinger86,4,0,20051013023727,20051115010222,unknown
19,Leit,4,1,20081030115115,20091213114940,unknown
20,217.247.174.222,4,0,20071115152037,20071115152533,unknown
21,LKD,4,4,20060713080601,20090623102100,unknown
22,G-Man~dewiki,4,2,20051013150735,20070622095829,unknown
23,Fred Stober,4,1,20051122155416,20051123155233,unknown
24,Fantasyrider+**+,4,0,20160918124950,20161207173330,unknown
25,84.175.115.132,4,0,20051218150103,20051218150317,unknown
26,79.215.61.57,4,0,20140803071713,20140803072143,unknown
27,AKor4711,4,2,20131005153557,20140412025520,unknown
28,Wö-ma,3,2,20090209110617,20090209112036,unknown
29,Nephiliskos,3,0,20091023134839,20091023140425,unknown
30,Holger1974,3,0,20071113160949,20091027191130,unknown
31,Blaufisch,3,0,20071115152329,20071116195325,unknown
32,77.130.4.98,3,0,20080427121755,20080427122154,unknown
33,PaterMcFly,3,3,20091023140545,20091024143920,unknown
34,Locutus1978DUS,3,1,20051119133100,20051123160556,unknown
35,Xqbot,3,3,20091003182323,20121226010139,unknown
36,84.175.78.82,3,0,20051111142106,20051111142231,unknown
37,EBB,3,3,20051013103122,20071113104159,unknown
38,Aka,3,3,20140501154657,20161023203555,unknown
39,SoWhy,3,3,20051122142646,20051123111849,unknown
40,STBR,3,2,20070212210939,20080211122811,unknown
41,141.91.240.162,3,0,20060816123818,20060816124035,unknown
42,88.74.27.64,3,0,20081030111857,20081030112147,unknown
43,Melkom,3,1,20051016200000,20051121203336,unknown
44,WikiNight,3,2,20071119133349,20091130132553,unknown
45,Thijs!bot,3,3,20070131192846,20081126192036,unknown
46,Majoran~dewiki,3,0,20051015031443,20051016062631,unknown
47,80.132.252.200,2,0,20060818103248,20060818103354,unknown
48,GodeNehler,2,2,20180315210353,20180315210438,unknown
49,84.169.90.25,2,0,20060713080426,20060713080547,unknown
50,Sinn,2,0,20070416155730,20070416155831,unknown
51,TUBS,2,0,20071121111720,20071121111820,unknown
52,Informationswiedergutmachung,2,2,20171228113433,20180104183507,unknown
53,MisterMUC,2,0,20081027142744,20090211223003,unknown
54,84.133.204.16,2,0,20070220192034,20070220192103,unknown
55,87.122.64.68,2,0,20090901141558,20090901142249,unknown
56,Jesi,2,0,20140917160453,20161205160440,unknown
57,85.181.237.3,2,0,20080318134128,20080318134710,unknown
58,78.49.153.91,2,0,20140411220238,20140411220743,unknown
59,Leppus,2,1,20060901160003,20060901160035,unknown
60,Schwabe,2,1,20170920174508,20180206164626,unknown
61,Nina,2,2,20060102020243,20080805193050,unknown
62,Xerxes2k,2,0,20051013133617,20051017163636,unknown
63,91.15.185.68,2,0,20101027125451,20101027125509,unknown
64,91.6.94.49,2,0,20080318193656,20080318193843,unknown
65,84.175.87.47,2,0,20051017215401,20051017215521,unknown
66,JanKG,2,1,20051122220959,20051220234649,unknown
67,91.64.155.119,2,0,20081030225128,20081030225223,unknown
68,195.200.34.50,2,0,20060713123734,20060713124017,unknown
69,91.62.198.92,2,0,20090422091215,20090422104009,unknown
70,Neun-x,2,0,20120531100035,20120531100232,unknown
71,217.81.207.237,2,0,20070401183349,20070401183624,unknown
72,MathePeter,2,0,20051101135307,20051101140304,unknown
73,87.186.20.219,2,0,20071028022947,20071028023534,unknown
74,Benedikt2008,2,0,20140907091444,20161023185430,unknown
75,80.139.123.171,2,0,20070821133623,20070821133654,unknown
76,EKKi,2,2,20051122160706,20051122160808,unknown
77,78.35.158.199,2,0,20180315163756,20180315171935,unknown
78,84.62.193.108,2,0,20070416155717,20070416155819,unknown
79,VolkovBot,2,2,20080921094640,20100613163809,unknown
80,Jón,2,1,20091006184937,20091102194509,unknown
81,Tillmannas,2,0,20090210135133,20090210140033,unknown
82,193.22.29.5,2,0,20051013134917,20051013135008,unknown
83,Tohma,2,1,20080319141730,20090901141716,unknown
84,Jotzet,2,2,20081230090835,20100212170501,unknown
85,91.62.1.180,2,0,20090606134654,20090606135845,unknown
86,Avoided,2,2,20080131145433,20081213164516,unknown
87,91.66.249.176,2,0,20081031155836,20081031160613,unknown
88,Tönjes,2,2,20070508135345,20070704103352,unknown
89,H3PO4,2,0,20060427184757,20060429133514,unknown
90,77.7.247.8,1,0,20091001103448,20091001103448,unknown
91,195.93.60.103,1,0,20051101194530,20051101194530,unknown
92,Don Magnifico,1,0,20110719134851,20110719134851,unknown
93,217.226.254.135,1,0,20160216091237,20160216091237,unknown
94,Helenopel,1,0,20070218171531,20070218171531,unknown
95,88.73.214.91,1,0,20071113130410,20071113130410,unknown
96,77.130.7.229,1,0,20080427123754,20080427123754,unknown
97,Hukukçu,1,1,20090826131921,20090826131921,unknown
98,84.227.3.110,1,0,20051019153933,20051019153933,unknown
99,.Mag,1,1,20101006193528,20101006193528,unknown
100,84.159.0.223,1,0,20051125205811,20051125205811,unknown
101,Market,1,1,20140910091055,20140910091055,unknown
102,91.58.44.101,1,0,20190128121255,20190128121255,unknown
103,Ziko,1,0,20070928215611,20070928215611,unknown
104,Larshamm,1,1,20080314184944,20080314184944,unknown
105,Engie,1,1,20081205124319,20081205124319,unknown
106,Tröte,1,1,20090513113743,20090513113743,unknown
107,Stern,1,1,20051017195843,20051017195843,unknown
108,Intimidator,1,0,20100313123622,20100313123622,unknown
109,84.161.52.70,1,0,20051122171122,20051122171122,unknown
110,SPQRobin,1,0,20131229175228,20131229175228,unknown
111,Alexander Fischer,1,0,20070610123728,20070610123728,unknown
112,91.11.239.220,1,0,20080115094540,20080115094540,unknown
113,62.245.160.185,1,0,20051017082327,20051017082327,unknown
