,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Benedikt2008,16,1,20110510152253,20161023185446,unknown
1,AKor4711,11,4,20131003150337,20131020082157,unknown
2,Hansbaer,11,1,20120516171736,20131217140008,unknown
3,Leit,10,5,20091023220035,20171204102945,unknown
4,84.135.222.126,10,0,20091024161416,20091024165654,unknown
5,79.230.229.193,9,0,20091123133849,20091123135147,unknown
6,Politics,8,4,20091028153118,20100615035958,unknown
7,PLS84,8,7,20091024142213,20130605102042,unknown
8,Str1977,6,0,20091026084606,20150207084632,unknown
9,79.215.27.85,6,0,20160102175748,20160102195105,unknown
10,Frantisek,6,2,20091025065307,20130604205448,unknown
11,Zaphiro,5,5,20091025084601,20100414175200,unknown
12,Professor Einstein,5,1,20091023193600,20091024210528,unknown
13,M 93,5,0,20120213200636,20130209131214,unknown
14,Howwi,5,4,20091101124134,20121212111149,unknown
15,Tonk,5,5,20091123133924,20091123134433,unknown
16,Boshomi,5,0,20131106163821,20150426200404,unknown
17,Jadadoo,5,2,20110301123643,20110304085854,unknown
18,Informationswiedergutmachung,4,2,20160424002936,20180104183311,unknown
19,SchirmerPower,4,1,20120302025213,20131022153639,unknown
20,Luckas-bot,4,4,20091107211824,20120107190728,unknown
21,77.23.1.101,4,0,20091102190354,20091102190920,unknown
22,Die uhr,4,0,20091127120902,20091127125251,unknown
23,Fantasyrider+**+,4,0,20160918125102,20161207173249,unknown
24,Diba,4,4,20091102190405,20091102190924,unknown
25,Entbert,4,2,20131023141049,20131217163123,unknown
26,Nikidf,4,2,20110510150901,20110523131053,unknown
27,TXiKiBoT,4,4,20091023235741,20091201170852,unknown
28,Frank W. Matisse,3,0,20140812095915,20161207200834,unknown
29,SFfmL,3,0,20130209150622,20130909133734,unknown
30,Jivee Blau,3,3,20091110223607,20110404150336,unknown
31,Carbidfischer,3,3,20100129110426,20111119101222,unknown
32,Tobias1983,3,1,20100802085509,20110301170347,unknown
33,Felix König,3,3,20121014155933,20131001190923,unknown
34,78.34.101.124,3,0,20100301135411,20100301135500,unknown
35,Uwinho,3,0,20110513210328,20120523171233,unknown
36,Wikinger86,3,1,20091023204409,20120517111720,unknown
37,SamWinchester000,3,0,20130213011450,20161207225751,unknown
38,Nyks,3,0,20091106081545,20091106081644,unknown
39,Aka,3,3,20120107160830,20170920185914,unknown
40,Akkakk,3,3,20101226041028,20110518133757,unknown
41,Connoisseur of politics,3,3,20170726223920,20170726224442,unknown
42,91.67.56.145,3,0,20101121103835,20101121104007,unknown
43,He3nry,3,3,20091026160407,20130916065635,unknown
44,Iste Praetor,3,3,20110321125300,20110428143414,unknown
45,Green Politics,3,1,20110302112114,20110302114639,unknown
46,82.113.98.15,3,0,20120521121512,20120521122033,unknown
47,79.215.61.57,3,0,20140803075029,20140803075529,unknown
48,EBB,3,3,20110518112211,20110519103041,unknown
49,Damei81,3,2,20091025084400,20091029052537,unknown
50,Wiegels,2,2,20091112014149,20181203114813,unknown
51,92.206.173.109,2,0,20110404145801,20110404150323,unknown
52,87.170.127.227,2,0,20120116115448,20120116115737,unknown
53,Armin P.,2,1,20091024212259,20130916065734,unknown
54,88.69.44.228,2,0,20131001190840,20131001190953,unknown
55,Wahresmüsli,2,2,20091129173857,20091211142134,unknown
56,Alexander Fischer,2,1,20110907133646,20130930120701,unknown
57,217.85.119.102,2,0,20100414162519,20100414162705,unknown
58,J budissin,2,2,20131218114931,20131218115208,unknown
59,Jobu0101,2,1,20101003210826,20101008083209,unknown
60,Chdeppisch,2,2,20091023192905,20091023195618,unknown
61,Erarehumanumest,2,1,20120107131250,20120107131419,unknown
62,Miebner,2,0,20091024173848,20091024203135,unknown
63,87.182.115.142,2,0,20130916065557,20130916065710,unknown
64,78.35.158.199,2,0,20180315172316,20180315181428,unknown
65,Regi51,2,2,20101208163310,20110119145447,unknown
66,Thmonline,2,2,20120516145354,20120516145414,unknown
67,Tenorhornist5798,2,0,20170706082710,20180125155700,unknown
68,Pittimann,2,1,20110404145814,20130924085854,unknown
69,Polemos,2,1,20091023180309,20091023180740,unknown
70,THinz,2,1,20110302115419,20110302120131,unknown
71,Nothere,2,2,20120116115722,20120116115747,unknown
72,Felix Stember,2,1,20110301111318,20130924085528,unknown
73,131.173.141.0,2,0,20120522102118,20120522102203,unknown
