,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Catansiedler,26,11,20131215123005,20131215185703,unknown
1,5.146.128.24,18,0,20131215125732,20131216020308,unknown
2,SamWinchester000,14,0,20131215184208,20170405204957,unknown
3,Excolis,12,2,20131228102904,20170904074806,unknown
4,Benedikt2008,10,0,20131218205537,20171031175041,unknown
5,DerHexer,8,3,20131219010936,20140922193332,unknown
6,Tenorhornist5798,8,0,20170119232824,20180225234450,unknown
7,87.165.148.65,8,0,20131215113346,20131215204947,unknown
8,Stefan,6,5,20140217152016,20181028202621,unknown
9,Muns,5,4,20140201114901,20140201115352,unknown
10,Cyve,5,1,20131215113638,20131221134622,unknown
11,Wikinger86,5,5,20131217125359,20131217130401,unknown
12,Natsu Dragoneel,5,4,20160216094454,20170917181545,unknown
13,Felix König,4,0,20131215155537,20140217103428,unknown
14,Centenier,4,4,20150710160310,20161128163226,unknown
15,Horst Gräbner,4,3,20140110092555,20180304161536,unknown
16,DragonRainbow,4,4,20170127100836,20170617073755,unknown
17,David Wintzer,4,4,20150209121438,20161023161053,unknown
18,Swanage,3,0,20131214230143,20131214230353,unknown
19,Jakob Gottfried,3,0,20131213184029,20131215125434,unknown
20,Olaf Kosinsky,3,0,20170602083129,20170928120507,unknown
21,Wikifreund,3,1,20131215224208,20131216231614,unknown
22,SchirmerPower,3,1,20131215001107,20131217141511,unknown
23,AndreasPraefcke,3,2,20131216131849,20131217211851,unknown
24,79.215.49.53,3,0,20140727105811,20140727110630,unknown
25,Entbert,3,3,20131217203627,20150218131231,unknown
26,FinnlandFreund,3,0,20170602084209,20170602084254,unknown
27,79.215.54.172,3,0,20151226081357,20151226081837,unknown
28,Ralf Roletschek,3,1,20160903201250,20161023144355,unknown
29,Fantasyrider+**+,3,0,20160918125233,20161023155723,unknown
30,Informationswiedergutmachung,3,3,20170604212743,20171228114913,unknown
31,SuperDaryl,3,0,20131214173514,20131214180707,unknown
32,Schwabe,3,0,20170920180811,20171024231124,unknown
33,WikiFreibeuter,2,2,20180305105636,20180306110930,unknown
34,79.215.27.85,2,0,20160102181442,20160102190233,unknown
35,Holger1974,2,0,20170127100940,20171024142314,unknown
36,B.Thomas95,2,2,20171105192907,20171105192923,unknown
37,176.198.135.104,2,0,20131228201923,20131229125650,unknown
38,Connoisseur of politics,2,1,20161207115327,20180305133534,unknown
39,193.81.239.68,2,0,20160910121811,20160910121845,unknown
40,Zellbiologe,2,0,20131217193841,20131217195848,unknown
41,Kuebi,2,0,20141202071119,20141207213128,unknown
42,MBq,2,2,20131214211944,20131214212201,unknown
43,85.73.145.50,2,0,20150710160302,20150710160345,unknown
44,Gustav von Aschenbach,2,2,20160520140308,20180719162005,unknown
45,Girwidz,2,0,20180306200429,20180412190209,unknown
46,Crazy1880,2,1,20170320080415,20180429082322,unknown
47,AdAstraPerScientiam,2,2,20140819144516,20140819144641,unknown
48,Dateientlinkerbot,2,0,20131215185850,20140715113616,unknown
49,Derrobin154,2,0,20171024101753,20171031175008,unknown
50,Markus A,2,0,20140303150823,20170924065338,unknown
51,85.16.0.2,2,0,20131214212724,20131215003739,unknown
52,79.215.9.224,2,0,20140910184740,20140910185150,unknown
53,89.204.137.230,2,0,20170212184530,20170212184656,unknown
54,Lettres,2,0,20171129003507,20171203043552,unknown
55,Bergisch Neukirchen,2,0,20131215175627,20131215184252,unknown
56,Anton Sevarius,2,0,20160112082340,20180313103637,unknown
57,Morten Haan,2,0,20131215222950,20131216134606,unknown
58,79.215.55.179,2,0,20140803180703,20140803182856,unknown
59,Frank W. Matisse,2,0,20161207195252,20161207200550,unknown
60,Market,2,1,20141229184938,20170904060015,unknown
61,IusticiaBY,2,2,20131214215112,20131214235018,unknown
62,Hansvanderelf,2,2,20160205212324,20160205212624,unknown
63,Redonebird,2,0,20131216121332,20131216170820,unknown
64,79.215.1.64,2,0,20151226160217,20151226160431,unknown
65,178.9.121.148,2,0,20161128161711,20161128163155,unknown
66,Jojo wiki,2,2,20180321190742,20180321191211,unknown
67,GefellSeb,2,0,20161208213439,20170610110447,unknown
68,Pakeha,2,2,20180314131214,20180314131500,unknown
69,80.139.99.206,2,0,20131218152029,20131218172102,unknown
70,78.52.17.6,1,0,20150129174208,20150129174208,unknown
71,84.132.50.76,1,0,20160520140229,20160520140229,unknown
72,88.217.120.71,1,0,20170615170718,20170615170718,unknown
73,S2cchst,1,1,20131217060809,20131217060809,unknown
74,212.202.153.21,1,0,20141012185014,20141012185014,unknown
75,62.156.49.245,1,0,20160216094328,20160216094328,unknown
76,91.53.120.229,1,0,20170319085023,20170319085023,unknown
77,KL052,1,1,20171207150650,20171207150650,unknown
78,Alexander Fischer,1,0,20131216131428,20131216131428,unknown
79,79.215.108.21,1,0,20140812095036,20140812095036,unknown
80,Dschungelfan,1,0,20180821190051,20180821190051,unknown
81,Ot,1,0,20140411165951,20140411165951,unknown
82,2003:7A:A93A:C701:1DF6:77E1:F5CF:3C66,1,0,20150718122758,20150718122758,unknown
83,2003:D7:CBCE:9700:58E5:4DCF:2759:C241,1,0,20170928115441,20170928115441,unknown
84,79.244.184.42,1,0,20180412190131,20180412190131,unknown
85,78.49.156.78,1,0,20140303150533,20140303150533,unknown
86,79.245.98.103,1,0,20150211185947,20150211185947,unknown
87,2A02:908:F84:4200:60DB:A2FD:5909:9F45,1,0,20170917181513,20170917181513,unknown
88,2003:D2:6BE6:1000:A1D8:3693:D1A6:9BAD,1,0,20180314120806,20180314120806,unknown
89,188.100.248.54,1,0,20160403135820,20160403135820,unknown
90,Joerg Bader,1,0,20180209074630,20180209074630,unknown
91,79.197.91.60,1,0,20131216163746,20131216163746,unknown
92,Plaenk,1,1,20140216161542,20140216161542,unknown
93,Udo T.,1,1,20140907104741,20140907104741,unknown
94,Slökmann,1,1,20160118204208,20160118204208,unknown
95,Wiegels,1,1,20170128121607,20170128121607,unknown
96,Wolli-j,1,1,20171128161226,20171128161226,unknown
97,Wissens-helfer,1,1,20190115133945,20190115133945,unknown
98,Ri st,1,1,20140108203328,20140108203328,unknown
99,79.215.28.187,1,0,20140811104849,20140811104849,unknown
100,79.233.71.203,1,0,20151122012229,20151122012229,unknown
101,188.22.230.129,1,0,20161209212751,20161209212751,unknown
102,77.7.247.205,1,0,20171024210032,20171024210032,unknown
103,Artregor,1,0,20180429215525,20180429215525,unknown
104,LiterallySimon,1,0,20131215175413,20131215175413,unknown
105,Tuxyso,1,0,20131220143822,20131220143822,unknown
106,217.245.127.22,1,0,20140410075822,20140410075822,unknown
107,Sjöflygplan,1,0,20160928090244,20160928090244,unknown
108,213.162.68.236,1,0,20170924064734,20170924064734,unknown
109,78.35.158.199,1,0,20180315184656,20180315184656,unknown
