,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Tenorhornist5798,48,0,20180207193859,20190215150204,unknown
1,Frīheidasliova,31,1,20180207121116,20180305133503,unknown
2,BerlinPrinz,22,0,20180310213653,20180310223521,unknown
3,WikiFreibeuter,22,17,20180301065300,20180321070312,unknown
4,79.220.39.190,13,0,20180310193814,20180315110837,unknown
5,78.35.157.234,9,0,20180225175230,20180225192822,unknown
6,Benedikt2008,8,0,20180228152118,20180315143342,unknown
7,78.35.148.76,8,0,20180305131325,20180305233203,unknown
8,Tennistz,8,0,20180310223906,20180312112236,unknown
9,Berihert,7,0,20180207125037,20180304090506,unknown
10,FinnlandFreund,6,0,20180226225437,20180312155826,unknown
11,Girwidz,6,2,20180228155023,20180505161650,unknown
12,Kurator71,6,3,20180207144932,20180207150711,unknown
13,Cirdan,6,1,20180227142523,20180327140804,unknown
14,Norschweden,5,0,20180305031531,20190123145529,unknown
15,92.76.68.250,4,0,20180313122304,20180313195101,unknown
16,92.76.10.18,4,0,20180226102722,20180226113334,unknown
17,78.35.142.105,4,0,20180304083823,20180304085019,unknown
18,Nurkartal,4,2,20180314121245,20180331092003,unknown
19,Rmcharb,4,0,20180224234239,20180304085623,unknown
20,Lettres,3,0,20180321101726,20180330013425,unknown
21,Nixus Minimax,3,0,20180207124551,20180309201033,unknown
22,78.35.145.180,3,0,20180327135229,20180327140703,unknown
23,GodeNehler,3,2,20180315205942,20180324090301,unknown
24,80.81.16.197,2,0,20180308123300,20180308134521,unknown
25,Roentgenium111,2,0,20180326150845,20180326150937,unknown
26,LudwigSebastianMicheler,2,0,20180312144115,20180312152922,unknown
27,Schotterebene,2,1,20180915054303,20180924174549,unknown
28,178.14.133.222,2,0,20180310223949,20180311031718,unknown
29,Olaf Kosinsky,2,0,20180309194234,20180309195812,unknown
30,Kochel86,2,0,20180314140527,20180919070124,unknown
31,87.78.104.144,2,0,20180421070446,20180421070533,unknown
32,Þetta reddast,2,0,20180314071644,20180314071813,unknown
33,Benatrevqre,2,0,20180328182839,20180328195952,unknown
34,2A02:908:4B44:6E20:581C:CB7F:22AD:43AD,2,0,20181225181704,20190105002250,unknown
35,Aka,2,2,20180304122906,20180313082029,unknown
36,78.35.150.117,2,0,20180308130524,20180308140357,unknown
37,Horst-schlaemma,2,1,20180315120838,20180315121031,unknown
38,Glglgl,2,2,20180227130949,20180227131017,unknown
39,Pakeha,2,1,20180308153802,20180309133659,unknown
40,91.221.59.28,2,0,20180313103229,20180313103247,unknown
41,188.108.150.226,2,0,20180315082207,20180315083013,unknown
42,Subamaggus,2,1,20180226125117,20180228131858,unknown
43,Mupa280868,2,2,20180331134952,20180705205534,unknown
44,Zollernalb,2,2,20180327141607,20180327141631,unknown
45,LiterallySimon,2,1,20180308120446,20180314222156,unknown
46,Cyve,2,0,20180312132730,20180314141405,unknown
47,92.76.219.105,2,0,20180315095640,20180315103314,unknown
48,Maximator1915,2,0,20180914213859,20180914214033,unknown
49,2003:6A:656D:8E60:59A8:DB2C:4570:1967,2,0,20180505153531,20180505153948,unknown
50,Conan174,2,1,20180208233430,20181225182957,unknown
51,Knightriderfan,2,1,20180308085202,20180308102307,unknown
52,Boehm,1,0,20180304085024,20180304085024,unknown
53,Denalos,1,0,20180311031929,20180311031929,unknown
54,Jobu0101,1,0,20180315075119,20180315075119,unknown
55,VanGore,1,0,20180824132216,20180824132216,unknown
56,92.192.26.215,1,0,20180207152901,20180207152901,unknown
57,5.42.139.25,1,0,20180314160204,20180314160204,unknown
58,Markobr,1,1,20180426115244,20180426115244,unknown
59,92.227.34.131,1,0,20180225185050,20180225185050,unknown
60,78.35.158.135,1,0,20180309123815,20180309123815,unknown
61,Vogone,1,1,20180314121615,20180314121615,unknown
62,77.181.126.146,1,0,20180331133925,20180331133925,unknown
63,David Wintzer,1,1,20190120085116,20190120085116,unknown
64,Majo statt Senf,1,0,20180215184324,20180215184324,unknown
65,2001:16B8:A07:E500:B4F7:62F0:5A5D:E89B,1,0,20181119182334,20181119182334,unknown
66,94.134.212.81,1,0,20180305230727,20180305230727,unknown
67,PeterGuhl,1,0,20180315101537,20180315101537,unknown
68,2A02:908:1061:B0A0:90E8:5FBA:FF7A:CE14,1,0,20180208074103,20180208074103,unknown
69,80.129.218.178,1,0,20180301142104,20180301142104,unknown
70,2A02:8108:8380:7C08:C854:4C7B:D5B2:BA82,1,0,20180314223740,20180314223740,unknown
71,2A02:810D:923F:FABE:84A3:5ED0:E83D:83B1,1,0,20180705203926,20180705203926,unknown
72,2003:E6:9BCB:EC00:1CD7:EF53:3878:2156,1,0,20180207131316,20180207131316,unknown
73,FrühlingsSonnenBad,1,0,20190203202732,20190203202732,unknown
74,JB-Firefox,1,0,20180225162748,20180225162748,unknown
75,Stefan64,1,1,20180308151527,20180308151527,unknown
76,Maxl,1,0,20180209145656,20180209145656,unknown
77,2A02:8071:819B:9B00:7461:9296:FCE4:6BE3,1,0,20180308103058,20180308103058,unknown
78,Mick149,1,1,20180312222505,20180312222505,unknown
79,Sbdnd,1,0,20180924154419,20180924154419,unknown
80,78.35.140.98,1,0,20180311141100,20180311141100,unknown
81,2A02:8108:A80:2B7C:14A1:B155:267F:FD61,1,0,20180315081202,20180315081202,unknown
82,Mika 1704,1,0,20180902182716,20180902182716,unknown
83,2003:6:5342:A43:2943:9712:FE61:2FBD,1,0,20180207184747,20180207184747,unknown
84,2003:80:8F19:7758:30F6:204B:C5C5:2683,1,0,20180310204550,20180310204550,unknown
85,M2k~dewiki,1,1,20180314161424,20180314161424,unknown
86,Schopfheimer,1,1,20180428174005,20180428174005,unknown
87,Frank W. Matisse,1,0,20180309133755,20180309133755,unknown
88,2A02:2028:530:1D01:59B1:8B62:8CB1:2B4,1,0,20180314123450,20180314123450,unknown
89,2003:7F:6F7B:F2B2:C98F:ABF7:CC29:B3E7,1,0,20180331134933,20180331134933,unknown
90,JFH-52,1,1,20190121192535,20190121192535,unknown
91,93.224.110.246,1,0,20180219211528,20180219211528,unknown
92,91.112.161.90,1,0,20180313134116,20180313134116,unknown
93,Zimt-Speculatius,1,1,20181119182358,20181119182358,unknown
94,2003:E4:ABC4:7821:DC4B:5CEC:C47F:9D78,1,0,20180306191345,20180306191345,unknown
95,Wikiolo,1,0,20180312180605,20180312180605,unknown
96,Marcus Cyron,1,0,20180918234536,20180918234536,unknown
97,Agathenon,1,1,20180208180559,20180208180559,unknown
98,Libellen,1,1,20180310224008,20180310224008,unknown
99,Actany28,1,0,20180314225020,20180314225020,unknown
100,Vsop,1,0,20180821164424,20180821164424,unknown
101,2001:16B8:2D30:D200:ED98:59B2:AEB3:82A9,1,0,20180310000354,20180310000354,unknown
102,94.16.82.252,1,0,20180314153114,20180314153114,unknown
103,LittleFellow,1,0,20180423215631,20180423215631,unknown
104,Kiste11,1,0,20190207203848,20190207203848,unknown
105,Heiner Strauß,1,0,20180314091900,20180314091900,unknown
106,CommonsDelinker,1,0,20180329061403,20180329061403,unknown
107,94.219.233.126,1,0,20181228165809,20181228165809,unknown
108,93.224.97.128,1,0,20180209174535,20180209174535,unknown
109,178.202.110.243,1,0,20180308112556,20180308112556,unknown
110,Jojo wiki,1,1,20180321190536,20180321190536,unknown
111,Urgelein,1,1,20181002205630,20181002205630,unknown
112,188.100.141.155,1,0,20180311190501,20180311190501,unknown
113,Perrak,1,0,20180913011540,20180913011540,unknown
114,Andy king50,1,0,20180207184836,20180207184836,unknown
115,84.184.210.94,1,0,20180228173901,20180228173901,unknown
116,Connoisseur of politics,1,0,20180314172514,20180314172514,unknown
117,Artregor,1,0,20180429214340,20180429214340,unknown
118,NordNordWest,1,1,20180309163248,20180309163248,unknown
119,2003:74:CC01:601:BCDE:89FA:64C4:9154,1,0,20180314125002,20180314125002,unknown
120,5.146.208.242,1,0,20190123132640,20190123132640,unknown
121,188.126.169.152,1,0,20180224224905,20180224224905,unknown
122,194.118.108.246,1,0,20180308142729,20180308142729,unknown
123,N8eule78,1,1,20180313141659,20180313141659,unknown
124,79.235.74.203,1,0,20181120105522,20181120105522,unknown
125,84.147.205.77,1,0,20180208195145,20180208195145,unknown
126,2001:16B8:286C:F600:F969:30EB:5941:F7CD,1,0,20180308082704,20180308082704,unknown
127,Sandro Halank,1,1,20180312194944,20180312194944,unknown
128,78.35.158.199,1,0,20180315151935,20180315151935,unknown
129,Klaus.Stein69,1,0,20180920083943,20180920083943,unknown
130,Reordcraeft,1,0,20180304084606,20180304084606,unknown
131,RudolfSimon,1,0,20180310225122,20180310225122,unknown
132,Matzematik,1,1,20180315042545,20180315042545,unknown
133,Dschungelfan,1,0,20180821190325,20180821190325,unknown
134,Icodense99,1,1,20180207150352,20180207150352,unknown
135,78.35.157.115,1,0,20180310121859,20180310121859,unknown
136,PeterPunzel,1,1,20180314155808,20180314155808,unknown
137,87.190.43.90,1,0,20180426115233,20180426115233,unknown
138,2003:E9:7F27:A500:D8EF:F59:4A79:E52F,1,0,20180225181212,20180225181212,unknown
139,141.15.28.156,1,0,20180309121523,20180309121523,unknown
140,TinkTank,1,0,20180330213102,20180330213102,unknown
141,91.65.120.82,1,0,20190119181700,20190119181700,unknown
142,212.95.5.254,1,0,20180215153943,20180215153943,unknown
143,HenSti,1,0,20180313104657,20180313104657,unknown
144,DCB,1,0,20180324090835,20180324090835,unknown
145,Wiegels,1,1,20181012205830,20181012205830,unknown
146,Emmridet,1,1,20180314211437,20180314211437,unknown
147,Bardnet,1,0,20180207125620,20180207125620,unknown
148,Neun-x,1,0,20180226195438,20180226195438,unknown
149,109.41.192.208,1,0,20180309170358,20180309170358,unknown
150,Tokota,1,0,20180314125258,20180314125258,unknown
151,77.181.47.71,1,0,20180402161217,20180402161217,unknown
152,Jesi,1,0,20190127114111,20190127114111,unknown
153,2.247.242.132,1,0,20180308151143,20180308151143,unknown
154,Gelber kaktus,1,1,20180313201833,20180313201833,unknown
155,Ziko,1,0,20180328080253,20180328080253,unknown
156,Gustav von Aschenbach,1,1,20181120105540,20181120105540,unknown
157,88.68.35.251,1,0,20180312195732,20180312195732,unknown
158,Seewolf,1,1,20180920084051,20180920084051,unknown
