,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Qualiabavariae,205,7,20110916100325,20180706095505,unknown
1,Jocian,137,96,20090212094605,20110327142349,unknown
2,GiordanoBruno,117,27,20100420152909,20180704161452,unknown
3,Str1977,86,11,20110220170353,20110225183257,unknown
4,J. Patrick Fischer,81,27,20081103174817,20111210083226,unknown
5,Simplicius,70,0,20110219211001,20110719180818,unknown
6,Kuebi,63,16,20110216202456,20180325115444,unknown
7,Hvd69,56,16,20110224131125,20111129113516,unknown
8,In dubio pro dubio,55,48,20110217002919,20110505014406,unknown
9,Jadadoo,52,20,20090209094141,20110326225000,unknown
10,Neun-x,42,7,20101117014240,20170902190317,unknown
11,Orange cake,41,7,20110219173355,20110304191912,unknown
12,Frauke32,40,4,20120126194207,20180510212526,unknown
13,Chianti,35,5,20110804145922,20120305213100,unknown
14,Alkim Y,34,16,20110216180249,20130419091202,unknown
15,Bennsenson,33,1,20101011182839,20110221095711,unknown
16,DanielDüsentrieb,33,0,20090923141923,20181110115844,unknown
17,Franz Jäger Berlin,31,10,20110216110841,20110227202911,unknown
18,Pierre Menard,31,5,20110224011046,20121213000945,unknown
19,Plauz,29,10,20110226150049,20110304213802,unknown
20,Slum,28,4,20100823151542,20101117121724,unknown
21,Feuerspiegel,27,17,20090617211450,20111212130231,unknown
22,Krauterer,27,27,20110126145540,20111124202549,unknown
23,Brodkey65,27,19,20110223110850,20180420154241,unknown
24,FelMol,25,3,20110307230449,20110820211146,unknown
25,Wangen,23,1,20110217193739,20121202182033,unknown
26,Tarantelle,20,6,20090217202422,20091127223030,unknown
27,Noebse,18,1,20090222120848,20110517172921,unknown
28,Gittergesoxxx,18,3,20110226171433,20110505015409,unknown
29,Aveexoo,18,3,20110220000611,20110228232515,unknown
30,Jón,18,9,20090216200314,20110303185232,unknown
31,Mausklickibunti,17,2,20110224101120,20110308213832,unknown
32,79.217.93.36,16,0,20091130103511,20091130104809,unknown
33,KurtR,16,7,20101123112224,20180510224836,unknown
34,LeoDavid,16,8,20100319104338,20110428230633,unknown
35,UPH,16,0,20110116055205,20110301232003,unknown
36,EscoBier,16,3,20060606200202,20080127130108,unknown
37,Prügelprinz,16,1,20110301190106,20111005172055,unknown
