,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Olaf Kosinsky,15,4,20140808194016,20171209101706,unknown
1,Anne Winsch,7,1,20170602195737,20170604160840,unknown
2,Aka,6,6,20151125171418,20181018101439,unknown
3,Alstersegler,5,0,20170530125635,20180315012631,unknown
4,Rabanusmaurus,5,0,20151102100104,20170530120025,unknown
5,Stefan64,5,1,20130926094401,20180207184027,unknown
6,RoBri,5,4,20170530180257,20180410200651,unknown
7,Herzallerliebstemein,4,2,20170508223649,20170509115023,unknown
8,Ana Stelline,3,0,20180210141027,20180213211949,unknown
9,92.211.99.55,3,0,20151211174720,20151211174825,unknown
10,134.155.36.48,3,0,20151101180533,20151102082808,unknown
11,RobertLechner,3,3,20140928195430,20141208211732,unknown
12,Kallewirsch,3,1,20170602084526,20170602091413,unknown
13,Martin Kraft,3,0,20140910141758,20180422173440,unknown
14,Leif Knape,3,1,20160803184847,20160822081011,unknown
15,Smutsmaker,3,3,20180314132428,20180314154538,unknown
16,2A02:908:1011:C220:B1E3:EA60:1C50:DE4B,3,0,20181209060428,20181209061704,unknown
17,78.53.11.204,3,0,20170530184621,20170530185202,unknown
18,Bujo,3,0,20171211111555,20180406103643,unknown
19,Volkstribun 2.0,3,0,20170530114129,20170604101846,unknown
20,Qaswed,3,0,20160803192206,20170509074937,unknown
21,KL052,3,1,20180310215140,20180311112843,unknown
22,Nirakka,2,0,20130924214533,20130924215633,unknown
23,Akkolon,2,1,20151212081856,20151212132716,unknown
24,DrBrunki,2,2,20151101174949,20151101175031,unknown
25,Natsu Dragoneel,2,1,20160120084409,20160803184959,unknown
26,46.5.30.250,2,0,20180509085347,20180509085518,unknown
27,JTRühling,2,0,20171008201939,20171008202011,unknown
28,Lómelinde,2,1,20130925070616,20130925084553,unknown
29,Sadokar,2,0,20151123083953,20180809082526,unknown
30,ToHaFR,2,0,20170928210158,20170928210234,unknown
31,217.228.145.183,2,0,20180419072422,20180419072452,unknown
32,InternetArchiveBot,2,0,20180325121948,20180827154638,unknown
33,Seewolf,2,0,20141208142054,20181017085550,unknown
34,Boenj,2,2,20170603115602,20170604124613,unknown
35,Excolis,2,0,20151218160237,20181129224214,unknown
36,Mauerquadrant,2,0,20171205152244,20171205152317,unknown
37,SamWinchester000,2,0,20170522015441,20171110022429,unknown
38,Inkowik,2,0,20141007130800,20141009181528,unknown
39,84.180.19.253,2,0,20131122203939,20131122204012,unknown
40,Aflis,2,0,20160306111804,20170602165835,unknown
41,95.90.230.233,2,0,20151211222305,20151211223154,unknown
42,Nixus Minimax,2,1,20160523063527,20180624182742,unknown
43,Wulnan,1,0,20131122204041,20131122204041,unknown
44,90.186.1.236,1,0,20160306190504,20160306190504,unknown
45,Stefanbw,1,0,20170602100229,20170602100229,unknown
46,Graf zu Pappenheim,1,0,20180829023824,20180829023824,unknown
47,Frīheidasliova,1,0,20170530152910,20170530152910,unknown
48,Greyt,1,1,20171103074850,20171103074850,unknown
49,Serols,1,1,20180419072459,20180419072459,unknown
50,89.204.155.93,1,0,20151104073326,20151104073326,unknown
51,Steilmann,1,0,20170515085742,20170515085742,unknown
52,88.153.35.23,1,0,20170928153344,20170928153344,unknown
53,Horst Gräbner,1,0,20180325213440,20180325213440,unknown
54,Bicycle Tourer,1,1,20190224220053,20190224220053,unknown
55,Jussi DE,1,1,20170211003533,20170211003533,unknown
56,Frze,1,0,20170607113446,20170607113446,unknown
57,HubertSt,1,0,20180314143152,20180314143152,unknown
58,Larigot,1,1,20181212212731,20181212212731,unknown
59,80686,1,0,20140912062753,20140912062753,unknown
60,79.206.22.14,1,0,20160524064515,20160524064515,unknown
61,AlMa77,1,1,20170602193642,20170602193642,unknown
62,Wolf1949,1,1,20180309104353,20180309104353,unknown
63,Tokota,1,1,20181017152457,20181017152457,unknown
64,Bgressor,1,0,20131117155106,20131117155106,unknown
65,FinnlandFreund,1,0,20170602082434,20170602082434,unknown
66,BMG12,1,0,20180112093838,20180112093838,unknown
67,193.201.183.198,1,0,20180410195833,20180410195833,unknown
68,Symposiarch,1,1,20151102054620,20151102054620,unknown
69,TaxonKatBot,1,1,20170502144047,20170502144047,unknown
70,Jivee Blau,1,1,20170821203013,20170821203013,unknown
71,188.108.135.140,1,0,20180322104739,20180322104739,unknown
72,Parvolus,1,1,20190220135300,20190220135300,unknown
73,DerHexer,1,0,20141116220823,20141116220823,unknown
74,Silewe,1,1,20160814081234,20160814081234,unknown
75,Lutheraner,1,0,20170603090656,20170603090656,unknown
76,78.51.55.12,1,0,20180311082216,20180311082216,unknown
77,109.41.65.235,1,0,20181120062412,20181120062412,unknown
78,PatrickBrauns,1,0,20160502065638,20160502065638,unknown
79,2A02:908:FD33:3000:2476:AE00:D228:E870,1,0,20170602103056,20170602103056,unknown
80,2003:DB:53F9:F300:7500:93DE:31A2:D8E6,1,0,20180210173938,20180210173938,unknown
81,Der Barbar,1,0,20180830210432,20180830210432,unknown
82,95.90.230.188,1,0,20151213042021,20151213042021,unknown
83,62.214.191.65,1,0,20170530175135,20170530175135,unknown
84,2A02:8109:9AC0:365C:9598:61F2:C785:4A96,1,0,20171205152129,20171205152129,unknown
85,217.228.144.36,1,0,20180426065420,20180426065420,unknown
86,Martin schulte,1,0,20170515090510,20170515090510,unknown
87,Ephraim33,1,0,20180330120141,20180330120141,unknown
88,EH⁴²,1,0,20190228163510,20190228163510,unknown
89,Drahreg01,1,0,20170211060447,20170211060447,unknown
90,5.56.191.229,1,0,20170707112434,20170707112434,unknown
91,195.37.165.53,1,0,20180314152955,20180314152955,unknown
92,2A02:8109:B6C0:2828:68BD:12AE:9CB1:F136,1,0,20181228205205,20181228205205,unknown
93,Logograph,1,1,20160524064546,20160524064546,unknown
94,WikiFreibeuter,1,0,20180309120611,20180309120611,unknown
95,Emmridet,1,1,20181017195952,20181017195952,unknown
96,AF666,1,0,20131120121735,20131120121735,unknown
97,Prog,1,1,20160303153757,20160303153757,unknown
