,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Lley,22,3,20110602155531,20140926135028,unknown
1,GigaMaxi,19,2,20121113140449,20121211094101,unknown
2,Zietz,18,0,20130401172816,20130404194711,unknown
3,Textfabrikant,13,3,20120717183232,20120731102343,unknown
4,Phi,13,2,20141205204606,20190218183911,unknown
5,Wikswat,11,0,20120515161201,20130921165039,unknown
6,TMFS,9,1,20051018160040,20071202171210,unknown
7,Rmcharb,8,4,20160307165914,20181206081547,unknown
8,Mazbln,7,3,20081013191618,20130426155753,unknown
9,Jensbest,7,0,20151117234930,20171024093401,unknown
10,Logograph,6,2,20121110095533,20171110074430,unknown
11,Stepro,6,4,20140927010347,20181205150913,unknown
12,Stefan Bellini,6,2,20121111054102,20121205153023,unknown
13,93.219.8.86,6,0,20130813103021,20130813103842,unknown
14,Über-Blick,6,0,20121116082841,20121116090009,unknown
15,Nemissimo,6,2,20130701111917,20130926124438,unknown
16,Nillurcheier,5,0,20161225123318,20190206150312,unknown
17,79.221.65.115,5,0,20130814143506,20130814143853,unknown
18,RoBri,5,2,20160724155225,20190206153522,unknown
19,Aka,5,5,20101215204834,20181223122937,unknown
20,212.8.193.40,5,0,20100713112431,20170509070237,unknown
21,Cirdan,5,1,20161127185640,20171122131115,unknown
22,Schotterebene,5,4,20140220063548,20161225180300,unknown
23,Torsten Falker,5,3,20071016142111,20071016143639,unknown
24,C-Kobold,5,4,20171122100220,20171122135428,unknown
25,ChristophDemmer,5,4,20080831112729,20150228194833,unknown
26,193.17.243.1,4,0,20091127101241,20140530105506,unknown
27,Sol1,4,0,20070921210541,20070922212008,unknown
28,87.159.175.151,4,0,20100628171011,20100628171309,unknown
29,Seeler09,4,0,20190206143831,20190206152329,unknown
30,EH⁴²,4,2,20130125142903,20130829152115,unknown
31,Druoff,4,0,20121110134645,20121231080331,unknown
32,Lettres,4,1,20131012150334,20131012215813,unknown
33,Oomen,4,0,20070304192641,20070304201218,unknown
34,Zero Thrust,4,1,20131010081502,20170126090924,unknown
35,Olaf Kosinsky,4,0,20130203174333,20170531221414,unknown
36,Ama von und zu,4,0,20161225180645,20161225183050,unknown
37,Centerguard,4,0,20121115121833,20121115122707,unknown
38,Kmhkmh,4,0,20131010232620,20131013002617,unknown
39,Felix König,3,2,20121110144655,20130815175710,unknown
40,129.132.211.65,3,0,20121110185900,20121110190925,unknown
41,Laarbruch,3,0,20170731212321,20170814030841,unknown
42,62.156.44.22,3,0,20151219094730,20151219195251,unknown
43,HeBB,3,1,20110821153919,20170924152137,unknown
44,Knase,3,0,20101101081351,20101101081451,unknown
45,Grey Geezer,3,0,20121111152114,20121113154848,unknown
46,Andropov,3,2,20131008144731,20131010213030,unknown
47,Nicolai P.,3,2,20111218181538,20130519195143,unknown
48,Nomygon,3,0,20190106175656,20190107110056,unknown
49,88.65.185.235,3,0,20151107004530,20151107205142,unknown
50,Neun-x,3,1,20120823094135,20141209122858,unknown
51,Manjel,3,3,20130402091309,20130402092054,unknown
52,Jivee Blau,3,3,20140729201405,20180824220919,unknown
53,Alraunenstern,3,2,20130813103139,20130814144050,unknown
54,Mietschlossherr,3,0,20121117091050,20121117170137,unknown
55,Georg Hügler,3,0,20190223225917,20190224102009,unknown
56,Nutzer 2206,3,3,20070304194824,20070304211211,unknown
57,83.132.209.242,3,0,20121111033804,20121111041038,unknown
58,Miltrak,3,0,20130314225450,20130829191944,unknown
59,Natsu Dragoneel,3,2,20170919142015,20171030092536,unknown
60,Komischn,3,3,20120908234500,20130902190337,unknown
61,Gustav von Aschenbach,3,2,20160118234942,20180905163245,unknown
62,Se4598,3,3,20130402131647,20140204094704,unknown
63,Sebbot,3,0,20061218102720,20130212140220,unknown
64,Gloser,2,0,20140729214442,20171029231158,unknown
65,Osiris2000,2,2,20081116161449,20081116161604,unknown
66,Shoshone,2,1,20161224163539,20181222205658,unknown
67,Buchbibliothek,2,0,20151102175526,20151102175635,unknown
68,MaREssen,2,0,20091027141407,20091027141429,unknown
69,217.70.160.66,2,0,20130813103953,20130814143648,unknown
70,193.17.232.2,2,0,20140306103351,20140306104033,unknown
71,Steinsplitter,2,1,20131023131409,20131023131456,unknown
72,ML Berlin,2,1,20090502232434,20090502233105,unknown
73,ElbHein,2,1,20120614180644,20131001142226,unknown
74,2003:45:2B04:DC01:9CF4:FD4B:4FD9:E081,2,0,20121112092617,20121112100519,unknown
75,Luke081515Bot,2,0,20161119132455,20161211213441,unknown
76,Jostes,2,0,20181205120922,20181205150240,unknown
77,KorrekTOM,2,2,20150407135205,20170914221854,unknown
78,Jergen,2,1,20121115122318,20121115123114,unknown
79,PanchoS,2,0,20131011032214,20131011033128,unknown
80,FriedhelmW,2,2,20170328121623,20190212175055,unknown
81,InternetArchiveBot,2,0,20180325122248,20190308224211,unknown
82,KastusK,2,0,20131005191414,20190218130033,unknown
83,82.113.121.18,2,0,20081213092338,20081213092412,unknown
84,FredericII,2,2,20080709054531,20080709054620,unknown
85,2003:80:AE22:5B26:D44B:FB25:D817:CC3D,2,0,20171029175809,20171029225521,unknown
86,Nuuk,2,1,20121110152837,20160201160423,unknown
87,84.170.252.107,2,0,20071102090056,20071102090147,unknown
88,SamWinchester000,2,0,20131101002348,20171112195110,unknown
89,Faber-Castell,2,0,20061125153341,20061221161339,unknown
90,Stefan Bernd,2,1,20091128132811,20100617174640,unknown
91,Pfieffer Latsch,2,0,20111106091648,20131022154636,unknown
92,89.15.236.56,2,0,20181205130345,20181205130427,unknown
93,Athanasian,2,0,20130815082813,20130917084120,unknown
94,SDB,2,0,20160818015243,20160822215629,unknown
95,Niki28,2,0,20090604082242,20110111121618,unknown
96,Hintermwald,2,0,20170827114235,20170827114532,unknown
97,Keramikmeister,2,0,20130526154337,20130526171309,unknown
98,95.114.75.115,2,0,20160121174543,20160121174617,unknown
99,Rufus46,2,2,20130409054150,20140530133407,unknown
100,Spuk968,2,2,20151219195102,20151219195542,unknown
101,Schleppnik,2,0,20130919123439,20130919123616,unknown
102,87.79.40.152,2,0,20140526151259,20140526151416,unknown
103,Mupa280868,2,2,20181107143045,20190206155303,unknown
104,62.245.232.213,2,0,20071120151033,20071120151211,unknown
105,93.220.102.245,2,0,20121110111132,20121110111237,unknown
106,LS,2,1,20170616082221,20170616082325,unknown
107,Bahnmoeller,2,2,20130506202909,20130506203143,unknown
108,Georg Sachse,2,1,20180204143725,20180204143956,unknown
109,Global Fish,2,0,20190206151733,20190206160430,unknown
110,217.230.136.127,2,0,20061203183648,20061203183920,unknown
111,Altsprachenfreund,2,2,20151124202613,20170701110356,unknown
112,Zimt-Speculatius,2,2,20181205130359,20181205130437,unknown
113,Eppelheim,2,0,20171006055540,20171006055553,unknown
114,AxelHH,2,2,20121110141146,20121110141233,unknown
115,JamesP,2,2,20150706125510,20150827072453,unknown
116,Itu,2,0,20160210052403,20160210053034,unknown
117,Derim Hunt,2,2,20100716224736,20141013130926,unknown
118,2.247.246.176,2,0,20180516175636,20180516175715,unknown
119,37.209.107.9,2,0,20121111182108,20121111182135,unknown
120,Johnny Controletti,2,1,20081213092718,20081213093029,unknown
121,Nilreb,2,1,20100306164507,20100322112842,unknown
122,Scooter,2,1,20051201222710,20091202115342,unknown
123,TeamKGE,2,0,20140611130927,20140611131520,unknown
124,Jörg G. Vogelsang,2,1,20171106140419,20171106214700,unknown
125,217.82.168.41,2,0,20041201012012,20041201012026,unknown
126,Striegistalzwerg,2,0,20130704085623,20130925124617,unknown
127,Regi51,2,2,20100616210138,20150917193158,unknown
128,Rabanusmaurus,2,0,20170320142323,20170320142518,unknown
129,91.22.155.222,1,0,20151216201015,20151216201015,unknown
130,Neubuot,1,0,20100224091301,20100224091301,unknown
131,Der wahre Jakob,1,1,20111130093016,20111130093016,unknown
132,2003:78:8F1D:A800:493D:E7F1:C2EC:1432,1,0,20171110074415,20171110074415,unknown
133,In dubio pro dubio,1,1,20121110230159,20121110230159,unknown
134,89.15.237.234,1,0,20181206080924,20181206080924,unknown
135,MorbZ-Bot,1,1,20130226085106,20130226085106,unknown
136,DF5GO,1,1,20130902214829,20130902214829,unknown
137,217.81.162.119,1,0,20051026205035,20051026205035,unknown
138,Mnfrdkl,1,1,20080504000241,20080504000241,unknown
139,Pittimann,1,1,20160916081223,20160916081223,unknown
140,Krdbot,1,0,20110705163908,20110705163908,unknown
141,2003:78:8F02:5600:8441:F860:FEA7:AA02,1,0,20171024092948,20171024092948,unknown
142,Hans Haase,1,0,20181010042858,20181010042858,unknown
143,ZéroBot,1,1,20121130064003,20121130064003,unknown
144,Mathias Schindler,1,1,20040405055212,20040405055212,unknown
145,62.154.221.82,1,0,20071031095650,20071031095650,unknown
146,Mittelhesse,1,1,20150718190300,20150718190300,unknown
147,AlFo,1,0,20090704072319,20090704072319,unknown
148,2A02:810C:800:2C7C:196A:7ED7:A79:677A,1,0,20160724155134,20160724155134,unknown
149,Akkakk,1,1,20110308002942,20110308002942,unknown
150,Crepuscolo,1,1,20170827190508,20170827190508,unknown
151,TheoDor12,1,0,20121110095213,20121110095213,unknown
152,2003:6:333E:B065:F:FC7:BEEA:CFE5,1,0,20180824220816,20180824220816,unknown
153,EM311,1,1,20121118191425,20121118191425,unknown
154,84.142.173.120,1,0,20130615065058,20130615065058,unknown
155,193.17.244.2,1,0,20150126131943,20150126131943,unknown
156,Nassauer27,1,1,20160218205348,20160218205348,unknown
157,DafoBot,1,1,20101029205449,20101029205449,unknown
158,Girus,1,1,20170516055215,20170516055215,unknown
159,80.187.81.134,1,0,20180527201636,20180527201636,unknown
160,91.60.112.152,1,0,20190224101804,20190224101804,unknown
161,190.68.198.114,1,0,20130419162845,20130419162845,unknown
162,Tückischer Monsteinring,1,0,20131009192148,20131009192148,unknown
163,80.136.153.121,1,0,20070311085525,20070311085525,unknown
164,Gabel1960,1,0,20140926131449,20140926131449,unknown
165,Unukorno,1,1,20081224114720,20081224114720,unknown
166,2A02:8108:2700:3E78:6151:E0E8:81B5:9114,1,0,20160118071547,20160118071547,unknown
167,80.131.208.38,1,0,20100322104714,20100322104714,unknown
168,77.56.53.183,1,0,20170118202403,20170118202403,unknown
169,Hejkal,1,0,20120223185817,20120223185817,unknown
170,Zwönitz,1,1,20171127145611,20171127145611,unknown
171,Coffins,1,0,20121111043909,20121111043909,unknown
172,194.49.221.2,1,0,20190206142953,20190206142953,unknown
173,Oudeís,1,0,20130924141917,20130924141917,unknown
174,Ixitixel,1,1,20060816133406,20060816133406,unknown
175,APPER,1,1,20140724122258,20140724122258,unknown
176,82.82.138.189,1,0,20081002214731,20081002214731,unknown
177,88.64.34.121,1,0,20151108201616,20151108201616,unknown
178,Tohma,1,0,20111023152017,20111023152017,unknown
179,Bruno Barrique,1,1,20171106221429,20171106221429,unknown
180,PhJ,1,1,20121216110029,20121216110029,unknown
181,Itti,1,1,20130814144501,20130814144501,unknown
182,AHZ,1,0,20041202000644,20041202000644,unknown
183,217.85.73.248,1,0,20071209102843,20071209102843,unknown
184,Peteruetz,1,0,20151027215010,20151027215010,unknown
185,MerlLinkBot,1,1,20090919161527,20090919161527,unknown
186,Jaellee,1,1,20160805165347,20160805165347,unknown
187,217.227.126.231,1,0,20110529164054,20110529164054,unknown
188,87.187.208.86,1,0,20170921180910,20170921180910,unknown
189,Goldplie,1,0,20121110132209,20121110132209,unknown
190,VC10,1,1,20180907051956,20180907051956,unknown
191,Milziade,1,0,20121120144235,20121120144235,unknown
192,95.91.241.77,1,0,20130730071918,20130730071918,unknown
193,109.43.212.233,1,0,20140204094653,20140204094653,unknown
194,N.Eschenhagen,1,0,20090504135137,20090504135137,unknown
195,Boshomi,1,0,20160327213523,20160327213523,unknown
196,Engie,1,1,20101112153759,20101112153759,unknown
197,93.199.63.53,1,0,20120930142450,20120930142450,unknown
198,Horst Gräbner,1,0,20180708075600,20180708075600,unknown
199,92.203.97.189,1,0,20130526095119,20130526095119,unknown
200,KomDok,1,0,20141205200937,20141205200937,unknown
201,Wiegels,1,1,20090502181415,20090502181415,unknown
202,Qaswed,1,0,20160120210158,20160120210158,unknown
203,84.184.92.210,1,0,20120410100924,20120410100924,unknown
204,Rita2008,1,0,20121111141721,20121111141721,unknown
205,2003:CE:ABD0:F700:746A:3BA4:FC87:D252,1,0,20190212174405,20190212174405,unknown
206,DonGatley,1,1,20130403201518,20130403201518,unknown
207,85.178.195.248,1,0,20070226163553,20070226163553,unknown
208,Jesi,1,0,20140826133015,20140826133015,unknown
209,Luke Skywodka,1,1,20100224092505,20100224092505,unknown
210,Pelz,1,1,20111201222412,20111201222412,unknown
211,Tönjes,1,1,20171110090936,20171110090936,unknown
212,Bären-Eckardt,1,0,20121110233728,20121110233728,unknown
213,Schnabeltassentier,1,1,20181206080943,20181206080943,unknown
214,Giftmischer,1,1,20130309150159,20130309150159,unknown
215,Meerwind7,1,0,20130916225942,20130916225942,unknown
216,Eilmeldung,1,0,20051118204021,20051118204021,unknown
217,Alnilam,1,1,20140306104042,20140306104042,unknown
218,212.178.154.2,1,0,20151106130509,20151106130509,unknown
219,GLGermann,1,0,20091028041315,20091028041315,unknown
220,Poipo,1,1,20161009101759,20161009101759,unknown
221,109.41.1.197,1,0,20181107143039,20181107143039,unknown
222,77.8.173.191,1,0,20121203224824,20121203224824,unknown
223,Srbauer,1,0,20041108093259,20041108093259,unknown
224,2003:5B:462E:13C4:38CD:9541:E8B1:69F3,1,0,20150917193146,20150917193146,unknown
225,Florian.Keßler,1,1,20090706223041,20090706223041,unknown
226,92.102.168.25,1,0,20110424202643,20110424202643,unknown
227,9EkieraM1,1,1,20170916190347,20170916190347,unknown
228,2003:CE:ABE7:1800:383A:20DA:1698:DC17,1,0,20180905163210,20180905163210,unknown
229,87.182.61.91,1,0,20121118230131,20121118230131,unknown
230,Jed,1,1,20130630211439,20130630211439,unknown
231,91.22.128.200,1,0,20150212104712,20150212104712,unknown
232,Mastaart,1,1,20090503100357,20090503100357,unknown
233,Ephraim33,1,0,20160307143122,20160307143122,unknown
234,AxelKing,1,1,20170608213841,20170608213841,unknown
235,WeiterWeg,1,0,20180615192114,20180615192114,unknown
236,2003:C8:9731:5900:C037:1532:F02B:615,1,0,20190301154224,20190301154224,unknown
237,212.184.2.43,1,0,20130426081821,20130426081821,unknown
238,Carol.Christiansen,1,0,20131009192330,20131009192330,unknown
239,Mff,1,1,20070416185056,20070416185056,unknown
240,Korrekturabteilung12,1,1,20090123235016,20090123235016,unknown
